# Weather station Khargone, India, WMO_ID=42849,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42849&lang=en
#
"Local time in Khargone";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.10.2016 17:30";"24.8";"733.7";"755.2";"";"90";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.1";"";"";"";"";"";"";
"08.10.2016 08:30";"26.6";"735.4";"756.8";"";"90";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"07.10.2016 17:30";"30.4";"733.1";"754.2";"";"69";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"07.10.2016 08:30";"25.6";"735.2";"756.7";"";"89";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"23.6";"";"";"";"";"";"";
"06.10.2016 17:30";"29.4";"732.8";"754.0";"";"73";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"06.10.2016 08:30";"25.2";"734.6";"756.1";"";"88";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"05.10.2016 17:30";"26.6";"731.2";"752.5";"";"86";"Wind blowing from the south-west";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"24.0";"";"";"";"";"";"";
"05.10.2016 08:30";"25.6";"733.7";"755.2";"";"89";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"27.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"04.10.2016 17:30";"27.6";"732.4";"753.7";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"04.10.2016 08:30";"25.8";"733.8";"755.2";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.3";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"2.0";"24.6";"";"";"";"";"";"";
"03.10.2016 17:30";"26.6";"732.1";"753.4";"";"92";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"25.2";"";"";"";"";"";"";
"03.10.2016 08:30";"26.6";"734.6";"756.0";"";"90";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Rain.";"22.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"24.9";"";"";"";"";"";"";
"02.10.2016 17:30";"30.0";"732.3";"753.4";"";"80";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"31.8";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"26.1";"";"";"";"";"";"";
"02.10.2016 08:30";"26.0";"735.5";"757.0";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"01.10.2016 17:30";"29.2";"732.0";"753.1";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"25.5";"";"";"";"";"";"";
"01.10.2016 08:30";"24.2";"733.4";"754.9";"";"96";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"20.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"23.6";"";"";"";"";"";"";
"30.09.2016 17:30";"29.4";"732.1";"753.2";"";"74";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"31.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"30.09.2016 08:30";"24.4";"733.8";"755.3";"";"90";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"20.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"22.6";"";"";"";"";"";"";
"29.09.2016 17:30";"30.4";"732.1";"753.2";"";"69";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"31.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"29.09.2016 08:30";"25.2";"733.7";"755.2";"";"91";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"20.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"28.09.2016 17:30";"27.6";"732.8";"754.1";"";"69";"Wind blowing from the south";"2";"";"";"100%.";" ";"";"";"";"31.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"21.3";"";"";"";"";"";"";
"28.09.2016 08:30";"25.6";"734.6";"756.1";"";"85";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"20.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"27.09.2016 17:30";"28.0";"732.2";"753.4";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"27.09.2016 08:30";"26.4";"735.4";"756.8";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"25.0";"";"";"";"";"";"";
"26.09.2016 17:30";"27.8";"732.2";"753.4";"";"74";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"22.8";"";"";"";"";"";"";
"26.09.2016 08:30";"26.8";"734.7";"756.1";"";"83";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"25.09.2016 17:30";"30.8";"729.7";"750.7";"";"72";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"25.09.2016 08:30";"26.4";"733.2";"754.6";"";"80";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"24.09.2016 17:30";"31.6";"728.9";"749.8";"";"74";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"24.09.2016 08:30";"26.8";"732.2";"753.5";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"23.09.2016 17:30";"31.8";"729.8";"750.7";"";"74";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"32.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"23.09.2016 08:30";"26.6";"733.7";"755.1";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"22.09.2016 17:30";"28.8";"732.0";"753.2";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"22.09.2016 08:30";"25.6";"735.4";"756.9";"";"89";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"20.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"21.09.2016 17:30";"29.0";"732.3";"753.5";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"21.09.2016 08:30";"25.4";"734.6";"756.1";"";"96";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"19.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"24.8";"";"";"";"";"";"";
"20.09.2016 17:30";"29.4";"732.3";"753.4";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"26.0";"";"";"";"";"";"";
"20.09.2016 08:30";"24.6";"733.8";"755.3";"";"93";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"20.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"19.09.2016 17:30";"29.2";"732.3";"753.4";"";"82";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"30.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"25.8";"";"";"";"";"";"";
"19.09.2016 08:30";"26.2";"733.7";"755.1";"";"94";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"20.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"18.09.2016 17:30";"26.4";"730.7";"752.0";"";"92";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"25.0";"";"";"";"";"";"";
"18.09.2016 08:30";"25.4";"733.0";"754.4";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"24.5";"";"";"";"";"";"";
"17.09.2016 17:30";"30.6";"729.7";"750.7";"";"78";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"31.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"26.4";"";"";"";"";"";"";
"17.09.2016 08:30";"24.6";"732.5";"754.0";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"24.0";"";"";"";"";"";"";
"16.09.2016 17:30";"32.0";"729.8";"750.7";"";"72";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"16.09.2016 08:30";"26.2";"732.8";"754.2";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"24.8";"";"";"";"";"";"";
"15.09.2016 17:30";"28.2";"730.1";"751.3";"";"86";"Wind blowing from the west";"1";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.7";"";"";"";"";"";"";
"15.09.2016 08:30";"26.0";"733.2";"754.6";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"14.09.2016 17:30";"29.0";"731.4";"752.5";"";"79";"Wind blowing from the west";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.0";"";"";"";"";"";"";
"14.09.2016 08:30";"27.6";"734.5";"755.8";"";"80";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"22.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"13.09.2016 17:30";"33.0";"731.8";"752.7";"";"57";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"13.09.2016 08:30";"26.8";"735.3";"756.7";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"12.09.2016 17:30";"31.6";"732.1";"753.1";"";"61";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"12.09.2016 08:30";"25.4";"734.6";"756.1";"";"85";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"19.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"11.09.2016 17:30";"31.2";"732.1";"753.1";"";"61";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"11.09.2016 08:30";"27.6";"735.3";"756.7";"";"73";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"10.09.2016 17:30";"31.6";"732.7";"753.7";"";"57";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"10.09.2016 08:30";"27.8";"736.2";"757.6";"";"74";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"21.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"09.09.2016 17:30";"32.2";"733.5";"754.5";"";"57";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"09.09.2016 08:30";"25.6";"736.7";"758.2";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"08.09.2016 17:30";"28.8";"734.4";"755.6";"";"69";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"08.09.2016 08:30";"27.9";"735.2";"756.5";"";"69";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"20.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"07.09.2016 17:30";"30.6";"732.7";"753.8";"";"62";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"07.09.2016 08:30";"27.2";"735.9";"757.3";"";"71";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"20.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"06.09.2016 17:30";"";"";"754.6";"";"";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"32.2";"";"";"200-300";"";"";"0.2";"21.8";"";"";"";"";"";"";
"06.09.2016 08:30";"27.6";"735.9";"757.3";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.3";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"05.09.2016 17:30";"30.6";"733.5";"754.6";"";"59";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"31.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"05.09.2016 08:30";"26.4";"735.6";"757.0";"";"78";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"04.09.2016 17:30";"29.6";"732.9";"754.0";"";"67";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"04.09.2016 08:30";"26.6";"734.7";"756.1";"";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"03.09.2016 17:30";"29.2";"732.3";"753.4";"";"70";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"03.09.2016 08:30";"27.4";"733.7";"755.0";"";"77";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"02.09.2016 17:30";"29.0";"731.1";"752.2";"";"74";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"30.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"02.09.2016 08:30";"25.8";"733.8";"755.2";"";"89";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.9";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"23.8";"";"";"";"";"";"";
"01.09.2016 17:30";"27.0";"730.6";"751.9";"";"87";"";"";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"27.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.7";"";"";"";"";"";"";
"01.09.2016 08:30";"25.6";"732.9";"754.3";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
