# Weather station Khargone, India, WMO_ID=42849,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42849&lang=en
#
"Local time in Khargone";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.12.2017 17:30";"27.8";"736.6";"758.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"09.12.2017 08:30";"19.8";"739.2";"761.2";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"08.12.2017 17:30";"26.6";"736.7";"758.2";"";"62";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"08.12.2017 08:30";"20.8";"740.5";"762.5";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"14.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"07.12.2017 17:30";"25.8";"736.3";"757.8";"";"65";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.6";"";"";"";"";"";"";
"07.12.2017 08:30";"19.2";"738.2";"760.3";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"14.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.2";"";"";"";"";"";"";
"06.12.2017 20:30";"26.2";"735.0";"756.4";"";"57";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"06.12.2017 17:30";"26.2";"735.0";"756.4";"";"57";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"06.12.2017 08:30";"19.8";"736.6";"758.6";"";"69";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"15.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"2.0";"13.9";"";"";"";"";"";"";
"05.12.2017 17:30";"20.6";"736.0";"757.9";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"21.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"1.0";"17.7";"";"";"";"";"";"";
"05.12.2017 08:30";"19.2";"737.5";"759.5";"";"68";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"14.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"2.0";"13.2";"";"";"";"";"";"";
"04.12.2017 17:30";"27.0";"735.9";"757.3";"";"52";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"04.12.2017 08:30";"17.2";"738.4";"760.6";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"03.12.2017 17:30";"26.8";"737.2";"758.7";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"03.12.2017 08:30";"17.8";"740.7";"762.9";"";"69";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"02.12.2017 17:30";"26.6";"737.2";"758.7";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.9";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"02.12.2017 08:30";"17.2";"740.7";"763.0";"";"70";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"01.12.2017 17:30";"26.4";"736.4";"757.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"01.12.2017 08:30";"16.8";"739.2";"761.5";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"30.11.2017 17:30";"28.2";"737.0";"758.4";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"30.11.2017 08:30";"18.2";"740.6";"762.8";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"29.11.2017 17:30";"27.4";"737.1";"758.5";"";"49";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.9";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.7";"";"";"";"";"";"";
"29.11.2017 08:30";"18.2";"740.6";"762.8";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"28.11.2017 17:30";"28.6";"736.3";"757.6";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"28.11.2017 08:30";"16.6";"739.3";"761.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.3";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"27.11.2017 17:30";"28.4";"736.3";"757.6";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"27.11.2017 08:30";"16.8";"740.2";"762.5";"";"59";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"26.11.2017 17:30";"28.0";"738.7";"760.1";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"26.11.2017 08:30";"19.2";"742.0";"764.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"25.11.2017 17:30";"26.2";"737.9";"759.4";"";"51";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"25.11.2017 08:30";"17.4";"740.4";"762.7";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"24.11.2017 17:30";"28.0";"737.8";"759.2";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"24.11.2017 08:30";"19.2";"740.6";"762.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"23.11.2017 17:30";"27.8";"735.8";"757.1";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"23.11.2017 08:30";"20.0";"738.2";"760.2";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.3";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"22.11.2017 17:30";"28.0";"735.7";"757.0";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"22.11.2017 08:30";"21.4";"738.0";"759.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"21.11.2017 17:30";"28.2";"736.2";"757.5";"";"56";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"30.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.6";"";"";"";"";"";"";
"21.11.2017 08:30";"22.4";"739.4";"761.3";"";"69";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"17.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"737.8";"759.2";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"20.11.2017 08:30";"22.0";"740.0";"761.9";"";"77";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"16.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"17.8";"";"";"";"";"";"";
"19.11.2017 17:30";"27.8";"737.3";"758.7";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"19.11.2017 08:30";"20.6";"739.0";"761.0";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"15.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.2";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"735.8";"757.1";"";"57";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"18.11.2017 08:30";"20.8";"738.2";"760.1";"";"63";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
