# Weather station Sidhi, India, WMO_ID=42577,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42577&lang=en
#
"Local time in Sidhi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.09.2017 08:30";"26.6";"731.3";"753.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"05.09.2017 08:30";"27.4";"732.0";"754.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.6";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"04.09.2017 08:30";"27.4";"731.3";"753.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"03.09.2017 17:30";"32.4";"728.3";"750.3";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"03.09.2017 08:30";"27.2";"731.3";"753.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"02.09.2017 17:30";"32.6";"728.3";"750.3";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"02.09.2017 08:30";"27.6";"731.3";"753.7";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"01.09.2017 08:30";"27.8";"730.6";"753.0";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"31.08.2017 17:30";"31.8";"728.3";"750.3";"";"65";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.4";"";"";"";"";"";"";
"31.08.2017 08:30";"27.8";"731.2";"753.6";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"30.08.2017 08:30";"27.2";"729.2";"751.6";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.3";"";"";"";"";"";"";
"29.08.2017 17:30";"31.2";"725.4";"747.4";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.0";"";"";"";"";"";"";
"29.08.2017 08:30";"26.6";"727.7";"750.1";"";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"28.08.2017 17:30";"28.4";"724.7";"746.9";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.6";"";"";"";"";"";"";
"28.08.2017 08:30";"26.0";"726.8";"749.2";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"27.08.2017 17:30";"26.4";"725.4";"747.7";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.7";"";"";"";"";"";"";
"27.08.2017 08:30";"28.0";"727.6";"749.9";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"26.08.2017 17:30";"29.2";"725.3";"747.4";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.5";"";"";"";"";"";"";
"26.08.2017 08:30";"26.4";"726.8";"749.2";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"25.08.2017 17:30";"26.8";"726.1";"748.4";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"25.08.2017 08:30";"26.8";"728.3";"750.7";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"24.08.2017 17:30";"30.8";"727.4";"749.5";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.8";"";"";"";"";"";"";
"24.08.2017 08:30";"26.2";"730.5";"753.0";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.5";"";"";"";"";"";"";
"23.08.2017 08:30";"28.0";"731.2";"753.6";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.4";"";"";"";"";"";"";
"22.08.2017 17:30";"33.4";"726.7";"748.6";"";"54";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.0";"";"";"";"";"";"";
"22.08.2017 08:30";"27.8";"729.0";"751.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.6";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"21.08.2017 08:30";"27.2";"728.4";"750.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"20.08.2017 17:30";"31.8";"726.7";"748.7";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"20.08.2017 08:30";"27.6";"728.3";"750.6";"";"76";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"19.08.2017 17:30";"31.8";"726.7";"748.7";"";"63";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"19.08.2017 08:30";"27.8";"727.5";"749.8";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"18.08.2017 17:30";"30.2";"724.8";"746.8";"";"81";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"18.08.2017 08:30";"27.6";"727.6";"749.9";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.1";"";"";"";"";"";"";
"17.08.2017 17:30";"31.8";"726.7";"748.7";"";"65";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.4";"";"";"";"";"";"";
"17.08.2017 08:30";"28.0";"728.4";"750.7";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"16.08.2017 17:30";"30.6";"726.7";"748.8";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.2";"";"";"";"";"";"";
"16.08.2017 08:30";"27.8";"730.5";"752.9";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"28.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"15.08.2017 17:30";"33.2";"728.6";"750.5";"";"58";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"15.08.2017 08:30";"27.6";"731.3";"753.7";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.7";"";"";"";"";"";"";
"14.08.2017 17:30";"31.4";"729.8";"751.9";"";"67";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"14.08.2017 08:30";"27.0";"731.5";"754.0";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.4";"";"";"";"";"";"";
"13.08.2017 08:30";"26.6";"729.3";"751.7";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"12.08.2017 17:30";"29.4";"726.8";"749.0";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"12.08.2017 08:30";"27.2";"728.5";"750.9";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"11.08.2017 17:30";"27.8";"726.8";"749.1";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"11.08.2017 08:30";"26.4";"728.3";"750.7";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.7";"";"";"";"";"";"";
"10.08.2017 17:30";"29.4";"726.7";"748.9";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"10.08.2017 08:30";"27.0";"728.3";"750.7";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.4";"";"";"";"";"";"";
"09.08.2017 17:30";"31.4";"726.8";"748.8";"";"68";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"09.08.2017 08:30";"27.0";"729.1";"751.5";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.9";"";"";"";"";"";"";
"08.08.2017 17:30";"30.6";"726.9";"749.0";"";"76";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.8";"";"";"";"";"";"";
"08.08.2017 08:30";"27.0";"728.5";"750.9";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"07.08.2017 17:30";"30.8";"726.1";"748.1";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.7";"";"";"";"";"";"";
"07.08.2017 08:30";"27.0";"727.7";"750.1";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.9";"";"";"";"";"";"";
"06.08.2017 17:30";"28.2";"726.8";"749.1";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.4";"";"";"";"";"";"";
"06.08.2017 08:30";"27.0";"728.6";"751.0";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.6";"";"";"";"";"";"";
"05.08.2017 17:30";"27.4";"726.9";"749.2";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.4";"";"";"";"";"";"";
"05.08.2017 08:30";"26.6";"727.7";"750.1";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"04.08.2017 17:30";"31.0";"725.4";"747.4";"";"71";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"04.08.2017 08:30";"27.2";"727.7";"750.1";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"03.08.2017 17:30";"30.0";"725.7";"747.8";"";"72";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.3";"";"";"";"";"";"";
"03.08.2017 08:30";"27.8";"728.4";"750.7";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"02.08.2017 17:30";"31.8";"726.8";"748.8";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.7";"";"";"";"";"";"";
"02.08.2017 08:30";"27.6";"728.9";"751.3";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"01.08.2017 08:30";"27.6";"728.6";"750.9";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"31.07.2017 17:30";"31.0";"727.5";"749.6";"";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"31.07.2017 08:30";"27.0";"729.2";"751.6";"";"90";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"30.07.2017 17:30";"30.2";"727.6";"749.7";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"30.07.2017 08:30";"27.0";"730.1";"752.5";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.0";"";"";"";"";"";"";
"29.07.2017 17:30";"31.6";"728.5";"750.5";"";"66";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"29.07.2017 08:30";"26.8";"730.0";"752.5";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"28.07.2017 08:30";"26.8";"728.7";"751.1";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.2";"";"";"";"";"";"";
"27.07.2017 17:30";"26.4";"725.7";"748.0";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
"27.07.2017 08:30";"25.0";"725.0";"747.4";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.8";"";"";"";"";"";"";
"26.07.2017 17:30";"27.0";"724.9";"747.2";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.9";"";"";"";"";"";"";
"26.07.2017 11:30";"25.4";"725.6";"748.0";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"";"Altocumulus translucidus at a single level.";"";"";"23.9";"";"";"";"";"";"";
"26.07.2017 08:30";"25.4";"725.6";"748.0";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.9";"";"";"";"";"";"";
"25.07.2017 17:30";"29.0";"724.8";"746.9";"";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.1";"";"";"";"";"";"";
"25.07.2017 08:30";"25.0";"727.1";"749.6";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.0";"";"";"";"";"";"";
"24.07.2017 17:30";"27.0";"724.8";"747.1";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"27.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.0";"";"";"";"";"";"";
"24.07.2017 08:30";"25.0";"727.0";"749.5";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.8";"";"";"";"";"";"";
"23.07.2017 17:30";"27.2";"724.7";"747.0";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.2";"";"";"";"";"";"";
"23.07.2017 08:30";"26.6";"727.7";"750.1";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.5";"";"";"";"";"";"";
"22.07.2017 17:30";"26.2";"725.2";"747.6";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.4";"";"";"";"";"";"";
"21.07.2017 08:30";"26.6";"726.1";"748.4";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
"20.07.2017 17:30";"26.4";"723.0";"745.3";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"20.07.2017 08:30";"27.4";"723.9";"746.1";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.1";"";"";"";"";"";"";
"19.07.2017 17:30";"27.4";"724.6";"746.8";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"26.0";"";"";"";"";"";"";
"19.07.2017 08:30";"38.4";"728.2";"749.8";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"18.07.2017 17:30";"30.8";"725.4";"747.4";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.8";"";"";"";"";"";"";
"18.07.2017 08:30";"28.4";"727.5";"749.8";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"17.07.2017 17:30";"34.0";"724.4";"746.2";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.0";"";"";"";"";"";"";
"17.07.2017 08:30";"27.4";"727.8";"750.1";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"16.07.2017 17:30";"30.2";"726.1";"748.2";"";"63";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.3";"";"";"";"";"";"";
"16.07.2017 08:30";"26.0";"727.8";"750.2";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.9";"";"";"";"";"";"";
