# Weather station Gondia, India, WMO_ID=42871,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42871&lang=en
#
"Local time in Gondia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.07.2017 11:30";"28.4";"";"";"";"82";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"23.07.2017 08:30";"25.8";"";"";"";"93";"Wind blowing from the south-west";"3";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.6";"";"";"";"";"";"";
"22.07.2017 17:30";"28.4";"";"";"";"85";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"22.07.2017 14:30";"31.0";"";"";"";"66";"Wind blowing from the south";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"22.07.2017 11:30";"29.4";"";"";"";"70";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"22.07.2017 08:30";"27.4";"";"";"";"81";"Wind blowing from the south";"3";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.9";"";"";"";"";"";"";
"21.07.2017 17:30";"28.8";"";"";"";"72";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"30.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"21.07.2017 14:30";"29.6";"";"";"";"74";"Wind blowing from the south-southwest";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"21.07.2017 11:30";"29.2";"";"";"";"74";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"21.07.2017 08:30";"27.4";"";"";"";"83";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"20.07.2017 17:30";"26.6";"";"";"";"89";"Wind blowing from the south";"3";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"20.07.2017 14:30";"28.2";"";"";"";"85";"Wind blowing from the south-west";"3";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"20.07.2017 11:30";"27.8";"";"";"";"98";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"27.4";"";"";"";"";"";"";
"20.07.2017 08:30";"26.6";"";"";"";"92";"Wind blowing from the south-southwest";"4";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.2";"";"";"";"";"";"";
"19.07.2017 17:30";"26.6";"";"";"";"99";"Wind blowing from the south-west";"4";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"31.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"26.4";"";"";"";"";"";"";
"19.07.2017 14:30";"31.4";"";"";"";"86";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"28.8";"";"";"";"";"";"";
"19.07.2017 11:30";"29.4";"";"";"";"92";"Wind blowing from the south";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"28.0";"";"";"";"";"";"";
"19.07.2017 08:30";"26.8";"";"";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"23.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.5";"";"";"";"";"";"";
"18.07.2017 17:30";"33.0";"";"";"";"80";"Wind blowing from the west-northwest";"4";"";"";"60%.";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.5";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.1";"";"";"";"";"";"";
"18.07.2017 14:30";"32.4";"";"";"";"84";"Wind blowing from the north-west";"5";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.3";"";"";"";"";"";"";
"18.07.2017 11:30";"29.2";"";"";"";"79";"Wind blowing from the north-west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"18.07.2017 08:30";"26.8";"";"";"";"87";"Wind blowing from the north-west";"3";"";"";"70 – 80%.";" ";"";"";"23.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"17.07.2017 17:30";"25.2";"";"";"";"93";"Wind blowing from the west";"2";"";"";"50%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"31.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"17.07.2017 14:30";"25.0";"";"";"";"98";"Wind blowing from the north-northeast";"6";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"0.2";"24.7";"";"";"";"";"";"";
"17.07.2017 11:30";"30.2";"";"";"";"87";"Wind blowing from the west";"4";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"17.07.2017 08:30";"27.0";"";"";"";"97";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"24.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.4";"";"";"";"";"";"";
"16.07.2017 17:30";"26.4";"";"";"";"87";"Wind blowing from the north-west";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"";"29.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.1";"";"";"";"";"";"";
"16.07.2017 14:30";"28.4";"";"";"";"78";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.2";"";"";"";"";"";"";
"16.07.2017 11:30";"27.6";"";"";"";"84";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"16.07.2017 08:30";"25.8";"";"";"";"90";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"15.07.2017 17:30";"26.0";"";"";"";"95";"Wind blowing from the north-west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"15.07.2017 14:30";"27.0";"";"";"";"95";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.2";"";"";"";"";"";"";
"15.07.2017 11:30";"26.2";"";"";"";"92";"Wind blowing from the south-west";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.8";"";"";"";"";"";"";
"15.07.2017 08:30";"25.0";"";"";"";"95";"Wind blowing from the south-west";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.1";"";"";"";"";"";"";
"14.07.2017 17:30";"27.2";"";"";"";"86";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"14.07.2017 14:30";"29.2";"";"";"";"76";"Wind blowing from the west-southwest";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"14.07.2017 11:30";"29.4";"";"";"";"88";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"27.2";"";"";"";"";"";"";
"14.07.2017 08:30";"26.0";"";"";"";"92";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"13.07.2017 17:30";"26.4";"";"";"";"89";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"28.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.4";"";"";"";"";"";"";
"13.07.2017 14:30";"27.0";"";"";"";"91";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"13.07.2017 11:30";"28.2";"";"";"";"88";"Wind blowing from the south-west";"4";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.1";"";"";"";"";"";"";
"13.07.2017 08:30";"26.8";"";"";"";"93";"Wind blowing from the south-west";"5";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.6";"";"";"";"";"";"";
"12.07.2017 17:30";"28.6";"";"";"";"76";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"12.07.2017 14:30";"29.8";"";"";"";"82";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.4";"";"";"";"";"";"";
"12.07.2017 11:30";"28.6";"";"";"";"88";"Wind blowing from the south-west";"4";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.4";"";"";"";"";"";"";
"12.07.2017 08:30";"26.6";"";"";"";"95";"Wind blowing from the west-southwest";"5";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.7";"";"";"";"";"";"";
"11.07.2017 17:30";"24.4";"";"";"";"95";"Wind blowing from the east-southeast";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.5";"";"";"";"";"";"";
"11.07.2017 14:30";"30.2";"";"";"";"89";"Wind blowing from the south";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"28.1";"";"";"";"";"";"";
"11.07.2017 11:30";"27.4";"";"";"";"97";"Wind blowing from the south-west";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.9";"";"";"";"";"";"";
"11.07.2017 08:30";"24.8";"723.7";"750.1";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.2";"";"";"";"";"";"";
"10.07.2017 17:30";"25.2";"";"";"";"99";"Wind blowing from the south-west";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"27.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.0";"";"";"";"";"";"";
"10.07.2017 14:30";"26.4";"";"";"";"99";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"26.2";"";"";"";"";"";"";
"10.07.2017 11:30";"24.8";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"24.2";"";"";"";"";"";"";
"10.07.2017 08:30";"24.6";"";"";"";"96";"Wind blowing from the north-west";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"23.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"24.0";"";"";"";"";"";"";
"09.07.2017 17:30";"31.6";"";"";"";"71";"Wind blowing from the west";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.8";"";"";"";"";"";"";
"09.07.2017 14:30";"34.8";"";"";"";"63";"Wind blowing from the south-southwest";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.8";"";"";"";"";"";"";
"09.07.2017 11:30";"35.0";"";"";"";"47";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"09.07.2017 08:30";"31.2";"";"";"";"61";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"08.07.2017 17:30";"31.4";"";"";"";"69";"Wind blowing from the west";"6";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"37.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"08.07.2017 14:30";"37.0";"";"";"";"53";"Wind blowing from the south-southwest";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"08.07.2017 11:30";"34.4";"";"";"";"60";"Wind blowing from the south-southwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"08.07.2017 08:30";"30.6";"";"";"";"62";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.5";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"07.07.2017 17:30";"34.6";"";"";"";"44";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
