# Weather station Damoh, India, WMO_ID=42674,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42674&lang=en
#
"Local time in Damoh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"02.08.2017 08:30";"26.6";"720.8";"751.9";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"10.0";"24.3";"";"";"";"";"";"";
"01.08.2017 17:30";"31.4";"719.2";"749.8";"";"70";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"10.0";"25.2";"";"";"";"";"";"";
"01.08.2017 08:30";"26.0";"720.9";"752.1";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"10.0";"24.6";"";"";"";"";"";"";
"31.07.2017 17:30";"30.6";"719.4";"750.1";"";"83";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"33.6";"";"";"600-1000";"";"";"10.0";"27.4";"";"";"";"";"";"";
"31.07.2017 08:30";"26.0";"721.3";"752.5";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"10.0";"24.6";"";"";"";"";"";"";
"30.07.2017 17:30";"28.4";"719.9";"750.8";"";"85";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.5";"";"";"600-1000";"";"";"10.0";"25.6";"";"";"";"";"";"";
"30.07.2017 08:30";"26.2";"721.9";"753.1";"";"92";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"10.0";"24.8";"";"";"";"";"";"";
"29.07.2017 17:30";"30.0";"720.2";"750.9";"";"72";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"30.6";"";"";"600-1000";"";"";"10.0";"24.3";"";"";"";"";"";"";
"29.07.2017 08:30";"25.2";"721.5";"752.8";"";"91";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"10.0";"23.7";"";"";"";"";"";"";
"28.07.2017 17:30";"26.0";"718.4";"749.5";"";"98";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"25.7";"";"";"";"";"";"";
"28.07.2017 08:30";"25.0";"718.2";"749.4";"";"95";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"10.0";"24.1";"";"";"";"";"";"";
"27.07.2017 17:30";"25.0";"715.9";"747.0";"";"100";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"27.0";"";"";"";"600-1000";"";"";"4.0";"25.0";"";"";"";"";"";"";
"27.07.2017 08:30";"25.0";"717.3";"748.4";"";"98";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"18.8";"";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"26.07.2017 17:30";"28.0";"715.7";"746.5";"";"89";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.5";"";"";"600-1000";"";"";"10.0";"26.0";"";"";"";"";"";"";
"26.07.2017 11:30";"24.0";"717.6";"748.9";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"18.5";"30.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"22.5";"";"";"";"";"";"";
"26.07.2017 08:30";"24.0";"717.6";"748.9";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"18.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"25.07.2017 17:30";"29.4";"715.9";"746.5";"";"75";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"30.2";"";"";"600-1000";"";"";"10.0";"24.5";"";"";"";"";"";"";
"25.07.2017 08:30";"25.0";"717.4";"748.5";"";"91";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"10.0";"23.5";"";"";"";"";"";"";
"24.07.2017 17:30";"29.0";"715.9";"746.6";"";"78";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"24.07.2017 08:30";"25.0";"717.4";"748.6";"";"91";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"18.6";"";"";"";"600-1000";"";"";"10.0";"23.5";"";"";"";"";"";"";
"23.07.2017 17:30";"28.4";"715.9";"746.6";"";"85";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"";"";"600-1000";"";"";"10.0";"25.6";"";"";"";"";"";"";
"23.07.2017 08:30";"27.0";"717.4";"748.3";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"22.07.2017 17:30";"28.0";"715.6";"746.4";"";"87";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"28.5";"";"";"600-1000";"";"";"10.0";"25.7";"";"";"";"";"";"";
"22.07.2017 08:30";"25.0";"716.9";"748.0";"";"100";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"10.0";"25.0";"";"";"";"";"";"";
"21.07.2017 17:30";"29.0";"715.1";"745.7";"";"93";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"10.0";"27.7";"";"";"";"";"";"";
"21.07.2017 08:30";"25.6";"716.4";"747.4";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.6";"";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"20.07.2017 17:30";"28.0";"713.4";"744.1";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"";"";"600-1000";"";"";"10.0";"26.9";"";"";"";"";"";"";
"20.07.2017 08:30";"28.0";"715.0";"745.7";"";"89";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"10.0";"26.0";"";"";"";"";"";"";
"19.07.2017 17:30";"30.4";"714.2";"744.6";"";"84";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"27.4";"";"";"";"";"";"";
"19.07.2017 08:30";"28.6";"716.5";"747.2";"";"95";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"10.0";"27.8";"";"";"";"";"";"";
"18.07.2017 17:30";"32.6";"715.4";"745.7";"";"73";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"33.4";"";"";"600-1000";"";"";"10.0";"27.1";"";"";"";"";"";"";
"18.07.2017 08:30";"23.6";"718.5";"749.8";"";"100";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"18.0";"";"";"";"600-1000";"";"";"4.0";"23.6";"";"";"";"";"";"";
"17.07.2017 17:30";"27.0";"716.2";"747.1";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"10.0";"26.7";"";"";"";"";"";"";
"17.07.2017 08:30";"27.0";"718.0";"749.0";"";"89";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"19.6";"";"";"";"600-1000";"";"";"10.0";"25.0";"";"";"";"";"";"";
"16.07.2017 17:30";"29.8";"716.2";"746.8";"";"83";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"31.0";"";"";"600-1000";"";"";"10.0";"26.7";"";"";"";"";"";"";
"16.07.2017 08:30";"26.8";"718.8";"749.8";"";"90";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"19.8";"";"";"";"600-1000";"";"";"10.0";"25.1";"";"";"";"";"";"";
"15.07.2017 17:30";"29.0";"716.5";"747.2";"";"83";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"";"";"600-1000";"";"";"10.0";"25.9";"";"";"";"";"";"";
"15.07.2017 08:30";"25.8";"717.8";"748.9";"";"97";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"18.8";"";"";"";"600-1000";"";"";"10.0";"25.2";"";"";"";"";"";"";
"14.07.2017 17:30";"26.8";"716.0";"746.9";"";"100";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"31.0";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"14.07.2017 08:30";"25.0";"717.2";"748.3";"";"96";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"10.0";"24.4";"";"";"";"";"";"";
"13.07.2017 17:30";"28.0";"714.9";"745.6";"";"85";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.5";"";"";"600-1000";"";"";"10.0";"25.2";"";"";"";"";"";"";
"13.07.2017 08:30";"24.0";"716.8";"748.0";"";"100";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"18.0";"";"";"";"600-1000";"";"";"4.0";"24.0";"";"";"";"";"";"";
"12.07.2017 17:30";"24.0";"717.5";"748.8";"";"100";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"25.5";"";"";"600-1000";"";"";"4.0";"24.0";"";"";"";"";"";"";
"12.07.2017 08:30";"24.6";"719.0";"750.3";"";"100";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"19.2";"";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"11.07.2017 17:30";"28.4";"718.1";"748.9";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"10.0";"25.0";"";"";"";"";"";"";
"11.07.2017 08:30";"25.0";"719.9";"751.2";"";"95";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"18.8";"";"";"";"600-1000";"";"";"10.0";"24.1";"";"";"";"";"";"";
"10.07.2017 17:30";"25.4";"720.4";"751.6";"";"100";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.4";"";"";"";"";"";"";
"10.07.2017 08:30";"25.0";"720.4";"751.7";"";"96";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"10.0";"24.4";"";"";"";"";"";"";
"09.07.2017 17:30";"28.6";"718.6";"749.4";"";"76";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.5";"";"";"600-1000";"";"";"10.0";"24.0";"";"";"";"";"";"";
"09.07.2017 08:30";"28.6";"719.2";"750.1";"";"80";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"22.5";"";"";"";"600-1000";"";"";"10.0";"24.9";"";"";"";"";"";"";
"08.07.2017 17:30";"35.2";"716.9";"747.0";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"10.0";"26.7";"";"";"";"";"";"";
"08.07.2017 08:30";"30.4";"719.4";"750.1";"";"69";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"10.0";"24.1";"";"";"";"";"";"";
"07.07.2017 17:30";"35.4";"717.6";"747.7";"";"52";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"37.0";"";"";"600-1000";"";"";"10.0";"24.0";"";"";"";"";"";"";
"07.07.2017 08:30";"30.4";"719.4";"750.1";"";"69";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"24.1";"";"";"";"";"";"";
"06.07.2017 17:30";"33.0";"717.5";"747.8";"";"63";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"33.5";"";"";"600-1000";"";"";"10.0";"25.1";"";"";"";"";"";"";
"06.07.2017 08:30";"27.4";"719.4";"750.4";"";"89";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"20.6";"";"";"";"600-1000";"";"";"10.0";"25.4";"";"";"";"";"";"";
"05.07.2017 17:30";"30.0";"717.5";"748.1";"";"74";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"10.0";"24.9";"";"";"";"";"";"";
"05.07.2017 08:30";"26.2";"718.4";"749.5";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"10.0";"24.5";"";"";"";"";"";"";
"05.07.2017 02:30";"";"";"763.5";"";"";"Wind blowing from the north-northeast";"10";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"1.1";"3.0";"";"";"";"";"";"";
"04.07.2017 20:30";"";"";"755.9";"";"";"Wind blowing from the north-northeast";"13";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"0.7";"12.8";"";"";"";"";"";"";
"04.07.2017 17:30";"29.0";"716.0";"746.7";"";"85";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"10.0";"26.2";"";"";"";"";"";"";
"04.07.2017 08:30";"26.2";"717.5";"748.5";"";"87";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"10.0";"23.9";"";"";"";"";"";"";
"03.07.2017 17:30";"26.8";"716.3";"747.2";"";"94";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"25.7";"";"";"";"";"";"";
"03.07.2017 08:30";"27.0";"717.6";"748.6";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"02.07.2017 17:30";"29.2";"716.0";"746.6";"";"79";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"10.0";"25.2";"";"";"";"";"";"";
"02.07.2017 08:30";"28.2";"717.2";"748.0";"";"82";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.2";"";"";"";"600-1000";"";"";"10.0";"24.8";"";"";"";"";"";"";
"01.07.2017 17:30";"30.6";"714.5";"744.9";"";"81";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"34.4";"";"";"600-1000";"";"";"10.0";"27.0";"";"";"";"";"";"";
"01.07.2017 08:30";"28.0";"717.5";"748.3";"";"82";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"10.0";"24.6";"";"";"";"";"";"";
"30.06.2017 17:30";"30.0";"715.1";"745.6";"";"78";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"10.0";"25.8";"";"";"";"";"";"";
"30.06.2017 08:30";"26.6";"717.6";"748.6";"";"95";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"19.2";"";"";"";"600-1000";"";"";"10.0";"25.7";"";"";"";"";"";"";
"29.06.2017 17:30";"30.6";"716.2";"746.7";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.5";"";"";"600-1000";"";"";"10.0";"25.5";"";"";"";"";"";"";
"29.06.2017 14:30";"";"";"763.5";"";"";"Wind blowing from the north";"7";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"200-300";"";"";"1.0";"7.0";"";"";"";"";"";"";
"29.06.2017 08:30";"27.2";"718.8";"749.8";"";"95";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"19.8";"";"";"";"600-1000";"";"";"10.0";"26.4";"";"";"";"";"";"";
"28.06.2017 17:30";"25.4";"716.8";"747.9";"";"100";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"4.0";"25.4";"";"";"";"";"";"";
"28.06.2017 08:30";"28.0";"718.0";"748.9";"";"92";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"21.6";"";"";"";"600-1000";"";"";"10.0";"26.6";"";"";"";"";"";"";
"27.06.2017 17:30";"30.0";"715.1";"745.6";"";"92";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"28.6";"";"";"";"";"";"";
"27.06.2017 08:30";"29.0";"718.1";"748.9";"";"90";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.5";"";"";"";"600-1000";"";"";"10.0";"27.1";"";"";"";"";"";"";
"26.06.2017 20:30";"";"";"758.8";"";"";"Wind blowing from the north";"10";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"1.5";"0.5";"";"";"";"";"";"";
"26.06.2017 17:30";"37.0";"714.3";"744.1";"";"48";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"38.5";"";"";"600-1000";"";"";"10.0";"24.3";"";"";"";"";"";"";
"26.06.2017 08:30";"30.0";"717.7";"748.3";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"10.0";"26.7";"";"";"";"";"";"";
"25.06.2017 17:30";"36.0";"714.2";"744.1";"";"52";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"40.0";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"25.06.2017 08:30";"31.4";"716.5";"746.9";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"24.06.2017 17:30";"31.0";"714.6";"745.0";"";"78";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"26.8";"";"";"";"";"";"";
"24.06.2017 08:30";"31.8";"717.6";"748.0";"";"64";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"22.6";"";"";"";"600-1000";"";"";"10.0";"24.1";"";"";"";"";"";"";
"23.06.2017 17:30";"37.4";"715.8";"745.6";"";"38";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"38.6";"";"";"600-1000";"";"";"10.0";"20.6";"";"";"";"";"";"";
"23.06.2017 08:30";"30.4";"720.0";"750.7";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"22.06.2017 17:30";"35.0";"716.9";"747.0";"";"57";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"38.5";"";"";"600-1000";"";"";"10.0";"25.2";"";"";"";"";"";"";
"22.06.2017 08:30";"27.8";"719.0";"749.9";"";"80";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.5";"";"";"";"600-1000";"";"";"4.0";"24.0";"";"";"";"";"";"";
"21.06.2017 17:30";"32.0";"716.1";"746.5";"";"60";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"23.3";"";"";"";"";"";"";
"21.06.2017 08:30";"30.4";"719.3";"750.0";"";"69";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"20.06.2017 17:30";"26.4";"716.7";"747.7";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"37.0";"";"";"600-1000";"";"";"10.0";"25.5";"";"";"";"";"";"";
"20.06.2017 08:30";"31.4";"718.7";"749.2";"";"63";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"10.0";"23.4";"";"";"";"";"";"";
"19.06.2017 17:30";"31.4";"715.6";"746.0";"";"63";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"23.6";"";"";"";"";"";"";
"19.06.2017 08:30";"33.4";"718.3";"748.6";"";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"18.06.2017 17:30";"36.0";"716.3";"746.3";"";"44";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"22.0";"";"";"";"";"";"";
"18.06.2017 08:30";"34.0";"719.1";"749.4";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"17.06.2017 17:30";"36.0";"716.5";"746.5";"";"42";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"40.0";"";"";"600-1000";"";"";"10.0";"21.3";"";"";"";"";"";"";
"17.06.2017 08:30";"32.0";"719.9";"750.4";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"16.06.2017 17:30";"36.8";"717.2";"747.1";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"16.06.2017 08:30";"37.2";"719.8";"749.8";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
"15.06.2017 17:30";"37.0";"716.6";"746.5";"";"34";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"42.0";"";"";"600-1000";"";"";"10.0";"18.9";"";"";"";"";"";"";
"15.06.2017 08:30";"32.0";"719.9";"750.4";"";"66";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.6";"";"";"";"600-1000";"";"";"10.0";"24.9";"";"";"";"";"";"";
"14.06.2017 17:30";"41.6";"716.8";"746.2";"";"40";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"43.5";"";"";"600-1000";"";"";"10.0";"25.3";"";"";"";"";"";"";
"14.06.2017 08:30";"34.0";"719.3";"749.6";"";"45";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"13.06.2017 17:30";"40.4";"715.2";"744.7";"";"44";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"42.5";"";"";"600-1000";"";"";"10.0";"25.8";"";"";"";"";"";"";
"13.06.2017 08:30";"32.8";"718.1";"748.5";"";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"12.06.2017 17:30";"36.6";"715.0";"744.9";"";"45";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"41.5";"";"";"600-1000";"";"";"10.0";"22.8";"";"";"";"";"";"";
"12.06.2017 08:30";"32.6";"718.3";"748.7";"";"63";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"23.8";"";"";"";"600-1000";"";"";"10.0";"24.7";"";"";"";"";"";"";
"11.06.2017 17:30";"37.2";"715.7";"745.5";"";"48";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"38.0";"";"";"600-1000";"";"";"10.0";"24.5";"";"";"";"";"";"";
"11.06.2017 08:30";"29.2";"718.7";"749.5";"";"74";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"22.5";"";"";"";"600-1000";"";"";"10.0";"24.0";"";"";"";"";"";"";
"10.06.2017 17:30";"30.4";"716.8";"747.4";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"39.0";"";"";"600-1000";"";"";"10.0";"26.2";"";"";"";"";"";"";
"10.06.2017 08:30";"34.0";"719.0";"749.3";"";"66";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"10.0";"26.8";"";"";"";"";"";"";
"09.06.2017 17:30";"38.0";"716.6";"746.4";"";"38";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"39.5";"";"";"600-1000";"";"";"10.0";"21.4";"";"";"";"";"";"";
"09.06.2017 08:30";"31.6";"720.4";"751.0";"";"75";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"22.6";"";"";"";"600-1000";"";"";"10.0";"26.6";"";"";"";"";"";"";
"08.06.2017 17:30";"34.6";"717.6";"747.8";"";"59";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"39.0";"";"";"600-1000";"";"";"10.0";"25.6";"";"";"";"";"";"";
"08.06.2017 08:30";"29.0";"721.5";"752.4";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"07.06.2017 17:30";"33.6";"719.3";"749.6";"";"58";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"10.0";"24.2";"";"";"";"";"";"";
"07.06.2017 08:30";"30.0";"722.1";"752.9";"";"63";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"10.0";"22.3";"";"";"";"";"";"";
"06.06.2017 17:30";"26.2";"720.3";"751.5";"";"75";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"21.4";"";"";"";"";"";"";
"06.06.2017 08:30";"28.0";"721.4";"752.4";"";"78";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"20.6";"";"";"";"600-1000";"";"";"10.0";"23.7";"";"";"";"";"";"";
"05.06.2017 17:30";"34.0";"716.9";"747.1";"";"47";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"21.3";"";"";"";"";"";"";
"05.06.2017 08:30";"37.6";"719.2";"749.1";"";"42";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"29.0";"";"";"";"600-1000";"";"";"10.0";"22.6";"";"";"";"";"";"";
"04.06.2017 17:30";"44.4";"715.9";"745.0";"";"17";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"46.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"04.06.2017 08:30";"37.0";"719.5";"749.5";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"03.06.2017 17:30";"43.2";"716.5";"745.8";"";"22";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"45.4";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
