# Weather station Mandla, India, WMO_ID=42776,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42776&lang=en
#
"Local time in Mandla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 17:30";"22.0";"722.6";"760.6";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"20.12.2017 08:30";"12.0";"726.4";"766.0";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"19.12.2017 17:30";"24.0";"722.6";"760.4";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"6.7";"";"";"";"";"";"";
"19.12.2017 08:30";"8.0";"726.0";"766.1";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"4.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.8";"";"";"";"";"";"";
"18.12.2017 17:30";"22.0";"724.1";"762.2";"";"29";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"24.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.3";"";"";"";"";"";"";
"18.12.2017 08:30";"11.0";"727.3";"767.1";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"6.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.8";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"722.5";"760.0";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"17.12.2017 08:30";"14.0";"727.0";"766.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"16.12.2017 17:30";"26.0";"723.1";"760.6";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"16.12.2017 08:30";"15.0";"725.6";"764.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"15.12.2017 17:30";"26.0";"723.1";"760.6";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"15.12.2017 08:30";"15.0";"724.8";"763.9";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"14.12.2017 17:30";"25.0";"721.6";"759.2";"";"47";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"14.12.2017 08:30";"15.0";"724.2";"763.2";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.6";"";"";"";"";"";"";
"13.12.2017 17:30";"28.0";"721.0";"758.2";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"13.12.2017 08:30";"15.0";"724.2";"763.2";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"12.12.2017 17:30";"27.0";"721.0";"758.3";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"12.12.2017 08:30";"12.0";"723.7";"763.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"721.0";"758.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"11.12.2017 08:30";"9.0";"723.6";"763.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"4.3";"";"";"";"";"";"";
"10.12.2017 17:30";"25.0";"721.0";"758.5";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"10.12.2017 08:30";"11.0";"722.8";"762.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"09.12.2017 17:30";"23.0";"720.9";"758.7";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"09.12.2017 08:30";"15.0";"724.1";"763.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"08.12.2017 17:30";"25.0";"719.3";"756.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"08.12.2017 08:30";"16.0";"723.2";"762.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"07.12.2017 17:30";"26.0";"720.2";"757.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"07.12.2017 08:30";"16.0";"722.0";"760.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"06.12.2017 17:30";"27.0";"720.3";"757.5";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"06.12.2017 08:30";"15.0";"722.7";"761.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
"05.12.2017 17:30";"24.0";"719.6";"757.2";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"05.12.2017 08:30";"12.0";"723.7";"763.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"04.12.2017 17:30";"23.0";"720.3";"758.1";"";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.5";"";"";"";"";"";"";
"04.12.2017 08:30";"12.0";"723.7";"763.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"03.12.2017 17:30";"22.0";"720.5";"758.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"03.12.2017 08:30";"10.0";"725.3";"765.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"02.12.2017 17:30";"24.0";"721.1";"758.8";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"02.12.2017 08:30";"12.0";"723.6";"763.0";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"01.12.2017 17:30";"23.0";"720.2";"758.0";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"01.12.2017 08:30";"12.0";"723.6";"763.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"30.11.2017 17:30";"23.0";"721.0";"758.8";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"30.11.2017 08:30";"11.0";"725.1";"764.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"29.11.2017 17:30";"23.0";"721.0";"758.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"29.11.2017 08:30";"11.0";"725.1";"764.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"28.11.2017 17:30";"24.0";"721.1";"758.8";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"28.11.2017 08:30";"11.0";"725.1";"764.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"27.11.2017 17:30";"23.0";"721.9";"759.7";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"27.11.2017 08:30";"10.0";"724.4";"764.2";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"26.11.2017 17:30";"25.0";"722.4";"760.0";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"26.11.2017 08:30";"11.0";"724.9";"764.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"25.11.2017 17:30";"23.0";"721.7";"759.5";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"25.11.2017 08:30";"11.0";"724.9";"764.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"24.11.2017 17:30";"23.0";"721.6";"759.4";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"23.11.2017 17:30";"25.0";"719.8";"757.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"23.11.2017 08:30";"17.0";"723.1";"761.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"22.11.2017 17:30";"24.0";"720.6";"758.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"22.11.2017 08:30";"18.0";"722.9";"761.5";"";"76";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"14.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.6";"";"";"";"";"";"";
"21.11.2017 17:30";"26.0";"721.3";"758.7";"";"49";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"21.11.2017 08:30";"18.0";"724.5";"763.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"20.11.2017 17:30";"26.0";"722.2";"759.7";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"20.11.2017 08:30";"20.0";"724.3";"762.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"19.11.2017 17:30";"29.0";"720.4";"757.4";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"19.11.2017 08:30";"20.0";"722.8";"761.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"18.11.2017 17:30";"28.0";"720.4";"757.5";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"18.11.2017 08:30";"21.0";"722.7";"760.9";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"17.11.2017 17:30";"28.0";"718.2";"755.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"17.11.2017 08:30";"20.0";"721.4";"759.6";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.7";"";"";"";"";"";"";
"16.11.2017 17:30";"27.8";"719.9";"757.0";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.3";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"16.11.2017 08:30";"20.0";"721.4";"759.6";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"15.11.2017 17:30";"27.0";"717.5";"754.6";"";"64";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"15.11.2017 08:30";"18.4";"721.6";"760.0";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"14.11.2017 17:30";"26.4";"718.6";"755.8";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"14.11.2017 08:30";"15.2";"722.4";"761.3";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"13.11.2017 17:30";"24.0";"719.3";"756.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"13.11.2017 08:30";"13.0";"723.4";"762.7";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"12.11.2017 17:30";"24.0";"720.6";"758.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"12.11.2017 08:30";"13.0";"723.4";"762.7";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"11.11.2017 17:30";"24.0";"720.6";"758.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"11.11.2017 08:30";"14.0";"724.7";"763.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"10.11.2017 17:30";"24.0";"720.6";"758.3";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"10.11.2017 11:30";"14.0";"724.0";"763.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"10.11.2017 08:30";"14.0";"724.0";"763.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"09.11.2017 17:30";"25.0";"721.2";"758.8";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"09.11.2017 08:30";"16.0";"723.1";"762.0";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"08.11.2017 17:30";"26.0";"720.5";"757.9";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"08.11.2017 08:30";"17.0";"724.5";"763.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"07.11.2017 17:30";"27.0";"721.3";"758.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"07.11.2017 08:30";"18.0";"724.5";"763.2";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"722.2";"759.4";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"06.11.2017 08:30";"17.0";"724.5";"763.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"05.11.2017 17:30";"28.0";"721.6";"758.8";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"05.11.2017 08:30";"17.0";"724.5";"763.3";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"04.11.2017 17:30";"27.0";"720.5";"757.8";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"04.11.2017 08:30";"17.0";"723.8";"762.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"03.11.2017 17:30";"27.0";"720.5";"757.8";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"03.11.2017 08:30";"16.0";"723.8";"762.7";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"02.11.2017 17:30";"27.0";"720.6";"757.9";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"02.11.2017 08:30";"17.0";"724.5";"763.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"01.11.2017 17:30";"27.0";"721.2";"758.5";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
