# Weather station Sagar, India, WMO_ID=42671,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42671&lang=en
#
"Local time in Sagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.07.2017 20:30";"26.0";"704.8";"750.0";"1.5";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"15.07.2017 17:30";"28.0";"703.3";"748.1";"-0.7";"86";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"28.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.5";"";"";"";"";"";"";
"15.07.2017 14:30";"26.0";"704.0";"749.2";"-1.1";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"15.07.2017 11:30";"25.6";"705.1";"750.3";"0.0";"92";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.2";"";"";"";"";"";"";
"15.07.2017 08:30";"24.4";"705.1";"750.5";"1.2";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"4.0";"24.4";"";"";"";"";"";"";
"15.07.2017 05:30";"24.4";"703.9";"749.2";"0.3";"96";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"15.07.2017 02:30";"24.6";"703.6";"748.9";"-0.5";"95";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"14.07.2017 23:30";"25.0";"704.1";"749.4";"-0.1";"96";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"14.07.2017 20:30";"25.4";"704.2";"749.2";"1.8";"95";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"14.07.2017 17:30";"26.2";"702.4";"747.3";"-0.4";"90";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.8";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.5";"";"";"";"";"";"";
"14.07.2017 14:30";"28.0";"702.8";"747.6";"-1.2";"92";"Wind blowing from the south-west";"1";"";"";"50%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.6";"";"";"";"";"";"";
"14.07.2017 11:30";"24.6";"704.0";"749.3";"0.1";"100";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"14.07.2017 08:30";"24.2";"703.9";"749.2";"0.4";"98";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.9";"";"";"";"";"";"";
"14.07.2017 05:30";"23.6";"703.5";"748.5";"1.0";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"4.0";"23.6";"";"";"";"";"";"";
"14.07.2017 02:30";"24.0";"702.5";"747.9";"-0.8";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"13.07.2017 23:30";"24.0";"703.3";"748.8";"0.7";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"4.0";"24.0";"";"";"";"";"";"";
"13.07.2017 20:30";"24.0";"702.6";"748.0";"1.0";"100";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"13.07.2017 17:30";"24.4";"701.6";"746.8";"-0.8";"98";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"13.07.2017 14:30";"25.2";"702.4";"747.4";"-1.2";"98";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.9";"";"";"";"";"";"";
"13.07.2017 11:30";"24.0";"703.6";"749.1";"0.0";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"13.07.2017 08:30";"23.2";"703.6";"749.1";"0.3";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.2";"";"";"";"";"";"";
"13.07.2017 05:30";"23.4";"703.3";"748.8";"-0.6";"100";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.4";"";"";"";"";"";"";
"13.07.2017 02:30";"23.6";"703.9";"749.4";"-1.5";"100";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.6";"";"";"";"";"";"";
"12.07.2017 23:30";"23.2";"705.4";"750.9";"0.1";"100";"Wind blowing from the west";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
"12.07.2017 20:30";"23.2";"705.3";"750.8";"0.8";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
"12.07.2017 17:30";"23.4";"704.5";"750.1";"-0.6";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"25.3";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.4";"";"";"";"";"";"";
"12.07.2017 14:30";"25.0";"705.1";"750.4";"-1.3";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.7";"";"";"";"";"";"";
"12.07.2017 11:30";"24.6";"706.4";"751.9";"0.3";"96";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"12.07.2017 08:30";"24.6";"706.1";"751.6";"0.7";"92";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"23.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"10.0";"23.2";"";"";"";"";"";"";
"12.07.2017 05:30";"24.4";"705.4";"750.7";"0.0";"90";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"12.07.2017 02:30";"25.2";"705.4";"750.7";"-0.4";"82";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"11.07.2017 23:30";"27.8";"705.8";"750.8";"0.1";"66";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"11.07.2017 20:30";"28.4";"705.7";"750.4";"1.1";"71";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"11.07.2017 17:30";"30.0";"704.6";"749.2";"-1.1";"62";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"30.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.0";"";"";"";"";"";"";
"11.07.2017 14:30";"30.0";"705.7";"750.4";"-1.3";"68";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.5";"";"";"";"";"";"";
"11.07.2017 11:30";"29.4";"707.0";"751.8";"0.0";"75";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.4";"";"";"";"";"";"";
"11.07.2017 08:30";"25.4";"707.0";"752.4";"0.7";"89";"Wind blowing from the west";"1";"";"";"50%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"11.07.2017 05:30";"24.0";"706.3";"752.0";"0.6";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"4.0";"22.6";"";"";"";"";"";"";
"11.07.2017 02:30";"23.2";"705.7";"751.2";"-1.3";"98";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"10.07.2017 23:30";"23.0";"707.0";"752.8";"-0.4";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus translucidus.";"";"4.0";"22.7";"";"";"";"";"";"";
"10.07.2017 20:30";"23.2";"707.4";"753.1";"0.7";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.9";"";"";"";"";"";"";
"10.07.2017 17:30";"23.6";"706.7";"752.4";"-0.8";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"24.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"23.3";"";"";"";"";"";"";
"10.07.2017 14:30";"23.6";"707.5";"753.2";"-0.9";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.6";"";"";"";"";"";"";
"10.07.2017 11:30";"23.4";"708.4";"754.1";"0.3";"100";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.4";"";"";"";"";"";"";
"10.07.2017 08:30";"24.0";"708.1";"753.8";"1.2";"100";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"10.07.2017 05:30";"23.8";"706.9";"752.5";"0.4";"98";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"10.07.2017 02:30";"25.2";"706.5";"751.9";"-0.4";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"09.07.2017 23:30";"25.6";"706.9";"752.2";"0.5";"80";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"09.07.2017 20:30";"25.2";"706.4";"751.8";"1.0";"84";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"09.07.2017 17:30";"25.0";"705.4";"750.8";"-1.0";"92";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"09.07.2017 14:30";"26.0";"706.4";"751.8";"-1.2";"85";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.2";"";"";"";"";"";"";
"09.07.2017 11:30";"26.2";"707.6";"752.9";"1.1";"87";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.9";"";"";"";"";"";"";
"09.07.2017 08:30";"26.2";"706.5";"751.7";"1.1";"83";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"24.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.1";"";"";"";"";"";"";
"09.07.2017 05:30";"27.6";"705.4";"750.3";"0.0";"71";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"09.07.2017 02:30";"28.6";"705.4";"750.1";"-0.6";"68";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"08.07.2017 23:30";"29.6";"706.0";"750.7";"0.5";"67";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"08.07.2017 20:30";"31.0";"705.5";"750.0";"1.3";"58";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"08.07.2017 17:30";"34.0";"704.2";"748.2";"-1.2";"50";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"34.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.1";"";"";"";"";"";"";
"08.07.2017 14:30";"34.0";"705.4";"749.5";"-1.2";"50";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.1";"";"";"";"";"";"";
"08.07.2017 11:30";"32.6";"706.6";"750.8";"0.0";"58";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"08.07.2017 08:30";"28.0";"706.6";"751.6";"0.3";"71";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"24.7";"";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
"08.07.2017 05:30";"26.0";"706.3";"751.7";"0.5";"70";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"08.07.2017 02:30";"27.2";"705.8";"750.7";"-0.5";"63";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"07.07.2017 23:30";"28.0";"706.3";"751.3";"0.6";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"07.07.2017 20:30";"30.8";"705.7";"750.2";"1.1";"51";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"07.07.2017 17:30";"34.2";"704.6";"748.5";"-1.3";"41";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"35.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.2";"";"";"";"";"";"";
"07.07.2017 14:30";"34.4";"705.9";"749.8";"-1.0";"48";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"07.07.2017 11:30";"31.2";"706.9";"751.3";"-0.1";"68";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"07.07.2017 08:30";"28.0";"706.6";"751.6";"0.7";"71";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"24.7";"";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
