# Weather station Sundargarh, India, WMO_ID=42792,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42792&lang=en
#
"Local time in Sundargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.07.2017 08:30";"24.0";"731.1";"751.6";"";"83";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"4.0";"21.0";"";"";"";"";"";"";
"08.07.2017 17:30";"26.4";"731.2";"751.6";"";"66";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"19.6";"";"";"";"";"";"";
"08.07.2017 08:30";"25.0";"731.0";"751.5";"";"83";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"4.0";"22.0";"";"";"";"";"";"";
"07.07.2017 17:30";"26.0";"731.2";"751.6";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"07.07.2017 08:30";"24.4";"731.1";"751.6";"";"66";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"4.0";"17.6";"";"";"";"";"";"";
"06.07.2017 17:30";"27.2";"731.0";"751.3";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"06.07.2017 08:30";"24.0";"731.1";"751.6";"";"75";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"18.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"05.07.2017 17:30";"27.0";"731.0";"751.3";"";"70";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"05.07.2017 08:30";"25.2";"731.1";"751.6";"";"60";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"4.0";"16.8";"";"";"";"";"";"";
"04.07.2017 17:30";"28.0";"731.0";"751.3";"";"57";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"4.0";"18.7";"";"";"";"";"";"";
"04.07.2017 08:30";"24.4";"731.1";"751.6";"";"72";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"4.0";"19.1";"10.0";"6";"";"";"";"";
"03.07.2017 17:30";"27.2";"731.0";"751.3";"";"62";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.2";"";"";"";"";"";"";
"03.07.2017 08:30";"25.0";"731.0";"751.5";"";"68";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"02.07.2017 17:30";"27.0";"728.6";"748.9";"";"70";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"02.07.2017 08:30";"24.0";"725.8";"746.2";"";"76";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"4.0";"19.5";"";"";"";"";"";"";
"01.07.2017 17:30";"28.0";"728.4";"748.6";"";"63";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"20.4";"";"";"";"";"";"";
"01.07.2017 08:30";"26.0";"725.9";"746.2";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"30.06.2017 17:30";"36.0";"728.6";"748.3";"";"63";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"30.06.2017 08:30";"27.0";"733.2";"753.6";"";"70";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"29.06.2017 17:30";"35.4";"728.7";"748.4";"";"66";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.1";"";"";"";"";"";"";
"29.06.2017 08:30";"26.0";"733.2";"753.7";"";"69";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"28.06.2017 08:30";"26.4";"733.3";"753.7";"";"66";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"4.0";"19.6";"";"";"";"";"";"";
"27.06.2017 17:30";"36.0";"728.6";"748.3";"";"63";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"27.06.2017 08:30";"27.0";"725.9";"746.1";"";"70";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"26.06.2017 17:30";"35.4";"728.7";"748.4";"";"59";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"26.06.2017 08:30";"26.0";"733.2";"753.7";"";"69";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"25.06.2017 08:30";"25.2";"733.2";"753.7";"";"74";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"24.06.2017 17:30";"35.8";"728.7";"748.4";"";"64";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"24.06.2017 08:30";"25.8";"733.2";"753.7";"";"73";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.6";"";"";"";"";"";"";
"22.06.2017 17:30";"35.4";"728.7";"748.4";"";"66";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.1";"";"";"";"";"";"";
"22.06.2017 08:30";"26.0";"733.2";"753.7";"";"69";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"21.06.2017 17:30";"35.0";"728.7";"748.4";"";"68";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"21.06.2017 08:30";"27.4";"733.3";"753.7";"";"60";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"4.0";"19.0";"";"";"";"";"";"";
"20.06.2017 17:30";"36.0";"728.6";"748.3";"";"63";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"20.06.2017 08:30";"26.4";"733.3";"753.7";"";"66";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"19.06.2017 17:30";"35.8";"728.7";"748.4";"";"64";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"19.06.2017 08:30";"26.2";"726.0";"746.2";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"18.06.2017 17:30";"35.4";"728.7";"748.4";"";"66";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.1";"";"";"";"";"";"";
"18.06.2017 08:30";"26.0";"733.2";"753.7";"";"69";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"17.06.2017 17:30";"35.0";"728.7";"748.4";"";"68";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"17.06.2017 08:30";"25.8";"733.2";"753.7";"";"63";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"4.0";"18.2";"";"";"";"";"";"";
"16.06.2017 17:30";"34.2";"728.5";"748.3";"";"72";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"36.5";"";"";"600-1000";"";"";"4.0";"28.5";"";"";"";"";"";"";
"16.06.2017 08:30";"25.0";"733.2";"753.7";"";"76";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"19.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.4";"";"";"";"";"";"";
"15.06.2017 17:30";"34.0";"728.7";"748.5";"";"73";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.6";"";"";"";"";"";"";
"15.06.2017 08:30";"26.0";"733.2";"753.7";"";"69";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"19.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"14.06.2017 17:30";"34.6";"728.7";"748.5";"";"64";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.9";"";"";"";"";"";"";
"14.06.2017 08:30";"25.4";"733.2";"753.7";"";"66";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"4.0";"18.5";"";"";"";"";"";"";
"13.06.2017 17:30";"34.2";"728.5";"748.3";"";"72";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"13.06.2017 08:30";"25.0";"730.5";"751.0";"";"76";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.0";"";"";"";"600-1000";"";"";"4.0";"20.4";"";"";"";"";"";"";
"12.06.2017 17:30";"34.0";"728.7";"748.5";"";"73";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"36.0";"";"";"600-1000";"";"";"4.0";"28.6";"";"";"";"";"";"";
"12.06.2017 08:30";"26.0";"730.6";"751.0";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"11.06.2017 17:30";"35.0";"728.7";"748.4";"";"60";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.0";"";"";"600-1000";"";"";"2.0";"26.2";"";"";"";"";"";"";
"11.06.2017 08:30";"27.2";"730.6";"750.9";"";"69";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"10.06.2017 17:30";"36.2";"728.6";"748.3";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"10.06.2017 08:30";"28.0";"730.5";"750.7";"";"57";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"09.06.2017 17:30";"36.0";"728.6";"748.3";"";"63";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"09.06.2017 08:30";"27.0";"730.6";"750.9";"";"63";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"20.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"08.06.2017 17:30";"35.0";"728.5";"748.2";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"08.06.2017 08:30";"28.6";"730.5";"750.7";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"07.06.2017 17:30";"36.2";"728.6";"748.3";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"07.06.2017 08:30";"28.2";"730.5";"750.7";"";"56";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"4.0";"18.6";"";"";"";"";"";"";
"06.06.2017 17:30";"32.0";"728.4";"748.3";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.6";"";"";"";"";"";"";
"06.06.2017 08:30";"28.0";"730.5";"750.7";"";"57";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"4.0";"18.7";"";"";"";"";"";"";
"05.06.2017 17:30";"37.2";"727.8";"747.4";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"27.4";"";"";"";"";"";"";
"05.06.2017 08:30";"27.0";"730.6";"750.9";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"04.06.2017 17:30";"37.0";"728.7";"748.3";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.5";"";"";"";"";"";"";
"04.06.2017 08:30";"26.0";"730.6";"751.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"03.06.2017 17:30";"38.0";"728.8";"748.3";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.5";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"03.06.2017 08:30";"27.2";"730.6";"750.9";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"02.06.2017 17:30";"37.2";"728.7";"748.3";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"27.4";"";"";"";"";"";"";
"01.06.2017 17:30";"37.0";"728.7";"748.3";"";"58";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"01.06.2017 08:30";"26.0";"730.6";"751.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"31.05.2017 17:30";"36.0";"728.6";"748.3";"";"62";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.6";"";"";"";"";"";"";
"31.05.2017 08:30";"25.8";"730.6";"751.0";"";"70";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.0";"";"";"";"";"";"";
"30.05.2017 17:30";"35.0";"728.7";"748.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"28.2";"";"";"";"";"";"";
"30.05.2017 08:30";"26.0";"730.6";"751.0";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.5";"";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"29.05.2017 17:30";"36.2";"728.6";"748.3";"";"62";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"29.05.2017 08:30";"27.2";"730.6";"750.9";"";"69";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"28.05.2017 17:30";"36.0";"728.6";"748.3";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.6";"";"";"";"";"";"";
"28.05.2017 08:30";"27.0";"730.6";"750.9";"";"63";"Wind blowing from the east";"5";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"27.05.2017 17:30";"35.0";"728.7";"748.4";"";"68";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"26.05.2017 17:30";"38.4";"730.2";"749.8";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"26.9";"";"";"";"";"";"";
"26.05.2017 08:30";"29.0";"736.6";"756.9";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"";"21.6";"";"";"";"";"";"";
"25.05.2017 17:30";"39.4";"728.8";"748.3";"";"48";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"25.05.2017 08:30";"30.0";"736.5";"756.8";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"24.05.2017 17:30";"39.0";"728.8";"748.3";"";"50";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"42.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.7";"";"";"";"";"";"";
"24.05.2017 08:30";"29.0";"736.6";"756.9";"";"64";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"23.05.2017 17:30";"38.4";"728.8";"748.3";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"26.9";"";"";"";"";"";"";
"23.05.2017 08:30";"28.0";"736.6";"757.0";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"22.05.2017 17:30";"38.0";"728.8";"748.3";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"22.05.2017 08:30";"27.0";"736.4";"756.9";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"21.05.2017 17:30";"37.2";"728.7";"748.3";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"27.4";"";"";"";"";"";"";
"21.05.2017 08:30";"26.0";"736.5";"757.1";"";"62";"";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"20.05.2017 17:30";"36.0";"728.6";"748.3";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"20.05.2017 08:30";"25.0";"736.6";"757.2";"";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"19.05.2017 17:30";"37.0";"728.7";"748.3";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.5";"";"";"";"";"";"";
"19.05.2017 08:30";"26.0";"736.5";"757.1";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"18.05.2017 17:30";"38.0";"727.4";"746.9";"";"54";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"42.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.1";"";"";"";"";"";"";
"18.05.2017 08:30";"27.0";"734.8";"755.2";"";"63";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"17.05.2017 17:30";"39.8";"727.5";"746.9";"";"47";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"43.5";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"17.05.2017 08:30";"28.2";"734.6";"754.9";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"16.05.2017 17:30";"39.4";"727.5";"746.9";"";"48";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"16.05.2017 08:30";"28.0";"731.9";"752.2";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"15.05.2017 17:30";"40.0";"728.9";"748.3";"";"46";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"15.05.2017 08:30";"27.4";"731.9";"752.2";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"14.05.2017 17:30";"39.0";"728.9";"748.4";"";"50";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"14.05.2017 08:30";"27.0";"731.8";"752.2";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"13.05.2017 17:30";"38.4";"729.0";"748.5";"";"52";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"40.5";"";"";"";"";"";"4.0";"26.9";"";"";"";"";"";"";
"13.05.2017 08:30";"26.4";"732.3";"752.7";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"12.05.2017 17:30";"38.0";"733.5";"753.2";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"12.05.2017 08:30";"26.0";"732.3";"752.7";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"11.05.2017 17:30";"37.0";"733.4";"753.1";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"27.5";"";"";"";"";"";"";
"11.05.2017 08:30";"27.4";"732.3";"752.6";"";"67";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"10.05.2017 17:30";"36.4";"733.4";"753.2";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"27.7";"";"";"";"";"";"";
"10.05.2017 08:30";"27.0";"732.2";"752.6";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"09.05.2017 17:30";"36.2";"733.4";"753.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"09.05.2017 08:30";"28.0";"732.2";"752.5";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"08.05.2017 17:30";"35.0";"733.4";"753.3";"";"68";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"08.05.2017 08:30";"27.2";"732.5";"752.9";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"07.05.2017 17:30";"36.0";"733.4";"753.2";"";"44";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"07.05.2017 08:30";"27.0";"732.5";"752.9";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"06.05.2017 17:30";"35.0";"733.4";"753.3";"";"68";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"37.0";"";"";"600-1000";"";"";"4.0";"28.2";"";"";"";"";"";"";
"06.05.2017 08:30";"28.0";"732.2";"752.5";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"05.05.2017 17:30";"33.0";"733.2";"753.2";"0.6";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"05.05.2017 14:30";"27.4";"732.6";"752.9";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
