# Weather station Rajnandgaon, India, WMO_ID=42948,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42948&lang=en
#
"Local time in Rajnandgaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 08:30";"14.0";"735.1";"764.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.2";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"24.12.2017 17:30";"27.2";"732.3";"760.3";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"24.12.2017 08:30";"14.2";"734.5";"763.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"23.12.2017 17:30";"26.2";"733.9";"762.1";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"23.12.2017 08:30";"14.8";"734.4";"763.7";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"1.0";"13.2";"";"";"";"";"";"";
"22.12.2017 17:30";"26.2";"734.0";"762.2";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"22.12.2017 08:30";"12.2";"736.9";"766.6";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"21.12.2017 17:30";"27.6";"734.9";"763.0";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"21.12.2017 08:30";"13.2";"736.1";"765.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"20.12.2017 17:30";"27.6";"734.9";"763.0";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"20.12.2017 08:30";"13.2";"736.8";"766.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"19.12.2017 17:30";"27.2";"734.9";"763.0";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"3.7";"";"";"";"";"";"";
"19.12.2017 08:30";"15.2";"735.9";"765.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"18.12.2017 08:30";"16.2";"733.8";"763.0";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"17.12.2017 08:30";"16.2";"734.5";"763.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"16.12.2017 17:30";"27.8";"732.7";"760.7";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"16.12.2017 08:30";"16.0";"735.7";"764.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"15.12.2017 08:30";"16.0";"735.3";"764.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"14.12.2017 17:30";"26.2";"732.6";"760.7";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"14.12.2017 08:30";"16.2";"735.3";"764.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.2";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"13.12.2017 17:30";"24.2";"733.2";"761.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"13.12.2017 08:30";"16.8";"735.3";"764.5";"";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"";"";"";"";"";"2.0";"13.2";"";"";"";"";"";"";
"12.12.2017 17:30";"24.0";"732.4";"760.7";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"12.12.2017 08:30";"13.0";"";"764.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"11.12.2017 17:30";"23.6";"";"759.2";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"11.12.2017 08:30";"13.2";"";"763.7";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"10.12.2017 17:30";"27.2";"";"758.5";"";"23";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"4.0";"";"";"";"";"";"";
"10.12.2017 08:30";"17.2";"";"762.7";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"09.12.2017 17:30";"28.2";"";"758.9";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"09.12.2017 08:30";"18.2";"";"762.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.8";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"08.12.2017 08:30";"19.0";"";"762.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.2";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"07.12.2017 17:30";"28.6";"";"759.1";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"07.12.2017 08:30";"16.0";"";"762.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.4";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"06.12.2017 20:30";"28.0";"";"759.1";"";"37";"";"";"";"";"";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.0";"";"";"";"";"";"";
"06.12.2017 17:30";"28.0";"";"759.1";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"06.12.2017 08:30";"15.6";"";"761.9";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"05.12.2017 17:30";"27.6";"";"760.6";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"05.12.2017 08:30";"16.2";"734.4";"763.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"04.12.2017 17:30";"27.8";"732.1";"760.0";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"04.12.2017 08:30";"16.0";"734.5";"763.7";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"03.12.2017 17:30";"27.2";"732.7";"760.7";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"03.12.2017 08:30";"16.0";"735.8";"765.1";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"02.12.2017 17:30";"27.2";"732.6";"760.6";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"02.12.2017 08:30";"16.6";"735.0";"764.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"01.12.2017 17:30";"25.2";"731.9";"760.1";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"01.12.2017 08:30";"17.1";"734.5";"763.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"30.11.2017 17:30";"25.4";"731.8";"760.0";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"27.11.2017 17:30";"25.8";"730.4";"758.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"27.11.2017 08:30";"16.0";"735.0";"764.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"26.11.2017 17:30";"25.2";"731.8";"760.0";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"26.11.2017 08:30";"17.0";"736.2";"765.4";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"25.11.2017 17:30";"25.4";"731.8";"760.0";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"25.11.2017 08:30";"17.0";"734.8";"763.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"24.11.2017 17:30";"26.0";"730.4";"758.5";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"24.11.2017 08:30";"20.0";"730.0";"758.6";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"23.11.2017 17:30";"27.0";"730.7";"758.7";"";"64";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.6";"";"";"";"";"";"";
"23.11.2017 08:30";"22.0";"731.6";"760.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"22.11.2017 08:30";"20.0";"731.3";"760.0";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"21.11.2017 17:30";"26.0";"731.6";"759.7";"";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.2";"";"";"";"";"";"";
"21.11.2017 08:30";"";"";"760.0";"";"";"Wind blowing from the north-northeast";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"20.11.2017 17:30";"26.0";"730.3";"758.3";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"20.11.2017 08:30";"22.0";"731.5";"760.0";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.2";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"730.0";"757.9";"";"64";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.6";"";"";"";"";"";"";
"19.11.2017 08:30";"22.0";"731.6";"760.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"18.11.2017 17:30";"26.2";"728.3";"756.2";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"18.11.2017 08:30";"21.2";"730.0";"758.5";"";"89";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.3";"";"";"";"";"";"";
"17.11.2017 08:30";"21.8";"730.1";"758.5";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.3";"";"";"";"";"";"";
"16.11.2017 17:30";"26.2";"728.2";"756.1";"";"54";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.1";"";"";"";"";"";"";
"16.11.2017 08:30";"21.8";"730.5";"759.0";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"15.11.2017 17:30";"26.4";"728.3";"756.2";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.1";"";"";"";"";"";"";
"15.11.2017 08:30";"20.0";"733.4";"762.2";"";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"14.11.2017 17:30";"26.0";"728.6";"756.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"14.11.2017 08:30";"20.0";"732.8";"761.5";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"13.11.2017 17:30";"26.2";"728.2";"756.1";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"13.11.2017 08:30";"21.0";"733.5";"762.2";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"12.11.2017 17:30";"26.8";"731.1";"759.1";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"12.11.2017 08:30";"20.0";"732.8";"761.5";"";"89";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"11.11.2017 17:30";"26.8";"729.7";"757.6";"";"49";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.3";"";"";"";"";"";"";
"11.11.2017 08:30";"22.0";"733.6";"762.2";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"10.11.2017 17:30";"27.2";"732.7";"760.7";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.4";"";"";"";"";"";"";
"10.11.2017 11:30";"22.0";"733.0";"761.5";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"18.0";"";"";"";"";"";"";
"10.11.2017 08:30";"22.0";"733.0";"761.5";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.0";"";"";"";"";"";"";
"09.11.2017 08:30";"20.0";"733.1";"761.8";"";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.7";"";"";"";"";"";"";
"08.11.2017 08:30";"22.2";"729.3";"757.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"07.11.2017 17:30";"27.2";"730.1";"758.0";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"07.11.2017 08:30";"22.0";"729.2";"757.6";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.8";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"06.11.2017 17:30";"28.2";"729.9";"757.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"06.11.2017 08:30";"23.2";"729.4";"757.7";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"05.11.2017 17:30";"27.2";"730.0";"757.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"05.11.2017 08:30";"23.2";"729.3";"757.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"04.11.2017 17:30";"27.2";"730.0";"757.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"04.11.2017 08:30";"24.0";"729.5";"757.7";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"03.11.2017 08:30";"23.0";"729.3";"757.6";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"02.11.2017 17:30";"26.0";"730.0";"758.0";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.7";"";"";"";"";"";"";
"02.11.2017 08:30";"23.2";"729.3";"757.6";"";"94";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"01.11.2017 17:30";"27.2";"729.9";"757.8";"";"55";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"31.10.2017 17:30";"27.9";"729.9";"757.8";"";"39";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.7";"";"";"";"";"";"";
