# Weather station Santiniketan, India, WMO_ID=42708,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42708&lang=en
#
"Local time in Santiniketan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.06.2017 14:30";"35.6";"742.4";"747.3";"-1.0";"56";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.6";"";"";"";"";"";"";
"12.06.2017 11:30";"34.8";"743.4";"748.3";"-0.6";"60";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.9";"";"";"";"";"";"";
"12.06.2017 08:30";"31.4";"744.0";"748.9";"";"73";"Wind blowing from the north-northwest";"1";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.1";"";"";"";"";"";"";
"11.06.2017 17:30";"31.0";"742.1";"747.0";"-0.9";"78";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"36.8";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.8";"";"";"";"";"";"";
"11.06.2017 14:30";"28.2";"743.0";"748.0";"-1.5";"89";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"11.06.2017 11:30";"34.8";"744.5";"749.4";"-0.8";"62";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.5";"";"";"";"";"";"";
"11.06.2017 08:30";"32.4";"745.3";"750.2";"";"70";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"27.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.3";"";"";"";"";"";"";
"10.06.2017 17:30";"35.0";"743.7";"748.6";"-0.9";"60";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"36.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.1";"";"";"";"";"";"";
"10.06.2017 14:30";"35.0";"744.6";"749.5";"-1.7";"61";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.4";"";"";"";"";"";"";
"10.06.2017 11:30";"34.6";"746.3";"751.2";"-0.7";"59";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"10.06.2017 08:30";"31.8";"747.0";"752.0";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.8";"";"";"";"";"";"";
"09.06.2017 17:30";"29.6";"744.4";"749.4";"-0.2";"78";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"36.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"09.06.2017 14:30";"36.0";"744.6";"749.5";"-2.2";"59";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.9";"";"";"";"";"";"";
"09.06.2017 11:30";"34.6";"746.8";"751.7";"-0.7";"62";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.3";"";"";"";"";"";"";
"09.06.2017 08:30";"32.4";"747.5";"752.4";"";"73";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.9";"";"";"";"";"";"";
"08.06.2017 17:30";"35.0";"745.0";"749.9";"-0.3";"61";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"37.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.4";"";"";"";"";"";"";
"08.06.2017 14:30";"37.8";"745.3";"750.1";"-1.9";"51";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.9";"";"";"";"";"";"";
"08.06.2017 11:30";"36.0";"747.2";"752.1";"-1.0";"56";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.0";"";"";"";"";"";"";
"08.06.2017 08:30";"32.0";"748.2";"753.2";"";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.8";"";"";"";"";"";"";
"07.06.2017 17:30";"34.4";"745.7";"750.6";"-1.2";"67";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"35.6";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.3";"";"";"";"";"";"";
"07.06.2017 14:30";"34.8";"746.9";"751.8";"-2.1";"67";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.7";"";"";"";"";"";"";
"07.06.2017 11:30";"34.2";"749.0";"753.9";"-0.3";"66";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.1";"";"";"";"";"";"";
"07.06.2017 08:30";"31.8";"749.3";"754.3";"";"74";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"06.06.2017 17:30";"33.0";"746.7";"751.6";"-0.3";"69";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.6";"";"";"";"";"";"";
"06.06.2017 14:30";"35.0";"747.0";"751.9";"-1.2";"64";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"06.06.2017 11:30";"33.0";"748.2";"753.1";"-0.7";"69";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.6";"";"";"";"";"";"";
"06.06.2017 08:30";"29.6";"748.9";"753.9";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"24.8";"";"";"";"";"";"";
"05.06.2017 17:30";"27.2";"744.4";"749.4";"-0.1";"83";"Wind blowing from the east";"1";"";"";"100%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"34.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"24.0";"";"";"";"";"";"";
"05.06.2017 14:30";"25.4";"744.5";"749.5";"-1.1";"90";"Wind blowing from the south";"1";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"23.7";"";"";"";"";"";"";
"05.06.2017 11:30";"34.5";"745.6";"750.5";"-0.5";"74";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.1";"";"";"";"";"";"";
"05.06.2017 08:30";"32.2";"746.1";"751.0";"";"82";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"29.7";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.7";"";"";"";"";"";"";
"04.06.2017 17:30";"36.6";"742.5";"747.3";"-0.4";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"39.5";"";"";"";"";"";"10.0";"29.1";"";"";"";"";"";"";
"04.06.2017 14:30";"38.8";"742.9";"747.7";"-1.6";"55";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"28.2";"";"";"";"";"";"";
"04.06.2017 11:30";"36.4";"744.5";"749.4";"-1.4";"61";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"27.7";"";"";"";"";"";"";
"04.06.2017 08:30";"32.8";"745.9";"750.8";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"27.1";"";"";"";"";"";"";"10.0";"28.5";"";"";"";"";"";"";
"03.06.2017 17:30";"35.4";"743.6";"748.5";"-1.1";"66";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"37.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.1";"";"";"";"";"";"";
"03.06.2017 14:30";"37.0";"744.7";"749.6";"-1.8";"61";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"28.2";"";"";"";"";"";"";
"03.06.2017 11:30";"35.0";"746.5";"751.4";"-1.1";"71";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"28.9";"";"";"";"";"";"";
"03.06.2017 08:30";"30.8";"747.6";"752.6";"";"81";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.2";"";"";"";"";"";"";
"02.06.2017 17:30";"26.0";"744.1";"749.1";"-1.4";"92";"Calm, no wind";"0";"";"";"100%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.2";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"02.06.2017 14:30";"37.2";"745.5";"750.4";"-0.7";"57";"Wind blowing from the south-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.4";"";"";"";"";"";"";
"02.06.2017 11:30";"34.8";"746.2";"751.1";"-1.4";"62";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"02.06.2017 08:30";"31.8";"747.6";"752.6";"";"76";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"26.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.1";"";"";"";"";"";"";
"01.06.2017 17:30";"31.0";"744.5";"749.5";"0.5";"76";"Wind blowing from the west-northwest";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"26.3";"";"";"";"";"";"";
"01.06.2017 14:30";"37.0";"744.0";"748.9";"-1.9";"54";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.2";"";"";"";"";"";"";
"01.06.2017 11:30";"35.2";"745.9";"750.8";"-0.6";"65";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.6";"";"";"";"";"";"";
"01.06.2017 08:30";"31.6";"746.5";"751.5";"";"78";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.2";"";"";"";"";"";"";
"31.05.2017 17:30";"33.6";"745.2";"750.1";"-0.2";"72";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.9";"";"";"";"";"";"";
"31.05.2017 14:30";"34.2";"745.4";"750.3";"-1.3";"68";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"31.05.2017 11:30";"33.2";"746.7";"751.6";"-0.2";"67";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.3";"";"";"";"";"";"";
"31.05.2017 08:30";"30.4";"746.9";"751.9";"";"76";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"25.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.6";"";"";"";"";"";"";
"30.05.2017 17:30";"29.2";"742.6";"747.6";"0.2";"79";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.2";"";"";"";"";"";"";
"30.05.2017 14:30";"31.2";"742.4";"747.3";"-1.0";"71";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.3";"";"";"";"";"";"";
"30.05.2017 11:30";"34.0";"743.4";"748.3";"-0.7";"62";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.6";"";"";"";"";"";"";
"30.05.2017 08:30";"30.8";"744.1";"749.1";"";"73";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"29.05.2017 17:30";"34.2";"742.7";"747.6";"-1.0";"68";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"35.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.4";"";"";"";"";"";"";
"29.05.2017 14:30";"35.2";"743.7";"748.6";"-1.8";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.6";"";"";"";"";"";"";
"29.05.2017 11:30";"33.4";"745.5";"750.4";"-0.9";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.9";"";"";"";"";"";"";
"29.05.2017 08:30";"29.6";"746.4";"751.4";"";"72";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"23.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"28.05.2017 17:30";"34.2";"745.1";"750.0";"0.4";"66";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"36.3";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.1";"";"";"";"";"";"";
"28.05.2017 14:30";"36.2";"744.7";"749.6";"-2.2";"53";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.3";"";"";"";"";"";"";
"28.05.2017 11:30";"35.0";"746.9";"751.8";"-1.2";"68";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.2";"";"";"";"";"";"";
"28.05.2017 08:30";"32.2";"748.1";"753.1";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"27.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.5";"";"";"";"";"";"";
"27.05.2017 17:30";"33.4";"746.3";"751.2";"-0.5";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.5";"";"";"";"";"";"";
"27.05.2017 14:30";"34.0";"746.8";"751.7";"-1.9";"58";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"27.05.2017 11:30";"32.2";"748.7";"753.7";"-1.2";"64";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.5";"";"";"";"";"";"";
"27.05.2017 08:30";"28.0";"749.9";"754.9";"";"80";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"22.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.3";"";"";"";"";"";"";
"26.05.2017 17:30";"23.2";"749.2";"754.3";"3.6";"96";"Wind blowing from the south-west";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"36.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"22.6";"";"";"";"";"";"";
"26.05.2017 14:30";"35.8";"745.6";"750.5";"";"56";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"25.8";"";"";"";"";"";"";
"26.05.2017 11:30";"35.0";"747.9";"752.8";"";"60";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"26.1";"";"";"";"";"";"";
"26.05.2017 08:30";"31.2";"748.3";"753.3";"";"77";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"26.8";"";"";"";"";"";"";
"25.05.2017 17:30";"35.6";"746.2";"751.1";"0.5";"61";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"38.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"25.05.2017 14:30";"38.2";"745.7";"750.5";"-2.0";"53";"Wind blowing from the south-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.0";"";"";"";"";"";"";
"25.05.2017 11:30";"36.6";"747.7";"752.6";"-0.5";"52";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"25.05.2017 08:30";"31.6";"748.2";"753.2";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"24.05.2017 17:30";"35.0";"745.6";"750.5";"-1.3";"67";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.9";"";"";"";"";"";"10.0";"27.9";"";"";"";"";"";"";
"24.05.2017 14:30";"36.2";"746.9";"751.8";"-1.3";"59";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.9";"";"";"";"";"";"";
"24.05.2017 11:30";"34.2";"748.2";"753.1";"-0.9";"68";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.4";"";"";"";"";"";"";
