# Weather station Pilani, India, WMO_ID=42174,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42174&lang=en
#
"Local time in Pilani";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.07.2017 08:30";"30.4";"725.9";"750.9";"";"81";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"27.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"17.07.2017 17:30";"31.4";"723.6";"748.4";"";"70";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"17.07.2017 08:30";"31.8";"725.5";"750.4";"";"75";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"27.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"16.07.2017 17:30";"29.2";"723.0";"748.0";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"16.07.2017 08:30";"29.6";"725.5";"750.6";"";"85";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"28.1";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"15.07.2017 17:30";"35.8";"722.5";"746.9";"";"50";"Wind blowing from the south-southeast";"2";"";"";"50%.";" ";"";"";"";"36.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"15.07.2017 08:30";"30.8";"725.8";"750.8";"";"77";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"27.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"14.07.2017 17:30";"34.6";"723.2";"747.8";"";"57";"Wind blowing from the east-northeast";"2";"";"";"50%.";" ";"";"";"";"35.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"14.07.2017 08:30";"29.8";"725.9";"751.0";"";"77";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"27.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"13.07.2017 17:30";"33.8";"723.6";"748.3";"";"59";"Wind blowing from the east-southeast";"2";"";"";"50%.";" ";"";"";"";"34.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"13.07.2017 08:30";"30.2";"726.6";"751.6";"";"78";"Wind blowing from the east-southeast";"1";"";"";"50%.";" ";"";"";"27.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"12.07.2017 17:30";"30.8";"724.9";"749.8";"";"77";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"12.07.2017 08:30";"29.8";"726.2";"751.3";"";"73";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"28.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"11.07.2017 17:30";"36.8";"723.3";"747.7";"";"47";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"36.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"11.07.2017 08:30";"30.8";"725.7";"750.7";"";"64";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"29.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"10.07.2017 17:30";"37.2";"723.7";"748.1";"";"43";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"";"38.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"09.07.2017 17:30";"39.2";"723.5";"747.7";"";"37";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"39.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"09.07.2017 08:30";"32.4";"726.1";"750.9";"";"56";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.7";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"08.07.2017 08:30";"30.6";"726.6";"751.6";"";"67";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"27.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"07.07.2017 17:30";"35.8";"724.3";"748.8";"";"53";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"37.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"07.07.2017 08:30";"31.4";"726.3";"751.2";"";"64";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"06.07.2017 17:30";"35.4";"722.6";"747.1";"";"51";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"37.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"06.07.2017 08:30";"31.2";"724.9";"749.8";"";"63";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"28.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"05.07.2017 17:30";"36.4";"722.3";"746.7";"";"47";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"36.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"05.07.2017 08:30";"30.4";"724.1";"749.0";"";"74";"Wind blowing from the west-southwest";"3";"";"";"50%.";" ";"";"";"28.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"04.07.2017 17:30";"36.8";"720.6";"744.9";"";"53";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"37.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"04.07.2017 08:30";"30.8";"723.4";"748.3";"";"73";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"27.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"03.07.2017 17:30";"36.2";"721.2";"745.6";"";"52";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"36.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"03.07.2017 08:30";"29.6";"724.2";"749.2";"";"71";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"25.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"02.07.2017 17:30";"30.2";"721.9";"746.8";"";"76";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"30.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"02.07.2017 08:30";"29.4";"722.9";"747.9";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"27.1";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"01.07.2017 17:30";"30.2";"720.4";"745.2";"";"80";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"01.07.2017 08:30";"28.8";"723.0";"748.0";"";"85";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"30.06.2017 17:30";"27.0";"721.5";"746.6";"";"82";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"32.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"30.06.2017 08:30";"28.8";"723.1";"748.1";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"26.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"29.06.2017 17:30";"29.2";"";"";"";"70";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"29.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"29.06.2017 08:30";"28.2";"724.9";"750.1";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"28.06.2017 17:30";"16.2";"724.2";"750.4";"";"94";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"29.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.2";"";"";"";"";"";"";
"28.06.2017 08:30";"27.4";"724.9";"750.1";"";"83";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"24.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"27.06.2017 17:30";"31.4";"722.6";"747.4";"";"76";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"40.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"27.06.2017 08:30";"34.8";"720.0";"744.4";"";"62";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"30.1";"";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"26.06.2017 17:30";"38.8";"721.7";"745.9";"";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"39.2";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"26.06.2017 08:30";"32.4";"725.0";"749.8";"";"64";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"30.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"25.06.2017 17:30";"39.8";"721.3";"745.4";"";"33";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"40.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"25.06.2017 08:30";"34.4";"723.9";"748.5";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.8";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"24.06.2017 17:30";"37.8";"721.3";"745.5";"";"42";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"38.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"24.06.2017 08:30";"31.6";"724.5";"749.4";"";"68";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.3";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"23.06.2017 17:30";"29.8";"724.2";"749.2";"";"69";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"35.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"23.06.2017 08:30";"31.8";"726.3";"751.2";"";"59";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"20.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"22.06.2017 17:30";"31.4";"719.2";"743.9";"";"68";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"21.06.2017 17:30";"34.8";"723.6";"748.2";"";"44";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"35.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"21.06.2017 08:30";"28.4";"725.0";"750.1";"";"73";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"20.06.2017 17:30";"35.8";"721.9";"746.3";"";"52";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"37.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"20.06.2017 08:30";"25.2";"726.4";"751.9";"";"84";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"24.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"19.06.2017 17:30";"39.4";"722.9";"747.1";"";"36";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"39.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"18.06.2017 17:30";"32.8";"722.8";"747.5";"";"56";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"18.06.2017 08:30";"28.8";"725.6";"750.7";"";"74";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"22.9";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"17.06.2017 17:30";"25.6";"728.2";"753.7";"";"81";"Wind blowing from the north-east";"17";"";"";"60%.";" ";"";"";"";"34.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"17.06.2017 08:30";"30.6";"725.7";"750.7";"";"63";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"26.9";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"16.06.2017 17:30";"35.2";"723.5";"748.0";"";"45";"Wind blowing from the east-northeast";"2";"";"";"40%.";" ";"";"";"";"35.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"16.06.2017 08:30";"26.8";"719.3";"744.4";"";"69";"Wind blowing from the east-southeast";"3";"";"";"60%.";" ";"";"";"23.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"15.06.2017 17:30";"38.8";"723.5";"747.7";"";"40";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"15.06.2017 08:30";"30.2";"727.4";"752.5";"";"63";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"23.1";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"14.06.2017 17:30";"23.8";"727.5";"753.1";"";"98";"Wind blowing from the south-southwest";"1";"";"";"60%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"41.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"14.06.2017 08:30";"35.4";"725.8";"750.4";"";"49";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"13.06.2017 17:30";"40.2";"722.4";"746.5";"";"24";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"41.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"13.06.2017 08:30";"31.8";"726.1";"751.0";"";"49";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"26.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"12.06.2017 17:30";"39.6";"722.1";"746.2";"";"28";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"40.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"12.06.2017 08:30";"32.4";"725.6";"750.4";"";"48";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.7";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"11.06.2017 17:30";"35.8";"723.9";"748.4";"";"33";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"11.06.2017 08:30";"26.4";"726.9";"752.3";"";"69";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"21.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
