# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.11.2017 08:30";"9.4";"725.1";"763.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.0";"";"";"";"";"";"";"4.0";"1.5";"";"";"";"";"";"";
"24.11.2017 17:30";"22.0";"723.0";"759.8";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"24.11.2017 08:30";"9.6";"723.9";"762.4";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.5";"";"";"";"";"";"";"4.0";"1.4";"";"";"";"";"";"";
"23.11.2017 17:30";"21.0";"722.4";"759.3";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"2.8";"";"";"";"";"";"";
"23.11.2017 08:30";"10.0";"723.7";"762.1";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.0";"";"";"";"";"";"";"4.0";"2.5";"";"";"";"";"";"";
"22.11.2017 17:30";"20.0";"725.6";"762.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"22.11.2017 08:30";"9.2";"724.4";"763.0";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"2.1";"";"";"";"";"";"";
"21.11.2017 17:30";"20.0";"722.8";"759.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"21.11.2017 08:30";"9.2";"725.2";"763.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"2.1";"";"";"";"";"";"";
"20.11.2017 17:30";"20.0";"723.7";"760.8";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"3.0";"";"";"";"";"";"";
