# Weather station Majbat, India, WMO_ID=42413,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42413&lang=en
#
"Local time in Majbat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.06.2017 17:30";"28.0";"";"755.7";"";"72";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"05.06.2017 08:30";"28.8";"";"758.4";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.8";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.6";"";"";"";"";"";"";
"04.06.2017 17:30";"27.8";"";"755.8";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"03.06.2017 17:30";"25.4";"";"755.8";"";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.7";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"03.06.2017 08:30";"25.4";"";"759.1";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"01.06.2017 17:30";"28.0";"";"755.4";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.7";"";"";"";"";"";"";
"01.06.2017 08:30";"26.8";"";"758.9";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.0";"";"";"";"";"";"";
"31.05.2017 17:30";"29.2";"";"755.5";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"30.05.2017 17:30";"24.6";"";"755.9";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"26.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.0";"";"";"";"";"";"";
"30.05.2017 08:30";"26.2";"749.1";"759.4";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.5";"";"";"";"";"";"";
"29.05.2017 08:30";"30.8";"749.2";"759.4";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"28.05.2017 17:30";"32.0";"745.7";"755.8";"";"63";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.9";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"28.05.2017 08:30";"29.8";"749.2";"759.4";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"23.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"27.05.2017 17:30";"29.4";"745.8";"756.0";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"27.05.2017 08:30";"28.4";"749.4";"759.7";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"24.05.2017 17:30";"28.6";"745.9";"756.1";"";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"24.05.2017 08:30";"25.4";"749.3";"759.7";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.3";"";"";"";"";"";"";
"23.05.2017 08:30";"26.8";"749.4";"759.7";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"22.05.2017 08:30";"27.0";"749.5";"759.8";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.4";"";"";"";"";"";"";
"21.05.2017 17:30";"30.0";"745.4";"755.5";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"21.05.2017 08:30";"25.2";"749.8";"760.2";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.5";"";"";"";"";"";"";
"20.05.2017 17:30";"30.2";"745.1";"755.2";"";"72";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"24.6";"";"";"";"";"";"";
"20.05.2017 08:30";"28.0";"749.4";"759.7";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"19.05.2017 17:30";"30.0";"745.2";"755.3";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"19.05.2017 08:30";"25.8";"749.6";"759.9";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.7";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.2";"";"";"";"";"";"";
"18.05.2017 08:30";"25.6";"";"";"";"";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"";"";"";"";"";"";"";
"17.05.2017 17:30";"31.0";"745.4";"755.5";"";"64";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"35.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"17.05.2017 08:30";"28.2";"749.4";"759.7";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"23.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"16.05.2017 17:30";"28.2";"745.8";"756.0";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"16.05.2017 08:30";"25.0";"749.8";"760.2";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.4";"";"";"";"";"";"";
"15.05.2017 08:30";"28.0";"750.0";"760.3";"";"70";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
"14.05.2017 17:30";"28.8";"745.8";"756.0";"";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"14.05.2017 08:30";"26.2";"750.0";"760.3";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"13.05.2017 17:30";"31.4";"745.7";"755.8";"";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"35.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"12.05.2017 17:30";"30.8";"746.0";"756.1";"";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"34.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"12.05.2017 08:30";"28.8";"750.1";"760.4";"";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"11.05.2017 17:30";"28.0";"745.8";"756.0";"";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.4";"";"";"";"";"";"";
"11.05.2017 08:30";"27.2";"750.0";"760.3";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.5";"";"";"";"";"";"";
"10.05.2017 17:30";"26.2";"745.6";"755.9";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"10.05.2017 08:30";"25.4";"749.7";"760.1";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.2";"";"";"";"";"";"";
"09.05.2017 17:30";"26.8";"745.5";"755.8";"";"68";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.4";"";"";"";"";"";"";
"09.05.2017 08:30";"28.0";"749.7";"760.0";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.1";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"08.05.2017 17:30";"27.8";"745.7";"755.9";"";"67";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"08.05.2017 08:30";"26.2";"750.0";"760.3";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.6";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.1";"";"";"";"";"";"";
"07.05.2017 08:30";"25.6";"750.5";"760.9";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"06.05.2017 17:30";"25.6";"746.1";"756.4";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"27.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.4";"";"";"";"";"";"";
"06.05.2017 08:30";"22.8";"750.3";"760.8";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"05.05.2017 17:30";"22.2";"746.2";"756.6";"";"96";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.6";"";"";"";"";"";"";
"05.05.2017 08:30";"23.2";"750.1";"760.5";"";"93";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"";"";"21.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"04.05.2017 17:30";"26.4";"746.0";"756.3";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.6";"";"";"";"";"";"";
"04.05.2017 08:30";"23.4";"750.2";"760.6";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.9";"";"";"";"";"";"";
"03.05.2017 17:30";"26.0";"746.3";"756.6";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"03.05.2017 08:30";"21.8";"750.0";"760.5";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.9";"";"";"";"";"";"";
"02.05.2017 17:30";"30.0";"746.2";"756.4";"";"59";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"01.05.2017 17:30";"25.8";"745.9";"756.2";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.0";"";"";"";"";"";"";
"01.05.2017 08:30";"22.8";"749.9";"760.4";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"19.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"30.04.2017 17:30";"28.8";"745.6";"755.8";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.8";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.5";"";"";"";"";"";"";
"30.04.2017 08:30";"22.6";"750.1";"760.6";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"19.8";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"19.2";"";"";"";"";"";"";
"29.04.2017 17:30";"26.0";"745.8";"756.1";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"26.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"28.04.2017 17:30";"26.4";"745.8";"756.1";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.6";"";"";"";"";"";"";
"28.04.2017 08:30";"24.2";"750.1";"760.5";"";"78";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.2";"";"";"";"";"";"";
"27.04.2017 17:30";"26.8";"746.1";"756.4";"";"68";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.3";"";"";"";"";"";"";
"27.04.2017 08:30";"26.2";"750.3";"760.6";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.3";"";"";"";"";"";"";
"25.04.2017 17:30";"20.2";"745.6";"756.1";"";"100";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"";"";"";"25.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.2";"";"";"";"";"";"";
"24.04.2017 17:30";"26.0";"745.8";"756.1";"";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"24.04.2017 08:30";"24.6";"750.4";"760.8";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.5";"";"";"";"";"";"";
"23.04.2017 17:30";"21.2";"745.4";"755.9";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"23.04.2017 08:30";"23.8";"750.3";"760.7";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.3";"";"";"";"";"";"";
"22.04.2017 17:30";"25.4";"745.8";"756.1";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"26.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.0";"";"";"";"";"";"";
"22.04.2017 08:30";"24.6";"750.3";"760.7";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"22.8";"";"";"";"";"";"";
"21.04.2017 17:30";"21.2";"745.5";"756.0";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"18.3";"";"";"";"";"";"";
"21.04.2017 08:30";"24.4";"750.2";"760.6";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.8";"";"";"";"";"";"";
"19.04.2017 17:30";"22.8";"745.8";"756.2";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.3";"";"";"";"";"";"";
"19.04.2017 08:30";"23.6";"750.8";"761.2";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.8";"";"";"";"";"";"";
"18.04.2017 08:30";"26.0";"750.2";"760.6";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"17.04.2017 17:30";"29.6";"746.3";"756.5";"";"43";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"17.04.2017 08:30";"23.6";"750.4";"760.8";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"16.04.2017 17:30";"24.4";"746.3";"756.7";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"16.04.2017 08:30";"23.8";"750.2";"760.6";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.8";"";"";"";"";"";"";
"15.04.2017 17:30";"26.2";"746.2";"756.5";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.1";"";"";"";"";"";"";
"15.04.2017 08:30";"26.6";"750.3";"760.6";"";"76";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
