# Weather station Amreli, India, WMO_ID=42834,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42834&lang=en
#
"Local time in Amreli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.07.2017 08:30";"28.2";"743.9";"753.7";"";"79";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.2";"";"";"";"";"";"";
"29.07.2017 17:30";"28.8";"742.6";"752.3";"";"76";"Wind blowing from the south-west";"5";"";"";"50%.";" ";"";"";"";"30.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.2";"";"";"";"";"";"";
"29.07.2017 08:30";"26.8";"743.6";"753.4";"";"90";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"23.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"28.07.2017 17:30";"24.8";"742.7";"752.6";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.9";"";"";"";"";"";"";
"28.07.2017 08:30";"26.8";"744.4";"754.2";"";"84";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"27.07.2017 17:30";"26.0";"741.6";"751.4";"";"91";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"27.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.4";"";"";"";"";"";"";
"27.07.2017 08:30";"26.0";"742.0";"751.8";"";"92";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"26.07.2017 17:30";"26.8";"740.6";"750.4";"";"89";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"28.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.8";"";"";"";"";"";"";
"26.07.2017 11:30";"27.6";"741.7";"751.5";"";"81";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.7";"";"";"";"";"";"";"";"24.1";"";"";"";"";"";"";
"26.07.2017 08:30";"27.6";"741.7";"751.5";"";"81";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.1";"";"";"";"";"";"";
"25.07.2017 17:30";"28.4";"739.5";"749.2";"";"78";"Wind blowing from the south-west";"5";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.1";"";"";"";"";"";"";
"25.07.2017 08:30";"27.2";"740.5";"750.2";"";"84";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"25.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.3";"";"";"";"";"";"";
"24.07.2017 17:30";"27.0";"739.8";"749.5";"";"84";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"27.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.1";"";"";"";"";"";"";
"24.07.2017 08:30";"27.0";"741.3";"751.1";"";"87";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"23.07.2017 17:30";"26.8";"740.4";"750.2";"";"89";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"28.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.8";"";"";"";"";"";"";
"23.07.2017 08:30";"26.2";"740.4";"750.2";"";"95";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"22.07.2017 17:30";"25.2";"739.7";"749.5";"";"90";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.4";"";"";"";"";"";"";
"22.07.2017 08:30";"25.4";"739.7";"749.5";"";"96";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"21.07.2017 17:30";"24.8";"738.1";"747.9";"";"98";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"";"31.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.5";"";"";"";"";"";"";
"21.07.2017 08:30";"28.2";"739.7";"749.4";"";"86";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"20.07.2017 08:30";"27.4";"738.1";"747.8";"";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"19.07.2017 17:30";"29.2";"736.9";"746.5";"";"85";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.4";"";"";"";"";"";"";
"19.07.2017 08:30";"27.4";"740.0";"749.7";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"18.07.2017 17:30";"30.6";"738.3";"747.9";"";"74";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.5";"";"";"";"";"";"";
"18.07.2017 08:30";"26.8";"740.9";"750.7";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"17.07.2017 17:30";"25.2";"738.8";"748.6";"";"91";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.7";"";"";"";"";"";"";
"17.07.2017 08:30";"27.0";"740.9";"750.7";"";"84";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"24.7";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.1";"";"";"";"";"";"";
"16.07.2017 17:30";"27.6";"740.1";"749.8";"";"86";"Wind blowing from the west-northwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.0";"";"";"";"";"";"";
"16.07.2017 08:30";"27.4";"742.1";"751.9";"";"78";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"15.07.2017 17:30";"26.8";"740.2";"750.0";"";"86";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"";"27.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.2";"";"";"";"";"";"";
"15.07.2017 08:30";"27.8";"741.7";"751.4";"";"86";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"25.3";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.2";"";"";"";"";"";"";
"14.07.2017 17:30";"30.4";"740.7";"750.3";"";"65";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"";"31.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.1";"";"";"";"";"";"";
"14.07.2017 08:30";"27.2";"742.4";"752.2";"";"87";"Wind blowing from the south-west";"4";"";"";"100%.";" ";"";"";"25.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"13.07.2017 17:30";"31.4";"741.1";"750.7";"";"63";"Wind blowing from the north-west";"5";"";"";"70 – 80%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.6";"";"";"";"";"";"";
"13.07.2017 08:30";"29.2";"743.1";"752.8";"";"78";"Wind blowing from the west-northwest";"3";"";"";"50%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"12.07.2017 17:30";"31.2";"741.8";"751.4";"";"61";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"34.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.8";"";"";"";"";"";"";
"12.07.2017 08:30";"29.6";"743.2";"752.9";"";"76";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"25.3";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"11.07.2017 17:30";"32.0";"742.4";"752.0";"";"57";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"";"33.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.4";"";"";"";"";"";"";
"11.07.2017 08:30";"29.8";"744.2";"753.9";"";"78";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"10.07.2017 17:30";"32.0";"742.9";"752.5";"";"60";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"";"34.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.3";"";"";"";"";"";"";
"10.07.2017 08:30";"29.8";"744.6";"754.3";"";"81";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"09.07.2017 17:30";"33.2";"741.8";"751.4";"";"56";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"";"35.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.4";"";"";"";"";"";"";
"09.07.2017 08:30";"28.2";"743.9";"753.7";"";"83";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"08.07.2017 17:30";"30.6";"742.5";"752.2";"";"69";"Wind blowing from the south-southwest";"3";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.3";"";"";"";"";"";"";
"08.07.2017 08:30";"29.6";"744.3";"754.0";"";"75";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"07.07.2017 17:30";"33.2";"742.6";"752.2";"";"54";"Wind blowing from the west-southwest";"4";"";"";"20–30%.";" ";"";"";"";"35.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.7";"";"";"";"";"";"";
"07.07.2017 08:30";"30.2";"743.7";"753.4";"";"76";"Wind blowing from the west-southwest";"4";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"06.07.2017 17:30";"34.2";"741.2";"750.7";"";"52";"Wind blowing from the south-west";"4";"";"";"50%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.9";"";"";"";"";"";"";
"06.07.2017 08:30";"30.0";"743.4";"753.1";"";"78";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"26.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"05.07.2017 17:30";"32.2";"741.1";"750.7";"";"59";"Wind blowing from the south-west";"5";"";"";"50%.";" ";"";"";"";"35.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.2";"";"";"";"";"";"";
"05.07.2017 08:30";"29.6";"742.9";"752.6";"";"80";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"26.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"04.07.2017 17:30";"33.2";"741.2";"750.8";"";"58";"Wind blowing from the south-west";"5";"";"";"50%.";" ";"";"";"";"35.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.8";"";"";"";"";"";"";
"04.07.2017 08:30";"29.4";"742.3";"752.0";"";"82";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"26.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"03.07.2017 17:30";"32.0";"740.9";"750.5";"";"63";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"33.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"03.07.2017 08:30";"29.8";"742.2";"751.9";"";"85";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"02.07.2017 17:30";"31.4";"739.6";"749.2";"";"68";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"33.9";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.9";"";"";"";"";"";"";
"02.07.2017 08:30";"29.0";"740.1";"749.8";"";"83";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"26.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"01.07.2017 17:30";"28.4";"738.9";"748.6";"";"86";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.9";"";"";"";"";"";"";
"01.07.2017 08:30";"28.2";"739.5";"749.2";"";"86";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"24.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"30.06.2017 08:30";"27.4";"739.2";"748.9";"";"89";"Wind blowing from the south-west";"5";"";"";"70 – 80%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"29.06.2017 17:30";"30.4";"737.5";"747.1";"";"74";"Wind blowing from the south-west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.3";"";"";"";"";"";"";
"29.06.2017 08:30";"29.6";"739.8";"749.5";"";"82";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"28.06.2017 17:30";"32.0";"737.0";"746.5";"";"71";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"35.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.1";"";"";"";"";"";"";
"28.06.2017 08:30";"29.2";"738.2";"747.9";"";"83";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"27.06.2017 17:30";"33.2";"736.4";"745.9";"";"63";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.2";"";"";"";"";"";"";
"27.06.2017 08:30";"29.8";"739.5";"749.2";"";"82";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"26.06.2017 17:30";"33.0";"737.7";"747.2";"";"65";"Wind blowing from the south-southwest";"2";"";"";"50%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.7";"";"";"";"";"";"";
"26.06.2017 08:30";"29.6";"739.6";"749.3";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.3";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"25.06.2017 17:30";"29.0";"741.4";"751.1";"";"80";"Wind blowing from the south";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"25.06.2017 08:30";"31.0";"739.5";"749.1";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.1";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"24.06.2017 17:30";"35.4";"741.1";"750.6";"";"49";"Wind blowing from the west-northwest";"5";"";"";"50%.";" ";"";"";"";"37.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.0";"";"";"";"";"";"";
"24.06.2017 08:30";"30.8";"741.4";"751.0";"";"76";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"26.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.06.2017 17:30";"34.4";"740.8";"750.3";"";"55";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.2";"";"";"";"";"";"";
"23.06.2017 08:30";"31.4";"743.3";"753.0";"";"73";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"27.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"22.06.2017 17:30";"36.4";"741.1";"750.6";"";"49";"Wind blowing from the south-west";"4";"";"";"20–30%.";" ";"";"";"";"37.1";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.9";"";"";"";"";"";"";
"22.06.2017 08:30";"31.0";"742.5";"752.2";"";"76";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"27.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.3";"";"";"";"";"";"";
"21.06.2017 17:30";"34.0";"740.8";"750.3";"";"56";"Wind blowing from the south-west";"4";"";"";"50%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"21.06.2017 08:30";"30.6";"742.7";"752.4";"";"76";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"20.06.2017 17:30";"35.0";"739.7";"749.2";"";"49";"Wind blowing from the south-west";"5";"";"";"20–30%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.6";"";"";"";"";"";"";
"20.06.2017 08:30";"31.8";"742.0";"751.6";"";"70";"Wind blowing from the south-west";"4";"";"";"50%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"19.06.2017 17:30";"36.2";"740.0";"749.5";"";"44";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.0";"";"";"";"";"";"";
"19.06.2017 08:30";"31.4";"743.0";"752.6";"";"71";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"27.3";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"18.06.2017 17:30";"37.0";"741.3";"750.7";"";"38";"Wind blowing from the south-west";"5";"";"";"20–30%.";" ";"";"";"";"38.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"20.4";"";"";"";"";"";"";
"18.06.2017 08:30";"30.8";"743.7";"753.4";"";"74";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"17.06.2017 17:30";"36.6";"741.1";"750.6";"";"38";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"38.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"19.9";"";"";"";"";"";"";
"17.06.2017 08:30";"31.8";"744.1";"753.7";"";"72";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"27.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"16.06.2017 17:30";"37.0";"741.3";"750.7";"";"43";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"38.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.6";"";"";"";"";"";"";
"16.06.2017 08:30";"30.4";"743.4";"753.1";"";"76";"Wind blowing from the south-west";"4";"";"";"50%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"15.06.2017 17:30";"37.6";"741.5";"750.9";"";"40";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"39.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"21.9";"";"";"";"";"";"";
"15.06.2017 08:30";"31.6";"744.7";"754.4";"";"62";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"27.3";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"14.06.2017 08:30";"29.8";"742.9";"752.6";"";"82";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"13.06.2017 17:30";"37.6";"740.1";"749.5";"";"43";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"38.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.0";"";"";"";"";"";"";
"13.06.2017 08:30";"30.0";"742.6";"752.3";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"12.06.2017 17:30";"36.8";"739.3";"748.7";"";"46";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.4";"";"";"";"";"";"";
"12.06.2017 08:30";"29.6";"742.7";"752.4";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"11.06.2017 17:30";"30.6";"739.5";"749.1";"";"76";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.8";"";"";"";"";"";"";
"11.06.2017 08:30";"29.2";"742.2";"751.9";"";"80";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"26.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"10.06.2017 17:30";"28.4";"740.1";"749.8";"";"82";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.0";"";"";"";"";"";"";
"10.06.2017 08:30";"28.6";"744.0";"753.7";"";"88";"Wind blowing from the north";"3";"";"";"70 – 80%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"09.06.2017 17:30";"30.2";"741.4";"751.1";"";"78";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"09.06.2017 08:30";"31.4";"744.0";"753.7";"";"75";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"08.06.2017 17:30";"25.0";"742.1";"751.9";"";"91";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"";"38.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.5";"";"";"";"";"";"";
"08.06.2017 08:30";"32.4";"745.2";"754.8";"";"67";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"27.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"07.06.2017 17:30";"35.2";"742.2";"751.7";"";"49";"Wind blowing from the south";"5";"";"";"50%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.8";"";"";"";"";"";"";
"07.06.2017 08:30";"31.8";"745.6";"755.3";"";"71";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"28.1";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"06.06.2017 17:30";"36.6";"742.7";"752.2";"";"37";"Wind blowing from the south-southwest";"4";"";"";"50%.";" ";"";"";"";"39.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"19.5";"";"";"";"";"";"";
"06.06.2017 08:30";"32.6";"744.9";"754.5";"";"67";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"05.06.2017 17:30";"37.2";"741.9";"751.3";"";"38";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"39.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"20.7";"";"";"";"";"";"";
"05.06.2017 08:30";"32.4";"744.0";"753.6";"";"69";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"28.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"04.06.2017 17:30";"36.0";"741.8";"751.3";"";"45";"Wind blowing from the south-southwest";"4";"";"";"50%.";" ";"";"";"";"39.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.4";"";"";"";"";"";"";
"04.06.2017 08:30";"32.4";"744.3";"753.9";"";"69";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"28.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"03.06.2017 17:30";"37.0";"741.1";"750.5";"";"44";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"40.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.9";"";"";"";"";"";"";
"03.06.2017 08:30";"33.0";"744.1";"753.7";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"02.06.2017 17:30";"38.0";"741.0";"750.4";"";"43";"Wind blowing from the south";"5";"";"";"70 – 80%.";" ";"";"";"";"39.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.5";"";"";"";"";"";"";
"02.06.2017 08:30";"31.8";"743.3";"752.9";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"29.1";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"01.06.2017 17:30";"38.8";"738.9";"748.3";"";"38";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"41.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.1";"";"";"";"";"";"";
"01.06.2017 08:30";"32.0";"741.7";"751.3";"";"71";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"4.0";"26.1";"";"";"";"";"";"";
"31.05.2017 17:30";"38.4";"738.0";"747.4";"";"38";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"";"41.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"21.9";"";"";"";"";"";"";
