# Weather station New Kandla, India, WMO_ID=42639,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42639&lang=en
#
"Local time in New Kandla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.12.2017 08:30";"17.4";"759.0";"761.1";"";"71";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"30.11.2017 17:30";"29.0";"757.4";"759.4";"";"30";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"30.11.2017 08:30";"18.6";"760.1";"762.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"29.11.2017 17:30";"28.4";"758.3";"760.3";"";"43";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"29.11.2017 08:30";"19.0";"760.0";"762.0";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"28.11.2017 17:30";"28.2";"756.7";"758.7";"";"39";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"33.3";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"28.11.2017 08:30";"19.0";"759.2";"761.2";"";"74";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"27.11.2017 17:30";"29.4";"757.2";"759.2";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.7";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"27.11.2017 08:30";"18.6";"760.5";"762.6";"";"81";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"15.1";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"26.11.2017 17:30";"28.8";"758.5";"760.5";"";"53";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"26.11.2017 08:30";"18.6";"762.0";"764.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
"25.11.2017 17:30";"28.6";"758.3";"760.3";"";"54";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"25.11.2017 08:30";"18.2";"760.9";"763.0";"";"82";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"24.11.2017 17:30";"28.4";"758.3";"760.3";"";"52";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"24.11.2017 08:30";"14.6";"760.2";"762.3";"";"82";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"23.11.2017 17:30";"28.0";"757.2";"759.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.3";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"23.11.2017 08:30";"18.0";"758.8";"760.9";"";"67";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"22.11.2017 17:30";"28.2";"757.5";"759.5";"";"47";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"22.11.2017 08:30";"16.2";"759.5";"761.6";"";"66";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"14.9";"";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"21.11.2017 17:30";"27.2";"758.0";"760.0";"";"42";"Wind blowing from the north";"4";"";"";"20–30%.";" ";"";"";"";"30.1";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.3";"";"";"";"";"";"";
"21.11.2017 08:30";"18.0";"760.5";"762.6";"";"53";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"758.9";"760.9";"";"40";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"20.11.2017 08:30";"17.6";"761.5";"763.6";"";"62";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"16.3";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"19.11.2017 17:30";"27.6";"758.3";"760.3";"";"46";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"19.11.2017 08:30";"18.4";"760.6";"762.7";"";"59";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"16.9";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"18.11.2017 17:30";"26.6";"758.3";"760.3";"";"43";"Wind blowing from the north-northwest";"5";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"18.11.2017 08:30";"18.0";"760.0";"762.1";"";"60";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"17.11.2017 17:30";"27.2";"757.4";"759.4";"";"42";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"17.11.2017 08:30";"20.0";"759.6";"761.6";"";"66";"Wind blowing from the north-northeast";"4";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"16.11.2017 17:30";"27.4";"757.1";"759.1";"";"39";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"16.11.2017 08:30";"17.6";"759.3";"761.4";"";"75";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"15.11.2017 17:30";"29.0";"755.7";"757.7";"";"30";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"15.11.2017 08:30";"18.0";"758.0";"760.0";"";"81";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"14.11.2017 17:30";"28.8";"754.3";"756.3";"";"54";"Wind blowing from the west-southwest";"2";"";"";"40%.";" ";"";"";"";"31.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"14.11.2017 08:30";"21.8";"756.5";"758.5";"";"86";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"20.1";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"13.11.2017 17:30";"30.0";"753.8";"755.8";"";"38";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"13.11.2017 08:30";"22.2";"757.2";"759.2";"";"73";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"12.11.2017 17:30";"32.0";"756.9";"758.9";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"12.11.2017 08:30";"20.4";"758.7";"760.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"11.11.2017 17:30";"32.4";"757.2";"759.1";"";"40";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"11.11.2017 08:30";"21.0";"759.7";"761.7";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"10.11.2017 17:30";"32.4";"757.2";"759.1";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.8";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"10.11.2017 11:30";"22.0";"758.8";"760.8";"";"74";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"";"17.1";"";"";"";"";"";"";
"10.11.2017 08:30";"22.0";"758.8";"760.8";"";"74";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"09.11.2017 17:30";"32.6";"756.6";"758.5";"";"44";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"35.6";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
