# Weather station Disa, India, WMO_ID=42539,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42539&lang=en
#
"Local time in Disa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 08:30";"14.6";"752.8";"765.1";"";"72";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"13.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"21.12.2017 17:30";"28.4";"751.4";"763.1";"-0.7";"31";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"21.12.2017 14:30";"30.2";"752.1";"763.7";"-2.1";"24";"Wind blowing from the north-northeast";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.4";"";"";"";"";"";"";
"21.12.2017 11:30";"26.2";"754.2";"766.0";"0.5";"36";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
"21.12.2017 08:30";"14.8";"753.7";"766.0";"";"68";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"12.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.9";"";"";"";"";"";"";
"20.12.2017 17:30";"27.4";"752.0";"763.7";"0.3";"45";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.5";"";"";"";"";"";"";
"20.12.2017 14:30";"29.6";"751.7";"763.3";"-2.1";"22";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.7";"";"";"";"";"";"";
"20.12.2017 11:30";"24.8";"753.8";"765.6";"0.7";"38";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"20.12.2017 08:30";"16.2";"753.1";"765.3";"";"64";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"15.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"19.12.2017 17:30";"25.0";"751.6";"763.4";"-0.1";"46";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"19.12.2017 14:30";"28.4";"751.7";"763.4";"-1.8";"23";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.4";"";"";"";"";"";"";
"19.12.2017 11:30";"23.2";"753.5";"765.4";"0.4";"39";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.6";"";"";"";"";"";"";
