# Weather station Gandhinagar, India, WMO_ID=42654,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42654&lang=en
#
"Local time in Gandhinagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.12.2017 08:30";"21.0";"754.3";"761.5";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.7";"";"";"";"";"";"";
"09.12.2017 17:30";"27.6";"752.1";"759.1";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"19.6";"";"";"";"";"";"";
"09.12.2017 08:30";"21.4";"754.2";"761.4";"";"70";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"18.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.7";"";"";"";"";"";"";
"08.12.2017 17:30";"26.0";"752.4";"759.5";"";"55";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"08.12.2017 08:30";"19.4";"754.9";"762.2";"";"77";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"07.12.2017 17:30";"24.0";"752.9";"760.0";"";"68";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"25.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.6";"";"";"";"";"";"";
"07.12.2017 08:30";"19.0";"754.8";"762.1";"";"81";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"06.12.2017 20:30";"18.4";"752.7";"760.0";"";"83";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.4";"";"";"";"";"";"";
"06.12.2017 17:30";"18.4";"752.7";"760.0";"";"83";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.4";"";"";"";"";"";"";
"06.12.2017 08:30";"18.0";"753.6";"760.9";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"16.0";"";"";"";"600-1000";"";"";"4.0";"15.6";"";"";"";"";"";"";
"05.12.2017 17:30";"17.2";"752.5";"759.8";"";"98";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"19.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.9";"";"";"";"";"";"";
"05.12.2017 08:30";"19.0";"753.8";"761.1";"";"84";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"16.3";"";"";"";"";"";"";
"04.12.2017 17:30";"24.0";"750.1";"757.2";"";"53";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"26.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.8";"";"";"";"";"";"";
"04.12.2017 08:30";"18.8";"752.9";"760.2";"";"61";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"17.2";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"11.1";"";"";"";"";"";"";
"03.12.2017 17:30";"25.6";"752.2";"759.3";"";"44";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"753.8";"761.1";"";"63";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"02.12.2017 17:30";"27.0";"751.9";"758.9";"";"43";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"02.12.2017 08:30";"18.0";"753.7";"761.0";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"01.12.2017 17:30";"28.4";"752.1";"759.1";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"01.12.2017 08:30";"20.0";"754.8";"762.0";"";"56";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"30.11.2017 17:30";"28.0";"752.7";"759.7";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"30.11.2017 08:30";"18.0";"755.2";"762.5";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"29.11.2017 17:30";"27.0";"753.4";"760.5";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"29.11.2017 08:30";"17.4";"755.1";"762.4";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"28.11.2017 17:30";"28.0";"752.3";"759.3";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"28.11.2017 08:30";"17.4";"754.5";"761.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"27.11.2017 17:30";"27.4";"752.7";"759.7";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"27.11.2017 08:30";"19.0";"755.9";"763.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"26.11.2017 17:30";"28.0";"753.6";"760.6";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"26.11.2017 08:30";"18.4";"756.9";"764.2";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"25.11.2017 17:30";"27.0";"753.8";"760.9";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"25.11.2017 08:30";"18.0";"756.1";"763.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"24.11.2017 17:30";"27.0";"753.5";"760.6";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"24.11.2017 08:30";"17.4";"755.5";"762.8";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"23.11.2017 17:30";"27.4";"752.4";"759.4";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"23.11.2017 08:30";"17.6";"753.1";"760.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"22.11.2017 17:30";"28.0";"752.1";"759.1";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"22.11.2017 08:30";"20.0";"755.4";"762.7";"";"54";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"21.11.2017 17:30";"28.0";"752.7";"759.7";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"21.11.2017 08:30";"20.4";"755.3";"762.5";"";"53";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"16.7";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"20.11.2017 17:30";"27.0";"753.0";"760.1";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"20.11.2017 08:30";"20.0";"755.7";"763.0";"";"56";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"752.8";"759.9";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"19.11.2017 08:30";"20.4";"755.1";"762.3";"";"64";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"18.11.2017 17:30";"28.0";"752.7";"759.7";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"18.11.2017 08:30";"20.4";"754.2";"761.4";"";"69";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"17.11.2017 17:30";"28.0";"751.8";"758.8";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"17.11.2017 08:30";"20.0";"754.0";"761.2";"";"64";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"16.11.2017 17:30";"27.0";"751.5";"758.5";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"16.11.2017 08:30";"20.0";"753.0";"760.2";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"15.11.2017 17:30";"28.4";"750.9";"757.9";"";"26";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"15.11.2017 08:30";"19.4";"753.1";"760.3";"";"77";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"14.11.2017 17:30";"27.0";"749.8";"756.8";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"14.11.2017 08:30";"18.0";"744.8";"752.0";"";"71";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"13.11.2017 17:30";"27.0";"749.6";"756.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"13.11.2017 08:30";"17.4";"753.0";"760.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"12.11.2017 17:30";"28.0";"751.2";"758.2";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"12.11.2017 08:30";"20.0";"755.1";"762.3";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"11.11.2017 17:30";"30.0";"752.8";"759.8";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
