# Weather station Dharmapuri, India, WMO_ID=43301,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43301&lang=en
#
"Local time in Dharmapuri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.05.2017 17:30";"29.8";"713.2";"751.6";"";"75";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"30.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.0";"";"";"";"";"";"";
"20.05.2017 08:30";"24.8";"716.7";"756.1";"";"82";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"";"";"";"";"";"";
"19.05.2017 17:30";"34.4";"";"752.4";"";"53";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"35.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"19.05.2017 08:30";"26.8";"717.6";"756.7";"";"69";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"21.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.7";"";"";"";"";"";"";
"18.05.2017 17:30";"35.8";"713.5";"751.3";"";"41";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"39.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
"18.05.2017 08:30";"29.8";"716.5";"755.2";"";"69";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"24.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"17.05.2017 17:30";"36.8";"712.6";"750.2";"";"34";"Wind blowing from the west-northwest";"2";"";"";"50%.";" ";"";"";"";"38.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.6";"";"";"";"";"";"";
"17.05.2017 08:30";"29.8";"715.9";"754.6";"";"56";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"24.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.1";"";"";"";"";"";"";
"16.05.2017 17:30";"38.2";"712.0";"749.2";"";"34";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"39.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.8";"";"";"";"";"";"";
"16.05.2017 08:30";"28.8";"715.9";"754.6";"";"71";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"25.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"15.05.2017 17:30";"32.8";"713.7";"751.8";"";"57";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"15.05.2017 08:30";"26.6";"716.9";"756.0";"";"71";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.9";"";"";"";"";"";"";
"14.05.2017 17:30";"37.2";"712.9";"750.4";"";"45";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"";"38.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"10.0";"23.5";"";"";"";"";"";"";
"14.05.2017 08:30";"30.2";"717.7";"756.3";"";"63";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"26.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.3";"";"";"";"";"";"";
"13.05.2017 17:30";"36.8";"713.9";"751.6";"";"34";"Wind blowing from the east-northeast";"1";"";"";"20–30%.";" ";"";"";"";"37.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"13.05.2017 08:30";"28.2";"718.6";"757.6";"";"79";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.2";"";"";"";"";"";"";
"12.05.2017 17:30";"31.4";"714.6";"752.8";"";"60";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"";"35.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"12.05.2017 08:30";"27.4";"719.4";"758.5";"";"77";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"24.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"11.05.2017 17:30";"30.4";"715.3";"753.7";"";"60";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"34.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.8";"";"";"";"";"";"";
"11.05.2017 08:30";"26.8";"718.3";"757.4";"";"75";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"24.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"10.05.2017 17:30";"35.4";"714.4";"752.2";"";"42";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"36.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"10.05.2017 08:30";"25.8";"713.4";"757.9";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"22.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"09.05.2017 17:30";"35.2";"714.3";"752.0";"";"48";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"36.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.5";"";"";"";"";"";"";
"09.05.2017 08:30";"29.6";"718.3";"757.0";"";"64";"Wind blowing from the west-southwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"08.05.2017 17:30";"33.6";"716.3";"754.5";"";"43";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"34.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"08.05.2017 08:30";"24.8";"719.8";"759.4";"";"76";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"20.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.2";"";"";"";"";"";"";
"07.05.2017 17:30";"37.4";"715.2";"752.8";"";"32";"Wind blowing from the east-northeast";"3";"";"";"70 – 80%.";" ";"";"";"";"39.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"";"";"";"";"";"";
"07.05.2017 08:30";"30.8";"719.8";"758.5";"";"54";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"27.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"06.05.2017 17:30";"36.8";"715.8";"753.5";"";"38";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"";"39.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.2";"";"";"";"";"";"";
"06.05.2017 08:30";"30.4";"719.9";"758.6";"";"65";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"27.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.1";"";"";"";"";"";"";
"05.05.2017 17:30";"37.8";"715.2";"752.8";"";"27";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"38.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.9";"";"";"";"";"";"";
"05.05.2017 08:30";"29.6";"720.1";"758.9";"";"66";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"25.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"04.05.2017 17:30";"37.2";"716.0";"753.6";"";"23";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"38.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.0";"";"";"";"";"";"";
"04.05.2017 08:30";"28.2";"719.2";"758.1";"";"67";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"24.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"03.05.2017 17:30";"31.8";"716.2";"754.6";"";"49";"Wind blowing from the south-southwest";"2";"";"";"60%.";" ";"";"";"";"36.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.7";"";"";"";"";"";"";
"03.05.2017 08:30";"27.4";"719.8";"758.9";"";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"02.05.2017 17:30";"35.4";"716.1";"753.9";"";"37";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"36.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.7";"";"";"";"";"";"";
"02.05.2017 08:30";"24.6";"719.8";"759.3";"";"76";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"22.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.0";"";"";"";"";"";"";
"01.05.2017 17:30";"34.8";"715.3";"753.2";"";"32";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"";"36.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.8";"";"";"";"";"";"";
"01.05.2017 08:30";"27.4";"719.2";"758.2";"";"57";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"23.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.0";"";"";"";"";"";"";
"30.04.2017 17:30";"36.6";"715.2";"752.9";"";"29";"Wind blowing from the north-northeast";"1";"";"";"60%.";" ";"";"";"";"37.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"";"";"";"";"";"";
"30.04.2017 08:30";"26.8";"719.3";"758.5";"";"68";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"29.04.2017 17:30";"37.4";"715.0";"752.6";"";"31";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"";"38.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.4";"";"";"";"";"";"";
"29.04.2017 08:30";"30.2";"719.2";"757.9";"";"48";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.1";"";"";"";"";"";"";
"28.04.2017 17:30";"34.4";"715.1";"753.1";"";"32";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"38.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.2";"";"";"";"";"";"";
"28.04.2017 08:30";"29.6";"720.0";"758.8";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"27.04.2017 17:30";"35.6";"715.0";"752.8";"";"37";"Wind blowing from the south-southwest";"1";"";"";"60%.";" ";"";"";"";"38.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"27.04.2017 08:30";"29.4";"717.0";"757.3";"";"70";"Wind blowing from the south-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"26.04.2017 17:30";"36.4";"715.1";"752.8";"";"36";"Wind blowing from the south-southwest";"2";"";"";"50%.";" ";"";"";"";"38.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"";"";"";"";"";"";
"26.04.2017 08:30";"28.4";"718.3";"757.3";"";"54";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"22.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.1";"";"";"";"";"";"";
"25.04.2017 17:30";"24.6";"715.3";"754.6";"";"90";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"38.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.8";"";"";"";"";"";"";
"25.04.2017 08:30";"29.6";"718.3";"757.0";"";"63";"Wind blowing from the south-southwest";"1";"";"";"20–30%.";" ";"";"";"25.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"24.04.2017 17:30";"36.8";"715.3";"753.0";"";"33";"Wind blowing from the east-southeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"39.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.8";"";"";"";"";"";"";
"24.04.2017 08:30";"29.6";"718.1";"756.9";"";"69";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"26.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"23.04.2017 17:30";"37.8";"714.8";"752.4";"";"34";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"38.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"23.04.2017 08:30";"30.8";"718.3";"757.0";"";"59";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"25.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"22.04.2017 17:30";"36.4";"713.8";"751.4";"";"38";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"37.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.0";"";"";"";"";"";"";
"22.04.2017 08:30";"26.8";"718.3";"757.4";"";"74";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"21.04.2017 17:30";"37.2";"714.3";"751.8";"";"37";"Wind blowing from the south-southwest";"2";"";"";"60%.";" ";"";"";"";"38.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"21.04.2017 08:30";"28.4";"718.2";"757.1";"";"65";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"23.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"20.04.2017 17:30";"24.4";"716.5";"755.8";"";"95";"Wind blowing from the east-northeast";"3";"";"";"100%.";" ";"";"";"";"39.5";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"23.5";"";"";"";"";"";"";
"20.04.2017 08:30";"30.4";"717.9";"756.5";"";"62";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"27.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"19.04.2017 17:30";"37.4";"714.1";"751.6";"";"28";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"39.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.7";"";"";"";"";"";"";
"19.04.2017 08:30";"30.6";"718.0";"756.6";"";"54";"Wind blowing from the west-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"18.04.2017 17:30";"39.6";"713.5";"750.7";"";"22";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"41.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.0";"";"";"";"";"";"";
"18.04.2017 08:30";"30.2";"717.7";"756.3";"";"53";"Wind blowing from the south-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"25.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"17.04.2017 17:30";"39.6";"713.4";"750.7";"";"23";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"40.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"17.04.2017 08:30";"30.2";"717.8";"756.4";"";"47";"Wind blowing from the north-northeast";"12";"";"";"10%  or less, but not 0";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.7";"";"";"";"";"";"";
"16.04.2017 17:30";"39.4";"713.8";"751.0";"";"22";"Wind blowing from the south-southwest";"2";"";"";"60%.";" ";"";"";"";"40.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"";"";"";"";"";"";
