# Weather station Madurai, India, WMO_ID=43359,selection from 08.04.2016 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43359&lang=en
#
"Local time in Madurai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.10.2017 17:30";"31.0";"744.1";"755.1";"";"61";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"20.10.2017 08:30";"26.0";"747.4";"758.5";"";"78";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.8";"";"";"";"";"";"";
"19.10.2017 17:30";"32.0";"744.4";"755.3";"";"60";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"34.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"18.10.2017 17:30";"32.0";"744.1";"755.1";"";"60";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"18.10.2017 08:30";"27.0";"745.9";"757.0";"";"86";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"";"";"";"";
"17.10.2017 17:30";"31.0";"744.3";"755.2";"";"61";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"17.10.2017 08:30";"28.0";"746.5";"757.5";"";"65";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"16.10.2017 17:30";"33.0";"743.5";"754.3";"";"61";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"";"35.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.5";"";"";"";"";"";"";
"16.10.2017 08:30";"30.0";"745.9";"757.0";"";"66";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"15.10.2017 17:30";"32.0";"744.5";"755.5";"";"60";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"15.10.2017 08:30";"26.0";"746.0";"757.1";"";"78";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"14.10.2017 17:30";"31.0";"743.7";"754.6";"";"61";"Wind blowing from the south";"3";"";"";"60%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"14.10.2017 08:30";"28.0";"747.5";"758.6";"";"65";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"13.10.2017 17:30";"32.0";"742.8";"753.7";"";"60";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"";"36.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"13.10.2017 08:30";"26.0";"745.9";"757.0";"";"78";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"12.10.2017 17:30";"31.0";"741.7";"752.6";"";"73";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.7";"";"";"";"";"";"";
"12.10.2017 08:30";"25.0";"746.0";"757.2";"";"93";"Wind blowing from the east";"3";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"11.10.2017 17:30";"32.0";"742.6";"753.4";"";"60";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"37.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"11.10.2017 08:30";"27.0";"745.5";"756.5";"";"86";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"";"";"";"";
"10.10.2017 17:30";"32.0";"741.9";"752.8";"";"66";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"36.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"10.10.2017 08:30";"28.0";"745.6";"756.6";"";"70";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.1";"";"";"";"";"";"";
"09.10.2017 17:30";"31.0";"741.7";"752.6";"";"73";"Wind blowing from the south";"2";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.7";"";"";"";"";"";"";
"08.10.2017 17:30";"34.0";"742.7";"753.7";"";"58";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"37.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.7";"";"";"";"";"";"";
"08.10.2017 08:30";"27.0";"745.8";"756.9";"";"77";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"07.10.2017 17:30";"32.0";"742.9";"753.7";"";"60";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"37.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"07.10.2017 08:30";"26.0";"745.3";"756.4";"";"92";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"06.10.2017 17:30";"32.0";"741.7";"752.6";"";"66";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"36.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"06.10.2017 08:30";"25.0";"744.4";"755.5";"";"91";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"05.10.2017 17:30";"34.0";"740.8";"751.6";"";"56";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"";"37.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.0";"";"";"";"";"";"";
"05.10.2017 08:30";"27.0";"745.7";"755.9";"";"77";"Wind blowing from the north";"3";"";"";"70 – 80%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"04.10.2017 08:30";"29.0";"746.2";"757.3";"";"71";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"03.10.2017 17:30";"35.0";"742.6";"753.4";"";"53";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"37.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.9";"";"";"";"";"";"";
"03.10.2017 08:30";"30.0";"746.1";"757.3";"";"78";"Wind blowing from the south";"3";"";"";"20–30%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.8";"";"";"";"";"";"";
"02.10.2017 17:30";"34.0";"743.4";"754.3";"";"57";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"";"37.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.4";"";"";"";"";"";"";
"02.10.2017 08:30";"31.0";"746.4";"757.3";"";"54";"Wind blowing from the west";"3";"";"";"20–30%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"01.10.2017 17:30";"34.0";"743.5";"754.3";"";"58";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"37.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.7";"";"";"";"";"";"";
"01.10.2017 08:30";"31.0";"746.9";"757.9";"";"54";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"24.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"30.09.2017 17:30";"33.0";"743.4";"754.3";"";"61";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"36.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.5";"";"";"";"";"";"";
"29.09.2017 17:30";"32.0";"743.5";"754.5";"";"60";"Wind blowing from the north";"3";"";"";"50%.";" ";"";"";"";"36.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"29.09.2017 08:30";"30.0";"746.5";"757.6";"";"65";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"24.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"28.09.2017 17:30";"31.0";"743.3";"754.3";"";"61";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"35.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"28.09.2017 08:30";"26.0";"745.9";"757.1";"";"92";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"24.7";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"27.09.2017 17:30";"28.0";"743.5";"754.6";"";"78";"Wind blowing from the west";"3";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.7";"";"";"";"";"";"";
"27.09.2017 08:30";"25.0";"745.6";"756.7";"";"91";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"26.09.2017 17:30";"32.0";"742.5";"753.4";"";"60";"Wind blowing from the south";"3";"";"";"70 – 80%.";" ";"";"";"";"36.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"26.09.2017 08:30";"26.0";"745.5";"756.4";"";"92";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"25.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"25.09.2017 17:30";"36.0";"743.2";"754.0";"";"42";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"37.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"25.09.2017 08:30";"29.0";"746.3";"757.3";"";"71";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"24.09.2017 17:30";"33.0";"744.2";"755.1";"";"55";"Wind blowing from the north";"3";"";"";"60%.";" ";"";"";"";"35.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"24.09.2017 08:30";"30.0";"747.7";"758.7";"";"65";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"23.09.2017 17:30";"34.0";"744.1";"754.9";"";"51";"Wind blowing from the south";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"23.09.2017 08:30";"31.0";"747.8";"759.0";"";"59";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"22.09.2017 17:30";"34.0";"743.2";"754.0";"";"51";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"36.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"22.09.2017 08:30";"31.0";"746.4";"757.3";"";"54";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"30.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"21.09.2017 17:30";"33.0";"743.5";"754.4";"";"55";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"36.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"21.09.2017 08:30";"29.0";"747.3";"758.4";"";"85";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"20.09.2017 17:30";"33.0";"743.8";"754.6";"";"56";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"19.09.2017 17:30";"32.0";"744.7";"755.7";"";"66";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"19.09.2017 08:30";"30.0";"747.1";"758.1";"";"78";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.8";"";"";"";"";"";"";
"18.09.2017 17:30";"31.0";"745.9";"756.9";"";"66";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"18.09.2017 08:30";"26.0";"748.3";"759.4";"";"92";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"17.09.2017 17:30";"29.0";"746.5";"757.6";"";"85";"Wind blowing from the south";"3";"";"";"60%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"17.09.2017 08:30";"29.0";"748.8";"759.9";"";"85";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"16.09.2017 17:30";"36.0";"744.2";"755.0";"";"47";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"";"37.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.1";"";"";"";"";"";"";
"16.09.2017 08:30";"27.0";"747.2";"758.4";"";"92";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.6";"";"";"";"";"";"";
"15.09.2017 17:30";"35.0";"743.6";"754.4";"";"52";"Wind blowing from the south";"3";"";"";"40%.";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.6";"";"";"";"";"";"";
"15.09.2017 08:30";"29.0";"746.7";"757.7";"";"85";"Wind blowing from the east";"3";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"14.09.2017 17:30";"32.0";"744.1";"755.1";"";"66";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"14.09.2017 08:30";"27.0";"748.1";"759.3";"";"92";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"25.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.6";"";"";"";"";"";"";
"13.09.2017 17:30";"29.0";"744.2";"755.2";"";"85";"Wind blowing from the south";"3";"";"";"60%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"13.09.2017 08:30";"29.0";"747.9";"759.0";"";"85";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.2";"";"";"";"";"";"";
"12.09.2017 17:30";"32.0";"745.0";"756.1";"";"66";"Wind blowing from the east";"3";"";"";"50%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"12.09.2017 08:30";"27.0";"747.0";"758.1";"";"92";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.6";"";"";"";"";"";"";
