# Weather station Thanjavur, India, WMO_ID=43330,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43330&lang=en
#
"Local time in Thanjavur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.09.2017 17:30";"31.0";"748.1";"754.3";"";"67";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"33.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"13.09.2017 08:30";"28.4";"751.8";"757.9";"";"71";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"12.09.2017 17:30";"33.0";"747.4";"753.5";"";"61";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"12.09.2017 08:30";"27.6";"752.2";"758.4";"";"76";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"27.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"11.09.2017 17:30";"31.2";"747.7";"753.8";"";"67";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"11.09.2017 08:30";"28.6";"751.3";"757.5";"";"72";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"10.09.2017 17:30";"30.2";"748.1";"754.3";"";"70";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"10.09.2017 08:30";"27.6";"752.2";"758.4";"";"77";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"09.09.2017 17:30";"26.8";"749.1";"755.3";"";"84";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"09.09.2017 08:30";"26.2";"752.3";"758.5";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"08.09.2017 17:30";"31.2";"748.1";"754.3";"";"67";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"08.09.2017 08:30";"28.6";"751.4";"757.6";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"07.09.2017 17:30";"32.0";"748.0";"754.2";"";"63";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"07.09.2017 08:30";"29.2";"751.3";"757.4";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"06.09.2017 17:30";"33.0";"747.5";"753.6";"";"60";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"06.09.2017 08:30";"28.6";"751.8";"757.9";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"05.09.2017 17:30";"32.8";"747.1";"753.6";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"05.09.2017 08:30";"28.6";"751.2";"757.4";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"04.09.2017 17:30";"33.0";"747.4";"753.4";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"04.09.2017 08:30";"29.2";"751.6";"757.8";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"03.09.2017 17:30";"31.6";"747.1";"753.2";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"03.09.2017 08:30";"29.6";"751.4";"757.6";"";"67";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"02.09.2017 17:30";"32.8";"746.8";"755.8";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"02.09.2017 08:30";"29.2";"751.2";"757.3";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"01.09.2017 17:30";"32.2";"747.1";"753.2";"";"63";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"01.09.2017 08:30";"29.6";"750.7";"756.8";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"31.08.2017 08:30";"28.2";"750.5";"756.7";"";"74";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"30.08.2017 17:30";"33.6";"746.8";"752.8";"";"58";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"30.08.2017 08:30";"29.6";"750.1";"756.3";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"29.08.2017 17:30";"28.8";"";"754.0";"";"75";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"10.0";"23.9";"";"";"";"";"";"";
"29.08.2017 08:30";"26.0";"748.2";"754.3";"";"92";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"23.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.6";"";"";"";"";"";"";
"28.08.2017 17:30";"32.6";"746.0";"752.1";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"28.08.2017 08:30";"28.6";"750.7";"756.8";"";"78";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"27.08.2017 17:30";"32.6";"747.0";"753.1";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"27.08.2017 08:30";"28.2";"750.3";"756.4";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"26.08.2017 17:30";"32.6";"746.8";"752.8";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"26.08.2017 08:30";"28.6";"750.2";"756.4";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"25.08.2017 17:30";"31.6";"746.8";"753.1";"";"65";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"25.08.2017 08:30";"27.2";"750.8";"757.0";"";"78";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"24.08.2017 17:30";"32.4";"746.8";"752.8";"";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"24.08.2017 08:30";"29.6";"749.5";"755.7";"";"64";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"23.08.2017 17:30";"33.6";"746.7";"752.8";"";"58";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"23.08.2017 08:30";"30.2";"749.3";"755.5";"";"65";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"22.08.2017 17:30";"32.6";"746.6";"753.1";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"22.08.2017 08:30";"29.6";"749.6";"755.8";"";"67";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"21.08.2017 17:30";"31.4";"747.6";"753.7";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"21.08.2017 08:30";"29.2";"749.5";"755.7";"";"67";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"20.08.2017 17:30";"28.6";"747.4";"753.6";"";"84";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"20.08.2017 08:30";"28.6";"749.5";"755.7";"";"72";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"19.08.2017 17:30";"31.0";"746.8";"753.0";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"19.08.2017 08:30";"27.6";"750.1";"757.8";"";"76";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"26.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"18.08.2017 17:30";"31.4";"747.3";"753.4";"";"64";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"18.08.2017 08:30";"29.2";"750.7";"756.9";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"17.08.2017 17:30";"31.4";"747.1";"753.2";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"17.08.2017 08:30";"27.6";"750.6";"756.8";"";"76";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"16.08.2017 17:30";"32.2";"748.3";"754.4";"";"63";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"16.08.2017 08:30";"28.6";"751.8";"757.9";"";"70";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"15.08.2017 17:30";"29.2";"749.3";"755.5";"";"74";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"15.08.2017 08:30";"26.6";"753.0";"759.1";"";"81";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"14.08.2017 17:30";"27.6";"749.8";"756.1";"";"74";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"14.08.2017 08:30";"28.6";"751.8";"758.0";"";"70";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"13.08.2017 17:30";"30.6";"749.0";"755.2";"";"67";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"13.08.2017 08:30";"26.2";"752.3";"758.5";"";"83";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"25.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"12.08.2017 17:30";"32.6";"747.8";"753.9";"";"61";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"12.08.2017 08:30";"28.6";"751.8";"757.9";"";"71";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"11.08.2017 17:30";"32.8";"747.7";"753.8";"";"59";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"11.08.2017 08:30";"29.2";"751.0";"757.4";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"10.08.2017 17:30";"31.4";"747.8";"754.0";"";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"10.08.2017 08:30";"28.6";"751.6";"757.7";"";"68";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"09.08.2017 17:30";"32.6";"747.5";"753.6";"";"61";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"09.08.2017 08:30";"29.6";"751.3";"757.4";"";"64";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"08.08.2017 17:30";"33.4";"746.5";"752.6";"";"58";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"39.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"08.08.2017 08:30";"30.2";"751.0";"757.1";"";"63";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"07.08.2017 17:30";"31.4";"746.2";"752.3";"";"66";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"07.08.2017 08:30";"30.6";"750.8";"757.0";"";"62";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"06.08.2017 17:30";"33.2";"746.0";"752.1";"";"60";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"38.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"06.08.2017 08:30";"29.6";"751.0";"757.2";"";"66";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"29.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"05.08.2017 17:30";"32.6";"747.1";"753.2";"";"61";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"36.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"05.08.2017 08:30";"30.6";"750.8";"757.0";"";"62";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"30.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
