# Weather station Sangli, India, WMO_ID=43158,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43158&lang=en
#
"Local time in Sangli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.10.2017 08:30";"24.2";"709.3";"754.8";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"07.10.2017 17:30";"28.4";"707.5";"752.2";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.2";"";"";"";"";"";"";
"07.10.2017 08:30";"26.8";"709.7";"755.3";"";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"06.10.2017 17:30";"28.6";"707.5";"752.2";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"06.10.2017 08:30";"24.4";"709.7";"755.2";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"05.10.2017 17:30";"31.4";"707.3";"751.6";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.9";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"05.10.2017 08:30";"23.6";"710.5";"756.2";"";"86";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.7";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"04.10.2017 17:30";"30.4";"708.5";"752.9";"";"64";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.7";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"04.10.2017 08:30";"25.6";"711.7";"757.0";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"23.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"03.10.2017 17:30";"30.0";"707.8";"752.4";"";"59";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"31.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.0";"";"";"";"";"";"";
"03.10.2017 08:30";"24.6";"710.8";"756.3";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"02.10.2017 17:30";"32.0";"707.2";"751.3";"";"50";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"02.10.2017 08:30";"24.2";"710.2";"755.7";"";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"01.10.2017 17:30";"30.4";"708.3";"752.7";"";"65";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.1";"";"";"";"";"";"";
"01.10.2017 08:30";"24.2";"711.7";"757.2";"";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.1";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"30.09.2017 17:30";"30.0";"708.7";"753.2";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"30.09.2017 08:30";"24.2";"711.6";"757.1";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.1";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"29.09.2017 17:30";"25.6";"707.9";"753.1";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"29.09.2017 08:30";"23.0";"710.7";"756.5";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"19.9";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"28.09.2017 17:30";"25.6";"707.9";"753.1";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"28.09.2017 08:30";"23.2";"710.5";"756.2";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.4";"";"";"";"";"";"";
"27.09.2017 17:30";"26.2";"708.2";"754.0";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"27.09.2017 08:30";"23.2";"711.1";"756.8";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.9";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"26.09.2017 17:30";"26.4";"708.3";"753.3";"";"89";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Drizzle.";"";"30.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.4";"";"";"";"";"";"";
"26.09.2017 08:30";"23.6";"711.0";"756.7";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"25.09.2017 17:30";"28.8";"708.1";"752.8";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.7";"";"";"";"";"";"";
"25.09.2017 08:30";"22.6";"711.4";"757.3";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.3";"";"";"";"";"";"";
"24.09.2017 17:30";"25.0";"709.8";"755.2";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.6";"";"";"";"";"";"";
"24.09.2017 08:30";"24.2";"712.3";"757.9";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"23.09.2017 17:30";"29.4";"709.5";"754.1";"";"62";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"23.09.2017 08:30";"22.6";"708.0";"757.9";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"19.8";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"22.09.2017 17:30";"25.4";"709.5";"754.8";"";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"27.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"22.09.2017 08:30";"23.8";"710.8";"756.5";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.9";"";"";"";"";"";"";
"21.09.2017 17:30";"23.2";"708.4";"753.8";"";"98";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"25.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"600-1000";"";"";"4.0";"22.9";"";"";"";"";"";"";
"21.09.2017 08:30";"22.4";"709.9";"755.6";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"20.09.2017 17:30";"24.2";"707.4";"752.7";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"20.09.2017 08:30";"24.0";"709.0";"754.6";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"19.09.2017 17:30";"24.2";"707.3";"752.6";"";"93";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"25.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"19.09.2017 08:30";"23.2";"709.3";"754.9";"";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.7";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"18.09.2017 17:30";"24.0";"708.4";"753.8";"";"93";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"18.09.2017 08:30";"23.6";"710.3";"756.0";"";"90";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"20.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"17.09.2017 17:30";"26.6";"707.9";"752.9";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"17.09.2017 08:30";"24.2";"709.7";"755.2";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"22.5";"";"";"";"";"";"";
"16.09.2017 17:30";"26.6";"707.3";"752.3";"";"80";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"30.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"22.9";"";"";"";"";"";"";
"16.09.2017 08:30";"23.4";"709.7";"755.3";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"15.09.2017 17:30";"25.0";"707.8";"753.1";"";"87";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.7";"";"";"";"";"";"";
"15.09.2017 08:30";"24.4";"711.1";"756.6";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"14.09.2017 17:30";"29.2";"707.8";"752.3";"";"79";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.1";"";"";"";"";"";"";
"14.09.2017 08:30";"23.4";"711.7";"757.4";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"13.09.2017 17:30";"29.0";"707.6";"752.3";"";"82";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Drizzle.";"";"32.9";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.7";"";"";"";"";"";"";
"13.09.2017 08:30";"24.4";"712.2";"757.8";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.0";"";"";"";"";"";"";
"12.09.2017 17:30";"31.2";"707.5";"751.8";"";"70";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"35.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.2";"";"";"";"";"";"";
"12.09.2017 08:30";"25.4";"711.7";"757.1";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.9";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.0";"";"";"";"";"";"";
"11.09.2017 17:30";"29.8";"711.4";"752.2";"";"72";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.2";"";"";"";"";"";"";
"11.09.2017 08:30";"24.6";"709.8";"755.2";"";"95";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"23.7";"";"";"";"";"";"";
"10.09.2017 17:30";"29.4";"707.4";"751.9";"";"69";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.9";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"10.09.2017 08:30";"24.6";"709.9";"755.4";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.7";"";"";"";"";"";"";
"09.09.2017 17:30";"27.0";"707.2";"752.2";"";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"33.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"09.09.2017 08:30";"24.4";"709.3";"754.7";"";"94";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"23.3";"";"";"";"";"";"";
"08.09.2017 17:30";"";"";"751.8";"";"";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"08.09.2017 08:30";"23.0";"709.9";"755.7";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.9";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"07.09.2017 17:30";"24.6";"708.2";"753.6";"";"98";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"600-1000";"";"";"4.0";"24.3";"";"";"";"";"";"";
"07.09.2017 08:30";"25.0";"710.2";"755.7";"";"92";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"22.7";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.6";"";"";"";"";"";"";
"06.09.2017 17:30";"29.4";"708.2";"752.8";"";"69";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"06.09.2017 08:30";"24.4";"711.1";"756.6";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"05.09.2017 17:30";"29.6";"708.7";"753.3";"";"67";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"";"31.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"05.09.2017 08:30";"24.8";"712.3";"757.9";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.3";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"04.09.2017 17:30";"31.2";"708.9";"753.2";"";"60";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"22.4";"";"";"";"";"";"";
"04.09.2017 08:30";"24.0";"711.9";"757.6";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"03.09.2017 17:30";"29.4";"708.9";"753.5";"";"69";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"31.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"03.09.2017 08:30";"23.8";"711.1";"756.7";"";"89";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"20.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"02.09.2017 17:30";"26.2";"709.3";"754.3";"";"83";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"";"28.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.1";"";"";"";"";"";"";
"02.09.2017 08:30";"24.4";"711.5";"757.0";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"01.09.2017 17:30";"28.4";"709.1";"753.9";"";"71";"Wind blowing from the west-northwest";"1";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.7";"";"";"";"";"";"";
"01.09.2017 08:30";"23.6";"711.7";"757.4";"";"90";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.8";"";"";"";"";"";"";
"31.08.2017 17:30";"27.6";"709.0";"754.0";"";"69";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"31.08.2017 08:30";"24.0";"710.6";"756.3";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.3";"";"";"";"";"";"";
"30.08.2017 17:30";"27.2";"707.6";"752.5";"";"72";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"30.08.2017 08:30";"24.2";"707.8";"753.1";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
