# Weather station Jalna, India, WMO_ID=43012,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43012&lang=en
#
"Local time in Jalna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.11.2017 17:30";"28.4";"714.1";"758.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"11.11.2017 08:30";"19.0";"716.8";"762.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"09.11.2017 17:30";"28.0";"713.8";"758.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"09.11.2017 08:30";"21.0";"716.7";"762.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"08.11.2017 17:30";"30.0";"714.2";"758.4";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"08.11.2017 08:30";"20.2";"717.6";"763.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"07.11.2017 17:30";"28.8";"714.6";"758.8";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"07.11.2017 08:30";"20.0";"717.8";"763.6";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"06.11.2017 17:30";"29.0";"714.3";"758.5";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"06.11.2017 08:30";"21.0";"717.0";"762.6";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"04.11.2017 08:30";"19.2";"716.1";"762.0";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"03.11.2017 17:30";"28.8";"713.2";"757.3";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"03.11.2017 08:30";"19.0";"716.2";"762.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"02.11.2017 08:30";"20.0";"716.7";"762.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
