# Weather station Buldana, India, WMO_ID=42931,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42931&lang=en
#
"Local time in Buldana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.08.2017 08:30";"24.4";"701.7";"756.1";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"12.08.2017 17:30";"31.0";"699.9";"752.9";"";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"12.08.2017 08:30";"25.0";"701.8";"756.1";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"11.08.2017 17:30";"30.0";"699.2";"752.3";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"11.08.2017 08:30";"25.2";"701.3";"755.5";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"10.08.2017 17:30";"31.2";"698.7";"751.6";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"10.08.2017 08:30";"25.6";"700.8";"754.9";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"09.08.2017 17:30";"29.0";"699.2";"752.5";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"09.08.2017 08:30";"24.4";"700.5";"754.8";"";"87";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.1";"";"";"";"";"";"";
"08.08.2017 17:30";"28.0";"698.8";"752.3";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"08.08.2017 08:30";"25.4";"700.2";"754.3";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"07.08.2017 17:30";"27.8";"698.5";"752.0";"";"72";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"07.08.2017 08:30";"24.0";"699.9";"754.2";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.1";"";"";"";"";"";"";
"06.08.2017 17:30";"27.8";"697.7";"751.1";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.5";"";"";"";"";"";"";
"06.08.2017 08:30";"24.8";"699.7";"753.8";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"05.08.2017 17:30";"30.2";"697.9";"750.9";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"05.08.2017 08:30";"24.4";"698.7";"752.8";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"04.08.2017 17:30";"29.0";"697.2";"750.4";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"04.08.2017 08:30";"23.2";"699.1";"753.5";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"03.08.2017 17:30";"27.2";"698.3";"751.9";"";"76";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"27.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"03.08.2017 08:30";"25.0";"700.5";"754.7";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"02.08.2017 17:30";"30.6";"699.6";"752.7";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"02.08.2017 08:30";"26.0";"701.8";"755.9";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"01.08.2017 17:30";"29.0";"699.9";"753.3";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"01.08.2017 08:30";"26.4";"701.5";"755.5";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"31.07.2017 17:30";"30.2";"699.4";"752.5";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"31.07.2017 08:30";"25.6";"701.4";"755.5";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"30.07.2017 17:30";"28.4";"699.8";"753.3";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"30.07.2017 08:30";"23.0";"701.2";"755.8";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"29.07.2017 17:30";"29.0";"699.6";"753.0";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"29.07.2017 08:30";"22.8";"701.1";"755.7";"";"93";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"28.07.2017 17:30";"26.0";"698.9";"752.8";"";"77";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"27.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.7";"";"";"";"";"";"";
"28.07.2017 08:30";"22.6";"699.7";"754.3";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"21.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.7";"";"";"";"";"";"";
"27.07.2017 17:30";"25.0";"697.5";"751.4";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"27.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.8";"";"";"";"";"";"";
"27.07.2017 08:30";"22.8";"698.8";"753.2";"";"93";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.6";"";"";"";"";"";"";
"26.07.2017 17:30";"25.0";"696.9";"750.8";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"23.6";"";"";"";"";"";"";
"26.07.2017 11:30";"25.0";"698.0";"752.0";"";"78";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"20.9";"";"";"";"";"";"";
"26.07.2017 08:30";"25.0";"698.0";"752.0";"";"78";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.9";"";"";"";"";"";"";
"25.07.2017 17:30";"29.4";"695.9";"748.9";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"25.07.2017 08:30";"25.4";"697.5";"751.4";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"24.07.2017 17:30";"26.6";"696.3";"749.8";"";"80";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"24.07.2017 08:30";"23.0";"697.5";"751.8";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.2";"";"";"";"";"";"";
"23.07.2017 17:30";"25.4";"696.4";"750.2";"";"84";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.5";"";"";"";"";"";"";
"23.07.2017 08:30";"23.4";"697.2";"751.4";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"22.07.2017 17:30";"27.2";"696.2";"749.6";"";"76";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.6";"";"";"";"";"";"";
"22.07.2017 08:30";"26.0";"696.9";"750.6";"";"80";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"21.07.2017 17:30";"28.8";"695.0";"748.0";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"21.07.2017 08:30";"23.2";"696.4";"750.6";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.7";"";"";"";"";"";"";
"20.07.2017 17:30";"27.8";"694.2";"747.4";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"28.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"20.07.2017 08:30";"23.0";"695.8";"750.0";"";"93";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.8";"";"";"";"";"";"";
"19.07.2017 17:30";"28.4";"694.3";"747.3";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"19.07.2017 08:30";"23.4";"696.5";"750.7";"";"96";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.8";"";"";"";"";"";"";
"18.07.2017 17:30";"29.0";"696.1";"749.2";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"18.07.2017 08:30";"24.6";"697.3";"751.3";"";"88";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"17.07.2017 17:30";"27.8";"696.7";"750.0";"";"72";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"17.07.2017 08:30";"22.0";"698.5";"753.1";"";"95";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.1";"";"";"";"";"";"";
"16.07.2017 17:30";"22.4";"697.1";"751.5";"";"96";"Wind blowing from the south-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.8";"";"";"";"";"";"";
"16.07.2017 08:30";"23.0";"698.5";"752.9";"";"91";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.5";"";"";"";"";"";"";
"15.07.2017 17:30";"27.0";"696.9";"750.4";"";"77";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.7";"";"";"";"";"";"";
"15.07.2017 08:30";"25.4";"698.5";"752.4";"";"81";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.9";"";"";"";"";"";"";
"14.07.2017 17:30";"28.2";"696.4";"749.6";"";"74";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"14.07.2017 08:30";"23.8";"698.3";"752.5";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.8";"";"";"";"";"";"";
"13.07.2017 17:30";"25.8";"697.1";"750.8";"";"79";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"27.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.8";"";"";"";"";"";"";
"13.07.2017 08:30";"22.4";"699.2";"753.7";"";"93";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"21.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"21.2";"";"";"";"";"";"";
"12.07.2017 17:30";"23.0";"698.7";"753.1";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"30.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.1";"";"";"";"";"";"";
"12.07.2017 08:30";"26.6";"700.4";"754.3";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"11.07.2017 17:30";"30.6";"698.8";"751.8";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"11.07.2017 08:30";"25.6";"700.9";"755.0";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"10.07.2017 17:30";"31.0";"699.4";"752.4";"";"58";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"32.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.9";"";"";"";"";"";"";
"10.07.2017 08:30";"26.4";"701.7";"755.7";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"09.07.2017 17:30";"32.6";"698.9";"751.5";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"09.07.2017 08:30";"25.8";"700.5";"754.5";"";"83";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"08.07.2017 17:30";"31.2";"698.4";"751.3";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"08.07.2017 08:30";"26.2";"701.1";"755.1";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"07.07.2017 17:30";"31.6";"699.0";"751.8";"";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"07.07.2017 08:30";"26.0";"700.9";"754.9";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"06.07.2017 17:30";"31.0";"698.3";"751.2";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"06.07.2017 08:30";"25.8";"700.2";"754.2";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"05.07.2017 17:30";"28.6";"698.4";"751.7";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"05.07.2017 08:30";"23.8";"699.8";"754.1";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"04.07.2017 17:30";"25.0";"698.8";"752.8";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"30.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.1";"";"";"";"";"";"";
"04.07.2017 08:30";"25.0";"699.7";"753.8";"";"78";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"22.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"20.9";"";"";"";"";"";"";
"03.07.2017 17:30";"26.4";"697.9";"751.6";"";"75";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"21.5";"";"";"";"";"";"";
"03.07.2017 08:30";"25.2";"699.6";"753.7";"";"82";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"22.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.0";"";"";"";"";"";"";
"02.07.2017 17:30";"23.6";"696.9";"751.0";"";"95";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.7";"";"";"";"";"";"";
"02.07.2017 08:30";"24.2";"697.8";"751.9";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.5";"";"";"";"";"";"";
"01.07.2017 17:30";"27.8";"695.6";"748.9";"";"68";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.4";"";"";"";"";"";"";
"01.07.2017 08:30";"27.0";"697.4";"751.0";"";"73";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"30.06.2017 17:30";"28.6";"695.9";"749.0";"";"68";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.0";"";"";"";"";"";"";
"30.06.2017 08:30";"26.2";"697.8";"751.5";"";"79";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"23.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.2";"";"";"";"";"";"";
"29.06.2017 17:30";"28.2";"696.7";"750.0";"";"74";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"23.1";"";"";"";"";"";"";
