# Weather station Bramhapuri, India, WMO_ID=42946,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42946&lang=en
#
"Local time in Bramhapuri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"25.0";"739.5";"759.6";"-0.8";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"26.12.2017 14:30";"29.6";"740.3";"760.1";"-2.1";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"26.12.2017 11:30";"26.8";"742.4";"762.4";"-0.5";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"26.12.2017 08:30";"14.8";"742.9";"763.8";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.3";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.12.2017 17:30";"25.6";"739.2";"759.2";"-0.2";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"25.12.2017 14:30";"30.4";"739.4";"759.1";"-2.2";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"25.12.2017 11:30";"25.4";"741.6";"761.7";"-0.1";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"25.12.2017 08:30";"15.2";"741.7";"762.5";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"24.12.2017 14:30";"26.8";"739.8";"759.8";"-1.2";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"24.12.2017 11:30";"26.6";"741.0";"761.0";"-0.8";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"24.12.2017 08:30";"14.6";"741.8";"762.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"23.12.2017 17:30";"26.8";"739.4";"759.4";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"23.12.2017 11:30";"26.4";"741.1";"761.1";"-0.9";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"23.12.2017 08:30";"16.2";"742.0";"762.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"2.0";"13.4";"";"";"";"";"";"";
"22.12.2017 17:30";"26.8";"740.6";"760.6";"-0.2";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"22.12.2017 14:30";"29.4";"740.8";"760.6";"-2.2";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"22.12.2017 11:30";"25.4";"743.0";"763.2";"-0.6";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"743.6";"764.4";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"21.12.2017 17:30";"27.4";"741.5";"761.5";"-0.2";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"21.12.2017 14:30";"30.6";"741.7";"761.5";"-2.1";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"21.12.2017 11:30";"27.2";"743.8";"763.9";"-0.9";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"21.12.2017 08:30";"16.2";"744.7";"765.6";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"13.0";"";"";"";"";"";"";
"20.12.2017 17:30";"25.4";"741.2";"761.3";"-0.1";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"20.12.2017 14:30";"30.4";"741.3";"761.1";"-2.6";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"20.12.2017 11:30";"26.8";"743.9";"764.0";"-0.6";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"744.5";"765.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"2.0";"10.5";"";"";"";"";"";"";
"19.12.2017 17:30";"29.6";"741.0";"760.8";"0.0";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"19.12.2017 14:30";"30.6";"741.0";"760.8";"-2.9";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"19.12.2017 11:30";"26.0";"743.9";"764.0";"-0.6";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"19.12.2017 08:30";"14.0";"744.5";"765.5";"";"60";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"6.3";"";"";"";"";"";"";
"18.12.2017 17:30";"26.2";"742.0";"762.1";"-0.5";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"18.12.2017 14:30";"29.0";"742.5";"762.4";"";"25";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.1";"";"";"";"";"";"";
"18.12.2017 08:30";"17.2";"745.1";"765.9";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"2.0";"11.3";"";"";"";"";"";"";
"17.12.2017 17:30";"26.8";"742.2";"762.2";"-1.4";"57";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"17.12.2017 14:30";"32.0";"743.6";"763.3";"-0.8";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"17.12.2017 11:30";"26.4";"744.7";"764.8";"-0.2";"37";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.4";"";"";"";"";"";"";
"17.12.2017 08:30";"18.4";"744.9";"765.6";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"16.12.2017 17:30";"26.4";"742.1";"762.2";"0.0";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"16.12.2017 14:30";"32.4";"742.1";"761.8";"-1.2";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"16.12.2017 11:30";"28.2";"743.3";"763.3";"-0.6";"47";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"16.12.2017 08:30";"17.4";"743.9";"764.7";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"15.12.2017 17:30";"26.8";"740.6";"760.6";"0.2";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"15.12.2017 14:30";"33.0";"740.4";"760.0";"-1.9";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"15.12.2017 11:30";"29.0";"742.3";"762.2";"0.1";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"15.12.2017 08:30";"18.0";"742.2";"762.9";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"14.12.2017 17:30";"26.6";"740.3";"760.3";"-0.1";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"14.12.2017 14:30";"32.2";"740.4";"760.0";"-1.5";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"14.12.2017 11:30";"28.2";"741.9";"761.8";"-0.3";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"14.12.2017 08:30";"18.8";"742.2";"762.8";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"13.12.2017 14:30";"33.0";"739.0";"758.5";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"13.12.2017 08:30";"16.4";"740.8";"761.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"12.12.2017 17:30";"29.6";"738.5";"758.3";"-0.3";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"12.12.2017 14:30";"31.4";"738.8";"758.4";"-2.3";"39";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"12.12.2017 11:30";"28.4";"741.1";"761.0";"-1.0";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"12.12.2017 08:30";"16.2";"742.1";"762.9";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"11.12.2017 17:30";"26.6";"738.7";"758.7";"-0.1";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"11.12.2017 14:30";"31.2";"738.8";"758.5";"-2.4";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"11.12.2017 11:30";"27.0";"741.2";"761.2";"-0.5";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"11.12.2017 08:30";"16.0";"741.7";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"10.12.2017 17:30";"24.8";"739.0";"759.1";"0.4";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"10.12.2017 14:30";"30.2";"738.6";"758.3";"-2.7";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"10.12.2017 11:30";"25.6";"741.3";"761.4";"0.0";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"10.12.2017 08:30";"16.4";"741.3";"762.1";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"09.12.2017 17:30";"26.2";"737.6";"757.6";"-0.1";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"09.12.2017 14:30";"31.4";"737.7";"757.3";"-2.5";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"09.12.2017 11:30";"27.2";"740.2";"760.2";"-0.5";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"09.12.2017 08:30";"19.2";"740.7";"761.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"08.12.2017 17:30";"27.0";"737.3";"757.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"08.12.2017 11:30";"28.2";"739.4";"759.3";"-0.8";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"08.12.2017 08:30";"19.2";"740.2";"760.7";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.3";"";"";"";"";"";"";"2.0";"17.9";"";"";"";"";"";"";
"07.12.2017 17:30";"27.4";"737.4";"757.3";"0.4";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"07.12.2017 14:30";"31.8";"737.0";"756.6";"-1.9";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"07.12.2017 11:30";"27.2";"738.9";"758.8";"-0.6";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"07.12.2017 08:30";"19.0";"739.5";"760.0";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"06.12.2017 20:30";"25.8";"736.9";"756.9";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"06.12.2017 17:30";"25.8";"736.9";"756.9";"0.1";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"06.12.2017 14:30";"31.4";"736.8";"756.4";"-2.4";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"06.12.2017 11:30";"28.4";"739.2";"759.1";"-0.7";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"06.12.2017 08:30";"18.0";"739.9";"760.5";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"05.12.2017 17:30";"24.8";"736.7";"756.7";"-0.2";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"05.12.2017 14:30";"31.4";"736.9";"756.5";"-3.3";"32";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"05.12.2017 11:30";"26.8";"740.2";"760.2";"-0.1";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"05.12.2017 08:30";"16.0";"740.3";"761.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"04.12.2017 17:30";"24.4";"737.7";"757.8";"-0.5";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"04.12.2017 14:30";"30.0";"738.2";"757.9";"-2.2";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"04.12.2017 11:30";"26.6";"740.4";"760.4";"-0.8";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"04.12.2017 08:30";"16.0";"741.2";"762.0";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.9";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"03.12.2017 17:30";"24.4";"738.9";"759.0";"-0.2";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"03.12.2017 14:30";"30.2";"739.1";"758.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"03.12.2017 08:30";"16.2";"742.1";"762.9";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"2.0";"12.6";"";"";"";"";"";"";
"02.12.2017 17:30";"24.8";"739.0";"759.1";"-0.2";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"02.12.2017 14:30";"30.0";"739.2";"759.0";"-2.1";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"02.12.2017 11:30";"28.0";"741.3";"761.2";"-0.6";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"02.12.2017 08:30";"16.4";"741.9";"762.7";"";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"01.12.2017 17:30";"26.8";"738.3";"758.2";"1.0";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"01.12.2017 14:30";"";"737.3";"757.6";"-3.3";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"01.12.2017 11:30";"27.0";"740.6";"760.6";"-0.3";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"01.12.2017 08:30";"17.4";"740.9";"761.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"2.0";"13.1";"";"";"";"";"";"";
"30.11.2017 17:30";"24.6";"738.4";"758.5";"0.1";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"30.11.2017 14:30";"31.8";"738.3";"757.9";"-2.6";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"30.11.2017 11:30";"28.0";"740.9";"760.8";"-0.9";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"30.11.2017 08:30";"17.2";"741.8";"762.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"2.0";"15.1";"";"";"";"";"";"";
"29.11.2017 17:30";"25.6";"739.4";"759.5";"0.4";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"29.11.2017 14:30";"32.2";"739.0";"758.6";"-2.3";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"29.11.2017 11:30";"29.2";"741.3";"761.2";"-0.4";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"29.11.2017 08:30";"16.8";"741.7";"762.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"2.0";"13.6";"";"";"";"";"";"";
"28.11.2017 17:30";"26.2";"738.5";"758.5";"0.2";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"28.11.2017 14:30";"31.4";"738.3";"757.9";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
