# Weather station Satara, India, WMO_ID=43113,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43113&lang=en
#
"Local time in Satara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.06.2017 17:30";"27.6";"695.8";"752.7";"";"67";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"29.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"20.9";"";"";"";"";"";"";
"20.06.2017 08:30";"25.0";"697.4";"755.0";"";"80";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"19.06.2017 17:30";"27.2";"695.5";"752.4";"";"71";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.4";"";"";"";"";"";"";
"19.06.2017 08:30";"27.0";"696.7";"753.7";"";"73";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.8";"";"";"";"";"";"";
"18.06.2017 17:30";"29.0";"695.8";"752.5";"";"63";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.2";"";"";"";"";"";"";
"18.06.2017 08:30";"26.6";"697.7";"754.9";"";"75";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.7";"";"";"";"";"";"";
"17.06.2017 17:30";"28.4";"695.6";"752.3";"";"65";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"32.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"17.06.2017 08:30";"25.0";"697.6";"755.2";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.7";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"22.4";"";"";"";"";"";"";
"16.06.2017 17:30";"21.0";"696.3";"754.6";"";"96";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.4";"";"";"";"";"";"";
"16.06.2017 08:30";"24.4";"697.5";"755.1";"";"81";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.9";"";"";"";"";"";"";
"15.06.2017 17:30";"37.8";"696.2";"753.1";"";"40";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"37.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"22.1";"";"";"";"";"";"";
"15.06.2017 08:30";"25.4";"698.2";"755.5";"";"83";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"23.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.2";"";"";"";"";"";"";
"14.06.2017 17:30";"28.6";"696.2";"752.9";"";"73";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"30.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"23.2";"";"";"";"";"";"";
"14.06.2017 08:30";"24.4";"697.9";"755.5";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.7";"";"";"";"";"";"";
"13.06.2017 17:30";"27.8";"695.2";"751.9";"";"71";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"22.1";"";"";"";"";"";"";
"13.06.2017 08:30";"24.4";"696.1";"753.6";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"12.06.2017 17:30";"26.6";"693.9";"750.8";"";"76";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"20.0";"22.0";"";"";"";"";"";"";
"12.06.2017 08:30";"26.0";"695.7";"753.0";"";"75";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"23.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.3";"";"";"";"";"";"";
"11.06.2017 17:30";"29.8";"693.4";"749.7";"";"61";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"31.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.4";"";"";"";"";"";"";
"11.06.2017 08:30";"23.6";"695.6";"753.3";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"22.4";"";"";"";"";"";"";
"10.06.2017 17:30";"28.6";"694.4";"751.0";"";"61";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"31.1";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"20.4";"";"";"";"";"";"";
"10.06.2017 08:30";"26.4";"696.4";"753.5";"";"75";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.5";"";"";"";"";"";"";
"09.06.2017 17:30";"28.2";"695.2";"751.7";"";"67";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"09.06.2017 08:30";"27.2";"697.6";"754.6";"";"71";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.4";"";"";"";"";"";"";
"08.06.2017 17:30";"29.4";"696.3";"752.8";"";"60";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"31.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"20.7";"";"";"";"";"";"";
"08.06.2017 08:30";"26.4";"698.7";"756.0";"";"71";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"23.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"07.06.2017 17:30";"29.2";"697.3";"754.0";"";"61";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"32.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.8";"";"";"";"";"";"";
"07.06.2017 08:30";"26.4";"699.8";"757.2";"";"70";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"06.06.2017 17:30";"28.4";"696.9";"753.7";"";"65";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"06.06.2017 08:30";"27.8";"698.8";"755.9";"";"69";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.7";"";"";"";"";"";"";
"05.06.2017 17:30";"31.4";"696.2";"752.3";"";"52";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"35.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"05.06.2017 08:30";"28.4";"698.2";"755.0";"";"63";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"24.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"20.8";"";"";"";"";"";"";
"04.06.2017 17:30";"31.6";"696.4";"752.5";"";"52";"Wind blowing from the west-southwest";"3";"";"";"60%.";" ";"";"";"";"34.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.6";"";"";"";"";"";"";
"04.06.2017 08:30";"27.6";"698.0";"755.0";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"03.06.2017 17:30";"32.0";"695.5";"751.6";"";"55";"Wind blowing from the west-southwest";"3";"";"";"40%.";" ";"";"";"";"35.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"22.0";"";"";"";"";"";"";
"03.06.2017 08:30";"28.2";"697.6";"754.4";"";"69";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"25.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"21.9";"";"";"";"";"";"";
"02.06.2017 17:30";"35.0";"693.7";"748.9";"";"38";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"";"36.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"18.8";"";"";"";"";"";"";
"02.06.2017 08:30";"27.2";"696.8";"753.7";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"22.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"01.06.2017 17:30";"31.0";"693.3";"749.4";"";"63";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"35.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.1";"";"";"";"";"";"";
"01.06.2017 08:30";"28.0";"695.9";"752.8";"";"73";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"31.05.2017 17:30";"31.4";"693.8";"749.8";"";"60";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"33.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.6";"";"";"";"";"";"";
"31.05.2017 08:30";"27.6";"695.5";"752.3";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"30.05.2017 17:30";"27.6";"694.6";"751.3";"";"72";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
"30.05.2017 08:30";"27.6";"696.4";"753.3";"";"69";"Wind blowing from the west-southwest";"5";"";"";"60%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"29.05.2017 17:30";"31.6";"695.5";"751.6";"";"52";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"34.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.6";"";"";"";"";"";"";
"29.05.2017 08:30";"27.8";"696.8";"753.7";"";"68";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.4";"";"";"";"";"";"";
"28.05.2017 17:30";"33.4";"695.9";"751.6";"";"46";"Wind blowing from the west-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"35.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"28.05.2017 08:30";"28.6";"697.8";"754.6";"";"58";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.4";"";"";"";"";"";"";
"27.05.2017 17:30";"34.2";"695.2";"750.7";"";"45";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"36.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.7";"";"";"";"";"";"";
"27.05.2017 08:30";"28.2";"697.5";"754.3";"";"59";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"23.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"26.05.2017 17:30";"35.0";"695.3";"750.7";"";"45";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"37.5";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.3";"";"";"";"";"";"";
"26.05.2017 08:30";"38.6";"697.5";"754.3";"";"27";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"16.6";"";"";"";"";"";"";
"25.05.2017 17:30";"35.2";"695.1";"750.4";"";"48";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"37.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"25.05.2017 08:30";"29.4";"697.6";"754.2";"";"47";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.8";"";"";"";"";"";"";
"24.05.2017 17:30";"36.6";"695.3";"750.4";"";"29";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"40.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.9";"";"";"";"";"";"";
"24.05.2017 08:30";"29.0";"698.8";"755.7";"";"48";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.0";"";"";"";"";"";"";
"23.05.2017 17:30";"32.4";"696.3";"752.2";"";"37";"Calm, no wind";"0";"";"";"no clouds";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"23.05.2017 08:30";"29.6";"698.9";"755.7";"";"50";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"23.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.2";"";"";"";"";"";"";
"22.05.2017 17:30";"37.4";"696.1";"751.1";"";"24";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"38.9";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.6";"";"";"";"";"";"";
"22.05.2017 08:30";"28.0";"698.2";"755.2";"";"33";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"22.9";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.3";"";"";"";"";"";"";
"21.05.2017 17:30";"34.6";"696.2";"751.8";"";"36";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"36.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.5";"";"";"";"";"";"";
"21.05.2017 08:30";"27.8";"697.9";"754.9";"";"45";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"24.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.8";"";"";"";"";"";"";
"20.05.2017 17:30";"36.0";"695.6";"751.0";"";"33";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"39.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.1";"";"";"";"";"";"";
"20.05.2017 08:30";"29.0";"699.3";"756.2";"";"29";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"21.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.4";"";"";"";"";"";"";
"19.05.2017 17:30";"34.0";"697.7";"753.6";"";"45";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"37.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.4";"";"";"";"";"";"";
"19.05.2017 08:30";"29.0";"699.7";"756.7";"";"37";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"21.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.7";"";"";"";"";"";"";
"18.05.2017 17:30";"36.4";"696.4";"751.6";"";"37";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"39.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"18.05.2017 08:30";"27.8";"699.1";"756.2";"";"56";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"22.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.1";"";"";"";"";"";"";
