# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.12.2017 08:30";"24.4";"724.0";"762.5";"";"51";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"19.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"13.12.2017 17:30";"27.0";"721.4";"759.4";"";"37";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.2";"";"";"";"";"";"";
"13.12.2017 08:30";"23.4";"723.3";"761.9";"";"49";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"12.12.2017 17:30";"27.4";"720.6";"758.5";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"12.12.2017 08:30";"22.4";"723.3";"762.0";"";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"11.12.2017 17:30";"26.4";"720.7";"758.7";"";"40";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"11.12.2017 08:30";"22.4";"723.4";"762.1";"";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"10.12.2017 17:30";"26.0";"721.3";"759.4";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"10.12.2017 08:30";"22.5";"723.4";"762.1";"";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"09.12.2017 17:30";"27.0";"719.9";"757.8";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"09.12.2017 08:30";"22.0";"722.6";"761.3";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"08.12.2017 17:30";"27.4";"719.6";"757.5";"";"42";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"08.12.2017 08:30";"23.0";"722.6";"761.2";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"07.12.2017 17:30";"27.4";"719.7";"757.6";"";"36";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"31.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.9";"";"";"";"";"";"";
"07.12.2017 08:30";"23.0";"721.2";"759.7";"";"45";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"06.12.2017 20:30";"28.0";"719.2";"756.9";"";"45";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"06.12.2017 17:30";"28.0";"719.2";"756.9";"";"45";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"06.12.2017 08:30";"22.4";"721.1";"759.7";"";"55";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"17.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
