# Weather station Hassan, India, WMO_ID=43263,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43263&lang=en
#
"Local time in Hassan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.12.2017 17:30";"27.0";"677.3";"";"";"86";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.5";"";"";"";"";"";"";
"13.12.2017 08:30";"18.6";"681.1";"";"";"80";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"11.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.0";"";"";"";"";"";"";
"09.12.2017 17:30";"27.8";"677.0";"";"";"85";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.0";"";"";"";"";"";"";
"06.12.2017 08:30";"19.0";"680.3";"";"";"83";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"12.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.1";"";"";"";"";"";"";
"05.12.2017 17:30";"27.0";"676.5";"";"";"86";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.5";"";"";"";"";"";"";
"05.12.2017 08:30";"18.2";"680.3";"";"";"83";"Wind blowing from the north-east";"8";"";"";"60%.";" ";"";"";"11.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.3";"";"";"";"";"";"";
"04.12.2017 17:30";"27.6";"677.0";"";"";"83";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.5";"";"";"";"";"";"";
"04.12.2017 08:30";"19.8";"680.8";"";"";"80";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"12.8";"";"";"";"600-1000";"";"";"4.0";"16.3";"";"";"";"";"";"";
"03.12.2017 08:30";"18.2";"681.1";"";"";"83";"Wind blowing from the north-east";"8";"";"";"60%.";" ";"";"";"12.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.3";"";"";"";"";"";"";
"02.12.2017 17:30";"24.2";"677.0";"";"";"82";"Wind blowing from the west";"10";"";"";"60%.";" ";"";"";"";"26.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
