# Weather station Chandigarh (airport), India, WMO_ID=42105,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42105&lang=en
#
"Local time in Chandigarh (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.11.2017 02:30";"10.2";"735.1";"762.9";"-0.7";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"29.11.2017 23:30";"12.0";"735.8";"763.5";"-0.3";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"29.11.2017 20:30";"14.2";"736.1";"763.5";"1.0";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"29.11.2017 17:30";"19.2";"735.1";"762.0";"-0.3";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"29.11.2017 14:30";"25.0";"735.4";"761.8";"-1.3";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"29.11.2017 11:30";"21.6";"736.7";"763.5";"0.8";"44";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"29.11.2017 08:30";"12.6";"735.9";"763.5";"2.7";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"29.11.2017 05:30";"10.0";"733.2";"761.0";"-0.7";"90";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.4";"";"";"";"";"";"";
"29.11.2017 02:30";"11.0";"733.9";"761.6";"-0.2";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.0";"";"";"";"";"";"";
"28.11.2017 23:30";"12.6";"734.1";"761.6";"0.5";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"28.11.2017 20:30";"15.0";"733.6";"760.9";"0.9";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"28.11.2017 17:30";"20.4";"732.7";"759.4";"0.1";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
"28.11.2017 14:30";"24.6";"732.6";"758.9";"-1.3";"34";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"28.11.2017 11:30";"21.4";"733.9";"760.6";"0.7";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"28.11.2017 08:30";"10.2";"733.2";"760.9";"1.3";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"2.0";"8.1";"";"";"";"";"";"";
"28.11.2017 05:30";"9.8";"731.9";"759.6";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"27.11.2017 23:30";"11.6";"733.1";"760.7";"0.0";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"27.11.2017 20:30";"13.6";"733.1";"760.5";"0.7";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"27.11.2017 17:30";"21.0";"732.4";"759.1";"-0.3";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"27.11.2017 14:30";"24.4";"732.7";"759.1";"-1.7";"32";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"27.11.2017 11:30";"20.4";"734.4";"761.2";"0.5";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"27.11.2017 08:30";"12.8";"733.9";"761.4";"0.5";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"27.11.2017 05:30";"12.0";"733.4";"761.0";"-1.2";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"27.11.2017 02:30";"13.0";"734.6";"762.1";"-0.4";"70";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"26.11.2017 23:30";"14.8";"735.0";"762.4";"-0.9";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"26.11.2017 20:30";"15.0";"735.9";"763.3";"0.8";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"26.11.2017 17:30";"19.0";"735.1";"762.1";"-0.3";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"26.11.2017 14:30";"24.4";"735.4";"761.9";"-1.9";"35";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"26.11.2017 11:30";"21.8";"737.3";"764.1";"-0.2";"36";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"26.11.2017 08:30";"10.8";"737.5";"765.3";"1.4";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.1";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"26.11.2017 05:30";"9.4";"736.1";"764.0";"0.0";"84";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"26.11.2017 02:30";"10.8";"736.1";"763.9";"-0.3";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.9";"";"";"";"";"";"";
"25.11.2017 23:30";"12.8";"736.4";"764.0";"0.9";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.3";"";"";"";"";"";"";
"25.11.2017 20:30";"15.0";"735.5";"762.9";"1.8";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"25.11.2017 17:30";"20.0";"733.7";"760.5";"-0.3";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"25.11.2017 14:30";"26.2";"734.0";"760.3";"-1.7";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"25.11.2017 11:30";"21.6";"735.7";"762.4";"1.3";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"25.11.2017 08:30";"11.2";"734.4";"762.1";"1.2";"78";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"25.11.2017 05:30";"11.0";"733.2";"760.9";"-0.4";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"25.11.2017 02:30";"11.4";"733.6";"761.2";"-0.8";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"24.11.2017 23:30";"13.6";"734.4";"761.8";"-0.1";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"24.11.2017 20:30";"16.6";"734.5";"761.7";"0.6";"53";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"24.11.2017 17:30";"20.6";"733.9";"760.7";"-0.1";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.9";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"24.11.2017 14:30";"24.4";"734.0";"760.4";"-1.3";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"24.11.2017 11:30";"22.2";"735.3";"762.0";"0.8";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"24.11.2017 08:30";"10.4";"734.5";"762.3";"1.0";"80";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.5";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"24.11.2017 05:30";"8.4";"733.5";"761.4";"-0.1";"86";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.2";"";"";"";"";"";"";
"24.11.2017 02:30";"9.6";"733.6";"761.4";"-0.1";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"23.11.2017 23:30";"11.6";"733.7";"761.3";"0.3";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"23.11.2017 20:30";"14.0";"733.4";"760.8";"0.8";"67";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"23.11.2017 17:30";"19.8";"732.6";"759.4";"0.0";"51";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.6";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"23.11.2017 14:30";"24.4";"732.6";"759.0";"-1.3";"22";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.6";"";"";"";"";"";"";
"23.11.2017 11:30";"20.6";"733.9";"760.7";"0.2";"41";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"23.11.2017 08:30";"11.6";"733.7";"761.3";"1.7";"78";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.9";"";"";"";"";"";"";
"23.11.2017 05:30";"10.4";"732.0";"759.7";"-0.3";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"23.11.2017 02:30";"13.0";"732.3";"759.7";"-0.7";"73";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"22.11.2017 23:30";"15.0";"733.0";"760.3";"-0.3";"64";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.3";"";"";"";"";"";"";
"22.11.2017 20:30";"15.6";"733.3";"760.5";"0.4";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"22.11.2017 17:30";"20.6";"732.9";"759.6";"-0.4";"54";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.7";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"22.11.2017 14:30";"24.4";"733.3";"759.7";"-0.8";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"22.11.2017 11:30";"20.4";"734.1";"760.9";"0.3";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"22.11.2017 08:30";"10.8";"733.8";"761.5";"0.7";"90";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"22.11.2017 05:30";"9.8";"733.1";"760.9";"-0.5";"92";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.6";"";"";"";"";"";"";
"22.11.2017 02:30";"11.4";"733.6";"761.2";"-0.5";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.2";"";"";"";"";"";"";
"21.11.2017 23:30";"12.8";"734.1";"761.6";"0.2";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"21.11.2017 20:30";"14.4";"733.9";"761.2";"0.4";"78";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"21.11.2017 17:30";"19.8";"733.5";"760.3";"-0.2";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"";"";"";"";"";"2.0";"11.9";"";"";"";"";"";"";
"21.11.2017 14:30";"23.0";"733.7";"760.2";"-1.2";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"21.11.2017 11:30";"19.4";"734.9";"761.8";"0.3";"50";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.7";"";"";"";"";"";"";
"21.11.2017 08:30";"12.4";"734.6";"762.2";"0.9";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.2";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"21.11.2017 05:30";"12.4";"733.7";"761.2";"-1.2";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"21.11.2017 02:30";"12.8";"734.9";"762.4";"-0.6";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.8";"";"";"";"";"";"";
"20.11.2017 23:30";"12.0";"735.5";"763.1";"-0.1";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"20.11.2017 20:30";"14.0";"735.6";"763.1";"0.2";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.0";"";"";"";"";"";"";
"20.11.2017 17:30";"18.6";"735.4";"762.4";"-0.6";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.8";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"20.11.2017 14:30";"22.4";"736.0";"762.7";"-1.2";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"20.11.2017 11:30";"19.4";"737.2";"764.2";"0.5";"45";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"20.11.2017 08:30";"12.2";"736.7";"764.4";"1.0";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"20.11.2017 05:30";"10.8";"735.7";"763.5";"-0.1";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.4";"";"";"";"";"";"";
"20.11.2017 02:30";"11.0";"735.8";"763.6";"-0.4";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"19.11.2017 23:30";"12.0";"736.2";"763.9";"0.6";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"19.11.2017 20:30";"14.4";"735.6";"763.0";"0.6";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"19.11.2017 17:30";"19.6";"735.0";"761.9";"-0.4";"52";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"23.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"19.11.2017 14:30";"23.6";"735.4";"761.9";"-0.9";"32";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.0";"";"";"";"";"";"";
"19.11.2017 11:30";"21.0";"736.3";"763.1";"0.5";"52";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.8";"";"";"";"";"";"";
"19.11.2017 08:30";"12.8";"735.8";"763.4";"1.1";"88";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.9";"";"";"";"";"";"";
"19.11.2017 05:30";"12.4";"734.7";"762.3";"-0.2";"88";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.5";"";"";"";"";"";"";
"19.11.2017 02:30";"13.4";"734.9";"762.4";"-0.4";"88";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"11.5";"";"";"";"";"";"";
"18.11.2017 23:30";"14.6";"735.3";"762.7";"0.2";"87";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.4";"";"";"";"";"";"";
"18.11.2017 20:30";"16.8";"735.1";"762.3";"0.7";"78";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.9";"";"";"";"";"";"";
"18.11.2017 17:30";"20.6";"734.4";"761.2";"-0.4";"61";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.9";"";"";"";"";"";"";
