# Weather station Orai, India, WMO_ID=42468,selection from 15.08.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42468&lang=en
#
"Local time in Orai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.08.2017 17:30";"29.6";"736.6";"748.7";"";"81";"Wind blowing from the west";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"06.08.2017 08:30";"28.5";"736.7";"748.9";"";"94";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"05.08.2017 17:30";"33.0";"738.7";"750.7";"";"73";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"05.08.2017 08:30";"28.5";"737.4";"749.6";"";"94";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"04.08.2017 17:30";"33.0";"738.6";"750.6";"";"73";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"04.08.2017 08:30";"28.0";"737.5";"749.7";"";"97";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.4";"";"";"";"";"";"";
"03.08.2017 17:30";"33.0";"738.7";"750.7";"";"73";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"02.08.2017 17:30";"31.0";"738.2";"750.3";"";"79";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"02.08.2017 08:30";"28.0";"739.7";"752.0";"";"89";"Wind blowing from the north-west";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"01.08.2017 17:30";"31.0";"738.1";"750.2";"";"79";"Wind blowing from the west";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"01.08.2017 08:30";"27.5";"740.4";"752.7";"";"97";"Wind blowing from the west";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"31.07.2017 17:30";"34.0";"735.1";"747.1";"";"63";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"31.07.2017 08:30";"28.5";"740.5";"752.8";"";"97";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"30.07.2017 17:30";"32.0";"734.8";"746.8";"";"77";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"30.07.2017 08:30";"27.5";"738.7";"751.0";"";"92";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"29.07.2017 17:30";"32.0";"735.8";"747.8";"";"75";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"29.07.2017 08:30";"27.0";"738.5";"750.8";"";"94";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"28.07.2017 17:30";"31.5";"734.9";"746.9";"";"77";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"28.07.2017 08:30";"27.5";"738.4";"750.7";"";"90";"Wind blowing from the south-east";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"27.07.2017 17:30";"30.5";"734.4";"746.5";"";"82";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"27.07.2017 08:30";"27.0";"735.8";"748.0";"";"92";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"";"";"100-200";"";"";"4.0";"25.6";"";"";"";"";"";"";
"26.07.2017 17:30";"31.5";"734.3";"746.3";"";"79";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"27.5";"";"";"";"";"";"";
"26.07.2017 11:30";"27.0";"736.0";"748.2";"";"86";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"26.5";"31.0";"";"";"";"";"";"";"24.5";"";"";"";"";"";"";
"26.07.2017 08:30";"27.0";"736.0";"748.2";"";"86";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"25.07.2017 17:30";"31.0";"734.5";"746.6";"";"79";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"25.07.2017 08:30";"27.0";"736.2";"748.4";"";"87";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"24.07.2017 17:30";"28.5";"734.5";"746.7";"";"94";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"24.07.2017 08:30";"25.5";"736.4";"748.7";"";"97";"Wind blowing from the south-west";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"23.07.2017 08:30";"27.0";"737.1";"749.4";"";"99";"Wind blowing from the east";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"22.07.2017 17:30";"30.5";"734.7";"746.8";"";"77";"Wind blowing from the east";"1";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"22.07.2017 08:30";"27.5";"736.6";"748.8";"";"98";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.1";"";"";"";"";"";"";
"21.07.2017 17:30";"30.5";"734.4";"746.5";"";"75";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"21.07.2017 08:30";"28.5";"736.5";"748.7";"";"97";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"20.07.2017 17:30";"31.5";"734.3";"746.3";"";"69";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"20.07.2017 08:30";"29.0";"736.0";"748.2";"";"94";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"4.0";"27.9";"";"";"";"";"";"";
"19.07.2017 08:30";"30.0";"737.3";"749.4";"";"90";"Wind blowing from the east";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.1";"";"";"";"";"";"";
"18.07.2017 17:30";"33.5";"734.3";"746.3";"";"64";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"18.07.2017 08:30";"29.0";"738.7";"750.9";"";"92";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"17.07.2017 17:30";"32.5";"736.2";"748.2";"";"67";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"16.07.2017 17:30";"35.0";"735.2";"747.1";"";"58";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"16.07.2017 08:30";"28.5";"735.2";"747.4";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"15.07.2017 17:30";"30.5";"736.6";"748.7";"";"85";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.6";"";"";"";"";"";"";
"15.07.2017 08:30";"28.5";"735.5";"747.7";"";"93";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.3";"";"";"";"";"";"";
"14.07.2017 17:30";"31.5";"736.5";"748.6";"";"79";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"14.07.2017 08:30";"27.0";"737.0";"749.3";"";"92";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"13.07.2017 17:30";"30.0";"736.8";"748.9";"";"89";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"13.07.2017 08:30";"26.5";"737.2";"749.5";"";"93";"Wind blowing from the east";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"12.07.2017 17:30";"29.5";"737.1";"749.3";"";"94";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"12.07.2017 08:30";"26.5";"738.5";"750.8";"";"98";"Wind blowing from the north-west";"1";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"11.07.2017 17:30";"31.5";"736.6";"748.7";"";"85";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.7";"";"";"";"";"";"";
"11.07.2017 08:30";"26.5";"739.3";"751.6";"";"95";"Wind blowing from the east";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"10.07.2017 17:30";"32.5";"736.6";"748.6";"";"67";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"10.07.2017 08:30";"29.0";"738.1";"750.3";"";"97";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"09.07.2017 17:30";"34.0";"736.9";"748.9";"";"63";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"09.07.2017 08:30";"29.5";"738.8";"751.0";"";"84";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"08.07.2017 08:30";"24.0";"738.6";"751.0";"";"";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"";"";"";"";"";"";"";
"07.07.2017 17:30";"33.5";"735.8";"747.8";"";"56";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.5";"";"";"";"";"";"";
"07.07.2017 08:30";"28.0";"739.3";"751.6";"";"82";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"06.07.2017 08:30";"27.5";"736.0";"748.2";"";"85";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"05.07.2017 17:30";"32.5";"736.2";"748.2";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"05.07.2017 08:30";"36.0";"737.0";"748.9";"";"52";"Wind blowing from the north";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"04.07.2017 17:30";"31.5";"738.1";"750.2";"";"77";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"04.07.2017 08:30";"28.0";"736.3";"748.5";"";"94";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.9";"";"";"";"";"";"";
"03.07.2017 17:30";"29.5";"737.8";"750.0";"";"94";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"03.07.2017 08:30";"29.5";"737.2";"749.4";"";"91";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"02.07.2017 17:30";"33.5";"737.7";"749.7";"";"67";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"01.07.2017 17:30";"34.0";"738.0";"750.0";"";"67";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"01.07.2017 08:30";"29.0";"736.1";"748.3";"";"97";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"28.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"30.06.2017 17:30";"33.5";"737.9";"749.9";"";"67";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"30.06.2017 08:30";"29.0";"736.4";"748.6";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"29.06.2017 17:30";"33.5";"737.8";"749.8";"";"73";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"29.06.2017 08:30";"26.0";"739.0";"751.3";"";"97";"Wind blowing from the south";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"28.06.2017 17:30";"33.5";"738.0";"750.0";"";"64";"Wind blowing from the east";"1";"";"";"100%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"27.06.2017 17:30";"37.5";"737.1";"748.9";"";"57";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"27.06.2017 08:30";"32.5";"738.3";"750.4";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"28.0";"";"";"";"";"";"";
"26.06.2017 17:30";"38.0";"739.6";"751.5";"";"53";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"38.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"26.06.2017 08:30";"30.0";"738.7";"750.9";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"25.06.2017 08:30";"30.0";"738.8";"751.0";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"24.06.2017 17:30";"37.5";"739.7";"751.6";"";"52";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"24.06.2017 08:30";"29.5";"739.0";"751.2";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"23.06.2017 17:30";"37.5";"738.5";"750.4";"";"53";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"23.06.2017 08:30";"29.5";"739.8";"752.0";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"22.06.2017 17:30";"38.5";"738.3";"750.1";"";"49";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"22.06.2017 08:30";"29.0";"739.7";"751.9";"";"87";"Wind blowing from the south";"2";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"21.06.2017 17:30";"36.5";"738.3";"750.2";"";"52";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"21.06.2017 08:30";"29.5";"739.1";"751.3";"";"86";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"20.06.2017 17:30";"39.5";"738.2";"750.0";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"20.06.2017 08:30";"30.0";"738.2";"750.4";"";"86";"Wind blowing from the east";"1";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"19.06.2017 17:30";"38.0";"739.6";"751.5";"";"47";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"38.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"18.06.2017 17:30";"37.5";"739.4";"751.3";"";"47";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"18.06.2017 08:30";"31.5";"737.7";"749.8";"";"71";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"17.06.2017 17:30";"37.5";"739.3";"751.2";"";"46";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.0";"";"";"";"";"";"";
"17.06.2017 08:30";"29.0";"738.5";"750.7";"";"97";"Wind blowing from the south-west";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.5";"";"";"";"";"";"";
"16.06.2017 17:30";"38.5";"738.9";"750.7";"";"45";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"15.06.2017 17:30";"39.5";"736.8";"748.6";"";"40";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"40.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"15.06.2017 08:30";"33.0";"739.8";"751.9";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"14.06.2017 17:30";"42.5";"736.6";"748.3";"";"32";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"43.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.8";"";"";"";"";"";"";
"14.06.2017 08:30";"29.5";"740.5";"752.7";"";"86";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"13.06.2017 17:30";"42.0";"739.0";"750.7";"";"45";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"42.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.6";"";"";"";"";"";"";
"13.06.2017 08:30";"28.3";"740.8";"753.1";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"12.06.2017 17:30";"41.5";"739.6";"751.3";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"11.06.2017 17:30";"40.5";"739.7";"751.5";"";"45";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"41.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.3";"";"";"";"";"";"";
"11.06.2017 08:30";"28.0";"740.9";"753.2";"";"92";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"10.06.2017 17:30";"39.5";"739.8";"751.6";"";"48";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"26.5";"";"";"";"";"";"";
"10.06.2017 08:30";"28.5";"740.8";"753.1";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"09.06.2017 17:30";"36.5";"740.0";"751.9";"";"51";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
