# Weather station Najibabad, India, WMO_ID=42143,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42143&lang=en
#
"Local time in Najibabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.08.2017 08:30";"29.2";"731.3";"754.0";"";"86";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.7";"";"";"";"";"";"";
"14.08.2017 17:30";"31.2";"728.9";"751.3";"";"71";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"14.08.2017 08:30";"26.8";"732.0";"754.9";"";"94";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"24.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"13.08.2017 17:30";"31.8";"727.8";"750.1";"";"68";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"13.08.2017 08:30";"28.6";"729.1";"751.7";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"12.08.2017 17:30";"30.8";"727.1";"749.5";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"12.08.2017 08:30";"28.4";"728.6";"751.2";"";"86";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"11.08.2017 17:30";"30.4";"727.7";"750.1";"";"80";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"11.08.2017 08:30";"27.2";"728.4";"751.1";"";"97";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"10.08.2017 17:30";"30.4";"727.8";"750.3";"";"80";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"31.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"09.08.2017 17:30";"30.2";"727.8";"750.3";"";"80";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"31.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.3";"";"";"";"";"";"";
"09.08.2017 08:30";"29.4";"731.3";"753.9";"";"86";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.9";"";"";"";"";"";"";
"08.08.2017 17:30";"30.6";"728.5";"751.0";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"08.08.2017 08:30";"28.4";"730.9";"753.6";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.7";"";"";"";"";"";"";
"07.08.2017 17:30";"31.8";"727.7";"750.0";"";"68";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"07.08.2017 08:30";"28.6";"730.5";"753.2";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"06.08.2017 17:30";"32.6";"726.5";"748.8";"";"67";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"06.08.2017 08:30";"28.2";"729.2";"751.9";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"05.08.2017 17:30";"29.2";"727.9";"750.4";"";"83";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"30.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"05.08.2017 08:30";"25.4";"729.4";"752.3";"";"98";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"04.08.2017 17:30";"31.4";"726.3";"748.6";"";"72";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"04.08.2017 08:30";"26.8";"727.9";"750.6";"";"94";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"03.08.2017 17:30";"31.6";"726.8";"749.1";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"02.08.2017 17:30";"32.0";"727.7";"750.0";"";"69";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"02.08.2017 08:30";"27.2";"730.6";"753.4";"";"97";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"28.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"01.08.2017 17:30";"32.6";"727.9";"750.2";"";"72";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"01.08.2017 08:30";"28.6";"730.7";"753.4";"";"83";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"31.07.2017 17:30";"29.4";"728.4";"750.9";"";"76";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"31.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"31.07.2017 08:30";"25.4";"731.2";"754.1";"";"98";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"30.07.2017 17:30";"31.0";"728.4";"750.8";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"30.07.2017 08:30";"28.6";"731.4";"754.1";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"29.07.2017 17:30";"32.2";"728.1";"750.4";"";"69";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"29.07.2017 08:30";"28.6";"731.3";"754.0";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"28.07.2017 17:30";"31.6";"727.1";"749.4";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"28.07.2017 08:30";"28.6";"732.1";"754.8";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"27.07.2017 17:30";"31.8";"727.7";"750.0";"";"68";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"27.07.2017 08:30";"25.4";"731.4";"754.3";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"26.07.2017 17:30";"32.2";"725.9";"748.2";"";"68";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"26.07.2017 11:30";"28.8";"729.9";"752.5";"";"75";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.2";"34.2";"";"";"";"";"";"";"23.9";"";"";"";"";"";"";
"26.07.2017 08:30";"28.8";"729.9";"752.5";"";"75";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"25.07.2017 17:30";"32.2";"726.9";"749.2";"";"68";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"25.07.2017 08:30";"28.6";"727.8";"750.4";"";"85";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"24.07.2017 17:30";"31.6";"726.8";"749.1";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"24.07.2017 08:30";"29.8";"727.8";"750.3";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"23.07.2017 17:30";"32.2";"725.9";"748.2";"";"68";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"23.07.2017 08:30";"29.4";"729.6";"752.2";"";"76";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"25.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"22.07.2017 17:30";"32.4";"726.7";"749.0";"";"65";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"22.07.2017 08:30";"29.6";"729.8";"752.4";"";"77";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"21.07.2017 17:30";"32.6";"726.5";"748.8";"";"70";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"21.07.2017 08:30";"31.0";"729.2";"751.6";"";"66";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.8";"";"";"";"";"";"";
"20.07.2017 08:30";"24.8";"729.3";"752.2";"";"95";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"23.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"19.07.2017 08:30";"32.2";"729.8";"752.2";"";"66";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"18.07.2017 17:30";"32.0";"727.3";"749.6";"";"71";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"17.07.2017 17:30";"30.6";"727.6";"750.0";"";"77";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"17.07.2017 08:30";"29.6";"729.2";"751.8";"";"77";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"16.07.2017 17:30";"32.2";"726.8";"749.1";"";"69";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"16.07.2017 08:30";"28.6";"730.7";"753.4";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"15.07.2017 17:30";"33.0";"727.3";"749.5";"";"68";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.3";"";"";"";"";"";"";
"15.07.2017 08:30";"29.4";"729.9";"752.5";"";"82";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"14.07.2017 17:30";"32.6";"726.9";"749.2";"";"65";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"14.07.2017 08:30";"29.4";"730.5";"753.1";"";"79";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"13.07.2017 17:30";"31.4";"726.9";"749.3";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"13.07.2017 08:30";"26.2";"729.9";"752.7";"";"97";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"12.07.2017 17:30";"28.6";"726.7";"749.3";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"31.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"12.07.2017 08:30";"26.0";"731.7";"754.6";"";"98";"Wind blowing from the north-west";"11";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.7";"";"";"";"";"";"";
"11.07.2017 17:30";"31.2";"726.7";"749.1";"";"75";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"11.07.2017 08:30";"26.0";"730.8";"753.7";"";"97";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"10.07.2017 17:30";"31.4";"726.0";"748.3";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"10.07.2017 08:30";"28.6";"729.3";"751.9";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"09.07.2017 17:30";"32.2";"726.9";"749.2";"";"69";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"09.07.2017 08:30";"30.2";"730.5";"753.1";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"26.1";"";"";"";"";"";"";
"08.07.2017 08:30";"28.6";"730.1";"752.8";"";"86";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"07.07.2017 08:30";"27.2";"729.8";"752.6";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"06.07.2017 08:30";"25.6";"728.8";"751.6";"";"97";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"05.07.2017 17:30";"30.4";"725.6";"748.0";"";"72";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"05.07.2017 08:30";"27.6";"727.1";"749.7";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"04.07.2017 17:30";"32.4";"725.8";"748.0";"";"64";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"04.07.2017 08:30";"27.2";"726.9";"749.6";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.0";"";"";"";"";"";"";
"03.07.2017 17:30";"32.6";"725.2";"747.4";"";"63";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"03.07.2017 08:30";"26.8";"727.9";"750.6";"";"81";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"02.07.2017 17:30";"31.8";"726.8";"749.1";"";"67";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"02.07.2017 08:30";"27.2";"729.3";"752.0";"";"77";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.8";"";"";"";"";"";"";
"01.07.2017 17:30";"33.6";"727.2";"749.4";"";"60";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"01.07.2017 08:30";"29.4";"728.9";"751.5";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"30.06.2017 17:30";"32.0";"729.5";"751.9";"";"63";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.0";"";"";"";"";"";"";
"30.06.2017 08:30";"27.6";"731.6";"754.4";"";"81";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"4.0";"24.1";"";"";"";"";"";"";
"29.06.2017 17:30";"31.4";"729.7";"752.1";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.1";"";"";"";"";"";"";
"29.06.2017 08:30";"27.2";"732.7";"755.6";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"28.06.2017 17:30";"33.6";"728.9";"751.1";"";"53";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"27.06.2017 17:30";"33.8";"729.4";"751.6";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"27.06.2017 08:30";"27.2";"732.2";"755.0";"";"77";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.8";"";"";"";"";"";"";
"26.06.2017 17:30";"34.2";"729.2";"751.4";"";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.6";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"25.06.2017 08:30";"31.4";"730.3";"752.8";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"24.06.2017 17:30";"34.6";"728.0";"750.1";"";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"24.06.2017 08:30";"31.6";"732.6";"755.1";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"23.06.2017 17:30";"34.2";"728.7";"750.9";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"23.06.2017 08:30";"28.0";"731.5";"754.3";"";"70";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"23.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.1";"";"";"";"";"";"";
"22.06.2017 17:30";"33.6";"728.3";"750.5";"";"53";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"22.06.2017 08:30";"28.8";"731.5";"754.2";"";"66";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"21.06.2017 17:30";"31.4";"728.0";"750.4";"";"60";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.6";"";"";"";"";"";"";
"21.06.2017 08:30";"27.4";"729.2";"751.9";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.2";"";"";"";"";"";"";
"20.06.2017 17:30";"32.0";"729.4";"751.8";"";"55";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"20.06.2017 08:30";"27.6";"";"755.6";"";"70";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.6";"";"";"";"";"";"";
"19.06.2017 17:30";"34.2";"";"750.1";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"18.06.2017 17:30";"34.0";"";"750.1";"";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"18.06.2017 08:30";"31.4";"";"754.7";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"17.06.2017 17:30";"35.6";"";"750.5";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"17.06.2017 08:30";"31.2";"";"754.6";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"16.06.2017 17:30";"34.5";"";"751.3";"";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"15.06.2017 17:30";"33.4";"";"750.2";"";"50";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.6";"";"";"";"";"";"";
"15.06.2017 08:30";"31.8";"";"753.7";"";"55";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.8";"";"";"";"";"";"";
"14.06.2017 08:30";"32.0";"";"755.3";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"13.06.2017 17:30";"35.0";"";"752.5";"";"43";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"13.06.2017 08:30";"32.0";"";"755.3";"";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"12.06.2017 17:30";"34.2";"";"752.2";"";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"11.06.2017 17:30";"33.2";"";"751.5";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"11.06.2017 08:30";"28.4";"";"753.4";"";"62";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.5";"";"";"";"";"";"";
"10.06.2017 17:30";"33.6";"";"752.4";"";"49";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"10.06.2017 08:30";"31.2";"";"755.6";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"09.06.2017 17:30";"33.4";"";"751.9";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
