# Weather station Jhansi, India, WMO_ID=42463,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42463&lang=en
#
"Local time in Jhansi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.10.2017 17:30";"34.6";"733.9";"754.5";"";"55";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"01.10.2017 11:30";"34.0";"737.0";"757.8";"-0.6";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"01.10.2017 08:30";"28.6";"737.6";"758.8";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"30.09.2017 17:30";"33.8";"734.5";"755.2";"";"72";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"35.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.1";"";"";"";"";"";"";
"30.09.2017 11:30";"33.8";"736.5";"757.3";"-0.3";"75";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.7";"";"";"";"";"";"";
"30.09.2017 08:30";"29.0";"736.8";"757.9";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"29.09.2017 17:30";"34.0";"732.5";"753.2";"-1.0";"56";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"37.4";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"29.09.2017 14:30";"36.0";"733.5";"754.0";"-1.3";"50";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"29.09.2017 11:30";"35.0";"734.8";"755.5";"-0.2";"45";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.5";"";"";"";"";"";"";
"29.09.2017 08:30";"29.2";"735.0";"756.1";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"28.09.2017 17:30";"36.2";"732.6";"753.1";"-1.2";"49";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"37.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.7";"";"";"";"";"";"";
"28.09.2017 14:30";"37.4";"733.8";"754.3";"-1.6";"43";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"28.09.2017 11:30";"34.8";"735.4";"756.1";"-0.5";"49";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.7";"";"";"";"";"";"";
"28.09.2017 08:30";"29.0";"735.9";"757.0";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"27.09.2017 17:30";"33.8";"733.6";"754.3";"-1.3";"53";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"35.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"27.09.2017 14:30";"35.0";"734.9";"755.6";"-1.4";"45";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.5";"";"";"";"";"";"";
"27.09.2017 11:30";"33.8";"736.3";"757.1";"-0.5";"56";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"27.09.2017 08:30";"29.0";"736.8";"757.9";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.1";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"26.09.2017 17:30";"35.0";"734.0";"754.6";"";"53";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"";"36.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"26.09.2017 11:30";"33.8";"735.7";"756.5";"0.1";"52";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"26.09.2017 08:30";"28.4";"735.6";"756.7";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"25.09.2017 17:30";"33.6";"732.7";"753.4";"-1.4";"60";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"35.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"25.09.2017 14:30";"35.0";"734.1";"754.7";"-1.5";"53";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"25.09.2017 11:30";"33.4";"735.6";"756.4";"-0.2";"58";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"25.09.2017 08:30";"27.8";"735.8";"757.0";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"24.09.2017 17:30";"33.2";"734.4";"755.2";"-1.6";"61";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"24.09.2017 14:30";"33.4";"736.0";"756.8";"-0.7";"59";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"24.09.2017 11:30";"32.0";"736.7";"757.6";"0.0";"66";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"24.09.2017 08:30";"28.0";"736.7";"757.9";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.1";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"24.09.2017 02:30";"";"";"756.1";"";"";"Wind blowing from the north-northeast";"5";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"0.8";"25.3";"";"";"";"";"";"";
"23.09.2017 17:30";"32.0";"733.9";"754.7";"-0.7";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"23.09.2017 14:30";"32.6";"734.6";"755.4";"-0.5";"63";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"23.09.2017 11:30";"31.0";"735.1";"756.0";"0.5";"66";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"23.09.2017 08:30";"27.0";"734.6";"755.8";"";"92";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.6";"";"";"";"";"";"";
"22.09.2017 17:30";"32.0";"733.9";"754.7";"";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"22.09.2017 11:30";"25.6";"731.9";"753.1";"0.4";"98";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.3";"";"";"";"";"";"";
"22.09.2017 08:30";"25.4";"731.5";"752.7";"";"98";"Wind blowing from the north-east";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"24.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"21.09.2017 14:30";"26.0";"730.1";"751.2";"-2.1";"100";"Wind blowing from the north-west";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.0";"";"";"";"";"";"";
"21.09.2017 11:30";"25.4";"732.2";"753.4";"0.1";"100";"Wind blowing from the north-east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"21.09.2017 08:30";"25.6";"732.1";"753.3";"";"100";"Wind blowing from the north-east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.6";"";"";"";"";"";"";
"20.09.2017 14:30";"35.2";"731.4";"751.9";"-1.3";"56";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"20.09.2017 11:30";"33.6";"732.7";"753.4";"-0.5";"60";"Wind blowing from the east";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"20.09.2017 08:30";"29.0";"733.2";"754.2";"";"78";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"26.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"19.09.2017 17:30";"34.0";"730.8";"751.4";"-1.1";"63";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"35.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"19.09.2017 14:30";"35.0";"731.9";"752.5";"-1.5";"50";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"19.09.2017 11:30";"33.4";"733.4";"754.1";"-0.4";"64";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.6";"";"";"";"";"";"";
"19.09.2017 08:30";"28.2";"733.8";"754.9";"";"85";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.4";"";"";"";"";"";"";
"18.09.2017 17:30";"34.0";"731.5";"752.1";"-0.1";"59";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"36.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"18.09.2017 14:30";"35.0";"731.6";"752.2";"-2.3";"58";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"18.09.2017 11:30";"33.8";"733.9";"754.6";"-0.5";"64";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"18.09.2017 08:30";"28.2";"734.4";"755.5";"";"83";"Wind blowing from the west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"17.09.2017 17:30";"26.8";"731.9";"753.0";"-0.3";"92";"Wind blowing from the south-east";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"17.09.2017 14:30";"36.4";"732.2";"752.7";"-1.7";"51";"Wind blowing from the north-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"17.09.2017 11:30";"34.4";"733.9";"754.6";"-0.5";"52";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"17.09.2017 08:30";"28.6";"734.4";"755.5";"";"80";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"16.09.2017 17:30";"33.4";"731.2";"751.9";"-0.8";"59";"Wind blowing from the west-northwest";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"36.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"16.09.2017 14:30";"36.0";"732.0";"752.5";"-2.5";"53";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"16.09.2017 11:30";"34.0";"734.5";"755.2";"-0.6";"63";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"203.0";"12";"";"";"";"";
"16.09.2017 08:30";"29.4";"735.1";"756.1";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"15.09.2017 17:30";"29.0";"731.9";"752.9";"-1.8";"78";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"36.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"15.09.2017 14:30";"36.0";"733.7";"754.3";"-1.9";"47";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"15.09.2017 11:30";"33.2";"735.6";"756.4";"0.0";"56";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"15.09.2017 08:30";"29.0";"735.6";"756.7";"";"76";"Wind blowing from the north-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"26.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.4";"";"";"";"";"";"";
"14.09.2017 17:30";"32.2";"733.6";"754.4";"0.2";"68";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"14.09.2017 14:30";"34.2";"733.4";"754.1";"-2.5";"62";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"14.09.2017 11:30";"31.6";"735.9";"756.8";"-0.6";"70";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"14.09.2017 08:30";"27.4";"736.5";"757.7";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"13.09.2017 17:30";"26.4";"733.4";"754.6";"-0.8";"89";"Wind blowing from the south-west";"1";"";"";"100%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"35.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.4";"";"";"";"";"";"";
"13.09.2017 14:30";"34.0";"734.2";"754.9";"-2.9";"63";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"13.09.2017 11:30";"33.0";"737.1";"757.9";"0.0";"61";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"13.09.2017 08:30";"28.6";"737.1";"758.3";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"12.09.2017 17:30";"25.2";"734.3";"755.6";"-0.6";"93";"Wind blowing from the south";"1";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"36.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.0";"";"";"";"";"";"";
