# Weather station Kanpur / Chakeri, India, WMO_ID=42367,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42367&lang=en
#
"Local time in Kanpur / Chakeri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.07.2017 08:30";"31.0";"738.5";"748.8";"";"80";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"27.8";"";"";"";"600-1000";"";"";"4.0";"27.2";"";"";"";"";"";"";
"30.06.2017 17:30";"33.0";"735.4";"745.6";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"30.06.2017 08:30";"29.8";"739.2";"749.5";"";"86";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"4.0";"27.3";"";"";"";"";"";"";
"29.06.2017 17:30";"27.6";"737.7";"748.1";"";"94";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"29.06.2017 08:30";"26.0";"740.8";"751.3";"";"95";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"27.8";"";"";"";"600-1000";"";"";"4.0";"25.1";"";"";"";"";"";"";
"28.06.2017 17:30";"39.0";"737.7";"747.7";"";"39";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"40.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.7";"";"";"";"";"";"";
"27.06.2017 17:30";"37.6";"737.7";"747.7";"";"41";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"38.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.3";"";"";"";"";"";"";
"27.06.2017 08:30";"34.6";"740.2";"750.4";"";"64";"Wind blowing from the north-northeast";"2";"";"";"20–30%.";" ";"";"";"29.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.9";"";"";"";"";"";"";
"26.06.2017 17:30";"38.6";"737.0";"747.0";"";"47";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"39.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"26.06.2017 08:30";"33.2";"739.9";"750.1";"";"75";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"29.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"25.06.2017 08:30";"33.6";"738.9";"749.1";"";"72";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"24.06.2017 17:30";"36.2";"735.8";"745.9";"";"55";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"24.06.2017 08:30";"33.2";"739.2";"749.4";"";"63";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.3";"";"";"";"";"";"";
"23.06.2017 17:30";"31.2";"737.9";"748.2";"";"75";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.8";"";"";"600-1000";"";"";"4.0";"26.2";"";"";"";"";"";"";
"23.06.2017 08:30";"33.8";"741.3";"751.5";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"22.06.2017 17:30";"35.8";"737.1";"747.2";"";"51";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.2";"";"";"";"";"";"";
"22.06.2017 08:30";"28.0";"740.4";"750.8";"";"86";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"23.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"21.06.2017 17:30";"27.0";"736.7";"747.1";"";"87";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"21.06.2017 08:30";"30.0";"740.3";"750.6";"";"69";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"23.2";"";"";"";"600-1000";"";"";"4.0";"23.7";"";"";"";"";"";"";
"20.06.2017 17:30";"34.6";"735.9";"746.0";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"20.06.2017 08:30";"28.0";"739.7";"750.1";"";"78";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"4.0";"23.7";"";"";"";"";"";"";
"19.06.2017 17:30";"37.0";"736.8";"746.9";"";"54";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"18.06.2017 17:30";"37.4";"736.2";"746.2";"";"47";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"18.06.2017 08:30";"33.4";"739.8";"750.0";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"28.8";"";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"17.06.2017 17:30";"36.0";"737.6";"747.7";"";"46";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"37.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.7";"";"";"";"";"";"";
"17.06.2017 08:30";"31.0";"740.4";"750.7";"";"66";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.6";"";"";"";"600-1000";"";"";"4.0";"23.8";"";"";"";"";"";"";
"16.06.2017 17:30";"35.0";"738.6";"748.7";"";"54";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"37.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"15.06.2017 17:30";"40.0";"737.4";"747.4";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"15.06.2017 08:30";"33.0";"741.9";"752.2";"";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"29.4";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"14.06.2017 17:30";"43.0";"738.4";"748.3";"";"30";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.6";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"14.06.2017 08:30";"36.0";"740.0";"750.1";"";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"13.06.2017 17:30";"41.0";"736.5";"746.4";"";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"42.4";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"13.06.2017 08:30";"34.6";"738.9";"749.1";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"12.06.2017 17:30";"39.2";"735.8";"745.8";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"11.06.2017 17:30";"40.0";"737.8";"747.8";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"11.06.2017 08:30";"34.4";"740.2";"750.4";"";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"10.06.2017 17:30";"39.4";"739.0";"749.0";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"10.06.2017 08:30";"33.8";"741.1";"751.3";"";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"27.6";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"09.06.2017 17:30";"38.8";"739.8";"749.8";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.6";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"09.06.2017 08:30";"30.4";"742.2";"752.5";"";"69";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"25.6";"";"";"";"600-1000";"";"";"4.0";"24.1";"";"";"";"";"";"";
"08.06.2017 17:30";"38.0";"740.6";"750.7";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"26.1";"";"";"";"";"";"";
"07.06.2017 17:30";"31.6";"742.2";"752.5";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"07.06.2017 08:30";"26.0";"743.5";"754.0";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"22.6";"";"";"";"600-1000";"";"";"4.0";"24.8";"";"";"";"";"";"";
"06.06.2017 17:30";"36.0";"738.7";"748.8";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"06.06.2017 08:30";"34.8";"741.4";"751.6";"";"69";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"20.7";"";"";"";"";"";"";"4.0";"28.3";"";"";"";"";"";"";
"05.06.2017 17:30";"42.6";"737.2";"747.1";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"43.6";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"05.06.2017 08:30";"37.0";"739.1";"749.2";"";"42";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"29.4";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"04.06.2017 17:30";"43.6";"736.8";"746.6";"";"28";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"44.8";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"04.06.2017 08:30";"36.2";"738.0";"748.1";"";"41";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.4";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"03.06.2017 17:30";"43.8";"738.1";"748.0";"";"24";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"44.8";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"02.06.2017 17:30";"40.0";"739.5";"749.5";"";"36";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"02.06.2017 08:30";"23.6";"742.8";"753.4";"";"";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"26.3";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"01.06.2017 17:30";"37.0";"736.8";"746.8";"";"49";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"38.2";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"01.06.2017 08:30";"31.6";"742.6";"752.9";"";"70";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"31.05.2017 17:30";"36.2";"738.6";"748.7";"";"46";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.4";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"31.05.2017 08:30";"29.6";"740.6";"751.0";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"30.05.2017 08:30";"28.6";"739.4";"749.8";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"29.05.2017 17:30";"33.4";"739.4";"749.6";"";"58";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"29.05.2017 08:30";"28.0";"741.4";"751.8";"";"75";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"4.0";"23.2";"";"";"";"";"";"";
"28.05.2017 17:30";"34.0";"737.9";"748.1";"";"49";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"28.05.2017 08:30";"29.0";"741.8";"752.2";"";"71";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"25.6";"";"";"";"600-1000";"";"";"4.0";"23.2";"";"";"";"";"";"";
"27.05.2017 17:30";"36.4";"739.4";"749.5";"";"44";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.6";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"27.05.2017 08:30";"29.8";"741.3";"751.7";"";"60";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"26.8";"";"";"";"600-1000";"";"";"4.0";"21.1";"";"";"";"";"";"";
"26.05.2017 17:30";"42.2";"744.0";"754.0";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"42.6";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"26.05.2017 08:30";"34.6";"741.3";"751.5";"";"51";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"";"23.1";"";"";"";"";"";"";
"25.05.2017 17:30";"41.6";"739.9";"749.8";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"42.2";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"24.05.2017 17:30";"40.0";"741.3";"751.3";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"24.05.2017 08:30";"34.6";"743.4";"753.6";"";"43";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"26.0";"";"";"";"600-1000";"";"";"4.0";"20.3";"";"";"";"";"";"";
"23.05.2017 17:30";"38.6";"741.1";"751.2";"";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.2";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"23.05.2017 08:30";"30.4";"745.1";"755.5";"";"55";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"26.4";"";"";"";"600-1000";"";"";"4.0";"20.5";"";"";"";"";"";"";
"22.05.2017 17:30";"37.6";"740.0";"750.1";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.2";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"22.05.2017 08:30";"32.0";"744.0";"754.3";"";"45";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"26.6";"";"";"";"600-1000";"";"";"4.0";"18.5";"";"";"";"";"";"";
"21.05.2017 17:30";"40.4";"739.6";"749.6";"";"27";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"42.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.1";"";"";"";"";"";"";
"21.05.2017 08:30";"34.6";"742.0";"752.2";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"20.05.2017 17:30";"39.6";"739.7";"749.7";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"20.05.2017 08:30";"32.0";"743.4";"753.7";"";"47";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.4";"";"";"";"600-1000";"";"";"4.0";"19.2";"";"";"";"";"";"";
"19.05.2017 17:30";"38.6";"742.0";"752.1";"";"27";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"19.05.2017 08:30";"33.6";"745.2";"755.5";"";"45";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"28.8";"";"";"";"600-1000";"";"";"4.0";"20.1";"";"";"";"";"";"";
"18.05.2017 17:30";"38.6";"741.7";"751.8";"";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"18.05.2017 08:30";"31.2";"745.1";"755.5";"";"48";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"17.05.2017 17:30";"33.6";"739.9";"750.1";"";"47";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"4.0";"20.8";"";"";"";"";"";"";
"16.05.2017 17:30";"42.2";"738.1";"748.0";"";"18";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"43.4";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"16.05.2017 08:30";"36.6";"740.0";"750.1";"";"24";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"15.05.2017 17:30";"40.8";"738.7";"748.7";"";"23";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"15.05.2017 08:30";"34.2";"741.4";"751.6";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"14.05.2017 17:30";"43.0";"739.2";"749.1";"";"10";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"44.4";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"14.05.2017 08:30";"35.4";"743.0";"753.2";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"13.05.2017 17:30";"40.6";"740.8";"750.8";"";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"41.6";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"13.05.2017 08:30";"32.6";"744.4";"754.7";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"12.05.2017 17:30";"39.8";"743.0";"753.0";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"41.6";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"12.05.2017 08:30";"34.4";"746.2";"756.5";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"11.05.2017 17:30";"39.0";"744.2";"754.3";"";"30";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"11.05.2017 08:30";"30.4";"745.7";"756.1";"";"63";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"25.8";"";"";"";"600-1000";"";"";"4.0";"22.5";"";"";"";"";"";"";
"10.05.2017 17:30";"34.6";"743.1";"753.3";"";"43";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"10.05.2017 08:30";"28.2";"745.4";"755.9";"";"61";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"09.05.2017 17:30";"37.6";"742.8";"752.9";"";"25";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"38.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.6";"";"";"";"";"";"";
"09.05.2017 08:30";"29.4";"745.0";"755.4";"";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"08.05.2017 17:30";"38.2";"743.3";"753.4";"";"36";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"08.05.2017 08:30";"31.6";"745.0";"755.3";"";"59";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"07.05.2017 17:30";"41.6";"741.4";"751.4";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.2";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"07.05.2017 08:30";"34.0";"745.4";"755.7";"";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"06.05.2017 17:30";"42.0";"743.0";"753.0";"";"11";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"06.05.2017 08:30";"33.6";"746.5";"756.8";"";"28";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"05.05.2017 17:30";"39.4";"742.8";"752.9";"";"15";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"04.05.2017 17:30";"38.6";"742.7";"752.8";"";"27";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"04.05.2017 08:30";"31.6";"747.8";"758.2";"";"37";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"26.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.1";"";"";"";"";"";"";
"03.05.2017 17:30";"36.6";"743.5";"753.7";"";"23";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"36.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.5";"";"";"";"";"";"";
"03.05.2017 08:30";"33.8";"746.1";"756.4";"";"30";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.9";"";"";"";"";"";"";
"02.05.2017 17:30";"38.6";"744.2";"754.3";"";"14";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"02.05.2017 08:30";"31.8";"748.1";"758.5";"";"45";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"01.05.2017 08:30";"28.4";"747.8";"758.3";"";"40";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"23.5";"";"";"";"600-1000";"";"";"4.0";"13.7";"";"";"";"";"";"";
"30.04.2017 17:30";"37.2";"742.2";"752.3";"";"29";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"30.04.2017 08:30";"32.0";"746.1";"756.4";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"25.6";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"29.04.2017 17:30";"39.2";"742.8";"752.9";"";"17";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"29.04.2017 08:30";"32.6";"745.5";"755.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"28.04.2017 17:30";"38.4";"743.4";"753.5";"";"18";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.8";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"28.04.2017 08:30";"31.0";"745.4";"755.8";"";"36";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"27.04.2017 17:30";"37.4";"742.9";"753.0";"";"16";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"27.04.2017 08:30";"31.0";"745.3";"755.7";"";"36";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"26.04.2017 17:30";"37.8";"741.8";"751.9";"";"28";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"26.04.2017 08:30";"31.2";"744.5";"754.8";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"24.2";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"25.04.2017 17:30";"38.2";"740.8";"750.9";"";"27";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"25.04.2017 08:30";"31.8";"744.0";"754.3";"";"39";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"24.04.2017 17:30";"38.0";"740.6";"750.7";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"40.2";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"24.04.2017 08:30";"29.4";"743.8";"754.2";"";"53";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"23.04.2017 17:30";"32.0";"740.0";"750.3";"";"47";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.2";"";"";"";"";"";"";
"23.04.2017 08:30";"31.0";"744.0";"754.3";"";"64";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
