# Weather station Agra, India, WMO_ID=42260,selection from 01.01.2012 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42260&lang=en
#
"Local time in Agra";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.10.2017 17:30";"33.8";"738.8";"752.7";"";"38";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"10.10.2017 11:30";"34.8";"741.6";"755.5";"-0.2";"39";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"10.10.2017 08:30";"28.2";"741.8";"756.1";"1.0";"61";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"";"";"";"";"";"2.0";"20.0";"";"";"";"";"";"";
"10.10.2017 05:30";"23.0";"740.8";"755.3";"";"81";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"19.6";"";"";"";"";"";"";
"09.10.2017 17:30";"35.1";"739.2";"753.1";"";"17";"Wind blowing from the north-northwest";"2";"";"";"20–30%.";" ";"";"";"";"38.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.5";"";"";"";"";"";"";
"09.10.2017 11:30";"34.6";"741.8";"755.8";"-0.3";"37";"Wind blowing from the east-southeast";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"09.10.2017 08:30";"28.0";"742.1";"756.4";"";"43";"Wind blowing from the north";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.4";"";"";"";"";"";"";"2.0";"14.4";"";"";"";"";"";"";
"09.10.2017 05:30";"20.8";"741.1";"755.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"08.10.2017 17:30";"34.2";"739.2";"753.1";"";"23";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"36.7";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"08.10.2017 11:30";"34.0";"741.9";"755.9";"-0.2";"31";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"08.10.2017 08:30";"27.6";"742.1";"756.4";"0.8";"53";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.5";"";"";"";"";"";"";"2.0";"17.1";"";"";"";"";"";"";
"08.10.2017 05:30";"20.6";"741.3";"755.9";"";"87";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"18.4";"";"";"";"";"";"";
"07.10.2017 17:30";"34.0";"739.5";"753.4";"";"31";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"36.9";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"07.10.2017 11:30";"33.8";"742.7";"756.7";"-0.6";"32";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"07.10.2017 08:30";"28.0";"743.3";"757.6";"1.3";"52";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.8";"";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"07.10.2017 05:30";"21.6";"742.0";"756.6";"";"72";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"16.3";"";"";"";"";"";"";
"06.10.2017 17:30";"34.6";"740.3";"754.2";"";"29";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"";"37.1";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"06.10.2017 11:30";"34.6";"742.9";"756.9";"-0.5";"36";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"06.10.2017 08:30";"28.6";"743.4";"757.7";"1.1";"58";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.7";"";"";"";"";"";"";"2.0";"19.4";"";"";"";"";"";"";
"06.10.2017 05:30";"26.2";"742.3";"756.7";"";"61";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"18.0";"";"";"";"";"";"";
"05.10.2017 17:30";"34.0";"740.4";"754.4";"";"40";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"05.10.2017 11:30";"34.0";"743.0";"757.0";"-0.2";"40";"Wind blowing from the north";"3";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"05.10.2017 08:30";"28.0";"743.2";"757.5";"";"62";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.7";"";"";"";"";"";"";"2.0";"20.1";"";"";"";"";"";"";
"05.10.2017 05:30";"25.4";"742.1";"756.5";"";"76";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"04.10.2017 17:30";"34.4";"740.7";"754.7";"";"33";"Wind blowing from the north-west";"3";"";"";"50%.";" ";"";"";"";"37.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"04.10.2017 11:30";"33.8";"743.0";"757.0";"-0.3";"47";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"04.10.2017 08:30";"28.8";"743.3";"757.6";"1.4";"59";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.0";"";"";"";"";"";"";"2.0";"20.0";"";"";"";"";"";"";
"04.10.2017 05:30";"22.2";"741.9";"756.5";"";"83";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"03.10.2017 17:30";"34.2";"739.8";"753.7";"";"33";"Wind blowing from the north-west";"4";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"03.10.2017 11:30";"35.4";"742.0";"755.9";"-0.3";"28";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"03.10.2017 08:30";"28.8";"742.3";"756.5";"1.3";"43";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"03.10.2017 05:30";"21.0";"741.0";"755.6";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"02.10.2017 17:30";"35.0";"738.9";"752.8";"-6.5";"31";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"02.10.2017 14:30";"";"745.4";"746.5";"";"";"Wind blowing from the east";"16";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"";"";"";"";"-4.4";"";"";"";"";"";"";
"02.10.2017 11:30";"36.2";"741.3";"755.2";"-0.4";"25";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"02.10.2017 08:30";"29.2";"741.7";"755.9";"";"50";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"02.10.2017 05:30";"21.0";"740.5";"755.1";"";"80";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"01.10.2017 17:30";"35.2";"739.3";"753.2";"";"25";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"";"38.6";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"01.10.2017 08:30";"28.4";"743.0";"757.3";"1.3";"54";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.4";"";"";"";"";"";"";"2.0";"18.1";"";"";"";"";"";"";
"01.10.2017 05:30";"21.2";"741.7";"756.3";"";"100";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"30.09.2017 17:30";"35.2";"740.1";"754.0";"";"36";"Wind blowing from the north-northwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"38.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"30.09.2017 11:30";"34.0";"742.1";"756.1";"-0.1";"47";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"30.09.2017 08:30";"29.4";"742.2";"756.4";"";"66";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.1";"";"";"";"";"";"";"2.0";"22.3";"";"";"";"";"";"";
"30.09.2017 05:30";"24.8";"740.6";"755.0";"";"84";"variable wind direction";"1";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.0";"";"";"";"";"";"";
"29.09.2017 17:30";"34.4";"738.0";"751.9";"";"37";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"";"37.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"29.09.2017 11:30";"35.4";"740.1";"754.0";"-0.3";"51";"Wind blowing from the west";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.7";"";"";"";"";"";"";
"29.09.2017 08:30";"29.6";"740.4";"754.6";"";"78";"variable wind direction";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.4";"";"";"";"";"";"";
"29.09.2017 05:30";"23.3";"739.2";"753.7";"";"100";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"23.3";"";"";"";"";"";"";
"28.09.2017 17:30";"35.6";"738.1";"751.9";"";"55";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"28.09.2017 11:30";"35.2";"740.7";"754.6";"-0.4";"37";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.4";"";"";"";"";"";"";
"28.09.2017 08:30";"31.0";"741.1";"755.2";"";"61";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.3";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"28.09.2017 05:30";"24.6";"739.9";"754.3";"";"96";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"27.09.2017 17:30";"35.4";"739.2";"753.1";"";"39";"Wind blowing from the north";"3";"";"";"20–30%.";" ";"";"";"";"37.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"27.09.2017 11:30";"35.0";"741.8";"755.7";"-0.4";"42";"Wind blowing from the west-northwest";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
"27.09.2017 08:30";"30.2";"742.2";"756.4";"";"76";"variable wind direction";"1";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.4";"";"";"";"";"";"";
"27.09.2017 05:30";"23.9";"740.9";"755.4";"";"100";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"23.9";"";"";"";"";"";"";
"26.09.2017 17:30";"33.4";"739.3";"753.3";"";"53";"Wind blowing from the north-northwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"36.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"26.09.2017 11:30";"33.2";"741.1";"755.1";"-0.1";"55";"Wind blowing from the north-northwest";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"26.09.2017 08:30";"29.8";"741.2";"755.4";"1.3";"61";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.6";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"26.09.2017 05:30";"24.6";"739.9";"754.3";"";"100";"variable wind direction";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"25.09.2017 17:30";"33.4";"738.4";"752.4";"8.7";"45";"Wind blowing from the north-northwest";"3";"";"";"40%.";" ";"";"";"";"36.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"25.09.2017 14:30";"";"729.7";"";"";"";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"";"";"";"";"-0.1";"";"";"";"";"";"";
"25.09.2017 11:30";"33.2";"740.6";"754.6";"-0.1";"51";"";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"25.09.2017 08:30";"27.0";"740.7";"755.0";"0.8";"90";"Wind blowing from the west";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.3";"";"";"";"";"";"";
"25.09.2017 05:30";"22.9";"739.9";"754.4";"";"100";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"24.09.2017 17:30";"31.0";"739.9";"754.0";"";"62";"Wind blowing from the north-northwest";"4";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"24.09.2017 11:30";"30.2";"741.9";"756.1";"-0.2";"72";"Wind blowing from the north-west";"5";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"24.09.2017 08:30";"25.7";"742.1";"756.5";"";"100";"Wind blowing from the west-northwest";"3";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"24.09.2017 05:30";"22.8";"740.6";"755.1";"";"100";"variable wind direction";"1";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"23.09.2017 17:30";"28.2";"739.2";"753.4";"";"95";"Wind blowing from the north-northwest";"4";"";"";"60%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"23.09.2017 11:30";"26.5";"739.6";"753.9";"1.2";"100";"Wind blowing from the west-southwest";"5";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.5";"";"";"";"";"";"";
"23.09.2017 08:30";"25.6";"738.4";"752.7";"1.5";"100";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"25.6";"";"";"";"";"";"";
"23.09.2017 05:30";"25.0";"736.9";"751.2";"";"100";"variable wind direction";"1";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"22.09.2017 17:30";"25.6";"736.1";"750.4";"";"100";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"31.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"22.09.2017 11:30";"28.2";"737.9";"752.1";"0.1";"86";"Wind blowing from the north-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"25.6";"";"";"";"";"";"";
"22.09.2017 08:30";"25.9";"737.8";"752.1";"1.1";"100";"Wind blowing from the north-northwest";"3";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"200-300";"Altocumulus translucidus at a single level.";"";"4.0";"25.9";"";"";"";"";"";"";
"22.09.2017 05:30";"25.8";"736.7";"751.0";"";"100";"Wind blowing from the north";"2";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"21.09.2017 17:30";"27.8";"736.5";"750.7";"";"86";"Wind blowing from the north-east";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"600-1000";"";"";"4.0";"25.2";"";"";"";"";"";"";
"21.09.2017 11:30";"30.2";"738.6";"752.7";"0.3";"73";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"21.09.2017 08:30";"28.0";"738.3";"752.5";"0.5";"87";"Wind blowing from the east-northeast";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.8";"";"";"";"300-600";"";"";"4.0";"25.6";"";"";"";"";"";"";
