# Weather station Ghazipur, India, WMO_ID=42482,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42482&lang=en
#
"Local time in Ghazipur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.06.2017 17:30";"35.4";"742.1";"747.6";"";"50";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"15.06.2017 08:30";"30.4";"745.3";"750.9";"";"69";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"14.06.2017 17:30";"41.0";"742.2";"747.6";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"13.06.2017 17:30";"37.4";"740.7";"746.2";"";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"12.06.2017 17:30";"38.0";"740.3";"745.8";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"11.06.2017 17:30";"34.0";"741.4";"746.9";"";"62";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"10.06.2017 17:30";"37.4";"740.8";"746.3";"";"49";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"10.06.2017 08:30";"38.4";"746.1";"751.6";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"27.3";"";"";"";"";"";"";
"09.06.2017 17:30";"35.4";"742.5";"748.0";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"09.06.2017 08:30";"30.0";"746.0";"751.7";"";"85";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"08.06.2017 17:30";"33.4";"743.3";"748.9";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"07.06.2017 17:30";"30.0";"745.1";"750.7";"";"78";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"07.06.2017 08:30";"29.0";"747.9";"753.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"06.06.2017 17:30";"28.0";"745.2";"750.9";"";"89";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"06.06.2017 08:30";"26.4";"748.3";"754.0";"";"97";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"05.06.2017 17:30";"35.0";"741.3";"746.8";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"05.06.2017 08:30";"33.6";"743.9";"749.5";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"28.7";"";"";"";"";"";"";
"04.06.2017 17:30";"42.0";"739.8";"745.2";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"04.06.2017 08:30";"33.0";"744.2";"749.8";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"27.5";"";"";"";"";"";"";
"02.06.2017 17:30";"40.0";"742.3";"747.7";"";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"02.06.2017 08:30";"33.0";"745.2";"750.8";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"01.06.2017 17:30";"37.0";"741.6";"747.1";"";"45";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"01.06.2017 08:30";"31.0";"744.8";"750.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"31.05.2017 17:30";"35.6";"742.8";"748.3";"";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"30.05.2017 17:30";"31.0";"741.2";"746.8";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"30.05.2017 08:30";"32.0";"742.6";"748.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"29.05.2017 17:30";"34.4";"742.4";"747.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"29.05.2017 08:30";"28.0";"745.3";"751.0";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"28.05.2017 17:30";"32.4";"742.6";"748.2";"";"59";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.5";"";"";"";"";"";"";
"27.05.2017 17:30";"30.4";"743.3";"748.9";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"27.05.2017 08:30";"28.0";"746.1";"751.8";"";"66";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"19.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.1";"";"";"";"";"";"";
"26.05.2017 17:30";"39.0";"741.1";"746.6";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"26.05.2017 08:30";"32.4";"745.9";"751.5";"";"56";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"25.5";"";"";"";"";"";"";"";"22.5";"";"";"";"";"";"";
"25.05.2017 17:30";"41.0";"742.9";"748.3";"";"36";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"24.05.2017 17:30";"39.0";"743.0";"748.5";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"24.05.2017 08:30";"34.0";"747.2";"752.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"23.05.2017 17:30";"36.0";"744.1";"749.6";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"23.05.2017 08:30";"35.0";"746.8";"752.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"4.0";"26.7";"";"";"";"";"";"";
"22.05.2017 17:30";"40.0";"742.7";"748.1";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"22.05.2017 08:30";"34.0";"746.7";"752.3";"";"58";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"21.05.2017 17:30";"40.0";"742.8";"748.2";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"21.05.2017 08:30";"35.0";"745.0";"750.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"20.05.2017 17:30";"39.4";"741.9";"747.4";"";"27";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"19.05.2017 17:30";"38.4";"744.0";"749.5";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"19.05.2017 08:30";"32.4";"747.1";"752.7";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"18.05.2017 17:30";"37.0";"744.1";"749.6";"";"32";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"18.05.2017 08:30";"29.0";"746.9";"752.6";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"17.05.2017 17:30";"33.0";"743.7";"749.3";"";"45";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"16.05.2017 17:30";"37.4";"741.4";"746.9";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"16.05.2017 08:30";"30.4";"744.7";"750.3";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"15.05.2017 17:30";"38.4";"741.1";"746.6";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"14.05.2017 17:30";"37.4";"743.1";"748.6";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"14.05.2017 08:30";"32.0";"746.0";"751.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"13.05.2017 17:30";"35.4";"744.5";"750.0";"-16.9";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"13.05.2017 14:30";"";"761.4";"761.8";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.1";"24.7";"";"";"";"";"";"";
"13.05.2017 08:30";"29.0";"750.1";"755.8";"";"61";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.6";"";"";"";"";"";"";
"12.05.2017 17:30";"35.4";"746.2";"751.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"12.05.2017 08:30";"29.4";"751.0";"756.7";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"11.05.2017 17:30";"35.6";"746.3";"751.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"11.05.2017 08:30";"29.2";"750.1";"755.8";"";"77";"Wind blowing from the north-east";"5";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"10.05.2017 08:30";"29.0";"750.4";"756.1";"";"62";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"09.05.2017 08:30";"27.0";"749.2";"754.9";"";"68";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.6";"";"";"";"";"";"";
"08.05.2017 17:30";"35.6";"745.3";"750.8";"";"49";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"0.5";"23.3";"";"";"";"";"";"";
"07.05.2017 17:30";"37.4";"746.1";"751.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"07.05.2017 08:30";"29.4";"750.4";"756.1";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"06.05.2017 17:30";"39.0";"746.0";"751.5";"";"26";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"06.05.2017 08:30";"33.4";"750.2";"755.8";"";"50";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"05.05.2017 17:30";"37.0";"745.9";"751.4";"";"28";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"04.05.2017 17:30";"37.0";"747.0";"752.5";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"04.05.2017 08:30";"31.0";"750.7";"756.4";"";"69";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"03.05.2017 17:30";"36.4";"747.0";"752.5";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"03.05.2017 08:30";"34.0";"750.4";"756.0";"";"36";"Wind blowing from the south-southwest";"16";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"02.05.2017 17:30";"36.4";"748.4";"754.0";"";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"02.05.2017 08:30";"30.0";"752.2";"757.9";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"01.05.2017 08:30";"30.0";"750.2";"755.9";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"30.04.2017 17:30";"36.0";"746.9";"752.5";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"30.04.2017 08:30";"29.0";"750.1";"755.8";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"29.04.2017 08:30";"32.0";"749.7";"755.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"28.04.2017 08:30";"30.0";"749.3";"755.0";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"27.04.2017 17:30";"38.4";"746.4";"751.9";"";"19";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"27.04.2017 08:30";"29.4";"749.2";"754.9";"";"43";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.5";"";"";"";"";"";"";
"26.04.2017 17:30";"38.0";"746.3";"751.8";"";"20";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"26.04.2017 08:30";"32.4";"748.1";"753.7";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"25.04.2017 17:30";"37.4";"744.0";"749.5";"";"23";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"25.04.2017 08:30";"32.0";"744.8";"750.4";"";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"24.04.2017 17:30";"35.4";"744.5";"750.0";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"24.04.2017 08:30";"25.4";"747.9";"753.7";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"23.04.2017 17:30";"35.4";"743.7";"749.2";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"23.04.2017 08:30";"25.4";"747.2";"753.0";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"22.04.2017 17:30";"34.0";"743.6";"749.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"22.04.2017 08:30";"27.0";"747.2";"752.9";"";"84";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.1";"";"";"";"";"";"";
"21.04.2017 08:30";"25.0";"746.3";"752.1";"";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"23.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"20.04.2017 17:30";"33.0";"744.0";"749.6";"";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"20.04.2017 08:30";"27.4";"746.4";"752.1";"";"70";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"19.04.2017 17:30";"38.0";"743.2";"748.7";"";"36";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"18.04.2017 17:30";"35.4";"745.6";"751.2";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"18.04.2017 08:30";"29.0";"";"754.5";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"17.04.2017 17:30";"35.0";"";"751.3";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"17.04.2017 08:30";"28.0";"";"755.4";"";"70";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"16.04.2017 17:30";"34.4";"";"751.1";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"15.04.2017 17:30";"33.4";"";"749.5";"";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"15.04.2017 08:30";"27.4";"";"753.4";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"14.04.2017 17:30";"36.4";"";"751.4";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"14.04.2017 08:30";"29.0";"";"755.8";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"13.04.2017 17:30";"35.0";"";"752.6";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"12.04.2017 17:30";"36.4";"746.4";"751.9";"";"19";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"12.04.2017 08:30";"28.4";"750.1";"755.8";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"11.04.2017 17:30";"35.2";"747.5";"753.1";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"11.04.2017 08:30";"29.4";"749.7";"755.4";"";"23";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"10.04.2017 08:30";"27.0";"750.6";"756.3";"";"28";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"09.04.2017 17:30";"34.0";"747.9";"753.5";"";"16";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"09.04.2017 08:30";"23.4";"750.6";"756.4";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"07.04.2017 17:30";"36.6";"745.7";"751.2";"";"50";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.5";"";"";"";"";"";"";
"06.04.2017 17:30";"34.2";"746.2";"751.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"06.04.2017 08:30";"26.4";"749.7";"755.5";"";"81";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"05.04.2017 17:30";"32.4";"746.3";"751.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"05.04.2017 08:30";"25.0";"750.4";"756.2";"";"79";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.1";"";"";"";"";"";"";
"04.04.2017 08:30";"28.0";"749.6";"755.3";"";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"03.04.2017 17:30";"38.6";"744.9";"750.4";"";"15";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"03.04.2017 08:30";"32.0";"748.7";"754.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"02.04.2017 17:30";"36.4";"744.4";"749.9";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"02.04.2017 08:30";"28.0";"748.0";"753.7";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"02.04.2017 02:30";"";"762.7";"763.0";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.6";"23.9";"";"";"";"";"";"";
"31.03.2017 17:30";"35.0";"748.2";"753.8";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"30.03.2017 17:30";"37.4";"746.4";"751.9";"";"22";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"30.03.2017 08:30";"27.4";"749.6";"755.3";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"29.03.2017 17:30";"36.4";"746.7";"752.2";"";"28";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"29.03.2017 08:30";"27.0";"750.4";"756.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"24.1";"";"";"";"";"";"";
"28.03.2017 17:30";"33.4";"748.4";"754.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"28.03.2017 08:30";"25.4";"";"757.0";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"27.03.2017 17:30";"33.6";"";"754.9";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
