# Weather station Shahjahanpur, India, WMO_ID=42266,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42266&lang=en
#
"Local time in Shahjahanpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.07.2017 08:30";"28.8";"737.5";"750.5";"";"89";"Wind blowing from the east";"2";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.3";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.9";"";"";"";"";"";"";
"14.07.2017 17:30";"33.0";"734.8";"747.6";"";"68";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"14.07.2017 08:30";"29.0";"737.4";"750.4";"";"85";"Wind blowing from the east";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.2";"";"";"";"";"";"";
"13.07.2017 17:30";"30.4";"734.2";"747.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"13.07.2017 08:30";"28.4";"737.3";"750.4";"";"82";"Wind blowing from the east";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.9";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.0";"";"";"";"";"";"";
"12.07.2017 17:30";"31.4";"735.0";"747.9";"";"70";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"12.07.2017 08:30";"26.0";"738.1";"751.3";"";"89";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"24.0";"";"";"";"";"";"";
"11.07.2017 17:30";"26.4";"735.7";"748.8";"";"97";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.8";"";"";"";"";"";"";
"11.07.2017 08:30";"26.2";"737.5";"750.7";"";"95";"Wind blowing from the west";"1";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.3";"";"";"";"";"";"";
"10.07.2017 17:30";"26.4";"736.1";"749.2";"";"92";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.0";"";"";"";"";"";"";
"10.07.2017 08:30";"27.8";"736.7";"749.8";"";"94";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.7";"";"";"";"";"";"";
"09.07.2017 17:30";"29.2";"735.9";"748.9";"";"85";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"34.3";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"09.07.2017 08:30";"30.0";"736.0";"749.0";"";"91";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"28.4";"";"";"";"";"";"";
"08.07.2017 08:30";"28.0";"736.7";"749.8";"";"92";"Wind blowing from the north";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.6";"";"";"";"";"";"";
"07.07.2017 17:30";"28.0";"735.2";"748.2";"";"90";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.2";"";"";"";"";"";"";
"07.07.2017 08:30";"26.4";"736.7";"749.8";"";"98";"Wind blowing from the east";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.1";"";"";"";"";"";"";
"06.07.2017 08:30";"25.6";"735.7";"748.9";"";"100";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"24.6";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"2.0";"25.6";"";"";"";"";"";"";
"05.07.2017 17:30";"29.4";"734.1";"747.1";"";"85";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.6";"";"";"";"";"";"";
"05.07.2017 08:30";"25.6";"734.6";"747.7";"";"98";"Wind blowing from the south";"1";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.3";"";"";"";"";"";"";
"04.07.2017 17:30";"28.0";"731.3";"744.3";"";"85";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.2";"";"";"";"";"";"";
"04.07.2017 08:30";"28.4";"733.5";"746.5";"";"89";"Wind blowing from the east";"1";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.4";"";"";"";"";"";"";
"03.07.2017 17:30";"29.0";"732.1";"745.0";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"4.0";"26.2";"";"";"";"";"";"";
"03.07.2017 08:30";"28.2";"735.3";"748.3";"";"91";"Wind blowing from the east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.5";"";"";"";"";"";"";
"02.07.2017 17:30";"30.4";"733.3";"746.2";"";"80";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"02.07.2017 08:30";"27.4";"734.8";"747.9";"";"97";"Wind blowing from the south-east";"1";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.9";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.8";"";"";"";"";"";"";
"01.07.2017 17:30";"26.4";"732.1";"745.2";"";"84";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"36.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.5";"";"";"";"";"";"";
"01.07.2017 08:30";"30.2";"733.8";"746.7";"";"78";"Wind blowing from the west";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.0";"";"";"";"";"";"";
"30.06.2017 17:30";"34.0";"732.0";"744.7";"";"67";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"35.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"4.0";"27.1";"";"";"";"";"";"";
"30.06.2017 08:30";"28.4";"735.0";"748.0";"";"85";"Wind blowing from the east";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.6";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.6";"";"";"";"";"";"";
"29.06.2017 17:30";"33.4";"733.4";"746.2";"";"65";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"29.06.2017 08:30";"33.0";"736.6";"749.4";"";"66";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.8";"";"";"";"";"";"";
"28.06.2017 17:30";"36.4";"733.3";"746.0";"";"51";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"4.0";"24.6";"";"";"";"";"";"";
"27.06.2017 17:30";"35.0";"735.0";"747.7";"";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"27.06.2017 08:30";"31.4";"736.8";"749.7";"";"70";"Wind blowing from the south-east";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.8";"";"";"";"";"";"";"2.0";"25.2";"";"";"";"";"";"";
"26.06.2017 17:30";"36.2";"733.7";"746.4";"";"52";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"37.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"26.06.2017 08:30";"31.0";"736.9";"749.8";"";"72";"Wind blowing from the east";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.2";"";"";"";"";"";"";"2.0";"25.4";"";"";"";"";"";"";
"25.06.2017 08:30";"31.0";"735.6";"748.5";"";"78";"Wind blowing from the east";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.8";"";"";"";"";"";"";
"24.06.2017 17:30";"37.0";"733.3";"745.9";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"24.06.2017 08:30";"30.4";"735.3";"748.2";"";"73";"Wind blowing from the north";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"25.0";"";"";"";"";"";"";
"23.06.2017 17:30";"35.0";"733.5";"746.2";"";"49";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"23.06.2017 08:30";"30.2";"736.7";"749.7";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.4";"";"";"";"";"";"";"2.0";"25.1";"";"";"";"";"";"";
"22.06.2017 17:30";"34.0";"734.1";"746.9";"";"58";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"22.06.2017 08:30";"27.2";"735.4";"748.5";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.5";"";"";"";"";"";"";"2.0";"22.8";"";"";"";"";"";"";
"21.06.2017 17:30";"34.0";"732.9";"745.6";"";"62";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"35.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"21.06.2017 08:30";"25.8";"735.9";"749.0";"";"93";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"25.2";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"20.06.2017 17:30";"34.0";"732.3";"745.0";"";"58";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"20.06.2017 08:30";"";"";"749.1";"";"";"";"";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"1500-2000";"";"";"0.6";"24.4";"";"";"";"";"";"";
"19.06.2017 17:30";"37.0";"732.4";"745.0";"";"39";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"38.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"18.06.2017 08:30";"30.4";"736.0";"749.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.7";"";"";"";"";"";"";"2.0";"24.1";"";"";"";"";"";"";
"17.06.2017 17:30";"36.0";"734.2";"746.9";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"17.06.2017 08:30";"28.6";"737.2";"750.2";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.2";"";"";"";"";"";"";"2.0";"22.7";"";"";"";"";"";"";
"16.06.2017 17:30";"31.4";"735.7";"748.6";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"15.06.2017 17:30";"37.4";"734.8";"747.4";"";"35";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"38.6";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"15.06.2017 08:30";"31.0";"737.5";"750.5";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.4";"";"";"";"";"";"";"2.0";"21.5";"";"";"";"";"";"";
"14.06.2017 17:30";"40.2";"733.2";"745.7";"";"34";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"41.8";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"14.06.2017 08:30";"34.0";"736.3";"749.1";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.5";"";"";"";"";"";"";"2.0";"21.7";"";"";"";"";"";"";
"13.06.2017 17:30";"40.0";"732.4";"744.9";"";"24";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"13.06.2017 08:30";"31.0";"735.3";"748.2";"";"56";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.0";"";"";"";"";"";"";"2.0";"21.2";"";"";"";"";"";"";
"12.06.2017 17:30";"37.4";"732.1";"744.7";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"11.06.2017 17:30";"28.2";"734.2";"747.2";"";"61";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.0";"";"";"";"";"";"";
"11.06.2017 08:30";"29.4";"737.5";"750.5";"";"64";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.8";"";"";"";"";"";"";"2.0";"22.0";"";"";"";"";"";"";
"10.06.2017 17:30";"37.6";"734.0";"746.6";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"10.06.2017 08:30";"30.2";"737.4";"750.4";"";"66";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.3";"";"";"";"";"";"";"2.0";"23.2";"";"";"";"";"";"";
"09.06.2017 17:30";"34.8";"735.9";"748.7";"";"46";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"09.06.2017 08:30";"27.4";"738.4";"751.5";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.6";"";"";"";"";"";"";"2.0";"23.9";"";"";"";"";"";"";
"08.06.2017 17:30";"29.4";"736.5";"749.5";"";"68";"Wind blowing from the west";"1";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"35.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"07.06.2017 17:30";"32.0";"737.1";"750.0";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"07.06.2017 08:30";"25.0";"741.1";"754.4";"";"90";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"23.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"23.2";"";"";"";"";"";"";
"06.06.2017 17:30";"32.0";"737.2";"750.1";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"06.06.2017 08:30";"29.4";"737.5";"750.5";"";"67";"Wind blowing from the east";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"27.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"22.7";"";"";"";"";"";"";
"05.06.2017 17:30";"40.0";"732.1";"744.6";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.2";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"05.06.2017 08:30";"33.2";"735.3";"748.1";"";"59";"Wind blowing from the south-east";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"24.1";"";"";"";"";"";"";
"04.06.2017 17:30";"41.0";"732.5";"744.9";"";"34";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"04.06.2017 08:30";"32.6";"735.7";"748.6";"";"50";"Wind blowing from the south-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"26.4";"";"";"";"";"";"";"2.0";"21.0";"";"";"";"";"";"";
"03.06.2017 17:30";"40.0";"732.8";"745.3";"";"22";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.5";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"02.06.2017 08:30";"28.8";"737.7";"750.8";"";"74";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.7";"";"";"";"";"";"";"2.0";"23.6";"";"";"";"";"";"";
"01.06.2017 17:30";"38.4";"734.5";"747.1";"";"43";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"38.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.6";"";"";"";"";"";"";
"01.06.2017 08:30";"28.4";"737.8";"750.9";"";"75";"Wind blowing from the north";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"23.5";"";"";"";"";"";"";
"31.05.2017 17:30";"34.4";"734.3";"747.1";"";"54";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.8";"";"";"";"";"";"";
"31.05.2017 08:30";"28.0";"737.0";"750.1";"";"74";"Wind blowing from the east";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"23.0";"";"";"";"";"";"";
"30.05.2017 17:30";"31.0";"735.2";"748.1";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"30.05.2017 08:30";"23.2";"735.6";"748.9";"";"88";"Wind blowing from the east";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"21.1";"";"";"";"";"";"";
"29.05.2017 17:30";"22.0";"734.8";"748.1";"";"91";"Wind blowing from the east";"1";"";"";"40%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"35.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.5";"";"";"";"";"";"";
"29.05.2017 08:30";"26.8";"737.9";"751.0";"";"71";"Wind blowing from the east";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"21.1";"";"";"";"";"";"";
"28.05.2017 17:30";"34.4";"734.6";"747.4";"";"45";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"";"34.4";"";"";"600-1000";"";"";"4.0";"20.8";"";"";"";"";"";"";
"28.05.2017 08:30";"27.2";"739.1";"752.2";"";"71";"Wind blowing from the east";"2";"";"";"100%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"25.3";"";"";"";"600-1000";"";"";"2.0";"21.5";"";"";"";"";"";"";
"27.05.2017 08:30";"21.4";"738.2";"751.6";"";"92";"Wind blowing from the west";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"20.1";"";"";"";"";"";"";
