# Weather station Hamirpur, India, WMO_ID=42469,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42469&lang=en
#
"Local time in Hamirpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 17:30";"20.2";"753.5";"763.1";"";"80";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"21.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.6";"";"";"";"";"";"";
"20.12.2017 08:30";"14.2";"755.8";"765.7";"";"87";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"11.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.0";"";"";"";"";"";"";
"19.12.2017 17:30";"21.2";"752.5";"762.1";"";"81";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"21.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.7";"";"";"";"";"";"";
"19.12.2017 08:30";"13.2";"756.6";"766.5";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"18.12.2017 17:30";"";"";"763.5";"";"";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"21.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.8";"";"";"";"";"";"";
"18.12.2017 08:30";"11.2";"756.0";"766.0";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"17.12.2017 17:30";"20.2";"754.6";"764.2";"";"71";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"21.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.8";"";"";"";"";"";"";
"17.12.2017 08:30";"11.2";"756.6";"766.6";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"16.12.2017 08:30";"14.2";"756.0";"765.9";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"15.12.2017 08:30";"15.2";"755.0";"764.8";"";"98";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"13.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.9";"";"";"";"";"";"";
"14.12.2017 17:30";"21.2";"752.2";"761.8";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.2";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"14.12.2017 08:30";"15.2";"754.2";"764.0";"";"87";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"12.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.0";"";"";"";"";"";"";
"13.12.2017 17:30";"23.2";"750.6";"760.1";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"13.12.2017 08:30";"18.2";"753.4";"763.1";"";"88";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"15.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.2";"";"";"";"";"";"";
"12.12.2017 17:30";"24.2";"749.7";"759.1";"";"66";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"25.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.5";"";"";"";"";"";"";
"12.12.2017 08:30";"17.2";"753.8";"763.5";"";"88";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"11.12.2017 17:30";"23.2";"748.9";"758.4";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"11.12.2017 08:30";"14.2";"752.0";"761.8";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"10.12.2017 17:30";"23.2";"749.3";"758.8";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"10.12.2017 08:30";"16.2";"752.5";"762.2";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"09.12.2017 17:30";"22.2";"749.1";"758.6";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"09.12.2017 08:30";"17.2";"753.0";"762.7";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"08.12.2017 17:30";"22.2";"749.3";"758.8";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"08.12.2017 08:30";"16.2";"752.5";"762.2";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"07.12.2017 17:30";"24.2";"749.2";"758.6";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"07.12.2017 08:30";"19.2";"751.9";"761.5";"";"88";"Wind blowing from the south-east";"1";"";"";"no clouds";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"16.2";"";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"06.12.2017 17:30";"22.2";"748.2";"757.7";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"23.2";"";"";"600-1000";"";"";"2.0";"17.0";"";"";"";"";"";"";
"06.12.2017 08:30";"17.2";"751.2";"760.9";"";"88";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"15.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.1";"";"";"";"";"";"";
"05.12.2017 17:30";"21.2";"749.3";"758.8";"";"68";"Wind blowing from the north-west";"1";"";"";"100%.";"Snow not falling as shower(s). ";"Storm";"Storm";"";"22.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.0";"";"";"";"";"";"";
"05.12.2017 08:30";"16.2";"751.9";"761.6";"";"87";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"13.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.1";"";"";"";"";"";"";
"04.12.2017 17:30";"22.2";"748.7";"758.2";"";"65";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"23.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.2";"";"";"";"";"";"";
"04.12.2017 08:30";"14.2";"752.9";"762.7";"";"87";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"10.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.0";"";"";"";"";"";"";
"03.12.2017 17:30";"23.2";"750.3";"759.8";"";"58";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"24.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.4";"";"";"";"";"";"";
"03.12.2017 08:30";"13.2";"753.9";"763.8";"";"86";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"10.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.9";"";"";"";"";"";"";
"02.12.2017 17:30";"22.2";"750.5";"760.0";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"02.12.2017 08:30";"14.2";"753.6";"763.4";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"01.12.2017 17:30";"23.2";"749.9";"759.4";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"01.12.2017 08:30";"14.2";"752.8";"762.6";"";"93";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"30.11.2017 17:30";"24.2";"749.7";"759.1";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"29.11.2017 17:30";"24.2";"750.3";"759.8";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"29.11.2017 08:30";"14.2";"752.1";"761.9";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"28.11.2017 17:30";"24.2";"749.2";"758.6";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"28.11.2017 08:30";"15.2";"753.1";"762.9";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"27.11.2017 17:30";"22.2";"748.6";"758.1";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"27.11.2017 08:30";"17.2";"754.2";"763.9";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"26.11.2017 17:30";"23.2";"750.1";"759.6";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"26.11.2017 08:30";"16.2";"753.9";"763.7";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"25.11.2017 17:30";"22.2";"750.8";"760.3";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"25.11.2017 08:30";"14.2";"753.0";"762.8";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"24.11.2017 17:30";"25.2";"750.1";"759.5";"";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"24.11.2017 08:30";"14.2";"752.7";"762.5";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"23.11.2017 17:30";"22.2";"748.6";"758.1";"";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"23.11.2017 08:30";"13.2";"751.7";"761.5";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"22.11.2017 17:30";"22.2";"748.8";"758.3";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"22.11.2017 08:30";"14.2";"752.3";"762.1";"";"87";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"21.11.2017 17:30";"23.2";"749.7";"759.2";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"21.11.2017 08:30";"14.2";"751.6";"761.4";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"20.11.2017 17:30";"24.2";"750.0";"759.5";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"20.11.2017 08:30";"21.2";"753.1";"762.7";"";"64";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"19.11.2017 17:30";"26.2";"749.1";"758.5";"";"68";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"19.11.2017 08:30";"21.2";"751.3";"760.9";"";"89";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"18.11.2017 17:30";"26.2";"748.5";"757.9";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"18.11.2017 08:30";"20.2";"751.6";"761.2";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"17.11.2017 08:30";"23.2";"751.3";"760.8";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"16.11.2017 17:30";"26.2";"747.9";"757.3";"";"68";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"27.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"16.11.2017 08:30";"22.2";"751.7";"761.2";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"18.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"15.11.2017 17:30";"25.2";"747.3";"756.7";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"15.11.2017 08:30";"20.2";"750.8";"760.4";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"14.11.2017 17:30";"26.2";"746.8";"756.1";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"14.11.2017 08:30";"20.2";"750.1";"759.7";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"13.11.2017 17:30";"24.2";"746.5";"755.9";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"13.11.2017 08:30";"20.2";"751.2";"760.8";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"12.11.2017 17:30";"24.2";"747.6";"757.0";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"12.11.2017 08:30";"21.2";"752.0";"761.6";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"11.11.2017 17:30";"27.2";"749.9";"759.3";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"11.11.2017 08:30";"18.2";"752.7";"762.4";"";"88";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"16.2";"";"";"";"";"";"";
"10.11.2017 17:30";"26.2";"748.5";"757.9";"";"83";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"10.11.2017 08:30";"18.2";"751.2";"760.9";"";"84";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.2";"";"";"";"2500 or more, or no clouds.";"";"";"less than 0.05";"15.5";"";"";"";"";"";"";
"09.11.2017 17:30";"27.2";"747.9";"757.2";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"08.11.2017 17:30";"27.2";"748.6";"757.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"08.11.2017 08:30";"21.2";"752.5";"762.1";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"07.11.2017 17:30";"26.2";"749.2";"758.6";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"07.11.2017 08:30";"24.2";"753.2";"762.7";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"06.11.2017 17:30";"27.2";"749.2";"758.5";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"05.11.2017 17:30";"27.2";"749.5";"758.9";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"05.11.2017 08:30";"22.2";"752.8";"762.4";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"04.11.2017 17:30";"26.2";"749.7";"759.1";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"04.11.2017 08:30";"24.2";"752.5";"762.0";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"03.11.2017 17:30";"27.2";"748.2";"757.5";"";"83";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"03.11.2017 08:30";"22.2";"751.2";"760.7";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"02.11.2017 17:30";"28.2";"747.7";"757.0";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"02.11.2017 08:30";"23.2";"751.9";"761.4";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"01.11.2017 17:30";"28.2";"749.2";"758.5";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"01.11.2017 08:30";"22.2";"752.0";"761.5";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"31.10.2017 17:30";"28.2";"748.4";"757.7";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
