# Weather station Kohima, India, WMO_ID=42527,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42527&lang=en
#
"Local time in Kohima";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.07.2017 08:30";"24.4";"643.7";"";"";"78";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"18.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"12.07.2017 17:30";"24.2";"642.1";"";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.6";"25.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"12.07.2017 08:30";"24.2";"642.1";"";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"11.07.2017 08:30";"22.8";"642.4";"";"";"98";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"18.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.5";"";"";"";"";"";"";
"10.07.2017 17:30";"23.2";"642.5";"";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"18.8";"25.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"10.07.2017 08:30";"23.2";"642.5";"";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"18.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"09.07.2017 17:30";"23.0";"643.1";"";"";"98";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"24.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.7";"";"";"";"";"";"";
"09.07.2017 08:30";"23.0";"643.1";"";"";"98";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"18.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.7";"";"";"";"";"";"";
"08.07.2017 17:30";"23.2";"642.2";"";"";"96";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"18.8";"25.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"08.07.2017 08:30";"23.2";"642.2";"";"";"96";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"18.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"07.07.2017 17:30";"24.4";"645.7";"";"";"89";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"19.4";"25.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"07.07.2017 08:30";"24.4";"645.7";"";"";"89";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"19.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"06.07.2017 17:30";"23.4";"642.4";"";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"19.0";"26.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"06.07.2017 08:30";"23.4";"642.4";"";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"19.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"05.07.2017 17:30";"23.0";"643.3";"";"";"96";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"18.2";"24.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.4";"";"";"";"";"";"";
"05.07.2017 08:30";"23.0";"643.3";"";"";"96";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"18.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.4";"";"";"";"";"";"";
"04.07.2017 17:30";"23.6";"641.8";"";"";"89";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.6";"25.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"04.07.2017 08:30";"23.6";"641.8";"";"";"89";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"03.07.2017 17:30";"23.4";"641.5";"";"";"93";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"17.0";"25.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.2";"";"";"";"";"";"";
"03.07.2017 08:30";"23.4";"641.5";"";"";"93";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"17.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.2";"";"";"";"";"";"";
"02.07.2017 17:30";"23.0";"641.0";"";"";"98";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"16.6";"25.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.7";"";"";"";"";"";"";
"01.07.2017 17:30";"23.0";"641.3";"";"";"96";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"25.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.4";"";"";"";"";"";"";
"01.07.2017 08:30";"23.0";"641.3";"";"";"96";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"16.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"22.4";"";"";"";"";"";"";
"30.06.2017 17:30";"23.2";"643.0";"";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.6";"26.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.3";"";"";"";"";"";"";
"30.06.2017 08:30";"23.2";"643.0";"";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.3";"";"";"";"";"";"";
"29.06.2017 17:30";"24.0";"645.0";"";"";"94";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"17.4";"27.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.9";"";"";"";"";"";"";
"29.06.2017 08:30";"24.0";"645.0";"";"";"94";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"17.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.9";"";"";"";"";"";"";
"28.06.2017 17:30";"23.4";"643.0";"";"";"90";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"18.2";"28.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"28.06.2017 08:30";"23.4";"643.0";"";"";"90";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"18.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"27.06.2017 17:30";"22.8";"641.5";"";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.2";"24.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"26.06.2017 17:30";"22.4";"641.8";"";"";"96";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.6";"23.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"26.06.2017 08:30";"22.4";"641.8";"";"";"96";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"25.06.2017 08:30";"23.2";"643.2";"";"";"91";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"17.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"24.06.2017 17:30";"22.8";"642.1";"";"";"93";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"17.0";"23.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"24.06.2017 08:30";"22.8";"642.1";"";"";"93";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"17.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"23.06.2017 17:30";"22.6";"641.9";"";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"24.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"23.06.2017 08:30";"22.6";"641.9";"";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"22.06.2017 17:30";"22.4";"642.2";"";"";"95";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"23.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"22.06.2017 08:30";"22.4";"642.2";"";"";"95";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"17.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"21.06.2017 17:30";"22.8";"642.5";"";"";"90";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"17.2";"24.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"21.06.2017 08:30";"22.8";"642.5";"";"";"90";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"17.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"20.06.2017 17:30";"22.6";"642.2";"";"";"95";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"15.0";"24.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.7";"";"";"";"";"";"";
"20.06.2017 08:30";"22.6";"642.2";"";"";"95";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"15.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.7";"";"";"";"";"";"";
"19.06.2017 17:30";"23.4";"642.4";"";"";"95";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"24.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"19.06.2017 08:30";"23.4";"642.4";"";"";"95";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"17.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"18.06.2017 17:30";"24.6";"642.1";"";"";"87";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"18.0";"28.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"18.06.2017 08:30";"24.6";"642.1";"";"";"87";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"18.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"17.06.2017 17:30";"24.2";"643.3";"";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"24.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.3";"";"";"";"";"";"";
"17.06.2017 08:30";"24.2";"643.3";"";"";"95";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"16.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.3";"";"";"";"";"";"";
"16.06.2017 17:30";"24.0";"";"";"";"94";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"16.4";"28.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.9";"";"";"";"";"";"";
"16.06.2017 08:30";"24.0";"645.7";"";"";"94";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"16.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.9";"";"";"";"";"";"";
"15.06.2017 17:30";"24.4";"645.8";"";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"25.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"15.06.2017 08:30";"24.4";"645.8";"";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"17.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"14.06.2017 17:30";"23.6";"644.7";"";"";"93";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"18.2";"27.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"14.06.2017 08:30";"23.6";"644.7";"";"";"93";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"18.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"13.06.2017 17:30";"24.0";"645.0";"";"";"96";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"17.8";"29.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"12.06.2017 17:30";"24.4";"644.4";"";"";"95";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"17.6";"27.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"12.06.2017 08:30";"24.4";"644.4";"";"";"95";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"17.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"11.06.2017 17:30";"24.0";"644.5";"";"";"96";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"28.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"10.06.2017 17:30";"24.2";"644.2";"";"";"95";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"18.6";"29.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"10.06.2017 08:30";"24.2";"644.2";"";"";"95";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"18.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"09.06.2017 08:30";"25.2";"643.7";"";"";"96";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"18.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"08.06.2017 08:30";"26.6";"644.2";"";"";"82";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"18.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"07.06.2017 17:30";"27.4";"646.0";"";"";"75";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"29.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"07.06.2017 08:30";"27.4";"646.0";"";"";"75";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"06.06.2017 17:30";"22.6";"643.3";"";"";"93";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"16.6";"27.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"06.06.2017 08:30";"22.6";"643.3";"";"";"93";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"16.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"05.06.2017 17:30";"22.8";"646.6";"";"";"79";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"17.2";"25.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.9";"";"";"";"";"";"";
