# Weather station Chandrapur, India, WMO_ID=43029,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43029&lang=en
#
"Local time in Chandrapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.08.2017 08:30";"27.0";"740.2";"756.6";"";"84";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.1";"";"";"";"";"";"";
"13.08.2017 17:30";"33.8";"737.5";"753.5";"";"53";"Wind blowing from the north-northwest";"2";"";"";"100%.";" ";"";"";"";"34.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.8";"";"";"";"";"";"";
"13.08.2017 08:30";"29.6";"739.8";"756.1";"";"75";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.8";"";"";"";"";"";"";
"12.08.2017 17:30";"32.2";"736.4";"752.5";"";"66";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"12.08.2017 08:30";"28.0";"738.9";"755.3";"";"78";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"11.08.2017 17:30";"32.2";"735.8";"751.9";"";"69";"Wind blowing from the north-northwest";"2";"";"";"100%.";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"11.08.2017 08:30";"27.6";"739.2";"755.6";"";"83";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.6";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.4";"";"";"";"";"";"";
"10.08.2017 17:30";"26.4";"735.9";"752.3";"";"83";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.3";"";"";"";"";"";"";
"10.08.2017 08:30";"27.0";"738.2";"754.6";"";"88";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.1";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"09.08.2017 17:30";"26.2";"735.8";"752.2";"";"84";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.3";"";"";"";"";"";"";
"09.08.2017 08:30";"27.2";"738.0";"754.4";"";"84";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.3";"";"";"";"";"";"";
"08.08.2017 17:30";"28.2";"735.3";"751.6";"";"85";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"08.08.2017 08:30";"26.2";"737.7";"754.1";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.8";"";"";"";"";"";"";
"07.08.2017 17:30";"26.2";"735.3";"751.7";"";"92";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.8";"";"";"";"";"";"";
"07.08.2017 08:30";"27.8";"737.1";"753.4";"";"78";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"06.08.2017 17:30";"30.8";"734.2";"750.3";"";"64";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.3";"";"";"";"";"";"";
"06.08.2017 08:30";"28.2";"735.6";"751.9";"";"72";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.6";"";"";"";"";"";"";
"05.08.2017 08:30";"29.2";"736.9";"753.1";"";"76";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"04.08.2017 17:30";"29.0";"733.6";"749.8";"";"80";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.3";"";"";"";"";"";"";
"04.08.2017 08:30";"27.0";"740.2";"756.6";"";"86";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.4";"";"";"";"";"";"";
"03.08.2017 17:30";"35.0";"734.8";"750.7";"";"47";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"35.4";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.2";"";"";"";"";"";"";
"03.08.2017 08:30";"29.2";"738.0";"754.3";"";"71";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"26.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.4";"";"";"";"";"";"";
"02.08.2017 17:30";"30.0";"735.6";"751.8";"";"74";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.8";"";"";"";"";"";"";
"02.08.2017 08:30";"29.2";"738.9";"755.2";"";"72";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"01.08.2017 17:30";"35.4";"735.9";"751.8";"";"47";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"01.08.2017 08:30";"30.0";"738.8";"755.0";"";"73";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"27.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.6";"";"";"";"";"";"";
"31.07.2017 17:30";"34.4";"735.6";"751.5";"";"49";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"35.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.2";"";"";"";"";"";"";
"31.07.2017 08:30";"28.4";"738.9";"755.2";"";"80";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.7";"";"";"";"";"";"";
"30.07.2017 17:30";"34.2";"737.1";"753.1";"";"55";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"35.1";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.0";"";"";"";"";"";"";
"30.07.2017 08:30";"27.4";"738.9";"755.3";"";"91";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"24.8";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.8";"";"";"";"";"";"";
"29.07.2017 17:30";"34.2";"736.9";"752.9";"";"56";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"35.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.3";"";"";"";"";"";"";
"29.07.2017 08:30";"27.4";"738.8";"755.2";"";"90";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.7";"";"";"";"";"";"";
"28.07.2017 08:30";"24.2";"737.6";"754.1";"";"";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"";"";"";"";"";"";"";
"27.07.2017 17:30";"28.0";"735.2";"751.5";"";"78";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"27.07.2017 08:30";"26.8";"736.4";"752.8";"";"94";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"23.8";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"26.07.2017 17:30";"28.4";"734.4";"750.6";"";"83";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.3";"";"";"";"";"";"";
"26.07.2017 11:30";"27.8";"736.0";"752.3";"";"73";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"";"Altostratus opacus or Nimbostratus.";"";"";"22.5";"";"";"";"";"";"";
"26.07.2017 08:30";"27.8";"736.0";"752.3";"";"73";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.5";"";"";"";"";"";"";
"25.07.2017 17:30";"33.2";"732.8";"748.7";"";"55";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.9";"";"";"";"";"";"";
"25.07.2017 08:30";"28.2";"734.8";"751.1";"";"72";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.6";"";"";"";"";"";"";
"24.07.2017 17:30";"32.2";"734.3";"750.3";"";"60";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.6";"";"";"";"";"";"";
"24.07.2017 08:30";"28.2";"736.0";"752.3";"";"73";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.9";"";"";"";"";"";"";
"23.07.2017 17:30";"31.2";"733.7";"749.8";"";"66";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.2";"";"";"";"";"";"";
"23.07.2017 08:30";"29.2";"736.0";"752.2";"";"68";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.8";"";"";"";"";"";"";
"22.07.2017 17:30";"31.0";"733.2";"749.3";"";"73";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"31.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"22.07.2017 08:30";"30.0";"735.0";"751.2";"";"66";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"26.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.0";"";"";"";"";"";"";
"21.07.2017 17:30";"32.2";"732.4";"748.4";"";"62";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.4";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.9";"";"";"";"";"";"";
"21.07.2017 08:30";"28.6";"735.2";"751.4";"";"76";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"24.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.0";"";"";"";"";"";"";
"20.07.2017 17:30";"30.0";"731.1";"747.2";"";"72";"Wind blowing from the south-east";"2";"";"";"100%.";" ";"";"";"";"31.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.3";"";"";"";"";"";"";
"20.07.2017 08:30";"28.0";"733.2";"749.4";"";"78";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.9";"";"";"";"";"";"";
"19.07.2017 17:30";"30.0";"730.7";"746.8";"";"74";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.9";"";"";"";"";"";"";
"19.07.2017 08:30";"25.0";"733.7";"750.1";"";"93";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"24.8";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.8";"";"";"";"";"";"";
"18.07.2017 17:30";"28.2";"731.4";"747.6";"";"86";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"18.07.2017 08:30";"26.2";"734.6";"751.0";"";"91";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"25.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"17.07.2017 17:30";"28.6";"732.1";"748.3";"";"82";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.2";"";"";"";"";"";"";
"17.07.2017 08:30";"25.6";"735.2";"751.6";"";"89";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.6";"";"";"";"";"";"";
"16.07.2017 17:30";"27.2";"733.8";"750.1";"";"84";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"27.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.2";"";"";"";"";"";"";
"16.07.2017 08:30";"26.2";"736.1";"752.5";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"24.8";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.5";"";"";"";"";"";"";
"15.07.2017 17:30";"28.2";"734.4";"750.6";"";"70";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"28.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.3";"";"";"";"";"";"";
"15.07.2017 08:30";"25.0";"736.3";"752.8";"";"91";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.5";"";"";"";"";"";"";
"14.07.2017 17:30";"28.2";"734.7";"751.0";"";"85";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"32.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"14.07.2017 08:30";"28.2";"736.1";"752.4";"";"76";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.6";"";"";"";"";"";"";
"13.07.2017 17:30";"30.0";"734.2";"750.3";"";"72";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"30.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.3";"";"";"";"";"";"";
"13.07.2017 08:30";"26.0";"737.0";"753.4";"";"76";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.5";"";"";"";"";"";"";
"12.07.2017 17:30";"28.2";"735.6";"751.9";"";"78";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.9";"";"";"";"";"";"";
"12.07.2017 08:30";"27.2";"737.6";"754.0";"";"77";"Wind blowing from the north-northwest";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.8";"";"";"";"";"";"";
"11.07.2017 17:30";"30.6";"735.5";"751.6";"";"68";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"31.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.0";"";"";"";"";"";"";
"11.07.2017 08:30";"26.8";"737.6";"754.0";"";"87";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.5";"";"";"";"";"";"";
"10.07.2017 17:30";"30.2";"736.5";"752.7";"";"70";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.2";"";"";"";"";"";"";
"10.07.2017 08:30";"30.6";"738.1";"754.3";"";"69";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.3";"";"";"";"";"";"";
"09.07.2017 17:30";"35.0";"734.6";"750.5";"";"47";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"36.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.2";"";"";"";"";"";"";
"09.07.2017 08:30";"29.2";"736.3";"752.5";"";"71";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.4";"";"";"";"";"";"";
"08.07.2017 17:30";"31.0";"733.9";"750.0";"";"67";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
"08.07.2017 08:30";"30.2";"738.3";"754.5";"";"65";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"28.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.9";"";"";"";"";"";"";
"07.07.2017 17:30";"35.2";"735.2";"751.1";"";"48";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.5";"";"";"";"";"";"";
"07.07.2017 08:30";"29.8";"738.4";"754.6";"";"66";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"27.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.8";"";"";"";"";"";"";
"06.07.2017 17:30";"32.0";"734.9";"751.0";"";"64";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.3";"";"";"";"";"";"";
"06.07.2017 08:30";"28.8";"737.5";"753.8";"";"74";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"26.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.6";"";"";"";"";"";"";
"05.07.2017 17:30";"30.2";"735.1";"751.3";"";"77";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"31.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.7";"";"";"";"";"";"";
"05.07.2017 08:30";"28.2";"737.4";"753.7";"";"76";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.6";"";"";"";"";"";"";
"04.07.2017 17:30";"30.6";"734.2";"750.3";"";"74";"Wind blowing from the east-northeast";"2";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.5";"";"";"";"";"";"";
"04.07.2017 08:30";"27.2";"737.0";"753.4";"";"84";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.3";"";"";"";"";"";"";
"03.07.2017 17:30";"31.6";"734.2";"750.3";"";"68";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"31.6";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"03.07.2017 08:30";"26.6";"737.3";"753.7";"";"89";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.6";"";"";"";"";"";"";
"02.07.2017 17:30";"29.2";"734.3";"750.5";"";"78";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.9";"";"";"";"";"";"";
"02.07.2017 08:30";"25.6";"736.4";"752.8";"";"95";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.7";"";"";"";"";"";"";
