# Weather station Nalgonda, India, WMO_ID=43133,selection from 16.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43133&lang=en
#
"Local time in Nalgonda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.12.2017 17:30";"28.4";"738.8";"757.9";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"16.12.2017 08:30";"24.4";"745.4";"764.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"15.12.2017 17:30";"29.0";"738.7";"757.6";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"15.12.2017 08:30";"24.0";"745.3";"764.7";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"14.12.2017 17:30";"28.4";"739.1";"758.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"14.12.2017 08:30";"24.4";"745.1";"764.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"13.12.2017 17:30";"29.0";"738.5";"757.4";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"13.12.2017 08:30";"31.8";"744.7";"763.9";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"12.12.2017 17:30";"30.0";"739.0";"757.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"12.12.2017 08:30";"26.4";"744.5";"763.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"11.12.2017 17:30";"29.4";"739.4";"758.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"11.12.2017 08:30";"26.4";"744.7";"763.9";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"739.0";"758.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"10.12.2017 08:30";"26.0";"745.0";"762.7";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"09.12.2017 17:30";"28.4";"738.8";"757.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"09.12.2017 08:30";"26.0";"744.7";"763.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"08.12.2017 17:30";"28.0";"739.0";"758.2";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"08.12.2017 08:30";"26.4";"744.5";"763.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"07.12.2017 17:30";"27.4";"739.4";"758.5";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"07.12.2017 08:30";"26.4";"745.0";"764.2";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"06.12.2017 17:30";"27.0";"739.3";"758.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"06.12.2017 08:30";"26.4";"744.7";"763.9";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"05.12.2017 17:30";"27.0";"739.7";"758.8";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"05.12.2017 08:30";"27.0";"745.0";"764.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"04.12.2017 17:30";"27.4";"739.4";"758.5";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"04.12.2017 08:30";"27.0";"744.7";"763.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"03.12.2017 17:30";"27.0";"739.0";"758.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"03.12.2017 08:30";"27.0";"744.2";"763.5";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"02.12.2017 17:30";"27.4";"738.7";"757.6";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"02.12.2017 08:30";"27.4";"743.9";"763.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"01.12.2017 17:30";"28.0";"738.2";"757.2";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"01.12.2017 08:30";"28.0";"743.3";"762.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"30.11.2017 08:30";"28.0";"742.7";"761.9";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"29.11.2017 17:30";"28.4";"737.8";"756.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"29.11.2017 08:30";"28.4";"741.5";"760.6";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"28.11.2017 17:30";"29.0";"737.3";"756.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"28.11.2017 08:30";"28.0";"741.2";"760.3";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"26.11.2017 08:30";"27.4";"740.8";"759.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"25.11.2017 17:30";"29.4";"737.0";"755.8";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"25.11.2017 08:30";"27.0";"740.5";"759.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"24.11.2017 08:30";"27.0";"740.0";"759.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"23.11.2017 17:30";"29.4";"737.3";"756.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"23.11.2017 08:30";"27.4";"739.7";"758.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"22.11.2017 17:30";"29.0";"738.1";"757.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"20.11.2017 08:30";"28.0";"740.3";"759.7";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"19.11.2017 17:30";"29.0";"738.1";"757.0";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"19.11.2017 08:30";"28.4";"740.0";"759.1";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"18.11.2017 17:30";"29.0";"737.8";"756.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"18.11.2017 08:30";"28.0";"739.7";"758.8";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.11.2017 08:30";"27.4";"740.2";"759.2";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"16.11.2017 17:30";"29.4";"738.2";"757.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"16.11.2017 08:30";"28.0";"739.7";"758.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"15.11.2017 17:30";"29.4";"737.9";"756.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"15.11.2017 08:30";"28.4";"739.3";"758.1";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.6";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"14.11.2017 17:30";"29.0";"738.2";"757.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"14.11.2017 08:30";"28.0";"739.0";"758.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"13.11.2017 08:30";"28.0";"739.3";"758.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"12.11.2017 08:30";"27.4";"739.0";"758.0";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"11.11.2017 17:30";"28.4";"739.0";"758.0";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"11.11.2017 08:30";"28.0";"739.6";"758.6";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.2";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"10.11.2017 08:30";"28.4";"740.2";"759.2";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"09.11.2017 17:30";"29.4";"739.3";"758.2";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"09.11.2017 08:30";"28.0";"740.8";"759.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"08.11.2017 17:30";"29.0";"738.7";"757.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"08.11.2017 08:30";"28.4";"741.5";"760.6";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"07.11.2017 17:30";"28.4";"739.1";"758.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"07.11.2017 08:30";"28.0";"740.8";"759.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.2";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"738.7";"757.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"06.11.2017 08:30";"27.0";"740.3";"759.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"05.11.2017 17:30";"28.0";"737.9";"756.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"05.11.2017 08:30";"27.4";"741.8";"760.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"03.11.2017 08:30";"28.0";"743.8";"763.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"02.11.2017 17:30";"27.4";"740.3";"759.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"01.11.2017 08:30";"28.0";"744.1";"763.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"31.10.2017 17:30";"30.4";"740.6";"759.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"31.10.2017 08:30";"29.4";"743.7";"762.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"30.10.2017 08:30";"28.4";"742.9";"762.1";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"29.10.2017 08:30";"28.0";"742.5";"761.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"28.10.2017 17:30";"29.0";"738.4";"757.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"28.10.2017 08:30";"28.0";"741.6";"760.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"27.10.2017 23:30";"29.4";"738.1";"756.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"";"23.6";"";"";"";"";"";"";
"27.10.2017 20:30";"29.4";"738.1";"756.9";"0.0";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"27.10.2017 17:30";"29.4";"738.1";"756.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"27.10.2017 08:30";"27.4";"741.1";"760.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"26.10.2017 17:30";"28.4";"737.2";"756.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"26.10.2017 08:30";"28.4";"740.3";"759.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.2";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"25.10.2017 17:30";"28.4";"736.6";"755.5";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"25.10.2017 08:30";"28.0";"739.4";"758.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"24.10.2017 17:30";"28.0";"735.7";"754.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"24.10.2017 08:30";"29.4";"738.2";"757.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"23.10.2017 17:30";"31.0";"735.1";"753.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"23.10.2017 08:30";"28.4";"737.8";"756.7";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"22.10.2017 17:30";"30.0";"734.2";"752.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.8";"";"";"";"";"";"";
"22.10.2017 08:30";"29.0";"738.4";"757.3";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.2";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"21.10.2017 17:30";"30.4";"734.5";"753.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"21.10.2017 08:30";"29.4";"738.1";"757.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.8";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"20.10.2017 17:30";"30.0";"734.9";"753.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"20.10.2017 08:30";"29.0";"737.0";"755.9";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"19.10.2017 17:30";"31.0";"734.0";"752.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"19.10.2017 08:30";"28.4";"737.5";"756.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"18.10.2017 17:30";"30.4";"733.4";"752.1";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"18.10.2017 11:30";"29.0";"737.3";"756.2";"0.0";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.6";"34.2";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"18.10.2017 08:30";"29.0";"737.3";"756.2";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.6";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"17.10.2017 17:30";"31.0";"733.3";"751.9";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"17.10.2017 08:30";"29.4";"737.0";"755.8";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.2";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
