# Weather station Supaul, India, WMO_ID=42393,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42393&lang=en
#
"Local time in Supaul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.08.2017 08:30";"30.0";"747.6";"751.8";"";"88";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"27.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"15.08.2017 17:30";"31.0";"745.4";"749.6";"";"76";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"14.08.2017 17:30";"29.2";"748.4";"752.6";"";"83";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"30.5";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"14.08.2017 08:30";"27.4";"751.1";"755.4";"";"92";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"13.08.2017 17:30";"26.4";"744.6";"748.9";"";"89";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"26.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"12.08.2017 17:30";"27.0";"744.9";"749.2";"";"98";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"12.08.2017 08:30";"26.6";"745.0";"749.3";"";"97";"Wind blowing from the west";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"10.08.2017 17:30";"27.0";"744.2";"748.4";"";"97";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"30.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"09.08.2017 17:30";"31.6";"745.3";"749.5";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"09.08.2017 08:30";"28.4";"748.5";"752.8";"";"89";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"26.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"08.08.2017 17:30";"29.6";"746.4";"750.6";"";"86";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"08.08.2017 08:30";"29.6";"748.6";"752.8";"";"86";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"07.08.2017 17:30";"27.6";"746.5";"750.8";"";"97";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"07.08.2017 08:30";"29.2";"748.3";"752.5";"";"91";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"28.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"06.08.2017 17:30";"33.2";"744.5";"748.7";"";"72";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"35.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"05.08.2017 17:30";"28.4";"744.5";"748.7";"";"86";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"05.08.2017 08:30";"30.6";"745.4";"749.6";"";"84";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"27.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.6";"";"";"";"";"";"";
"04.08.2017 17:30";"31.0";"742.6";"746.8";"";"55";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"31.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"04.08.2017 08:30";"27.8";"745.6";"749.8";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"03.08.2017 17:30";"28.8";"743.0";"747.2";"";"89";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"34.5";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"02.08.2017 17:30";"27.0";"744.3";"748.5";"";"98";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"02.08.2017 08:30";"30.0";"747.1";"751.3";"";"86";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"27.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"01.08.2017 17:30";"29.8";"745.7";"749.9";"";"81";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"01.08.2017 08:30";"30.8";"747.7";"751.9";"";"83";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"26.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"31.07.2017 17:30";"31.8";"745.4";"749.6";"";"83";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"33.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"31.07.2017 08:30";"29.8";"748.4";"752.6";"";"86";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"30.07.2017 08:30";"29.4";"749.5";"753.7";"";"85";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"29.07.2017 17:30";"29.2";"747.4";"751.6";"";"90";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"29.07.2017 08:30";"29.8";"749.6";"753.8";"";"81";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"27.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"28.07.2017 17:30";"32.2";"746.6";"750.8";"";"79";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"34.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.1";"";"";"";"";"";"";
"28.07.2017 08:30";"30.4";"749.3";"753.5";"";"81";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"27.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"27.07.2017 17:30";"32.0";"745.9";"750.1";"";"74";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"";"33.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"27.07.2017 08:30";"28.4";"749.0";"753.3";"";"85";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"26.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"26.07.2017 11:30";"28.0";"746.8";"751.0";"";"85";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"25.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"25.2";"";"";"";"";"";"";
"26.07.2017 08:30";"28.0";"746.8";"751.0";"";"85";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"25.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"25.07.2017 17:30";"29.2";"743.0";"747.2";"";"75";"Wind blowing from the east";"5";"";"";"70 – 80%.";" ";"";"";"";"29.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"25.07.2017 08:30";"29.2";"744.1";"748.3";"";"76";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"25.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"24.07.2017 17:30";"30.0";"742.5";"746.7";"";"83";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"31.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"24.07.2017 08:30";"29.4";"744.9";"749.1";"";"78";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"26.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"23.07.2017 17:30";"31.0";"743.2";"747.4";"";"75";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"";"31.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"23.07.2017 08:30";"29.2";"746.5";"750.7";"";"83";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"22.07.2017 17:30";"33.0";"744.5";"748.7";"";"67";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"33.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"21.07.2017 17:30";"29.6";"744.5";"748.7";"";"88";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"21.07.2017 08:30";"29.4";"747.1";"751.3";"";"81";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"26.4";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"20.07.2017 17:30";"32.2";"742.3";"746.5";"";"70";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"33.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"20.07.2017 08:30";"29.0";"744.9";"749.1";"";"";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"";"";"";"";"";"";"";
"19.07.2017 17:30";"30.0";"743.6";"747.8";"";"78";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"19.07.2017 08:30";"31.6";"746.2";"750.4";"";"76";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"28.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"18.07.2017 17:30";"28.8";"743.9";"748.1";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"37.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"18.07.2017 08:30";"32.4";"745.9";"750.1";"";"75";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"28.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"17.07.2017 17:30";"33.0";"743.7";"747.9";"";"72";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"17.07.2017 08:30";"32.8";"746.5";"750.7";"";"74";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"28.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.6";"";"";"";"";"";"";
"16.07.2017 17:30";"34.4";"743.7";"747.8";"";"67";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"36.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"16.07.2017 08:30";"32.2";"746.9";"751.1";"";"74";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"28.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"15.07.2017 17:30";"33.8";"744.4";"748.6";"";"66";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"34.9";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"15.07.2017 08:30";"30.8";"747.9";"752.1";"";"76";"Wind blowing from the east";"3";"";"";"50%.";" ";"";"";"27.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"14.07.2017 17:30";"32.6";"745.3";"749.5";"";"68";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"34.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"14.07.2017 08:30";"29.6";"748.1";"752.3";"";"83";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"27.3";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"13.07.2017 17:30";"32.4";"745.3";"749.5";"";"67";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"33.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"13.07.2017 08:30";"30.0";"748.3";"752.5";"";"86";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"25.9";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"12.07.2017 17:30";"29.8";"746.6";"750.8";"";"78";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"31.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"12.07.2017 08:30";"26.8";"747.8";"752.1";"";"86";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"25.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"11.07.2017 17:30";"27.0";"746.7";"751.0";"";"86";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"11.07.2017 08:30";"26.2";"748.7";"753.0";"";"86";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"25.4";"";"";"";"200-300";"";"";"4.0";"23.6";"";"";"";"";"";"";
"10.07.2017 17:30";"27.8";"746.5";"750.7";"";"94";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"10.07.2017 08:30";"26.0";"748.1";"752.4";"";"98";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"25.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"09.07.2017 17:30";"29.6";"746.1";"750.3";"";"86";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"29.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"08.07.2017 17:30";"32.0";"744.3";"748.5";"";"82";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"08.07.2017 08:30";"29.4";"746.7";"750.9";"";"88";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"27.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"07.07.2017 08:30";"29.2";"746.7";"750.9";"";"90";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";" ";"";"";"26.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"06.07.2017 17:30";"28.2";"744.7";"748.9";"";"92";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"29.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"06.07.2017 08:30";"29.8";"746.7";"750.9";"";"83";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"25.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"05.07.2017 17:30";"27.0";"744.0";"748.2";"";"95";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"05.07.2017 08:30";"27.0";"744.7";"749.0";"";"98";"Wind blowing from the east";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"25.7";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
