# Weather station Punalur, India, WMO_ID=43354,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43354&lang=en
#
"Local time in Punalur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 08:30";"24.6";"756.1";"759.1";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.2";"";"";"";"";"";"";
"25.12.2017 17:30";"30.5";"754.7";"757.6";"";"51";"variable wind direction";"1";"";"";"50%.";" ";"";"";"";"34.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.1";"";"";"";"";"";"";
"24.12.2017 17:30";"30.4";"753.8";"756.7";"";"53";"Wind blowing from the south-southeast";"3";"";"";"20–30%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"24.12.2017 08:30";"25.8";"755.6";"758.5";"";"63";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.2";"";"";"";"";"";"";
"23.12.2017 17:30";"30.4";"753.6";"756.5";"";"53";"Wind blowing from the south-southeast";"3";"";"";"60%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"23.12.2017 08:30";"25.6";"755.3";"758.2";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.1";"";"";"";"";"";"";
"22.12.2017 17:30";"30.5";"755.0";"757.9";"";"53";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.8";"";"";"";"";"";"";
"21.12.2017 17:30";"30.0";"756.0";"758.9";"";"62";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"33.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.0";"";"";"";"";"";"";
"20.12.2017 17:30";"30.5";"756.2";"759.1";"";"56";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.8";"";"";"";"";"";"";
"20.12.2017 08:30";"24.6";"757.7";"760.7";"";"91";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.1";"";"";"";"";"";"";
"19.12.2017 17:30";"29.0";"754.9";"757.8";"";"58";"Wind blowing from the south-southeast";"2";"";"";"40%.";" ";"";"";"";"32.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"19.12.2017 08:30";"25.6";"758.0";"761.0";"";"65";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"19.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.4";"";"";"";"";"";"";
"18.12.2017 17:30";"30.0";"755.3";"758.2";"";"62";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.0";"";"";"";"";"";"";
"18.12.2017 08:30";"22.6";"758.8";"761.8";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"18.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.1";"";"";"";"";"";"";
"17.12.2017 17:30";"30.6";"754.7";"757.6";"";"59";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"32.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.8";"";"";"";"";"";"";
"17.12.2017 08:30";"26.6";"758.9";"761.8";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.4";"";"";"";"";"";"";
"16.12.2017 17:30";"30.4";"755.3";"758.2";"";"70";"Wind blowing from the north-northeast";"2";"";"";"70 – 80%.";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.4";"";"";"";"";"";"";
"16.12.2017 08:30";"26.6";"757.4";"760.3";"";"72";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"21.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.2";"";"";"";"";"";"";
"15.12.2017 17:30";"29.6";"750.5";"753.4";"";"74";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.5";"";"";"";"";"";"";
"15.12.2017 08:30";"27.0";"753.8";"756.7";"";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.2";"";"";"";"";"";"";
"14.12.2017 17:30";"30.0";"755.5";"758.4";"";"65";"Wind blowing from the north-northeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"14.12.2017 08:30";"25.0";"757.3";"760.3";"";"96";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.4";"";"";"";"";"";"";
"13.12.2017 17:30";"24.2";"757.0";"760.0";"";"98";"variable wind direction";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"10.0";"23.9";"";"";"";"";"";"";
"13.12.2017 08:30";"25.4";"758.2";"761.2";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.8";"";"";"";"";"";"";
"12.12.2017 17:30";"28.0";"756.5";"759.4";"";"87";"variable wind direction";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"";"10.0";"25.7";"";"";"";"";"";"";
"12.12.2017 08:30";"25.0";"754.8";"757.7";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.8";"";"";"";"";"";"";
"11.12.2017 17:30";"29.5";"755.7";"758.6";"";"75";"Wind blowing from the north-northwest";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.4";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"";"10.0";"24.5";"";"";"";"";"";"";
"11.12.2017 08:30";"26.0";"757.2";"760.1";"";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.0";"";"";"";"";"";"";
"10.12.2017 17:30";"29.6";"754.1";"757.0";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"10.12.2017 08:30";"24.4";"755.5";"758.5";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.8";"";"";"";"";"";"";
"09.12.2017 17:30";"24.6";"754.3";"757.2";"";"95";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"23.7";"";"";"";"";"";"";
"09.12.2017 08:30";"26.0";"756.1";"759.0";"";"92";"Wind blowing from the east-northeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"08.12.2017 17:30";"29.0";"753.5";"756.4";"";"75";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"08.12.2017 08:30";"24.6";"755.2";"758.2";"";"93";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"07.12.2017 17:30";"29.2";"752.5";"755.4";"";"76";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"07.12.2017 08:30";"25.6";"755.3";"758.2";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"06.12.2017 20:30";"29.6";"753.3";"756.2";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"06.12.2017 17:30";"29.6";"753.3";"756.2";"";"70";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"06.12.2017 08:30";"24.0";"755.5";"758.5";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"05.12.2017 17:30";"29.0";"753.7";"756.6";"";"74";"Wind blowing from the south-southeast";"3";"";"";"70 – 80%.";" ";"";"";"";"33.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.8";"";"";"";"";"";"";
"05.12.2017 08:30";"25.6";"755.3";"758.2";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.3";"";"";"";"";"";"";
"04.12.2017 17:30";"30.0";"753.5";"756.4";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"04.12.2017 08:30";"26.0";"755.4";"758.3";"";"89";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.0";"";"";"";"";"";"";
"03.12.2017 17:30";"30.2";"753.6";"756.5";"";"66";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.2";"";"";"";"";"";"";
"03.12.2017 08:30";"23.6";"755.6";"758.6";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"02.12.2017 17:30";"28.2";"752.9";"755.8";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"01.12.2017 17:30";"24.5";"753.0";"755.9";"";"89";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"22.6";"";"";"";"";"";"";
"01.12.2017 08:30";"24.2";"753.1";"756.0";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"30.11.2017 17:30";"24.5";"753.1";"756.0";"";"91";"Wind blowing from the north-northeast";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.9";"";"";"";"";"";"";
"30.11.2017 08:30";"24.0";"751.7";"754.6";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.5";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"29.11.2017 17:30";"28.2";"752.9";"755.8";"";"80";"variable wind direction";"1";"";"";"100%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"";"10.0";"24.5";"";"";"";"";"";"";
"29.11.2017 08:30";"24.6";"755.2";"758.2";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"28.11.2017 17:30";"29.0";"753.1";"756.0";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"31.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.8";"";"";"";"";"";"";
"28.11.2017 08:30";"24.0";"755.7";"758.7";"";"96";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.4";"";"";"";"";"";"";
"27.11.2017 17:30";"28.0";"752.6";"755.5";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.8";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"";"10.0";"25.2";"";"";"";"";"";"";
"27.11.2017 08:30";"25.0";"755.9";"758.9";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"26.11.2017 17:30";"29.6";"754.2";"757.1";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.5";"";"";"";"";"";"";
"26.11.2017 08:30";"25.0";"756.4";"759.4";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.5";"";"";"";"";"";"";
"25.11.2017 17:30";"28.6";"754.3";"757.2";"";"78";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"32.2";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"25.11.2017 08:30";"25.6";"756.4";"759.3";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.7";"";"";"";"";"";"";
"24.11.2017 17:30";"28.5";"753.5";"756.4";"";"81";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.0";"";"";"";"";"";"";
"24.11.2017 08:30";"24.0";"756.7";"759.7";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.5";"";"";"";"";"";"";
"23.11.2017 17:30";"30.8";"752.8";"755.7";"";"63";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"32.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"23.11.2017 08:30";"27.0";"754.4";"757.3";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.5";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"22.11.2017 17:30";"29.2";"752.6";"755.5";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.5";"";"";"";"";"";"";
"22.11.2017 08:30";"25.0";"755.6";"758.5";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.4";"";"";"";"";"";"";
"21.11.2017 17:30";"30.2";"752.5";"755.4";"";"77";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"33.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.7";"";"";"";"";"";"";
"21.11.2017 08:30";"24.6";"755.7";"758.7";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
