# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.12.2017 08:30";"22.0";"757.3";"758.4";"";"95";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"20.5";"";"";"";"300-600";"";"";"4.0";"21.1";"";"";"";"";"";"";
"09.12.2017 17:30";"20.5";"756.7";"757.8";"";"98";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"21.0";"";"";"2500 or more, or no clouds.";"";"";"2.0";"20.1";"";"";"";"";"";"";
"09.12.2017 08:30";"19.5";"759.0";"760.1";"";"96";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"19.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.8";"";"";"";"";"";"";
"08.12.2017 17:30";"23.5";"757.8";"758.8";"";"75";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"08.12.2017 08:30";"24.0";"756.8";"757.8";"";"68";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"16.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.6";"";"";"";"";"";"";
"07.12.2017 17:30";"24.5";"758.1";"759.1";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"06.12.2017 08:30";"20.0";"759.2";"760.3";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"05.12.2017 17:30";"23.5";"756.9";"757.9";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"05.12.2017 08:30";"20.0";"761.1";"762.2";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"04.12.2017 17:30";"26.5";"757.2";"758.2";"";"49";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"04.12.2017 08:30";"18.0";"761.0";"762.1";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"03.12.2017 17:30";"24.5";"759.3";"760.3";"";"53";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"02.12.2017 08:30";"19.5";"761.3";"762.4";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
