# Weather station Paro (airport), Bhutan, METAR=VQPR,selection from 26.09.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VQPR&lang=en
#
"Local time in Paro (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"08.06.2017 16:00";"22.0";"588.7";"762.0";"47";"Wind blowing from the north-east";"4";"";"";"";"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2100 m";"10.0 and more";"10.0";
"08.06.2017 14:30";"22.0";"589.3";"762.8";"47";"Wind blowing from the north-northwest";"6";"";"";"";"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2100 m";"10.0 and more";"10.0";
"08.06.2017 14:00";"21.0";"589.3";"763.5";"53";"Wind blowing from the north";"6";"";"";"";"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2100 m";"10.0 and more";"11.0";
"08.06.2017 13:00";"21.0";"589.9";"764.3";"53";"Wind blowing from the north-northwest";"5";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"10.0 and more";"11.0";
"08.06.2017 12:30";"21.0";"589.9";"764.3";"50";"Wind blowing from the north-northwest";"4";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"10.0";
"08.06.2017 12:00";"21.0";"590.5";"765.0";"50";"Wind blowing from the north";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"10.0";
"08.06.2017 11:30";"21.0";"590.5";"765.0";"50";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"10.0";
"08.06.2017 11:00";"21.0";"590.5";"765.0";"50";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"10.0";
"08.06.2017 10:30";"20.0";"590.6";"765.8";"49";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"9.0";
"08.06.2017 10:00";"19.0";"590.0";"765.8";"56";"Wind blowing from the east-southeast";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"10.0";
"08.06.2017 09:30";"19.0";"590.0";"765.8";"60";"Wind blowing from the south";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"11.0";
"08.06.2017 09:00";"19.0";"590.0";"765.8";"64";"Wind blowing from the east";"2";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"8.0";"12.0";
"07.06.2017 16:00";"24.0";"590.3";"762.8";"39";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1800 m";"10.0 and more";"9.0";
"07.06.2017 15:30";"24.0";"590.3";"762.8";"36";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1800 m";"10.0 and more";"8.0";
"07.06.2017 15:00";"25.0";"591.4";"763.5";"34";"Wind blowing from the south-southeast";"7";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1800 m";"10.0 and more";"8.0";
"07.06.2017 14:30";"25.0";"591.4";"763.5";"34";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"10.0 and more";"8.0";
"07.06.2017 13:30";"25.0";"591.4";"763.5";"34";"Wind blowing from the south-southwest";"5";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"8.0";
"07.06.2017 13:00";"25.0";"591.4";"763.5";"32";"Wind blowing from the south";"4";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"7.0";
"07.06.2017 12:30";"25.0";"592.0";"764.3";"32";"Wind blowing from the south-east";"5";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"7.0";
"07.06.2017 12:00";"26.0";"592.5";"764.3";"30";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"7.0";
"07.06.2017 11:30";"26.0";"592.5";"764.3";"30";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1500 m";"10.0 and more";"7.0";
"07.06.2017 11:00";"26.0";"593.0";"765.0";"28";"Wind blowing from the south";"4";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"6.0";
"07.06.2017 10:30";"26.0";"593.0";"765.0";"37";"Wind blowing from the south-southeast";"2";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"10.0";
"07.06.2017 10:00";"25.0";"593.1";"765.8";"39";"Wind blowing from the south-southeast";"3";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"10.0";
"07.06.2017 09:30";"22.0";"592.2";"766.6";"50";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"11.0";
"07.06.2017 09:00";"21.0";"591.7";"766.6";"53";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"11.0";
"07.06.2017 08:30";"18.0";"589.5";"765.8";"64";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"11.0";
"07.06.2017 08:00";"18.0";"590.7";"767.3";"64";"Wind blowing from the south-east";"2";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"11.0";
"07.06.2017 07:56";"16.0";"588.4";"765.8";"72";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"6.0";"11.0";
"07.06.2017 07:30";"15.0";"587.9";"765.8";"77";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"5.0";"11.0";
"07.06.2017 07:00";"14.0";"589.1";"768.1";"77";"Wind blowing from the north-northwest";"2";"";"";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1800 m";"8.0";"10.0";
"07.06.2017 06:30";"13.0";"588.6";"768.1";"82";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 1800 m";"8.0";"10.0";
"06.06.2017 16:00";"26.0";"591.3";"762.8";"32";"Wind blowing from the south-southeast";"9";"";"";"";"Scattered clouds (40-50%) 1500 m";"";"8.0";
"06.06.2017 15:30";"26.0";"590.7";"762.0";"32";"Wind blowing from the south-east";"9";"";"";"";"Scattered clouds (40-50%) 1500 m";"";"8.0";
"06.06.2017 15:00";"27.0";"591.2";"762.0";"30";"Wind blowing from the south-southeast";"5";"";"";"";"Scattered clouds (40-50%) 1500 m";"";"8.0";
"06.06.2017 14:30";"27.0";"591.2";"762.0";"30";"Wind blowing from the south-east";"8";"";"";"";"Scattered clouds (40-50%) 1500 m";"";"8.0";
"06.06.2017 13:30";"29.0";"592.8";"762.8";"29";"Wind blowing from the south-southeast";"10";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"06.06.2017 13:00";"29.0";"592.8";"762.8";"27";"Wind blowing from the south-east";"8";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"06.06.2017 12:30";"28.0";"592.3";"762.8";"28";"Wind blowing from the south-southeast";"7";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"06.06.2017 12:00";"29.0";"593.4";"763.5";"25";"Wind blowing from the south-southeast";"7";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"06.06.2017 11:30";"28.0";"592.9";"763.5";"26";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"06.06.2017 11:00";"26.0";"592.5";"764.3";"30";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"06.06.2017 10:30";"25.0";"592.5";"765.0";"32";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"06.06.2017 10:00";"24.0";"592.0";"765.0";"34";"Wind blowing from the east-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"06.06.2017 09:30";"23.0";"592.1";"765.8";"38";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"06.06.2017 09:00";"21.0";"591.7";"766.6";"46";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"06.06.2017 08:00";"19.0";"590.6";"766.6";"56";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"06.06.2017 07:30";"19.0";"590.6";"766.6";"60";"Wind blowing from the south-southwest";"2";"";"";"";"Few clouds (10-30%) 1200 m, few clouds (10-30%) 4500 m";"10.0 and more";"11.0";
"06.06.2017 07:00";"17.0";"589.6";"766.6";"68";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 1200 m, scattered clouds (40-50%) 4500 m";"10.0 and more";"11.0";
"05.06.2017 13:00";"27.0";"591.2";"762.0";"34";"Wind blowing from the south-east";"5";"";"";"";"Scattered clouds (40-50%) 750 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"10.0";
"05.06.2017 12:30";"25.0";"590.2";"762.0";"36";"Wind blowing from the east-southeast";"5";"";"";"";"Scattered clouds (40-50%) 750 m, broken clouds (60-90%) 2400 m";"10.0 and more";"9.0";
"05.06.2017 12:00";"26.0";"590.7";"762.0";"37";"Wind blowing from the south-east";"8";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"10.0";
"05.06.2017 11:30";"26.0";"590.7";"762.0";"34";"Wind blowing from the south-east";"8";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"9.0";
"05.06.2017 11:00";"26.0";"590.7";"762.0";"34";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"9.0";
"05.06.2017 10:30";"26.0";"591.3";"762.8";"34";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"9.0";
"05.06.2017 10:00";"24.0";"590.8";"763.5";"41";"Wind blowing from the south-southwest";"2";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 09:30";"22.0";"589.8";"763.5";"44";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"05.06.2017 09:00";"21.0";"589.9";"764.3";"50";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 08:30";"19.0";"589.4";"765.0";"56";"Wind blowing from the south-east";"4";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 08:00";"17.0";"588.4";"765.0";"64";"Wind blowing from the south";"4";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 07:30";"15.0";"587.3";"765.0";"72";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 07:00";"13.0";"586.2";"765.0";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"05.06.2017 06:30";"12.0";"585.7";"765.0";"82";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"05.06.2017 06:00";"12.0";"585.7";"765.0";"77";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 750 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"04.06.2017 16:00";"28.0";"588.7";"758.2";"28";"Wind blowing from the south-southeast";"9";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"04.06.2017 15:30";"28.0";"588.7";"758.2";"28";"Wind blowing from the south-east";"11";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"04.06.2017 15:00";"29.0";"589.2";"758.2";"8";"Wind blowing from the south-southeast";"10";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"-8.0";
"04.06.2017 14:00";"30.0";"590.4";"759.0";"12";"Wind blowing from the south";"7";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"-2.0";
"04.06.2017 13:00";"31.0";"590.8";"759.0";"12";"Wind blowing from the south-southeast";"6";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"-2.0";
"04.06.2017 12:30";"31.0";"590.8";"759.0";"12";"Wind blowing from the south";"5";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"-2.0";
"04.06.2017 11:30";"27.0";"589.4";"759.7";"28";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 1500 m";"10.0 and more";"7.0";
"04.06.2017 11:00";"26.0";"590.1";"761.2";"34";"";"";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"9.0";
"04.06.2017 10:30";"25.0";"590.2";"762.0";"39";"Wind blowing from the south-southwest";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"10.0";
"04.06.2017 10:00";"23.0";"589.2";"762.0";"41";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"9.0";
"04.06.2017 09:30";"22.0";"589.3";"762.8";"44";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"9.0";
"04.06.2017 09:00";"20.0";"588.8";"763.5";"49";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"9.0";
"04.06.2017 08:30";"20.0";"588.8";"763.5";"53";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"10.0";
"04.06.2017 08:00";"16.0";"587.3";"764.3";"63";"Wind blowing from the north-northwest";"2";"";"";"";"Few clouds (10-30%) 1050 m";"10.0 and more";"9.0";
"04.06.2017 07:00";"16.0";"586.1";"762.8";"63";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 2100 m";"10.0 and more";"9.0";
"03.06.2017 16:30";"22.0";"586.3";"759.0";"50";"Wind blowing from the north";"3";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m";"10.0 and more";"11.0";
"03.06.2017 15:30";"23.0";"586.9";"759.0";"44";"Wind blowing from the east";"5";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"10.0";
"03.06.2017 15:00";"24.0";"587.4";"759.0";"39";"Wind blowing from the south-east";"4";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"9.0";
"03.06.2017 14:30";"24.0";"587.9";"759.7";"41";"Wind blowing from the south";"6";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"10.0";
"03.06.2017 14:00";"21.0";"587.0";"760.5";"57";"Wind blowing from the north-northwest";"4";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m";"10.0 and more";"12.0";
"03.06.2017 11:00";"25.0";"589.0";"760.5";"39";"Wind blowing from the south-southeast";"5";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"10.0";
"03.06.2017 10:30";"24.0";"588.5";"760.5";"41";"Wind blowing from the south";"5";"";"";"";"Few clouds (10-30%) 1350 m";"10.0 and more";"10.0";
"03.06.2017 10:00";"23.0";"588.0";"760.5";"36";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"7.0";
"03.06.2017 09:30";"22.0";"588.0";"761.2";"38";"Wind blowing from the south-east";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"7.0";
"03.06.2017 09:00";"20.0";"588.2";"762.8";"46";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%)04";"10.0 and more";"8.0";
"03.06.2017 08:30";"19.0";"586.5";"761.2";"49";"Wind blowing from the south-southeast";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"8.0";
"03.06.2017 08:00";"17.0";"586.7";"762.8";"56";"Wind blowing from the south-east";"3";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"8.0";
"03.06.2017 07:30";"16.0";"586.1";"762.8";"59";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"8.0";
"03.06.2017 07:00";"13.0";"584.5";"762.8";"72";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m, few clouds (10-30%) 3000 m";"10.0 and more";"8.0";
"03.06.2017 06:30";"12.0";"584.0";"762.8";"77";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m";"10.0 and more";"8.0";
"03.06.2017 06:00";"12.0";"583.4";"762.0";"77";"Wind blowing from the east-southeast";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m";"10.0 and more";"8.0";
"02.06.2017 15:30";"26.0";"587.8";"758.2";"28";"Wind blowing from the south-southeast";"6";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"6.0";
"02.06.2017 15:00";"25.0";"587.9";"759.0";"32";"Wind blowing from the south-southeast";"6";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"7.0";
"02.06.2017 14:30";"25.0";"588.4";"759.7";"30";"Wind blowing from the south-southeast";"10";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"6.0";
"02.06.2017 13:00";"26.0";"588.9";"759.7";"30";"Wind blowing from the south-east";"11";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"7.0";
"02.06.2017 12:30";"26.0";"588.9";"759.7";"32";"Wind blowing from the south-east";"7";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"02.06.2017 11:30";"25.0";"589.6";"761.2";"34";"Wind blowing from the south-southeast";"8";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"02.06.2017 11:00";"26.0";"590.1";"761.2";"37";"Wind blowing from the south-east";"8";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"02.06.2017 10:30";"24.0";"589.1";"761.2";"41";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"02.06.2017 10:00";"22.0";"588.7";"762.0";"53";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"12.0";
"02.06.2017 09:00";"20.0";"588.2";"762.8";"60";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 600 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"12.0";
"02.06.2017 08:30";"19.0";"587.7";"762.8";"64";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"12.0";
"02.06.2017 07:30";"17.0";"586.7";"762.8";"77";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"6.0";"13.0";
"02.06.2017 07:00";"17.0";"586.7";"762.8";"77";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"6.0";"13.0";
"02.06.2017 06:30";"16.0";"586.1";"762.8";"83";"Calm, no wind";"0";"";"Mist";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"5.0";"13.0";
"02.06.2017 06:00";"15.0";"585.0";"762.0";"88";"Calm, no wind";"0";"";"Mist";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"4.0";"13.0";
"02.06.2017 05:30";"15.0";"585.0";"762.0";"88";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1200 m";"4.0";"13.0";
"02.06.2017 05:00";"15.0";"585.0";"762.0";"82";"Calm, no wind";"0";"";"Mist";"";"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 1200 m";"5.0";"12.0";
"01.06.2017 17:00";"23.0";"586.9";"759.0";"41";"Wind blowing from the south-east";"7";"";"";"";"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 16:00";"24.0";"587.4";"759.0";"41";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"01.06.2017 15:30";"24.0";"587.4";"759.0";"41";"Wind blowing from the south-east";"6";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"10.0";
"01.06.2017 15:00";"24.0";"587.4";"759.0";"39";"Wind blowing from the south-east";"8";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 14:30";"24.0";"587.4";"759.0";"39";"Wind blowing from the east-southeast";"6";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 13:00";"26.0";"588.9";"759.7";"34";"Wind blowing from the south-southeast";"9";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1500 m";"10.0 and more";"9.0";
"01.06.2017 12:30";"26.0";"588.9";"759.7";"34";"Wind blowing from the south-southeast";"6";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 12:00";"26.0";"588.9";"759.7";"34";"Wind blowing from the south-southeast";"7";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 11:30";"26.0";"588.9";"759.7";"34";"Wind blowing from the east-southeast";"7";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 11:00";"24.0";"588.5";"760.5";"39";"Wind blowing from the south-southeast";"3";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 10:30";"22.0";"588.0";"761.2";"41";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"01.06.2017 10:00";"21.0";"587.5";"761.2";"46";"Wind blowing from the east-northeast";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"9.0";
"01.06.2017 09:30";"20.0";"587.6";"762.0";"46";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"01.06.2017 09:00";"18.0";"587.2";"762.8";"52";"Wind blowing from the east-southeast";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 2100 m";"10.0 and more";"8.0";
"01.06.2017 08:30";"17.0";"586.7";"762.8";"56";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1800 m";"10.0 and more";"8.0";
"01.06.2017 08:00";"14.0";"585.6";"763.5";"67";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m";"10.0 and more";"8.0";
"01.06.2017 07:30";"13.0";"585.1";"763.5";"72";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m";"10.0 and more";"8.0";
"01.06.2017 07:00";"11.0";"584.0";"763.5";"82";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m";"10.0 and more";"8.0";
"01.06.2017 06:30";"10.0";"583.4";"763.5";"82";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 300 m";"10.0 and more";"7.0";
"01.06.2017 06:00";"9.0";"582.8";"763.5";"87";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 300 m";"10.0 and more";"7.0";
"31.05.2017 16:00";"24.0";"587.9";"759.7";"34";"Wind blowing from the south-southeast";"7";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"7.0";
"31.05.2017 15:30";"23.0";"587.4";"759.7";"36";"Wind blowing from the south-east";"7";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"7.0";
"31.05.2017 15:00";"23.0";"587.4";"759.7";"36";"Wind blowing from the south-east";"10";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"7.0";
"31.05.2017 14:00";"24.0";"587.9";"759.7";"36";"Wind blowing from the south-southeast";"6";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"8.0";
"31.05.2017 13:30";"25.0";"588.4";"759.7";"39";"Wind blowing from the east-southeast";"3";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"10.0";
"31.05.2017 13:00";"24.0";"588.5";"760.5";"50";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"13.0";
"31.05.2017 12:30";"24.0";"588.5";"760.5";"47";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 1500 m, broken clouds (60-90%) 2700 m";"10.0 and more";"12.0";
"31.05.2017 12:00";"23.0";"588.0";"760.5";"53";"Wind blowing from the west-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2100 m";"8.0";"13.0";
"31.05.2017 11:30";"22.0";"588.0";"761.2";"57";"Wind blowing from the east";"3";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2100 m";"8.0";"13.0";
"31.05.2017 11:00";"22.0";"588.0";"761.2";"53";"Wind blowing from the south-southeast";"2";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2100 m";"8.0";"12.0";
"31.05.2017 10:30";"22.0";"588.7";"762.0";"50";"Wind blowing from the south";"3";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2100 m";"8.0";"11.0";
"31.05.2017 10:00";"22.0";"588.7";"762.0";"57";"Wind blowing from the south-east";"2";"";"";"";"Scattered clouds (40-50%) 1200 m, broken clouds (60-90%) 2100 m";"8.0";"13.0";
"30.05.2017 15:30";"16.0";"583.2";"759.0";"77";"Calm, no wind";"0";"";"Rain";"";"Scattered clouds (40-50%) 900 m, overcast (100%) 2400 m";"6.0";"12.0";
