# Weather station Balurghat, India, WMO_ID=42506,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42506&lang=en
#
"Local time in Balurghat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.06.2017 08:30";"28.2";"";"753.4";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"21.06.2017 17:30";"31.6";"";"754.2";"";"82";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.8";"";"";"600-1000";"";"";"4.0";"28.1";"";"";"";"";"";"";
"21.06.2017 08:30";"28.0";"";"754.0";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.6";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"31.05.2017 17:30";"31.8";"";"753.6";"";"81";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.6";"";"";"600-1000";"";"";"2.0";"28.1";"";"";"";"";"";"";
"31.05.2017 08:30";"27.8";"";"753.4";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"30.05.2017 17:30";"32.0";"";"753.4";"";"80";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"2.0";"28.2";"";"";"";"";"";"";
"30.05.2017 08:30";"28.6";"751.0";"753.2";"";"89";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"26.0";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"29.05.2017 17:30";"31.8";"751.6";"753.8";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"35.1";"";"";"600-1000";"";"";"2.0";"28.0";"";"";"";"";"";"";
"29.05.2017 08:30";"28.2";"751.0";"753.2";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.9";"";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"25.05.2017 17:30";"31.6";"750.9";"753.1";"";"82";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"35.1";"";"";"600-1000";"";"";"2.0";"28.1";"";"";"";"";"";"";
"25.05.2017 08:30";"28.2";"750.9";"753.1";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.8";"";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"24.05.2017 17:30";"31.2";"751.2";"753.4";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"2.0";"28.5";"";"";"";"";"";"";
"24.05.2017 08:30";"28.2";"751.0";"753.2";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.8";"";"";"";"300-600";"";"";"2.0";"26.5";"";"";"";"";"";"";
"23.05.2017 17:30";"30.8";"751.5";"753.7";"";"87";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"34.8";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"23.05.2017 08:30";"27.8";"752.7";"754.9";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"22.05.2017 17:30";"28.6";"752.1";"754.3";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"22.05.2017 08:30";"28.0";"751.4";"753.6";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.3";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"20.05.2017 17:30";"30.8";"752.3";"754.5";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.8";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"20.05.2017 08:30";"27.8";"752.2";"754.4";"";"87";"Wind blowing from the south-east";"";"";"";"60%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"19.05.2017 17:30";"30.2";"752.3";"754.5";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.3";"";"";"600-1000";"";"";"2.0";"28.6";"";"";"";"";"";"";
"19.05.2017 08:30";"27.4";"751.8";"754.0";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"18.05.2017 17:30";"30.6";"752.1";"754.3";"";"84";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.4";"";"";"600-1000";"";"";"2.0";"27.6";"";"";"";"";"";"";
"18.05.2017 08:30";"27.6";"751.7";"753.9";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.3";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"17.05.2017 17:30";"30.2";"752.4";"754.6";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"600-1000";"";"";"4.0";"27.7";"";"";"";"";"";"";
"17.05.2017 08:30";"27.4";"752.0";"754.2";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"600-1000";"";"";"4.0";"25.7";"";"";"";"";"";"";
"16.05.2017 17:30";"30.2";"751.7";"753.9";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"34.6";"";"";"300-600";"";"";"2.0";"27.7";"";"";"";"";"";"";
"16.05.2017 08:30";"27.8";"751.4";"753.6";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.4";"";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"15.05.2017 17:30";"29.8";"752.1";"754.3";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.6";"";"";"600-1000";"";"";"4.0";"27.6";"";"";"";"";"";"";
"15.05.2017 08:30";"27.8";"751.7";"753.9";"";"87";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"14.05.2017 17:30";"28.6";"752.1";"754.3";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"14.05.2017 08:30";"27.0";"751.9";"754.1";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"13.05.2017 08:30";"27.6";"752.5";"754.7";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"12.05.2017 08:30";"27.2";"752.3";"754.5";"";"90";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"11.05.2017 17:30";"29.2";"751.8";"754.0";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"4.0";"27.5";"";"";"";"";"";"";
"11.05.2017 08:30";"26.6";"751.6";"753.8";"";"89";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"10.05.2017 17:30";"28.2";"752.4";"754.6";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"10.05.2017 08:30";"26.4";"752.4";"754.6";"";"90";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"24.0";"";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"09.05.2017 17:30";"29.2";"752.7";"754.9";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"300-600";"";"";"2.0";"27.8";"";"";"";"";"";"";
"09.05.2017 08:30";"27.0";"752.7";"754.9";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"08.05.2017 17:30";"29.6";"752.1";"754.3";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"34.5";"";"";"600-1000";"";"";"2.0";"27.7";"";"";"";"";"";"";
"08.05.2017 08:30";"27.2";"751.9";"754.1";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"06.05.2017 08:30";"27.6";"751.7";"753.9";"";"89";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"24.5";"";"";"";"300-600";"";"";"2.0";"25.6";"";"";"";"";"";"";
"05.05.2017 17:30";"29.2";"751.8";"754.0";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"4.0";"27.5";"";"";"";"";"";"";
"05.05.2017 08:30";"27.0";"751.3";"753.5";"";"94";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"24.0";"";"";"";"300-600";"";"";"1.0";"25.9";"";"";"";"";"";"";
"04.05.2017 17:30";"29.2";"751.8";"754.0";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"4.0";"27.5";"";"";"";"";"";"";
"04.05.2017 08:30";"27.2";"751.2";"753.4";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"03.05.2017 17:30";"29.6";"751.6";"753.8";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"27.7";"";"";"";"";"";"";
"03.05.2017 08:30";"27.8";"751.5";"753.7";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.1";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"02.05.2017 17:30";"28.8";"752.1";"754.3";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"28.0";"";"";"";"";"";"";
"02.05.2017 08:30";"27.0";"752.2";"754.4";"";"94";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"23.9";"";"";"";"300-600";"";"";"2.0";"25.9";"";"";"";"";"";"";
"01.05.2017 17:30";"29.6";"752.1";"754.3";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.3";"";"";"600-1000";"";"";"2.0";"27.4";"";"";"";"";"";"";
"01.05.2017 08:30";"27.6";"751.9";"754.1";"";"89";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"29.04.2017 17:30";"29.6";"751.9";"754.1";"";"88";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"4.0";"27.4";"";"";"";"";"";"";
"29.04.2017 08:30";"26.4";"751.7";"753.9";"";"96";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"28.04.2017 17:30";"29.2";"752.1";"754.3";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"33.8";"";"";"300-600";"";"";"1.0";"27.5";"";"";"";"";"";"";
"28.04.2017 08:30";"27.0";"751.9";"754.1";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"23.5";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"27.04.2017 17:30";"29.6";"751.9";"754.1";"";"88";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"34.2";"";"";"600-1000";"";"";"2.0";"27.4";"";"";"";"";"";"";
"27.04.2017 08:30";"27.2";"751.8";"754.0";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"26.04.2017 17:30";"28.4";"753.0";"755.2";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"26.7";"";"";"";"";"";"";
"26.04.2017 08:30";"27.2";"752.0";"754.2";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"25.04.2017 17:30";"28.4";"753.0";"755.2";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"4.0";"26.7";"";"";"";"";"";"";
"25.04.2017 08:30";"26.2";"752.8";"755.0";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"1.0";"24.8";"";"";"";"";"";"";
"24.04.2017 17:30";"28.2";"753.2";"755.4";"";"83";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"2.0";"25.1";"";"";"";"";"";"";
"24.04.2017 08:30";"25.4";"753.0";"755.2";"";"90";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"19.8";"";"";"";"300-600";"";"";"2.0";"23.7";"";"";"";"";"";"";
"23.04.2017 17:30";"27.8";"752.4";"754.6";"";"87";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"23.04.2017 08:30";"25.6";"752.4";"754.6";"";"90";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"1.0";"23.9";"";"";"";"";"";"";
"22.04.2017 17:30";"28.0";"753.0";"755.2";"";"92";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.5";"";"";"300-600";"";"";"2.0";"26.6";"";"";"";"";"";"";
"22.04.2017 08:30";"26.0";"752.8";"755.0";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"20.1";"";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"21.04.2017 17:30";"28.2";"753.3";"755.5";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"21.04.2017 08:30";"26.2";"753.1";"755.3";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"20.8";"";"";"";"600-1000";"";"";"4.0";"24.5";"";"";"";"";"";"";
"20.04.2017 17:30";"28.8";"753.4";"755.6";"";"86";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"33.0";"";"";"300-600";"";"";"2.0";"26.3";"";"";"";"";"";"";
"20.04.2017 08:30";"26.6";"753.2";"755.4";"";"89";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"21.6";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"19.04.2017 17:30";"29.2";"753.4";"755.6";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.8";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"19.04.2017 08:30";"26.8";"753.0";"755.2";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.2";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"18.04.2017 17:30";"29.4";"753.8";"756.0";"";"91";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"34.0";"";"";"300-600";"";"";"2.0";"27.8";"";"";"";"";"";"";
"18.04.2017 08:30";"27.2";"753.3";"755.5";"";"94";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"1.0";"26.1";"";"";"";"";"";"";
"17.04.2017 17:30";"28.8";"753.3";"755.5";"";"88";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"17.04.2017 08:30";"26.8";"753.0";"755.2";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.1";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"15.04.2017 17:30";"29.4";"752.7";"754.9";"";"90";"";"";"";"";"60%.";" ";"";"";"";"33.9";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"15.04.2017 08:30";"27.4";"752.7";"754.9";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.5";"";"";"";"300-600";"";"";"2.0";"25.7";"";"";"";"";"";"";
"14.04.2017 17:30";"29.6";"753.0";"755.2";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"2.0";"27.7";"";"";"";"";"";"";
"14.04.2017 08:30";"27.2";"752.7";"754.9";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"13.04.2017 17:30";"29.2";"753.0";"755.2";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.5";"";"";"300-600";"";"";"2.0";"27.5";"";"";"";"";"";"";
"13.04.2017 08:30";"27.0";"752.7";"754.9";"";"92";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"21.8";"";"";"";"300-600";"";"";"1.0";"25.5";"";"";"";"";"";"";
"12.04.2017 17:30";"29.6";"753.3";"755.5";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"33.8";"";"";"300-600";"";"";"1.0";"27.7";"";"";"";"";"";"";
"12.04.2017 08:30";"27.2";"753.1";"755.3";"";"90";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"22.2";"";"";"";"300-600";"";"";"2.0";"25.5";"";"";"";"";"";"";
"11.04.2017 17:30";"29.8";"753.2";"755.4";"";"88";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"34.1";"";"";"600-1000";"";"";"2.0";"27.6";"";"";"";"";"";"";
"11.04.2017 08:30";"28.0";"752.6";"754.8";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"22.1";"";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"10.04.2017 17:30";"29.8";"752.8";"755.0";"";"86";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"34.0";"";"";"600-1000";"";"";"2.0";"27.3";"";"";"";"";"";"";
"10.04.2017 08:30";"27.6";"752.6";"754.8";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"4.0";"25.3";"";"";"";"";"";"";
"08.04.2017 17:30";"29.6";"753.3";"755.5";"";"75";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"33.8";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"08.04.2017 08:30";"27.2";"752.7";"754.9";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"21.2";"";"";"";"300-600";"";"";"2.0";"25.5";"";"";"";"";"";"";
"07.04.2017 17:30";"28.8";"753.6";"755.8";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"2.0";"26.3";"";"";"";"";"";"";
"07.04.2017 08:30";"26.6";"753.2";"755.4";"";"89";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"1.0";"24.6";"";"";"";"";"";"";
"06.04.2017 17:30";"28.6";"753.5";"755.7";"";"88";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"32.4";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"06.04.2017 08:30";"26.8";"753.2";"755.4";"";"86";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"19.2";"";"";"";"600-1000";"";"";"4.0";"24.2";"";"";"";"";"";"";
"04.04.2017 17:30";"29.3";"753.2";"755.4";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"2.0";"27.4";"";"";"";"";"";"";
"04.04.2017 08:30";"26.4";"752.7";"754.9";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"20.1";"";"";"";"600-1000";"";"";"4.0";"25.4";"";"";"";"";"";"";
"03.04.2017 17:30";"29.2";"753.4";"755.6";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"10.0";"27.8";"";"";"";"";"";"";
"03.04.2017 08:30";"27.2";"753.1";"755.3";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"21.8";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"02.04.2017 17:30";"29.4";"753.3";"755.5";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.8";"";"";"600-1000";"";"";"4.0";"27.4";"";"";"";"";"";"";
"02.04.2017 08:30";"27.0";"752.7";"754.9";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"21.2";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"01.04.2017 17:30";"29.2";"751.4";"753.6";"";"92";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"10.0";"27.8";"";"";"";"";"";"";
"01.04.2017 08:30";"26.8";"752.9";"755.1";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"20.5";"";"";"";"600-1000";"";"";"4.0";"24.5";"";"";"";"";"";"";
"31.03.2017 17:30";"28.8";"753.3";"755.5";"";"88";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.9";"";"";"300-600";"";"";"2.0";"26.6";"";"";"";"";"";"";
"31.03.2017 08:30";"26.4";"750.6";"752.8";"";"89";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"20.1";"";"";"";"300-600";"";"";"1.0";"24.4";"";"";"";"";"";"";
"30.03.2017 17:30";"29.2";"753.1";"755.3";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"33.5";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"30.03.2017 08:30";"26.8";"752.7";"754.9";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"29.03.2017 17:30";"28.2";"753.5";"755.7";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"27.1";"";"";"";"";"";"";
"29.03.2017 08:30";"26.4";"753.2";"755.4";"";"90";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"20.0";"";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"28.03.2017 17:30";"28.0";"753.4";"755.6";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"28.03.2017 08:30";"26.2";"753.0";"755.2";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"19.8";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"27.03.2017 17:30";"29.2";"753.3";"755.5";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.6";"";"";"600-1000";"";"";"2.0";"27.7";"";"";"";"";"";"";
"27.03.2017 08:30";"27.0";"752.7";"754.9";"";"92";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"20.2";"";"";"";"300-600";"";"";"2.0";"25.6";"";"";"";"";"";"";
"25.03.2017 17:30";"28.6";"753.3";"755.5";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"26.9";"";"";"";"";"";"";
"25.03.2017 08:30";"26.8";"752.9";"755.1";"";"89";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"19.8";"";"";"";"300-600";"";"";"2.0";"24.9";"";"";"";"";"";"";
"24.03.2017 17:30";"28.8";"753.3";"755.5";"";"88";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"33.2";"";"";"300-600";"";"";"1.0";"26.6";"";"";"";"";"";"";
"24.03.2017 08:30";"26.4";"753.0";"755.2";"";"90";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"19.2";"";"";"";"300-600";"";"";"1.0";"24.7";"";"";"";"";"";"";
"23.03.2017 17:30";"28.6";"753.9";"756.1";"";"91";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"2.0";"26.9";"";"";"";"";"";"";
"23.03.2017 08:30";"26.2";"753.7";"755.9";"";"94";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"1.0";"25.1";"";"";"";"";"";"";
"22.03.2017 20:30";"28.2";"753.6";"755.8";"";"91";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.9";"";"";"";"";"";"";"26.5";"";"";"";"";"";"";
"22.03.2017 17:30";"28.2";"753.6";"755.8";"";"91";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"1.0";"26.5";"";"";"";"";"";"";
"22.03.2017 08:30";"25.8";"753.1";"755.3";"";"93";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"18.9";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"21.03.2017 17:30";"28.0";"753.7";"755.9";"";"94";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"1.0";"26.9";"";"";"";"";"";"";
"21.03.2017 08:30";"26.0";"";"755.5";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"18.0";"";"";"";"300-600";"";"";"0.5";"24.6";"";"";"";"";"";"";
"20.03.2017 17:30";"28.6";"";"756.0";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"20.03.2017 08:30";"26.2";"";"755.8";"";"90";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"19.2";"";"";"";"300-600";"";"";"1.0";"24.5";"";"";"";"";"";"";
"18.03.2017 17:30";"28.2";"";"755.8";"";"91";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"18.03.2017 08:30";"26.0";"";"755.4";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"18.6";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
