# Weather station Cooch Behar (airport), India, WMO_ID=42403,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42403&lang=en
#
"Local time in Cooch Behar (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.09.2017 08:30";"29.0";"751.8";"755.5";"";"88";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"24.09.2017 17:30";"29.4";"749.4";"753.0";"";"90";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"32.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"27.5";"";"";"";"";"";"";
"24.09.2017 11:30";"30.0";"751.5";"755.2";"-1.5";"81";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"26.4";"";"";"";"";"";"";
"24.09.2017 08:30";"26.8";"753.0";"756.7";"";"94";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"23.09.2017 17:30";"29.2";"750.8";"754.5";"";"88";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"30.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"27.0";"";"";"";"";"";"";
"23.09.2017 11:30";"27.2";"752.9";"756.6";"-0.7";"90";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"23.09.2017 08:30";"26.0";"753.6";"757.3";"";"97";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"24.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.4";"";"";"";"";"";"";
"22.09.2017 17:30";"29.2";"749.7";"753.4";"";"79";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"34.9";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"25.2";"";"";"";"";"";"";
"22.09.2017 11:30";"32.0";"751.5";"755.1";"-1.0";"72";"Wind blowing from the south-east";"2";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"22.09.2017 08:30";"28.4";"752.5";"756.2";"";"86";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"21.09.2017 17:30";"29.0";"749.9";"753.6";"";"88";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"21.09.2017 11:30";"29.6";"751.9";"755.6";"-0.9";"81";"Wind blowing from the north-east";"2";"";"";"60%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"21.09.2017 08:30";"25.8";"752.8";"756.5";"";"97";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.2";"";"";"";"";"";"";
"20.09.2017 17:30";"27.8";"750.0";"753.7";"";"89";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"30.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"25.8";"";"";"";"";"";"";
"20.09.2017 11:30";"29.2";"751.4";"755.1";"-0.9";"82";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"20.09.2017 08:30";"26.0";"752.3";"756.0";"";"97";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.4";"";"";"";"";"";"";
"19.09.2017 17:30";"27.4";"748.2";"751.9";"";"92";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"33.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"26.0";"";"";"";"";"";"";
"19.09.2017 11:30";"32.4";"749.5";"753.1";"-0.9";"69";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"19.09.2017 08:30";"30.4";"750.4";"754.0";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"18.09.2017 17:30";"30.0";"748.0";"751.6";"";"78";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"34.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.8";"";"";"";"";"";"";
"18.09.2017 11:30";"29.0";"751.2";"754.9";"-0.5";"80";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.3";"";"";"";"";"";"";
"18.09.2017 08:30";"27.4";"751.7";"755.4";"";"83";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.6";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"17.09.2017 17:30";"29.4";"748.3";"751.9";"";"81";"Wind blowing from the south";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"35.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"17.09.2017 11:30";"34.6";"749.0";"752.6";"-0.8";"65";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"27.2";"";"";"";"";"";"";
"17.09.2017 08:30";"32.4";"749.8";"753.4";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.7";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.9";"";"";"";"";"";"";
"16.09.2017 17:30";"33.2";"747.1";"750.7";"";"74";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"37.1";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.0";"";"";"";"";"";"";
"16.09.2017 11:30";"34.4";"750.1";"753.7";"-1.2";"63";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.4";"";"";"";"";"";"";
"16.09.2017 08:30";"32.0";"751.3";"754.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"26.1";"";"";"";"";"";"";
"15.09.2017 17:30";"31.8";"748.1";"751.7";"";"78";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"33.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.4";"";"";"";"";"";"";
"15.09.2017 11:30";"32.4";"751.6";"755.2";"-1.1";"70";"Wind blowing from the east-northeast";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.3";"";"";"";"";"";"";
"15.09.2017 08:30";"28.4";"752.7";"756.4";"";"89";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.4";"";"";"";"";"";"";
"14.09.2017 17:30";"30.4";"749.5";"753.1";"";"83";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"27.1";"";"";"";"";"";"";
"14.09.2017 11:30";"32.2";"752.6";"756.2";"-0.9";"70";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"14.09.2017 08:30";"28.4";"753.5";"757.2";"";"85";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.7";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"13.09.2017 17:30";"31.6";"750.2";"753.8";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.9";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"13.09.2017 11:30";"32.8";"752.7";"756.3";"-1.3";"65";"Wind blowing from the east-southeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.5";"";"";"";"";"";"";
"13.09.2017 08:30";"31.0";"754.0";"757.6";"";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.7";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"12.09.2017 17:30";"29.8";"750.7";"754.3";"";"83";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"26.7";"";"";"";"";"";"";
"12.09.2017 11:30";"30.4";"753.0";"756.7";"-1.5";"84";"Wind blowing from the east-southeast";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"12.09.2017 08:30";"27.8";"754.5";"758.2";"";"83";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"11.09.2017 17:30";"28.8";"751.5";"755.2";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.7";"";"";"";"";"";"";
"11.09.2017 11:30";"28.6";"753.1";"756.8";"-0.1";"82";"Wind blowing from the south-east";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"25.2";"";"";"";"";"";"";
"11.09.2017 08:30";"28.0";"753.2";"756.9";"";"85";"Wind blowing from the east-southeast";"2";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"10.09.2017 17:30";"27.4";"750.8";"754.5";"";"87";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.1";"";"";"";"";"";"";
"10.09.2017 11:30";"26.4";"752.1";"755.8";"-0.5";"94";"Wind blowing from the south-west";"2";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altostratus translucidus.";"";"4.0";"25.3";"";"";"";"";"";"";
"10.09.2017 08:30";"25.4";"752.6";"756.3";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.1";"";"";"";"";"";"";
"09.09.2017 17:30";"30.0";"749.0";"752.6";"";"85";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"27.2";"";"";"";"";"";"";
"09.09.2017 08:30";"27.8";"751.2";"754.9";"";"94";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.7";"";"";"";"";"";"";
"08.09.2017 17:30";"28.8";"749.3";"753.0";"";"83";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altostratus translucidus.";"";"2.0";"25.7";"";"";"";"";"";"";
"08.09.2017 11:30";"30.2";"751.8";"755.4";"-0.6";"84";"Wind blowing from the north-east";"1";"";"";"60%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"08.09.2017 08:30";"28.0";"752.4";"756.1";"";"91";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"25.1";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"2.0";"26.3";"";"";"";"";"";"";
"07.09.2017 17:30";"27.6";"749.5";"753.2";"";"89";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"32.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"07.09.2017 11:30";"32.4";"751.6";"755.2";"-0.4";"73";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"07.09.2017 08:30";"29.4";"752.0";"755.7";"";"82";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"06.09.2017 17:30";"32.2";"748.9";"752.5";"";"74";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"34.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"27.0";"";"";"";"";"";"";
"06.09.2017 11:30";"31.4";"751.4";"755.0";"-0.7";"77";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.9";"";"";"";"";"";"";
"06.09.2017 08:30";"26.4";"752.1";"755.8";"";"94";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, moderate at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.3";"";"";"";"";"";"";
"05.09.2017 17:30";"27.4";"748.0";"751.7";"";"97";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.8";"";"";"";"";"";"";
"05.09.2017 11:30";"33.2";"750.4";"754.0";"-0.8";"66";"Wind blowing from the south-west";"3";"";"";"50%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"05.09.2017 08:30";"29.6";"751.2";"754.9";"";"86";"Wind blowing from the south-east";"2";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"27.1";"";"";"";"";"";"";
"04.09.2017 17:30";"32.4";"747.4";"751.0";"";"83";"Wind blowing from the east";"2";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"34.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"29.1";"";"";"";"";"";"";
"04.09.2017 11:30";"33.0";"750.1";"753.7";"-0.6";"69";"Wind blowing from the south-east";"4";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"04.09.2017 08:30";"30.4";"750.7";"754.3";"";"77";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.9";"";"";"";"";"";"";
"03.09.2017 17:30";"28.4";"747.6";"751.3";"";"89";"Wind blowing from the south-east";"3";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"26.4";"";"";"";"";"";"";
"03.09.2017 11:30";"30.0";"749.4";"753.0";"-0.3";"81";"Wind blowing from the east-southeast";"3";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.4";"";"";"";"";"";"";
