# Weather station Uluberia, India, WMO_ID=42805,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42805&lang=en
#
"Local time in Uluberia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 08:30";"18.2";"761.5";"761.9";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.0";"";"";"";"300-600";"";"";"4.0";"16.4";"";"";"";"";"";"";
"23.12.2017 17:30";"24.0";"764.0";"764.4";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.6";"";"";"300-600";"";"";"4.0";"19.4";"";"";"";"";"";"";
"22.12.2017 17:30";"23.4";"764.0";"764.4";"";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.0";"";"";"300-600";"";"";"4.0";"17.0";"";"";"";"";"";"";
"21.12.2017 17:30";"23.0";"763.2";"763.6";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"25.0";"";"";"300-600";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.12.2017 08:30";"17.0";"765.8";"766.3";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"13.8";"";"";"";"";"";"";
"20.12.2017 17:30";"21.6";"761.1";"761.5";"";"92";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"24.4";"";"";"300-600";"";"";"4.0";"20.2";"";"";"";"";"";"";
"20.12.2017 08:30";"27.4";"765.2";"765.6";"";"41";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"13.0";"";"";"";"";"";"";
"19.12.2017 17:30";"22.8";"762.6";"763.0";"";"84";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"23.0";"";"";"300-600";"";"";"1.0";"20.0";"";"";"";"";"";"";
"19.12.2017 08:30";"17.0";"765.8";"766.3";"";"76";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.2";"";"";"";"300-600";"";"";"2.0";"12.7";"";"";"";"";"";"";
"18.12.2017 17:30";"23.0";"761.9";"762.3";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"23.6";"";"";"300-600";"";"";"4.0";"20.2";"";"";"";"";"";"";
"17.12.2017 08:30";"21.0";"763.4";"763.8";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"15.2";"";"";"";"300-600";"";"";"4.0";"19.0";"";"";"";"";"";"";
"16.12.2017 17:30";"27.0";"759.6";"760.0";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"300-600";"";"";"4.0";"25.2";"";"";"";"";"";"";
"16.12.2017 08:30";"22.0";"763.4";"763.8";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.4";"";"";"";"300-600";"";"";"4.0";"19.5";"";"";"";"";"";"";
"15.12.2017 17:30";"27.4";"760.4";"760.8";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.4";"";"";"300-600";"";"";"4.0";"25.4";"";"";"";"";"";"";
"15.12.2017 08:30";"22.2";"763.4";"763.8";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"14.12.2017 17:30";"27.6";"760.4";"760.8";"";"92";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.0";"";"";"300-600";"";"";"4.0";"26.2";"";"";"";"";"";"";
"14.12.2017 08:30";"22.0";"764.1";"764.5";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.0";"";"";"";"300-600";"";"";"4.0";"19.2";"";"";"";"";"";"";
"13.12.2017 17:30";"27.0";"760.4";"760.8";"";"79";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.6";"";"";"300-600";"";"";"1.0";"23.0";"";"";"";"";"";"";
"12.12.2017 17:30";"26.4";"758.1";"758.5";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"28.0";"";"";"300-600";"";"";"4.0";"23.5";"";"";"";"";"";"";
"12.12.2017 08:30";"18.0";"757.6";"758.0";"";"80";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"";"";"300-600";"";"";"1.0";"14.4";"";"";"";"";"";"";
"11.12.2017 17:30";"21.0";"759.0";"759.4";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"21.4";"";"";"300-600";"";"";"2.0";"15.4";"";"";"";"";"";"";
"10.12.2017 17:30";"20.4";"758.3";"758.7";"";"71";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"20.8";"";"";"300-600";"";"";"2.0";"15.0";"";"";"";"";"";"";
"09.12.2017 17:30";"20.6";"758.3";"758.7";"";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"21.0";"";"";"300-600";"";"";"2.0";"16.0";"";"";"";"";"";"";
"09.12.2017 08:30";"19.6";"758.4";"758.8";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"12.6";"";"";"";"300-600";"";"";"2.0";"14.5";"";"";"";"";"";"";
"08.12.2017 08:30";"20.6";"759.1";"759.5";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.4";"";"";"";"300-600";"";"";"2.0";"17.0";"";"";"";"";"";"";
"07.12.2017 17:30";"25.2";"760.7";"761.1";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.2";"";"";"300-600";"";"";"4.0";"23.4";"";"";"";"";"";"";
"07.12.2017 08:30";"21.4";"759.9";"760.3";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"15.7";"";"";"";"";"";"";
"06.12.2017 20:30";"22.0";"759.0";"759.4";"";"68";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"15.7";"";"";"";"";"";"";
"06.12.2017 17:30";"22.0";"759.0";"759.4";"";"68";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"15.7";"";"";"";"";"";"";
"06.12.2017 08:30";"20.6";"759.1";"759.5";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.2";"";"";"";"300-600";"";"";"4.0";"17.4";"";"";"";"";"";"";
"05.12.2017 17:30";"25.0";"759.8";"760.2";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.6";"";"";"300-600";"";"";"4.0";"23.2";"";"";"";"";"";"";
"05.12.2017 08:30";"20.4";"758.4";"758.8";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.0";"";"";"";"300-600";"";"";"4.0";"16.8";"";"";"";"";"";"";
"04.12.2017 17:30";"25.0";"759.0";"759.4";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.8";"";"";"300-600";"";"";"4.0";"21.1";"";"";"";"";"";"";
"03.12.2017 17:30";"25.6";"759.8";"760.2";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"300-600";"";"";"4.0";"20.9";"";"";"";"";"";"";
"03.12.2017 08:30";"20.0";"759.9";"760.3";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.4";"";"";"";"300-600";"";"";"4.0";"14.2";"";"";"";"";"";"";
"02.12.2017 17:30";"27.0";"760.5";"760.9";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.0";"";"";"300-600";"";"";"4.0";"23.2";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"758.9";"759.3";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.4";"";"";"300-600";"";"";"4.0";"20.9";"";"";"";"";"";"";
"01.12.2017 08:30";"20.4";"760.6";"761.0";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.8";"";"";"";"300-600";"";"";"4.0";"14.5";"";"";"";"";"";"";
"30.11.2017 17:30";"26.0";"759.6";"760.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"22.9";"";"";"";"";"";"";
"30.11.2017 08:30";"20.6";"761.4";"761.8";"";"70";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.0";"";"";"";"300-600";"";"";"4.0";"14.8";"";"";"";"";"";"";
"29.11.2017 17:30";"25.0";"758.1";"758.5";"";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.8";"";"";"300-600";"";"";"2.0";"19.8";"";"";"";"";"";"";
"29.11.2017 08:30";"21.2";"762.1";"762.5";"";"72";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.0";"";"";"";"300-600";"";"";"4.0";"15.9";"";"";"";"";"";"";
"28.11.2017 17:30";"26.0";"758.9";"759.3";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"300-600";"";"";"4.0";"22.0";"";"";"";"";"";"";
"28.11.2017 08:30";"21.4";"762.9";"763.3";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.2";"";"";"";"300-600";"";"";"4.0";"17.4";"";"";"";"";"";"";
"27.11.2017 08:30";"22.0";"763.6";"764.0";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.0";"";"";"";"300-600";"";"";"4.0";"17.6";"";"";"";"";"";"";
"26.11.2017 17:30";"25.4";"761.1";"761.5";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"25.4";"";"";"300-600";"";"";"4.0";"23.0";"";"";"";"";"";"";
"26.11.2017 08:30";"21.2";"764.4";"764.8";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.2";"";"";"";"300-600";"";"";"4.0";"18.3";"";"";"";"";"";"";
"25.11.2017 17:30";"26.0";"760.3";"760.7";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"";"";"300-600";"";"";"4.0";"23.4";"";"";"";"";"";"";
"25.11.2017 08:30";"21.0";"763.6";"764.0";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.0";"";"";"";"300-600";"";"";"4.0";"18.1";"";"";"";"";"";"";
"24.11.2017 17:30";"22.0";"757.8";"758.2";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"";"";"300-600";"";"";"4.0";"19.8";"";"";"";"";"";"";
"24.11.2017 08:30";"20.4";"762.9";"763.3";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.4";"";"";"";"300-600";"";"";"4.0";"16.8";"";"";"";"";"";"";
"23.11.2017 17:30";"22.4";"757.1";"757.5";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.8";"";"";"300-600";"";"";"4.0";"20.2";"";"";"";"";"";"";
"23.11.2017 08:30";"20.0";"759.3";"759.7";"";"92";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.0";"";"";"";"300-600";"";"";"4.0";"18.7";"";"";"";"";"";"";
"22.11.2017 08:30";"25.0";"760.1";"760.5";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.0";"";"";"";"300-600";"";"";"2.0";"22.8";"";"";"";"";"";"";
"21.11.2017 17:30";"28.6";"757.8";"758.2";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"300-600";"";"";"4.0";"26.6";"";"";"";"";"";"";
"21.11.2017 08:30";"25.6";"762.3";"762.7";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.0";"";"";"";"300-600";"";"";"4.0";"23.6";"";"";"";"";"";"";
"20.11.2017 17:30";"28.4";"759.3";"759.7";"";"95";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.4";"";"";"300-600";"";"";"2.0";"27.6";"";"";"";"";"";"";
"19.11.2017 17:30";"29.0";"758.6";"759.0";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"29.5";"";"";"300-600";"";"";"4.0";"27.4";"";"";"";"";"";"";
"18.11.2017 17:30";"28.6";"757.8";"758.2";"";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"";"";"300-600";"";"";"2.0";"27.2";"";"";"";"";"";"";
"18.11.2017 08:30";"25.0";"761.3";"761.7";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"2.0";"22.8";"";"";"";"";"";"";
"17.11.2017 17:30";"24.8";"757.7";"758.1";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"300-600";"";"";"2.0";"22.7";"";"";"";"";"";"";
"17.11.2017 08:30";"24.6";"760.5";"760.9";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.5";"";"";"";"300-600";"";"";"2.0";"22.5";"";"";"";"";"";"";
"16.11.2017 17:30";"24.6";"760.7";"761.1";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"27.0";"";"";"300-600";"";"";"2.0";"22.5";"";"";"";"";"";"";
"16.11.2017 08:30";"22.0";"758.9";"759.3";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.4";"";"";"";"300-600";"";"";"2.0";"20.5";"";"";"";"";"";"";
"15.11.2017 08:30";"22.2";"760.4";"760.8";"";"100";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.4";"";"";"";"300-600";"";"";"2.0";"22.2";"";"";"";"";"";"";
"14.11.2017 17:30";"29.0";"760.2";"760.6";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"";"";"300-600";"";"";"4.0";"26.5";"";"";"";"";"";"";
"14.11.2017 08:30";"26.4";"761.9";"762.3";"";"";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.2";"";"";"";"300-600";"";"";"4.0";"";"";"";"";"";"";"";
"13.11.2017 17:30";"30.6";"759.3";"759.7";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.0";"";"";"300-600";"";"";"4.0";"28.7";"";"";"";"";"";"";
"13.11.2017 08:30";"25.2";"762.6";"763.0";"";"64";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.0";"";"";"";"300-600";"";"";"4.0";"17.9";"";"";"";"";"";"";
"12.11.2017 17:30";"29.6";"758.4";"758.8";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.6";"";"";"300-600";"";"";"4.0";"27.6";"";"";"";"";"";"";
"11.11.2017 17:30";"29.4";"757.7";"758.1";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.2";"";"";"300-600";"";"";"4.0";"27.5";"";"";"";"";"";"";
"11.11.2017 08:30";"25.6";"761.9";"762.3";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.8";"";"";"";"300-600";"";"";"4.0";"17.7";"";"";"";"";"";"";
"10.11.2017 17:30";"27.0";"758.6";"759.0";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"24.1";"";"";"";"";"";"";
"10.11.2017 08:30";"26.2";"761.1";"761.5";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.2";"";"";"";"300-600";"";"";"4.0";"20.7";"";"";"";"";"";"";
"09.11.2017 17:30";"29.8";"757.8";"758.2";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.0";"";"";"300-600";"";"";"4.0";"25.9";"";"";"";"";"";"";
"09.11.2017 08:30";"25.4";"761.1";"761.5";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"";"";"300-600";"";"";"4.0";"21.2";"";"";"";"";"";"";
"08.11.2017 17:30";"27.8";"759.3";"759.7";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"25.5";"";"";"";"";"";"";
"08.11.2017 08:30";"27.6";"761.7";"762.1";"";"63";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"22.4";"";"";"";"300-600";"";"";"4.0";"20.0";"";"";"";"";"";"";
"07.11.2017 17:30";"27.6";"758.6";"759.0";"";"87";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"";"";"300-600";"";"";"4.0";"25.3";"";"";"";"";"";"";
"07.11.2017 08:30";"26.6";"761.7";"762.1";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.5";"";"";"";"300-600";"";"";"4.0";"20.5";"";"";"";"";"";"";
"06.11.2017 17:30";"29.4";"758.6";"759.0";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"4.0";"26.0";"";"";"";"";"";"";
"06.11.2017 08:30";"25.8";"762.6";"763.0";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"4.0";"23.8";"";"";"";"";"";"";
"05.11.2017 17:30";"31.4";"759.3";"759.7";"";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.4";"";"";"300-600";"";"";"4.0";"26.9";"";"";"";"";"";"";
"05.11.2017 08:30";"23.0";"761.9";"762.3";"";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"4.0";"21.0";"";"";"";"";"";"";
"04.11.2017 17:30";"31.0";"758.6";"759.0";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.0";"";"";"300-600";"";"";"4.0";"26.8";"";"";"";"";"";"";
"03.11.2017 17:30";"28.4";"757.1";"757.5";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.6";"";"";"300-600";"";"";"4.0";"24.4";"";"";"";"";"";"";
"03.11.2017 08:30";"25.4";"760.4";"760.8";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.2";"";"";"";"300-600";"";"";"4.0";"20.5";"";"";"";"";"";"";
"02.11.2017 17:30";"28.0";"757.8";"758.2";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.5";"";"";"300-600";"";"";"4.0";"24.3";"";"";"";"";"";"";
"02.11.2017 08:30";"25.0";"761.0";"761.4";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.2";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"01.11.2017 17:30";"29.0";"759.9";"760.3";"";"85";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.0";"";"";"300-600";"";"";"2.0";"26.3";"";"";"";"";"";"";
"01.11.2017 08:30";"25.0";"762.3";"762.7";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"24.8";"";"";"";"300-600";"";"";"4.0";"21.8";"";"";"";"";"";"";
"31.10.2017 17:30";"28.0";"759.2";"759.6";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"29.0";"";"";"300-600";"";"";"2.0";"26.0";"";"";"";"";"";"";
"31.10.2017 08:30";"24.8";"761.5";"761.9";"";"82";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.2";"";"";"";"300-600";"";"";"2.0";"21.5";"";"";"";"";"";"";
"30.10.2017 17:30";"29.0";"759.2";"759.6";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"30.0";"";"";"300-600";"";"";"1.0";"25.3";"";"";"";"";"";"";
"30.10.2017 08:30";"30.4";"762.9";"763.3";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.0";"";"";"";"300-600";"";"";"2.0";"22.2";"";"";"";"";"";"";
"29.10.2017 17:30";"31.0";"759.9";"760.3";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"34.2";"";"";"300-600";"";"";"4.0";"27.5";"";"";"";"";"";"";
"29.10.2017 08:30";"28.2";"760.2";"760.6";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.6";"";"";"";"300-600";"";"";"4.0";"25.7";"";"";"";"";"";"";
"28.10.2017 17:30";"31.0";"759.1";"759.5";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"34.0";"";"";"300-600";"";"";"4.0";"27.4";"";"";"";"";"";"";
"28.10.2017 08:30";"28.4";"761.0";"761.4";"";"85";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"4.0";"25.6";"";"";"";"";"";"";
"27.10.2017 17:30";"31.4";"760.7";"761.1";"";"66";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.4";"";"";"300-600";"";"";"4.0";"24.2";"";"";"";"";"";"";
"27.10.2017 08:30";"29.0";"761.7";"762.1";"";"80";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"24.6";"";"";"";"300-600";"";"";"4.0";"25.2";"";"";"";"";"";"";
"26.10.2017 17:30";"31.0";"759.9";"760.3";"";"90";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.0";"";"";"300-600";"";"";"2.0";"29.1";"";"";"";"";"";"";
"26.10.2017 08:30";"28.0";"752.4";"752.8";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.0";"";"";"";"300-600";"";"";"2.0";"24.3";"";"";"";"";"";"";
"25.10.2017 17:30";"29.0";"753.9";"754.3";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"1.0";"26.8";"";"";"";"";"";"";
"25.10.2017 08:30";"28.4";"753.9";"754.3";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"27.4";"";"";"";"300-600";"";"";"4.0";"26.3";"";"";"";"";"";"";
"24.10.2017 17:30";"32.0";"754.7";"755.1";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.0";"";"";"300-600";"";"";"4.0";"27.6";"";"";"";"";"";"";
"24.10.2017 08:30";"28.2";"753.1";"753.5";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"27.0";"";"";"";"300-600";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.10.2017 17:30";"33.6";"755.4";"755.8";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"";"";"300-600";"";"";"4.0";"28.7";"";"";"";"";"";"";
"23.10.2017 08:30";"26.0";"751.6";"752.0";"";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"4.0";"24.8";"";"";"";"";"";"";
"22.10.2017 17:30";"28.0";"752.4";"752.8";"";"94";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.0";"";"";"300-600";"";"";"4.0";"27.0";"";"";"";"";"";"";
"22.10.2017 08:30";"25.6";"751.6";"752.0";"";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.8";"";"";"";"300-600";"";"";"4.0";"24.0";"";"";"";"";"";"";
"21.10.2017 17:30";"26.8";"750.9";"751.3";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"29.8";"";"";"300-600";"";"";"2.0";"26.0";"";"";"";"";"";"";
"21.10.2017 08:30";"24.8";"750.9";"751.3";"";"93";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"24.0";"";"";"";"300-600";"";"";"2.0";"23.6";"";"";"";"";"";"";
"20.10.2017 08:30";"29.6";"753.1";"753.5";"";"89";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.6";"";"";"";"300-600";"";"";"2.0";"27.5";"";"";"";"";"";"";
"19.10.2017 17:30";"28.0";"753.7";"754.1";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.0";"";"";"300-600";"";"";"2.0";"26.0";"";"";"";"";"";"";
"19.10.2017 08:30";"31.0";"753.9";"754.3";"";"75";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"300-600";"";"";"2.0";"26.0";"";"";"";"";"";"";
"18.10.2017 17:30";"31.6";"751.6";"752.0";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.5";"";"";"300-600";"";"";"1.0";"27.0";"";"";"";"";"";"";
