# Weather station Burdwan, India, WMO_ID=42709,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42709&lang=en
#
"Local time in Burdwan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.07.2017 17:30";"31.0";"747.4";"749.4";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"09.07.2017 08:30";"29.8";"748.7";"750.7";"";"74";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"08.07.2017 17:30";"32.4";"747.3";"749.3";"";"59";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"08.07.2017 08:30";"29.2";"747.5";"749.5";"";"83";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.0";"";"";"";"";"";"";
"07.07.2017 17:30";"29.8";"747.5";"749.5";"";"71";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"33.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.0";"";"";"";"";"";"";
"07.07.2017 08:30";"31.8";"748.0";"750.0";"";"72";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.8";"";"";"";"";"";"";"2.0";"26.2";"";"";"";"";"";"";
"06.07.2017 17:30";"31.0";"747.9";"749.9";"";"66";"Wind blowing from the south";"";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.0";"";"";"";"";"";"";
"06.07.2017 08:30";"29.8";"748.8";"750.8";"";"67";"Wind blowing from the south";"";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.3";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.1";"";"";"";"";"";"";
"05.07.2017 17:30";"31.8";"748.8";"750.8";"";"71";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"35.4";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"05.07.2017 08:30";"30.2";"747.6";"749.6";"";"76";"Wind blowing from the south";"";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"2.0";"25.4";"";"";"";"";"";"";
"04.07.2017 17:30";"31.0";"747.5";"749.5";"";"74";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"34.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.8";"";"";"";"";"";"";
"04.07.2017 08:30";"28.4";"747.7";"749.7";"";"80";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.7";"";"";"";"";"";"";
"03.07.2017 17:30";"32.0";"748.1";"750.1";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"03.07.2017 08:30";"28.8";"747.3";"749.3";"";"72";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.3";"";"";"";"";"";"";
"02.07.2017 17:30";"31.0";"748.1";"750.1";"";"74";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"35.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.8";"";"";"";"";"";"";
"02.07.2017 08:30";"28.2";"746.3";"748.3";"";"82";"Wind blowing from the south";"";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"25.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.8";"";"";"";"";"";"";
"01.07.2017 17:30";"33.0";"748.0";"750.0";"";"70";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"01.07.2017 08:30";"30.0";"747.2";"749.2";"";"78";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"30.06.2017 17:30";"32.0";"748.8";"750.8";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"30.06.2017 08:30";"31.2";"749.5";"751.5";"";"73";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.9";"";"";"";"";"";"";
"29.06.2017 17:30";"32.0";"749.7";"751.7";"";"70";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"29.06.2017 08:30";"30.2";"749.5";"751.5";"";"81";"Wind blowing from the south";"";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.6";"";"";"";"";"";"";
"28.06.2017 17:30";"31.0";"749.3";"751.3";"";"69";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.7";"";"";"";"";"";"";
"28.06.2017 08:30";"30.4";"749.7";"751.7";"";"69";"Wind blowing from the south";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.2";"";"";"";"";"";"";
"27.06.2017 17:30";"30.8";"749.4";"751.4";"";"69";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"33.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.5";"";"";"";"";"";"";
"27.06.2017 08:30";"29.8";"750.7";"752.7";"";"67";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.1";"";"";"";"";"";"";
"26.06.2017 17:30";"30.8";"748.9";"750.9";"";"73";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"26.06.2017 08:30";"30.2";"753.8";"755.8";"";"69";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.9";"";"";"";"";"";"";
"25.06.2017 17:30";"32.0";"750.2";"752.2";"";"69";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"35.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.7";"";"";"";"";"";"";
"25.06.2017 08:30";"30.2";"748.7";"750.7";"";"77";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.7";"";"";"";"";"";"";
"24.06.2017 17:30";"31.4";"750.2";"752.2";"";"72";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.8";"";"";"";"";"";"";
"24.06.2017 08:30";"30.4";"748.8";"750.8";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"23.06.2017 17:30";"32.8";"748.9";"750.9";"";"69";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"35.2";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"23.06.2017 08:30";"31.0";"749.4";"751.4";"";"74";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"22.06.2017 17:30";"34.0";"748.9";"750.9";"";"68";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"22.06.2017 08:30";"30.4";"749.6";"751.6";"";"73";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
"21.06.2017 17:30";"32.0";"748.8";"750.8";"";"72";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"21.06.2017 08:30";"30.8";"748.2";"750.2";"";"73";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.4";"";"";"";"";"";"";
"20.06.2017 17:30";"32.0";"750.2";"752.2";"";"67";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"36.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.2";"";"";"";"";"";"";
"20.06.2017 08:30";"25.8";"752.2";"754.3";"";"76";"Wind blowing from the south";"";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Fog or ice fog or thick haze.";"24.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"19.06.2017 17:30";"35.2";"750.5";"752.5";"";"62";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"19.06.2017 08:30";"31.2";"751.2";"753.2";"";"71";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"18.06.2017 17:30";"31.8";"749.4";"751.4";"";"69";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"18.06.2017 08:30";"29.8";"748.1";"750.1";"";"66";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"24.3";"";"";"";"";"";"";"2.0";"22.8";"";"";"";"";"";"";
"17.06.2017 17:30";"34.0";"748.9";"750.9";"";"68";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"17.06.2017 08:30";"31.2";"751.7";"753.7";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"16.06.2017 17:30";"32.0";"749.0";"751.0";"";"67";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"16.06.2017 08:30";"31.2";"750.7";"752.7";"";"72";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.8";"";"";"";"";"";"";"2.0";"25.6";"";"";"";"";"";"";
"15.06.2017 17:30";"30.0";"750.2";"752.2";"";"72";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.5";"";"";"";"";"";"";
"15.06.2017 08:30";"31.2";"749.0";"751.0";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"14.06.2017 17:30";"34.8";"748.9";"750.9";"";"65";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"14.06.2017 08:30";"31.8";"748.1";"750.1";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"13.06.2017 17:30";"32.8";"749.4";"751.4";"";"67";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"13.06.2017 08:30";"29.4";"749.4";"751.4";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"12.06.2017 17:30";"32.8";"751.2";"753.2";"";"68";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"600-1000";"";"";"2.0";"26.2";"";"";"";"";"";"";
"12.06.2017 08:30";"30.2";"750.9";"752.9";"";"72";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.5";"";"";"";"";"";"";
"11.06.2017 17:30";"31.0";"751.2";"753.2";"";"78";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.8";"";"";"";"";"";"";
"11.06.2017 08:30";"31.2";"751.4";"753.4";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"10.06.2017 17:30";"33.4";"750.2";"752.2";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"10.06.2017 08:30";"31.2";"751.9";"753.9";"";"76";"Wind blowing from the south";"";"";"";"50%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"26.5";"";"";"";"";"";"";
"09.06.2017 17:30";"33.0";"750.2";"752.2";"";"68";"Wind blowing from the south";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.4";"";"";"";"";"";"";
"09.06.2017 08:30";"32.4";"750.4";"752.4";"";"74";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"08.06.2017 17:30";"33.0";"750.9";"752.9";"";"70";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"08.06.2017 08:30";"31.2";"751.4";"753.4";"";"75";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"07.06.2017 08:30";"30.8";"752.3";"754.3";"";"78";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.3";"";"";"";"";"";"";"2.0";"26.6";"";"";"";"";"";"";
"06.06.2017 17:30";"33.8";"750.2";"752.2";"";"66";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"36.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"06.06.2017 08:30";"30.4";"750.5";"752.5";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"05.06.2017 17:30";"32.8";"750.2";"752.2";"";"66";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"36.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.6";"";"";"";"";"";"";
"05.06.2017 08:30";"32.8";"749.4";"751.4";"";"69";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"26.4";"";"";"";"";"";"";
"04.06.2017 17:30";"36.0";"751.2";"753.2";"";"63";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"04.06.2017 08:30";"33.8";"751.4";"753.4";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"28.3";"";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"03.06.2017 17:30";"34.0";"751.7";"753.7";"";"64";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"03.06.2017 08:30";"31.2";"752.3";"754.3";"";"73";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"23.3";"";"";"";"";"";"";"2.0";"25.8";"";"";"";"";"";"";
"02.06.2017 17:30";"33.0";"752.0";"754.0";"";"66";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"2.0";"25.8";"";"";"";"";"";"";
"02.06.2017 08:30";"31.2";"750.3";"752.3";"";"76";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.0";"";"";"";"";"";"";"2.0";"26.5";"";"";"";"";"";"";
"01.06.2017 17:30";"34.0";"752.0";"754.0";"";"66";"Wind blowing from the south";"";"";"";"70 – 80%.";" ";"";"";"";"38.0";"";"";"600-1000";"";"";"2.0";"26.8";"";"";"";"";"";"";
"01.06.2017 08:30";"31.2";"749.9";"751.9";"";"71";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"31.05.2017 17:30";"30.8";"752.7";"754.7";"";"69";"Wind blowing from the south";"";"";"";"100%.";" ";"";"";"";"35.0";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"31.05.2017 08:30";"28.2";"750.2";"752.2";"";"82";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"25.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.8";"";"";"";"";"";"";
"30.05.2017 17:30";"30.8";"752.7";"754.7";"";"71";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"";"";"600-1000";"";"";"2.0";"25.0";"";"";"";"";"";"";
"30.05.2017 08:30";"29.8";"752.4";"754.4";"";"73";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"29.05.2017 17:30";"33.8";"751.7";"753.7";"";"64";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"26.0";"";"";"";"";"";"";
"29.05.2017 08:30";"29.8";"749.0";"751.0";"";"73";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"28.05.2017 17:30";"34.0";"751.7";"753.7";"";"66";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"28.05.2017 08:30";"31.4";"752.2";"754.2";"";"72";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"27.05.2017 17:30";"34.0";"752.7";"754.7";"";"66";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"27.05.2017 08:30";"28.8";"753.1";"755.1";"";"79";"";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"22.3";"";"";"";"";"";"";"2.0";"24.8";"";"";"";"";"";"";
"26.05.2017 17:30";"33.8";"750.9";"752.9";"";"66";"Wind blowing from the south";"1";"";"";"100%.";"Thunderstorm, heavy, with hail at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Thunderstorm(s) with or without precipitation.";"";"38.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.7";"";"";"";"";"";"";
"26.05.2017 08:30";"31.2";"752.2";"754.2";"";"76";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.8";"";"";"";"";"";"";"";"26.5";"";"";"";"";"";"";
"25.05.2017 17:30";"35.0";"751.7";"753.7";"";"64";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"37.6";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"25.05.2017 08:30";"32.4";"751.4";"753.4";"";"68";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"24.05.2017 17:30";"34.2";"751.2";"753.2";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"24.05.2017 08:30";"31.2";"751.4";"753.4";"";"70";"Wind blowing from the south";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"26.8";"";"";"";"";"";"";"4.0";"25.0";"";"";"";"";"";"";
