# Weather station Keongjhargarh, India, WMO_ID=42891,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42891&lang=en
#
"Local time in Keongjhargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 17:30";"21.4";"721.2";"763.0";"0.4";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"17.12.2017 14:30";"26.6";"720.8";"761.9";"-2.4";"34";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"17.12.2017 11:30";"25.2";"723.2";"764.6";"-0.7";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"17.12.2017 08:30";"18.6";"723.9";"766.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"16.12.2017 17:30";"23.2";"720.9";"762.4";"0.5";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"2.0";"13.3";"";"";"";"";"";"";
"16.12.2017 14:30";"27.4";"720.4";"761.3";"-2.0";"42";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.4";"";"";"";"";"";"";
"16.12.2017 11:30";"26.2";"722.4";"763.6";"-0.6";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"16.12.2017 08:30";"20.4";"723.0";"765.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"15.12.2017 17:30";"22.2";"720.6";"762.3";"0.3";"58";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"13.6";"";"";"";"";"";"";
"15.12.2017 14:30";"27.6";"720.3";"761.2";"-2.9";"27";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.1";"";"";"";"";"";"";
"15.12.2017 11:30";"26.4";"723.2";"764.4";"0.8";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"15.12.2017 08:30";"20.8";"722.4";"764.4";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"14.12.2017 17:30";"23.8";"720.3";"761.7";"0.3";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"15.1";"";"";"";"";"";"";
"14.12.2017 14:30";"28.4";"720.0";"760.8";"-1.6";"31";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.5";"";"";"";"";"";"";
"14.12.2017 11:30";"27.4";"721.6";"762.6";"-0.1";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
