# Weather station Angul, India, WMO_ID=42969,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42969&lang=en
#
"Local time in Angul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"13.07.2017 08:30";"28.0";"739.5";"751.3";"";"85";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"24.8";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"25.2";"";"";"";"";"";"";
"12.07.2017 17:30";"30.0";"738.2";"749.9";"";"83";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"34.1";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"26.7";"";"";"";"";"";"";
"12.07.2017 08:30";"28.0";"739.7";"751.5";"";"82";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"11.07.2017 17:30";"30.0";"738.9";"750.6";"";"72";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.3";"";"";"";"";"";"";
"11.07.2017 08:30";"28.6";"740.5";"752.2";"";"80";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.9";"";"";"";"";"";"";
"10.07.2017 17:30";"28.0";"739.5";"751.3";"";"82";"Wind blowing from the south-west";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"24.6";"";"";"";"";"";"";
"10.07.2017 08:30";"29.0";"741.4";"753.1";"";"90";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"09.07.2017 17:30";"29.0";"738.1";"749.8";"";"71";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"23.2";"";"";"";"";"";"";
"09.07.2017 08:30";"29.6";"739.7";"751.4";"";"78";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"24.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"08.07.2017 17:30";"28.0";"738.3";"750.0";"";"85";"Wind blowing from the south-west";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"25.2";"";"";"";"";"";"";
"08.07.2017 08:30";"29.0";"739.7";"751.4";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"20.0";"24.7";"";"";"";"";"";"";
"07.07.2017 17:30";"29.6";"738.1";"749.8";"";"81";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"26.0";"";"";"";"";"";"";
"07.07.2017 08:30";"30.0";"738.8";"750.5";"";"78";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"06.07.2017 17:30";"32.0";"737.3";"748.9";"";"70";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"34.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"06.07.2017 08:30";"29.0";"740.4";"752.1";"";"82";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.6";"";"";"";"";"";"";
"05.07.2017 17:30";"30.0";"737.4";"749.0";"";"75";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"32.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"05.07.2017 08:30";"28.0";"739.0";"750.7";"";"82";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"04.07.2017 17:30";"31.0";"736.4";"748.0";"";"67";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"04.07.2017 08:30";"28.6";"739.0";"750.7";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"25.8";"";"";"";"";"";"";
"03.07.2017 08:30";"29.0";"739.9";"751.6";"";"78";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"02.07.2017 17:30";"30.0";"737.5";"749.1";"";"72";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.3";"";"";"";"";"";"";
"02.07.2017 08:30";"29.8";"738.2";"749.9";"";"77";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.3";"";"";"";"";"";"";
"01.07.2017 17:30";"29.6";"736.4";"748.0";"";"78";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.4";"";"";"";"";"";"";
"01.07.2017 08:30";"30.0";"738.2";"749.9";"";"69";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"30.06.2017 08:30";"29.0";"738.2";"749.9";"";"83";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"29.06.2017 17:30";"30.0";"737.5";"749.1";"";"75";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"32.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"29.06.2017 08:30";"27.6";"738.9";"750.7";"";"92";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.2";"";"";"";"";"";"";
"28.06.2017 17:30";"28.0";"737.6";"749.3";"";"89";"Wind blowing from the south-west";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.7";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"26.0";"";"";"";"";"";"";
"28.06.2017 08:30";"28.0";"739.0";"750.7";"";"89";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"26.0";"";"";"";"";"";"";
"27.06.2017 17:30";"29.0";"736.6";"748.3";"";"91";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"31.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"27.3";"";"";"";"";"";"";
"27.06.2017 08:30";"28.0";"738.4";"750.1";"";"85";"Wind blowing from the south-west";"1";"";"";"40%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"26.06.2017 17:30";"29.0";"736.3";"748.0";"";"89";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"30.1";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"27.0";"";"";"";"";"";"";
"26.06.2017 08:30";"28.0";"738.1";"749.8";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"25.2";"";"";"";"";"";"";
"25.06.2017 17:30";"29.0";"735.9";"747.6";"";"74";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"32.1";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"23.8";"";"";"";"";"";"";
"25.06.2017 08:30";"24.6";"738.0";"749.9";"";"95";"Wind blowing from the north-east";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"23.7";"";"";"";"";"";"";
"24.06.2017 17:30";"31.0";"736.3";"747.9";"";"75";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"33.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"24.06.2017 08:30";"28.0";"737.3";"749.0";"";"82";"Wind blowing from the south-west";"1";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"25.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"24.6";"";"";"";"";"";"";
"23.06.2017 17:30";"33.0";"736.4";"747.9";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"35.7";"";"";"";"";"";"20.0";"25.4";"";"";"";"";"";"";
"23.06.2017 08:30";"29.0";"739.6";"751.3";"";"75";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"25.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.1";"";"";"";"";"";"";
"22.06.2017 17:30";"30.0";"737.3";"748.9";"";"75";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"22.06.2017 08:30";"28.0";"739.6";"751.4";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"24.6";"";"";"";"";"";"";
"21.06.2017 17:30";"31.6";"737.1";"748.7";"";"72";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.0";"";"";"";"";"";"";
"21.06.2017 08:30";"30.0";"739.5";"751.2";"";"75";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"20.06.2017 17:30";"33.6";"736.1";"747.6";"";"64";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.8";"";"";"";"";"";"";
"20.06.2017 08:30";"32.0";"738.6";"750.2";"";"66";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"27.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"19.06.2017 17:30";"33.6";"736.2";"747.7";"";"61";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"35.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.2";"";"";"";"";"";"";
"19.06.2017 08:30";"30.0";"739.3";"751.0";"";"73";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"27.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"24.6";"";"";"";"";"";"";
"18.06.2017 17:30";"37.6";"736.9";"748.2";"";"46";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"40.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.0";"";"";"";"";"";"";
"18.06.2017 08:30";"33.6";"739.5";"751.0";"";"61";"Wind blowing from the south-east";"3";"";"";"no clouds";" ";"";"";"27.6";"";"";"";"";"";"";"20.0";"25.2";"";"";"";"";"";"";
"17.06.2017 17:30";"34.6";"737.8";"749.3";"";"56";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"37.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.7";"";"";"";"";"";"";
"17.06.2017 08:30";"30.6";"740.1";"751.8";"";"70";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"26.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"16.06.2017 17:30";"32.0";"738.8";"750.4";"";"64";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"34.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"16.06.2017 08:30";"28.6";"740.3";"752.0";"";"78";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"23.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"15.06.2017 17:30";"25.0";"739.3";"751.2";"";"96";"Wind blowing from the south-east";"2";"";"";"50%.";"Lightning visible, no thunder heard. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"40.7";"Stratocumulus cumulogenitus.";"100%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"24.4";"";"";"";"";"";"";
"15.06.2017 08:30";"35.6";"740.2";"751.7";"";"55";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"14.06.2017 17:30";"37.0";"737.7";"749.1";"";"46";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"38.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"14.06.2017 08:30";"31.6";"740.9";"752.5";"";"68";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"13.06.2017 17:30";"34.0";"737.7";"749.2";"";"56";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"38.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"13.06.2017 08:30";"32.0";"739.4";"751.0";"";"66";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"27.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
