# Weather station Koraput, India, WMO_ID=43097,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43097&lang=en
#
"Local time in Koraput";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.06.2017 17:30";"31.0";"677.5";"";"";"65";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"03.06.2017 08:30";"26.0";"680.2";"";"";"85";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"02.06.2017 17:30";"30.0";"678.0";"";"";"66";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"35.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"01.06.2017 17:30";"29.0";"677.1";"";"";"60";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"01.06.2017 08:30";"28.2";"678.5";"";"";"63";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"31.05.2017 17:30";"32.2";"675.9";"";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"31.05.2017 08:30";"26.0";"";"";"";"73";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"30.05.2017 17:30";"29.4";"675.1";"";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"30.05.2017 08:30";"26.0";"677.1";"";"";"70";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"23.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.1";"";"";"";"";"";"";
"29.05.2017 17:30";"34.8";"674.8";"";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"29.05.2017 08:30";"26.2";"677.8";"";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"28.05.2017 17:30";"32.2";"676.2";"";"";"47";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"28.05.2017 08:30";"26.4";"678.0";"";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"27.05.2017 17:30";"32.2";"676.4";"";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"27.05.2017 08:30";"25.4";"678.0";"";"";"75";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"20.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.7";"";"";"";"";"";"";
"26.05.2017 17:30";"28.4";"677.0";"";"";"60";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"35.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.8";"";"";"";"";"";"";
"25.05.2017 17:30";"24.8";"678.0";"";"";"79";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"25.05.2017 11:30";"26.2";"679.0";"";"";"65";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"";"19.0";"";"";"";"";"";"";
"25.05.2017 08:30";"26.2";"679.0";"";"";"65";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"24.05.2017 17:30";"35.0";"676.9";"";"";"48";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"38.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.3";"";"";"";"";"";"";
"24.05.2017 08:30";"27.2";"679.5";"";"";"65";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"23.05.2017 17:30";"34.0";"677.3";"";"";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"23.05.2017 08:30";"26.8";"680.3";"";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"22.05.2017 17:30";"33.2";"677.6";"";"";"45";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"37.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.8";"";"";"";"";"";"";
"22.05.2017 08:30";"26.2";"678.9";"";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"21.05.2017 17:30";"35.0";"677.0";"";"";"34";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"21.05.2017 08:30";"26.0";"679.2";"";"";"74";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"20.05.2017 17:30";"32.6";"676.8";"";"";"53";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"38.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.8";"";"";"";"";"";"";
"20.05.2017 08:30";"29.2";"680.2";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"19.05.2017 17:30";"36.4";"678.0";"";"";"32";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.6";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"19.05.2017 08:30";"29.0";"680.0";"";"";"72";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"18.05.2017 17:30";"36.0";"677.1";"";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"40.2";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"18.05.2017 08:30";"30.0";"679.0";"";"";"55";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"17.05.2017 17:30";"37.2";"676.2";"";"";"30";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.8";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"17.05.2017 08:30";"31.2";"678.4";"";"";"49";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"23.6";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"16.05.2017 17:30";"38.0";"675.3";"";"";"41";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"16.05.2017 08:30";"27.0";"679.3";"";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"15.05.2017 17:30";"34.6";"676.8";"";"";"46";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"15.05.2017 08:30";"26.8";"679.4";"";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"14.05.2017 17:30";"31.0";"677.7";"";"";"45";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.7";"";"";"";"";"";"";
"14.05.2017 08:30";"27.0";"680.8";"";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"13.05.2017 17:30";"31.4";"679.6";"";"";"45";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"35.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.2";"";"";"";"";"";"";
"13.05.2017 08:30";"27.0";"681.6";"";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"12.05.2017 17:30";"32.2";"679.4";"";"";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"12.05.2017 08:30";"25.2";"682.6";"";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"11.05.2017 17:30";"25.6";"680.1";"";"";"68";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"35.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"11.05.2017 08:30";"25.6";"682.6";"";"";"67";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"10.05.2017 08:30";"26.4";"682.6";"";"";"62";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"18.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.5";"";"";"";"";"";"";
"09.05.2017 17:30";"26.3";"679.4";"";"";"54";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.2";"";"";"";"";"";"";
"09.05.2017 08:30";"25.0";"682.6";"";"";"72";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"08.05.2017 17:30";"26.2";"680.4";"";"";"49";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.7";"";"";"";"";"";"";
"08.05.2017 08:30";"24.0";"682.9";"";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"07.05.2017 17:30";"30.8";"680.5";"";"";"50";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"07.05.2017 08:30";"23.0";"682.8";"";"";"59";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"18.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.6";"";"";"";"";"";"";
"06.05.2017 17:30";"26.2";"681.9";"";"";"62";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.3";"";"";"";"";"";"";
"06.05.2017 08:30";"25.6";"682.6";"";"";"67";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"05.05.2017 17:30";"28.0";"681.0";"";"-1.8";"61";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"05.05.2017 14:30";"26.0";"682.8";"";"";"70";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"05.05.2017 08:30";"26.0";"682.8";"";"";"70";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"04.05.2017 17:30";"31.2";"681.4";"";"";"38";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"04.05.2017 08:30";"24.6";"683.3";"";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"03.05.2017 17:30";"25.6";"680.8";"";"";"77";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.2";"";"";"";"";"";"";
"03.05.2017 08:30";"24.2";"682.9";"";"";"60";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"02.05.2017 17:30";"33.0";"680.8";"";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"02.05.2017 08:30";"23.4";"683.5";"";"";"67";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"01.05.2017 17:30";"27.0";"682.3";"";"";"45";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"14.1";"";"";"";"";"";"";
"01.05.2017 08:30";"26.0";"682.9";"";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"30.04.2017 17:30";"34.0";"679.6";"";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"30.04.2017 08:30";"24.6";"682.4";"";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"29.04.2017 17:30";"26.2";"681.4";"";"";"56";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.6";"";"";"";"";"";"";
"29.04.2017 08:30";"25.2";"682.2";"";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"28.04.2017 17:30";"34.0";"679.8";"";"";"28";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"28.04.2017 08:30";"36.2";"678.5";"";"";"35";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"27.04.2017 17:30";"34.8";"680.0";"";"";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"38.2";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"27.04.2017 08:30";"26.4";"682.3";"";"";"61";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"26.04.2017 17:30";"36.0";"680.0";"";"";"27";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"37.6";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"26.04.2017 08:30";"26.2";"678.3";"";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"25.04.2017 17:30";"35.4";"679.0";"";"";"26";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.6";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"25.04.2017 08:30";"25.2";"682.0";"";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"24.04.2017 17:30";"35.2";"";"";"";"27";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"24.04.2017 08:30";"27.0";"681.9";"";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"23.04.2017 17:30";"36.0";"678.5";"785.3";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"23.04.2017 08:30";"25.0";"680.5";"";"";"69";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"22.04.2017 17:30";"35.0";"678.4";"";"";"40";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"22.04.2017 08:30";"24.8";"680.9";"";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"21.04.2017 17:30";"33.8";"678.4";"";"";"45";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"21.04.2017 08:30";"24.0";"680.9";"";"";"77";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"20.04.2017 17:30";"27.4";"679.3";"";"";"46";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.7";"";"";"";"";"";"";
"20.04.2017 08:30";"23.6";"680.9";"";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"19.04.2017 17:30";"32.0";"678.5";"";"";"53";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"19.04.2017 08:30";"24.0";"681.1";"";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"18.04.2017 17:30";"30.6";"679.8";"";"";"38";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"37.8";"";"";"600-1000";"";"";"4.0";"14.5";"";"";"";"";"";"";
"18.04.2017 08:30";"25.8";"681.6";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"17.04.2017 17:30";"36.6";"677.1";"";"";"23";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"38.2";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"17.04.2017 08:30";"24.8";"681.3";"";"";"54";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"16.04.2017 17:30";"34.8";"677.4";"";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"16.04.2017 08:30";"25.4";"680.1";"";"";"65";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"15.04.2017 17:30";"35.0";"677.0";"";"";"26";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"15.04.2017 08:30";"24.4";"681.1";"";"";"54";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"14.04.2017 17:30";"34.2";"678.7";"";"";"25";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"37.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.4";"";"";"";"";"";"";
"14.04.2017 08:30";"25.0";"682.3";"";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"13.04.2017 08:30";"23.0";"682.6";"";"";"73";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"12.04.2017 17:30";"33.2";"679.9";"";"";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"12.04.2017 08:30";"22.8";"682.9";"";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"11.04.2017 17:30";"33.2";"679.7";"";"";"28";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"36.2";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"11.04.2017 08:30";"22.8";"682.3";"";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"10.04.2017 17:30";"35.2";"679.5";"";"";"29";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.6";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"10.04.2017 08:30";"25.2";"682.6";"";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.6";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"09.04.2017 17:30";"35.0";"679.5";"";"";"30";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.4";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"09.04.2017 08:30";"25.0";"682.5";"";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"08.04.2017 17:30";"32.8";"679.9";"";"";"40";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"36.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.4";"";"";"";"";"";"";
"08.04.2017 08:30";"25.4";"682.3";"";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"07.04.2017 17:30";"30.2";"679.9";"";"";"53";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"07.04.2017 08:30";"25.0";"682.2";"";"";"77";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"06.04.2017 17:30";"32.2";"679.3";"";"";"49";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"35.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"06.04.2017 08:30";"24.0";"682.0";"";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"05.04.2017 17:30";"30.0";"681.4";"";"";"54";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"05.04.2017 08:30";"23.4";"682.9";"";"";"64";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"04.04.2017 17:30";"33.0";"680.6";"";"";"39";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"34.6";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"04.04.2017 08:30";"22.8";"683.2";"";"";"63";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"03.04.2017 17:30";"30.0";"681.4";"";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"03.04.2017 08:30";"24.8";"683.2";"";"";"66";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"22.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.1";"";"";"";"";"";"";
"02.04.2017 17:30";"33.0";"679.7";"";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"02.04.2017 08:30";"24.2";"682.3";"";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"01.04.2017 17:30";"32.4";"680.7";"";"";"44";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"36.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.8";"";"";"";"";"";"";
"01.04.2017 08:30";"25.2";"683.5";"";"";"80";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"31.03.2017 17:30";"34.6";"681.4";"";"";"42";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"31.03.2017 08:30";"25.0";"684.1";"";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.6";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"30.03.2017 17:30";"34.8";"680.8";"";"";"30";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"30.03.2017 08:30";"24.4";"683.6";"";"";"79";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.4";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"29.03.2017 17:30";"33.2";"681.4";"";"";"36";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"29.03.2017 08:30";"22.8";"684.1";"";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
