# Weather station Bhawanipatna, India, WMO_ID=43042,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43042&lang=en
#
"Local time in Bhawanipatna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"24.0";"738.1";"760.6";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
"26.12.2017 08:30";"17.0";"738.5";"761.5";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"25.12.2017 17:30";"24.8";"737.9";"760.3";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"2.0";"13.7";"";"";"";"";"";"";
"25.12.2017 08:30";"17.0";"738.5";"761.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"24.12.2017 17:30";"25.0";"736.2";"758.5";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
"24.12.2017 08:30";"17.0";"739.3";"762.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"23.12.2017 17:30";"25.0";"737.3";"759.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"22.12.2017 17:30";"24.8";"738.8";"761.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"22.12.2017 08:30";"16.4";"741.6";"764.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"21.12.2017 17:30";"23.8";"739.6";"762.1";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"14.4";"";"";"";"";"";"";
"21.12.2017 08:30";"14.0";"742.2";"765.6";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"20.12.2017 17:30";"23.0";"740.7";"763.3";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"20.12.2017 08:30";"14.4";"742.4";"765.8";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"19.12.2017 17:30";"22.0";"740.3";"763.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"12.2";"";"";"";"";"";"";
"19.12.2017 08:30";"13.6";"742.0";"765.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"18.12.2017 17:30";"21.4";"740.2";"762.9";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"12.2";"";"";"";"";"";"";
"18.12.2017 08:30";"16.0";"742.5";"765.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"17.12.2017 17:30";"24.0";"740.0";"762.5";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"2.0";"16.8";"";"";"";"";"";"";
"17.12.2017 08:30";"18.0";"734.8";"757.7";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"16.12.2017 17:30";"25.0";"740.0";"762.5";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"17.3";"";"";"";"";"";"";
"16.12.2017 08:30";"17.0";"741.6";"764.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"15.12.2017 17:30";"25.6";"739.4";"761.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"15.8";"";"";"";"";"";"";
"15.12.2017 08:30";"20.6";"741.4";"764.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"14.12.2017 17:30";"16.0";"737.9";"761.0";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"14.12.2017 08:30";"20.0";"737.4";"760.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"13.12.2017 17:30";"25.6";"737.9";"760.3";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"13.12.2017 08:30";"20.0";"740.6";"763.5";"";"74";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.5";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"12.12.2017 17:30";"25.0";"737.0";"759.4";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"19.0";"";"";"";"";"";"";
"12.12.2017 08:30";"19.0";"739.8";"762.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"736.4";"758.8";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"18.0";"";"";"";"";"";"";
"11.12.2017 08:30";"16.4";"739.6";"762.7";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"10.12.2017 17:30";"25.0";"734.9";"757.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"10.12.2017 08:30";"16.0";"737.2";"760.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"09.12.2017 17:30";"25.0";"734.1";"756.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"16.6";"";"";"";"";"";"";
"09.12.2017 08:30";"17.0";"736.9";"759.9";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.5";"";"";"";"1000-1500";"";"";"4.0";"13.6";"";"";"";"";"";"";
"08.12.2017 17:30";"24.4";"734.9";"757.3";"";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.5";"";"";"600-1000";"";"";"2.0";"14.0";"";"";"";"";"";"";
"08.12.2017 08:30";"16.0";"737.3";"760.4";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.3";"";"";"";"1000-1500";"";"";"4.0";"12.4";"";"";"";"";"";"";
"07.12.2017 17:30";"24.8";"735.6";"757.9";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"07.12.2017 08:30";"16.0";"737.5";"760.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"06.12.2017 17:30";"24.6";"735.5";"757.9";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"06.12.2017 08:30";"16.0";"737.9";"761.0";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"05.12.2017 17:30";"23.8";"735.5";"757.9";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"2.0";"16.2";"";"";"";"";"";"";
"05.12.2017 08:30";"16.0";"739.7";"762.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.7";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"04.12.2017 17:30";"23.0";"736.4";"758.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"04.12.2017 08:30";"17.0";"740.8";"763.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"03.12.2017 17:30";"24.0";"737.1";"759.6";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"02.12.2017 17:30";"24.0";"735.7";"758.1";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"02.12.2017 08:30";"18.0";"739.1";"762.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"01.12.2017 17:30";"24.0";"736.4";"758.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"01.12.2017 08:30";"20.0";"739.6";"762.4";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"30.11.2017 08:30";"16.0";"740.3";"763.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"29.11.2017 17:30";"25.0";"737.6";"760.0";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"2.0";"13.5";"";"";"";"";"";"";
"29.11.2017 08:30";"17.0";"739.8";"762.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"28.11.2017 17:30";"24.2";"737.0";"759.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"14.1";"";"";"";"";"";"";
"27.11.2017 17:30";"24.4";"736.7";"759.1";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"14.7";"";"";"";"";"";"";
"27.11.2017 08:30";"19.0";"740.9";"763.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"26.11.2017 17:30";"25.0";"738.0";"760.4";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"2.0";"18.0";"";"";"";"";"";"";
"26.11.2017 08:30";"16.0";"735.7";"758.7";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"25.11.2017 17:30";"25.0";"737.4";"759.8";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"18.6";"";"";"";"";"";"";
"25.11.2017 08:30";"18.0";"739.7";"762.7";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"24.11.2017 17:30";"25.0";"736.5";"758.9";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"2.0";"18.6";"";"";"";"";"";"";
"24.11.2017 08:30";"21.0";"739.6";"762.4";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"23.11.2017 17:30";"26.0";"735.5";"757.8";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"18.4";"";"";"";"";"";"";
"23.11.2017 08:30";"22.0";"738.7";"761.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"22.11.2017 17:30";"27.0";"735.1";"757.3";"";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.5";"";"";"1000-1500";"";"";"2.0";"19.9";"";"";"";"";"";"";
"22.11.2017 08:30";"23.0";"739.5";"762.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"21.11.2017 17:30";"28.0";"737.0";"759.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"21.3";"";"";"";"";"";"";
"21.11.2017 08:30";"22.0";"738.9";"761.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"20.11.2017 17:30";"27.8";"736.2";"758.3";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.0";"";"";"1000-1500";"";"";"2.0";"22.1";"";"";"";"";"";"";
"20.11.2017 08:30";"24.0";"738.7";"761.2";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.2";"";"";"";"1000-1500";"";"";"4.0";"21.4";"";"";"";"";"";"";
"19.11.2017 17:30";"26.0";"736.6";"758.9";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.0";"";"";"1000-1500";"";"";"2.0";"21.3";"";"";"";"";"";"";
"19.11.2017 08:30";"24.0";"737.7";"760.2";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"20.2";"";"";"";"600-1000";"";"";"4.0";"22.0";"";"";"";"";"";"";
"18.11.2017 17:30";"25.0";"733.6";"755.9";"";"77";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.5";"";"";"600-1000";"";"";"2.0";"20.6";"";"";"";"";"";"";
"18.11.2017 08:30";"24.0";"736.9";"759.3";"";"87";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"19.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.7";"";"";"";"";"";"";
"17.11.2017 17:30";"25.0";"733.6";"755.9";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.2";"";"";"600-1000";"";"";"2.0";"22.4";"";"";"";"";"";"";
"17.11.2017 08:30";"23.0";"736.6";"759.1";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"21.4";"";"";"";"";"";"";
"16.11.2017 17:30";"23.0";"732.3";"754.7";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"25.5";"";"";"600-1000";"";"";"2.0";"20.9";"";"";"";"";"";"";
"16.11.2017 08:30";"22.0";"735.6";"758.2";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"18.5";"";"";"";"600-1000";"";"";"4.0";"20.5";"";"";"";"";"";"";
"15.11.2017 17:30";"23.0";"731.8";"754.2";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"25.2";"";"";"600-1000";"";"";"4.0";"20.3";"";"";"";"";"";"";
"15.11.2017 08:30";"23.0";"735.4";"757.9";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.2";"";"";"";"1000-1500";"";"";"10.0";"19.4";"";"";"";"";"";"";
"14.11.2017 17:30";"26.4";"731.6";"753.7";"";"65";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"29.5";"";"";"600-1000";"";"";"2.0";"19.2";"";"";"";"";"";"";
"14.11.2017 08:30";"23.0";"736.2";"758.7";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.7";"";"";"";"1000-1500";"";"";"4.0";"19.1";"";"";"";"";"";"";
"13.11.2017 17:30";"27.6";"732.2";"754.2";"";"60";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.5";"";"";"1000-1500";"";"";"2.0";"19.2";"";"";"";"";"";"";
"13.11.2017 08:30";"23.0";"736.6";"759.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"12.11.2017 17:30";"28.0";"733.7";"755.7";"";"60";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.0";"";"";"1000-1500";"";"";"2.0";"19.4";"";"";"";"";"";"";
"12.11.2017 08:30";"21.0";"737.6";"760.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"11.11.2017 17:30";"26.0";"734.3";"756.5";"";"63";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.2";"";"";"1000-1500";"";"";"2.0";"18.4";"";"";"";"";"";"";
"11.11.2017 08:30";"21.6";"738.2";"760.9";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"10.11.2017 17:30";"27.0";"733.7";"755.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"17.2";"";"";"";"";"";"";
"10.11.2017 08:30";"23.0";"738.6";"761.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"09.11.2017 17:30";"26.0";"735.4";"757.6";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"2.0";"20.1";"";"";"";"";"";"";
"09.11.2017 08:30";"23.0";"738.9";"761.5";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"08.11.2017 17:30";"26.2";"736.3";"758.6";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"18.8";"";"";"";"";"";"";
"08.11.2017 08:30";"24.0";"739.6";"762.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"10.0";"19.5";"";"";"";"";"";"";
"07.11.2017 17:30";"27.0";"742.4";"764.8";"";"64";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.0";"";"";"1000-1500";"";"";"2.0";"19.6";"";"";"";"";"";"";
"07.11.2017 08:30";"24.0";"739.2";"761.7";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"737.4";"759.6";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"2.0";"19.4";"";"";"";"";"";"";
"06.11.2017 08:30";"23.0";"739.0";"761.6";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"05.11.2017 17:30";"28.0";"737.0";"759.1";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"20.0";"";"";"";"";"";"";
"05.11.2017 08:30";"23.0";"738.5";"761.1";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"04.11.2017 17:30";"26.6";"736.3";"758.5";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"2.0";"18.1";"";"";"";"";"";"";
"04.11.2017 08:30";"24.4";"737.7";"760.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"19.1";"";"";"";"";"";"";
"03.11.2017 17:30";"25.6";"734.9";"757.2";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"2.0";"18.6";"";"";"";"";"";"";
"03.11.2017 08:30";"21.0";"738.7";"761.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"02.11.2017 17:30";"26.0";"735.6";"757.9";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"2.0";"19.4";"";"";"";"";"";"";
"02.11.2017 08:30";"22.0";"739.7";"762.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"01.11.2017 08:30";"18.0";"739.1";"762.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"31.10.2017 17:30";"27.4";"735.6";"757.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"2.0";"18.3";"";"";"";"";"";"";
"31.10.2017 08:30";"26.0";"738.8";"761.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"30.10.2017 17:30";"26.8";"736.3";"758.5";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"2.0";"18.7";"";"";"";"";"";"";
"30.10.2017 08:30";"20.0";"739.9";"762.8";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"29.10.2017 17:30";"27.8";"737.5";"759.7";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"2.0";"20.1";"";"";"";"";"";"";
"29.10.2017 08:30";"23.0";"739.8";"762.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"28.10.2017 17:30";"28.6";"";"";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"28.10.2017 08:30";"24.0";"739.0";"761.5";"";"90";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.2";"";"";"";"1000-1500";"";"";"4.0";"22.3";"";"";"";"";"";"";
"27.10.2017 17:30";"28.8";"736.0";"758.1";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.5";"";"";"1000-1500";"";"";"2.0";"24.0";"";"";"";"";"";"";
"27.10.2017 08:30";"25.0";"738.8";"761.2";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.2";"";"";"";"1000-1500";"";"";"4.0";"22.4";"";"";"";"";"";"";
"26.10.2017 17:30";"29.4";"737.0";"759.0";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.5";"";"";"1000-1500";"";"";"2.0";"24.1";"";"";"";"";"";"";
"26.10.2017 08:30";"27.0";"738.2";"760.5";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.5";"";"";"";"1000-1500";"";"";"4.0";"23.3";"";"";"";"";"";"";
"25.10.2017 17:30";"30.0";"735.4";"757.4";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"25.10.2017 08:30";"30.0";"737.4";"759.4";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
